timestep,avg_action_dist,obs,rewards,actions,original_rewards,logstd_action_dist,human_obs
31,[ 1.9009912  -0.22364679],"[ 1.16947727 -0.4044524   0.26296791  0.62254289 -0.76761082  1.48348952
  1.3749196   0.11369877  0.99738386 -0.30342678  0.        ]",-1.04587,[ 1.40886367  0.29746674],-0.204027525563,[-0.27599585 -0.72334707],"[[  3.16130175e+01   1.25328636e+00  -8.80925660e-02   1.72119114e-01]
 [  9.23579323e+01   1.49911948e+00   0.00000000e+00   0.00000000e+00]]"
32,[ 2.0863955  -0.52878588],"[-0.83815586 -0.51346656  1.27576781  0.65756577 -0.76760999  1.48348625
  1.43239883  0.37841935 -0.52848831 -0.69776933  0.        ]",-2.3567,[ 2.9569245  -0.83158983],-0.126938794135,[-0.27599585 -0.72334707],"[[  3.34815564e+01   1.29442445e+00  -8.80925660e-02   1.72119114e-01]
 [  9.44890288e+01   2.61063480e+00   0.00000000e+00   0.00000000e+00]]"
33,[ 2.3245635  -0.23959941],"[-1.10912597 -0.56230728 -1.12393833  0.6716051  -0.76760915  1.48348299
  1.48874517 -0.42731213  0.31837966 -2.1043864   0.        ]",-3.92507,[ 3.28991349 -0.39883134],-0.347986591919,[-0.27599585 -0.72334707],"[[  3.53923023e+01   1.31269628e+00  -8.80925660e-02   1.72119114e-01]
 [  9.65781368e+01  -7.72486143e-01   0.00000000e+00   0.00000000e+00]]"
34,[ 2.05795717  0.31752986],"[ 1.11030883 -0.47814998 -0.54100269  0.64678115 -0.76760831  1.48347972
  1.54391117 -0.80936045  1.27584077 -0.76463565  0.        ]",-1.28366,[ 1.54549359  0.30587179],-0.274982306684,[-0.27599585 -0.72334707],"[[  3.73443890e+01   1.28115377e+00  -8.80925660e-02   1.72119114e-01]
 [  9.86234976e+01  -2.37664027e+00   0.00000000e+00   0.00000000e+00]]"
35,[ 2.06699944  0.27922252],"[-0.27556007 -0.38484512  1.44999481  0.61569042 -0.76760747  1.48347646
  1.5979624  -0.51957923 -0.28877732 -0.30922385  0.        ]",-1.9738,[ 2.0203718   0.53659763],-0.0508396341105,[-0.27599585 -0.72334707],"[[  3.93369645e+01   1.24583088e+00  -8.80925660e-02   1.72119114e-01]
 [  1.00627543e+02  -1.15990470e+00   0.00000000e+00   0.00000000e+00]]"
36,[ 2.35304236 -0.38978416],"[-1.37424607 -0.37939257 -0.77329602  0.61375454 -0.76760663  1.48347319
  1.65097398 -0.01828084 -0.00947475 -2.05480215  0.        ]",-6.32358,[ 3.01155468  0.8211467 ],-0.331172505057,[-0.27599585 -0.72334707],"[[  4.13692330e+01   1.24375421e+00  -8.80925660e-02   1.72119114e-01]
 [  1.02593058e+02   9.44952987e-01   0.00000000e+00   0.00000000e+00]]"
37,[ 2.00962591 -0.87621993],"[ 0.99859847 -0.51404694 -0.79026485  0.657736   -0.76760579  1.48346993
  1.70299204  0.74096593  1.31082829 -0.94514665  0.        ]",-1.58192,[ 3.00775867 -0.44872681],-0.294259155966,[-0.27599585 -0.72334707],"[[  4.34404404e+01   1.29464280e+00  -8.80925660e-02   1.72119114e-01]
 [  1.04521755e+02   4.13288861e+00   0.00000000e+00   0.00000000e+00]]"
38,[ 1.98168659 -0.59410799],"[-0.17868379 -0.68488324  1.45331358  0.7024647  -0.76760495  1.48346666
  1.75403073  0.2870694  -0.25474028 -0.3353082   0.        ]",-1.7666,[ 2.63984392 -0.68084098],-0.0521570091119,[-0.27599585 -0.72334707],"[[  4.55498653e+01   1.35818282e+00  -8.80925660e-02   1.72119114e-01]
 [  1.06414157e+02   2.22706519e+00   0.00000000e+00   0.00000000e+00]]"
39,[ 2.33060336 -0.40891641],"[-1.3422546  -0.72981881 -0.82920366  0.71224114 -0.76760411  1.4834634
  1.80400786 -0.37723312  0.10966698 -2.04432806  0.        ]",-5.09528,[ 1.40309683 -0.15222897],-0.331608383199,[-0.27599585 -0.72334707],"[[  4.76967451e+01   1.37474148e+00  -8.80925660e-02   1.72119114e-01]
 [  1.08267219e+02  -5.62212941e-01   0.00000000e+00   0.00000000e+00]]"
40,[ 2.01481271 -0.03783154],"[ 1.09511724 -0.68181941 -0.58304431  0.70176722 -0.76760328  1.48346013
  1.85294081 -0.53027761  1.24623701 -0.76419773  0.        ]",-1.06706,[ 0.80499665 -0.43966871],-0.270304941712,[-0.27599585 -0.72334707],"[[  4.98802946e+01   1.35705227e+00  -8.80925660e-02   1.72119114e-01]
 [  1.10081585e+02  -1.20481854e+00   0.00000000e+00   0.00000000e+00]]"
41,[ 2.15045929  0.39075089],"[-0.53205384 -0.5690393   1.40517858  0.67345739 -0.76760244  1.48345687
  1.88006729 -0.95155063 -0.41625417 -0.49902639  0.        ]",-1.9629,[ 1.28553989 -0.33235707],-0.0889474228545,[-0.27599585 -0.72334707],"[[  5.20920217e+01   1.31520920e+00  -8.80925660e-02   1.72119114e-01]
 [  1.11087500e+02  -2.97366522e+00   0.00000000e+00   0.00000000e+00]]"
42,[ 2.43465662  0.42557612],"[-1.01400643 -0.37635293 -1.20839681  0.61266703 -0.7676016   1.4834536
  1.92742962 -1.26344241  0.36811772 -2.13196862  0.        ]",-5.82275,[ 2.17514461  0.86614926],-0.354480895934,[-0.27599585 -0.72334707],"[[  5.43313938e+01   1.24259732e+00  -8.80925660e-02   1.72119114e-01]
 [  1.12843665e+02  -4.28324602e+00   0.00000000e+00   0.00000000e+00]]"
43,[ 2.05385685  0.2456228 ],"[ 1.19395419 -0.24394413  0.05724249  0.56134082 -0.76760076  1.48345034
  1.97384877 -0.43903297  1.13153539 -0.4179245   0.        ]",-1.24246,[ 2.23467074  0.66281143],-0.231265881597,[-0.27599585 -0.72334707],"[[  5.66055314e+01   1.19166408e+00  -8.80925660e-02   1.72119114e-01]
 [  1.14564880e+02  -8.21715441e-01   0.00000000e+00   0.00000000e+00]]"
44,[ 2.23061204 -0.26465881],"[-1.16712068 -0.26850479  1.01040197  0.57147235 -0.76759992  1.48344707
  2.01942869  0.17701716 -0.62419734 -0.93827331  0.        ]",-3.32443,[ 3.41569529  0.07795468],-0.169365140949,[-0.27599585 -0.72334707],"[[  5.89137824e+01   1.20118567e+00  -8.80925660e-02   1.72119114e-01]
 [  1.16254999e+02   1.76495625e+00   0.00000000e+00   0.00000000e+00]]"
45,[ 2.22150254 -0.57466686],"[-0.19076578 -0.36605939 -1.50706287  0.60896177 -0.76759908  1.48344381
  2.06415907  0.22882657  0.95125653 -1.92198036  0.        ]",-2.53374,[ 2.83269197 -0.81787368],-0.363062911133,[-0.27599585 -0.72334707],"[[  6.12555235e+01   1.23867133e+00  -8.80925660e-02   1.72119114e-01]
 [  1.17913641e+02   1.98249417e+00   0.00000000e+00   0.00000000e+00]]"
46,[ 2.01918936  0.32063013],"[ 0.77957198 -0.38227199  1.03314931  0.61477357 -0.76759824  1.48344054
  2.10798675 -0.56568649  0.4726432  -0.05449817  0.        ]",-1.23403,[ 1.44004376  0.84181902],-0.107874338503,[-0.27599585 -0.72334707],"[[  6.36301079e+01   1.24485290e+00  -8.80925660e-02   1.72119114e-01]
 [  1.19538834e+02  -1.35350487e+00   0.00000000e+00   0.00000000e+00]]"
47,[ 2.35695958 -0.53015298],"[-1.55967999 -0.3981604  -0.12066611  0.62035549 -0.7675974   1.48343728
  2.15090392  0.22031841 -0.37275266 -1.77731873  0.        ]",-5.1512,[ 1.4617991  -0.32447625],-0.287596558749,[-0.27599585 -0.72334707],"[[  6.60368466e+01   1.25089835e+00  -8.80925660e-02   1.72119114e-01]
 [  1.21130291e+02   1.94676711e+00   0.00000000e+00   0.00000000e+00]]"
48,[ 2.09930325 -0.24339539],"[ 0.92328527 -0.46430652 -0.91074756  0.64240121 -0.76759656  1.48343401
  2.19302759 -0.10957075  1.32660578 -1.0549832   0.        ]",-1.07527,[ 1.64487607 -1.3845617 ],-0.306046735177,[-0.27599585 -0.72334707],"[[  6.84751274e+01   1.27593961e+00  -8.80925660e-02   1.72119114e-01]
 [  1.22692349e+02   5.61631632e-01   0.00000000e+00   0.00000000e+00]]"
49,[ 2.20227146  0.5527463 ],"[-0.53571319 -0.38711781  1.40414513  0.6164866  -0.76759573  1.48343075
  2.23425981 -1.07034853 -0.41642284 -0.45532553  0.        ]",-3.38407,[ 1.32004102  1.22396691],-0.0829832962632,[-0.27599585 -0.72334707],"[[  7.09443224e+01   1.24669837e+00  -8.80925660e-02   1.72119114e-01]
 [  1.24221376e+02  -3.47247596e+00   0.00000000e+00   0.00000000e+00]]"
