timestep,human_obs,rewards,obs,actions,avg_action_dist,logstd_action_dist,original_rewards
10,"[[ -3.69791161  -2.88946771  -0.14811438  -0.1200101 ]
 [-27.88312807 -31.14202882   0.           0.        ]]",-1.0962,"[ -1.38290101e+00  -5.02290271e-01   8.29970607e-01  -2.37833022e-03
  -1.27469418e+00  -1.06980187e+00  -1.31765666e+00  -3.93982704e+00
   1.03367548e+00   1.27036609e+00   0.00000000e+00]",[-0.9568547  -0.40008482],[-0.12367633 -0.53844815],[-0.16584244 -0.30769613],-0.218714766603
11,"[[ -4.28804149  -3.1847387   -0.14811438  -0.1200101 ]
 [-31.11885232  -1.96860696   0.           0.        ]]",-1.20888,"[-0.78174246 -0.54650118  1.40446823  1.08623853 -1.27468385 -1.06979479
 -1.46307929  0.11661219  0.87248807  1.00641035  0.        ]",[-1.2722227  -0.14562421],[-0.54808688 -0.67773533],[-0.16584244 -0.30769613],-0.182260058333
12,"[[ -4.94395928  -3.15033296  -0.14811438  -0.1200101 ]
 [-34.46188454   3.37132872   0.           0.        ]]",-1.3439,"[ 0.0993985  -0.54778489  1.49739493  0.95827287 -1.27467351 -1.0697877
 -1.61332082  0.85910507  0.85815469  1.02410954  0.        ]",[-0.80694601 -0.46960848],[-0.778108   -0.78090382],[-0.16584244 -0.30769613],-0.181986188348
13,"[[ -5.65840793  -3.08625646  -0.14811438  -0.1200101 ]
 [-36.97461121   2.72531831   0.           0.        ]]",-1.428,"[ 0.89857643 -0.54563225  0.91516788  0.71997302 -1.27466317 -1.06978061
 -1.72623873  0.76927595  0.85168347  1.01386985  0.        ]",[-2.04844298 -2.24806194],[-0.89720261 -0.84823316],[-0.16584244 -0.30769613],-0.180556286575
14,"[[ -6.4302811   -3.04446889  -0.14811438  -0.1200101 ]
 [-40.20194623   1.5113833    0.           0.        ]]",-1.33567,"[ 1.14331337 -0.54104497 -0.18137073  0.56495912 -1.27465283 -1.06977352
 -1.87127034  0.60048009  0.80345267  1.0262194   0.        ]",[-1.68638447 -0.88096813],[-0.88823092 -0.87247127],[-0.16584244 -0.30769613],-0.176357319033
15,"[[ -7.26605975  -3.02253344  -0.14811438  -0.1200101 ]
 [-43.36537619   0.75257613   0.           0.        ]]",-1.2608,"[ 0.54615371 -0.53763314 -1.20901661  0.48382226 -1.2746425  -1.06976644
 -2.01342312  0.49496855  0.76590427  1.10684354  0.        ]",[ 0.59266016 -1.26188116],[-0.76119483 -0.84192234],[-0.16584244 -0.30769613],-0.178770789864
16,"[[ -8.10121045  -3.01210244  -0.14811438  -0.1200101 ]
 [-40.16037499   0.34077316   0.           0.        ]]",-1.1194,"[-0.55226729 -0.53576798 -1.41512394  0.44531047 -1.27463216 -1.06975935
 -1.86934583  0.43770695  0.79887096  1.20658029  0.        ]",[-0.96167721 -0.22978358],[-0.66226792 -0.79797035],[-0.16584244 -0.30769613],-0.190127044924
17,"[[ -8.93464353  -3.00663898  -0.14811438  -0.1200101 ]
 [-43.17289466   0.20545396   0.           0.        ]]",-1.1679,"[-1.42834335 -0.534728   -0.66731438  0.42515891 -1.27462183 -1.06975226
 -2.0047138   0.41888965  0.89200712  1.24873338  0.        ]",[-1.046853   -0.92435743],[-0.57954729 -0.74809974],[-0.16584244 -0.30769613],-0.202680782888
18,"[[ -9.82925109  -3.00435267  -0.14811438  -0.1200101 ]
 [-46.27751512   0.05424391   0.           0.        ]]",-1.21652,"[-1.4792274  -0.53427891  0.62829251  0.41672956 -1.27461149 -1.06974517
 -2.14421399  0.39786281  0.99005405  1.19000806  0.        ]",[-1.28491099  0.25949334],[-0.60310197 -0.73045379],[-0.16584244 -0.30769613],-0.208131336468
19,"[[-10.78533371  -2.99295726  -0.14811438  -0.1200101 ]
 [-49.32059532   1.08192074   0.           0.        ]]",-1.35628,"[-0.50274331 -0.53193781  1.50440144  0.37476274 -1.27460115 -1.06973809
 -2.28094009  0.54075716  1.01679488  1.05960229  0.        ]",[-0.94275524 -1.00741672],[-0.72284842 -0.76566267],[-0.16584244 -0.30769613],-0.201738815569
20,"[[-11.79940175  -3.00486081  -0.14811438  -0.1200101 ]
 [-52.07700872  -1.41769825   0.           0.        ]]",-1.32278,"[ 0.77343448 -0.53437467  1.07862374  0.41859973 -1.27459082 -1.069731
 -2.4047738   0.19318851  0.90998929  0.96377993  0.        ]",[-1.31692527 -1.11774821],[-0.71476507 -0.77361017],[-0.16584244 -0.30769613],-0.183443075147
21,"[[ -1.28703227e+01  -3.01502269e+00  -1.48114381e-01  -1.20010100e-01]
 [ -5.50053284e+01   1.36496614e-02   0.00000000e+00   0.00000000e+00]]",-1.24195,"[ 1.09517372 -0.53629464 -0.41031557  0.45607952 -1.27458048 -1.06972391
 -2.53632387  0.39221435  0.78927458  1.01536539  0.        ]",[-0.38286583  0.12216558],[-0.73006332 -0.81746459],[-0.16584244 -0.30769613],-0.174070128827
22,"[[-13.97471279  -3.00945604  -0.14811438  -0.1200101 ]
 [-55.43225594   0.51988505   0.           0.        ]]",-1.17074,"[ 0.00627582 -0.53525786 -1.44096829  0.43553936 -1.27457015 -1.06971683
 -2.55545162  0.46260423  0.7675804   1.15858117  0.        ]",[-1.07353944 -0.77633417],[-0.62161469 -0.78801441],[-0.16584244 -0.30769613],-0.183142458822
23,"[[-15.11207256  -3.00396097  -0.14811438  -0.1200101 ]
 [-58.29418356   0.1172023    0.           0.        ]]",-1.13952,"[-1.35327747 -0.53419097 -0.80298387  0.41527825 -1.27455981 -1.06970974
 -2.68400366  0.40660992  0.87682766  1.25067818  0.        ]",[ 0.68667034 -0.13191708],[-0.48898682 -0.72160143],[-0.16584244 -0.30769613],-0.201347868667
24,"[[-16.23909969  -3.00219094  -0.14811438  -0.1200101 ]
 [-54.42143567   0.06312697   0.           0.        ]]",-1.24055,"[-1.40078673 -0.53383669  0.79764886  0.40875413 -1.27454948 -1.06970265
 -2.50990228  0.39908932  0.9995273   1.17602403  0.        ]",[-0.12883646  0.05835585],[-0.57462502 -0.72019589],[-0.16584244 -0.30769613],-0.208100970404
25,"[[-17.3218368   -2.99860447  -0.14811438  -0.1200101 ]
 [-53.85416368   0.29474904   0.           0.        ]]",-1.34783,"[-0.15678478 -0.53310733  1.53600936  0.39554138 -1.27453915 -1.06969557
 -2.48435394  0.43129485  0.99828581  1.02297319  0.        ]",[-2.23225843 -0.64030387],[-0.70128512 -0.75915653],[-0.16584244 -0.30769613],-0.197230415777
26,"[[-18.42794877  -3.00377361  -0.14811438  -0.1200101 ]
 [-56.74738299  -0.48662364   0.           0.        ]]",-1.32519,"[ 1.03784448 -0.53414755  0.65179577  0.41458342 -1.27452881 -1.06968848
 -2.61431034  0.32264342  0.87233399  0.95216255  0.        ]",[-1.65262972 -1.901848  ],[-0.72446692 -0.79369426],[-0.16584244 -0.30769613],-0.178494389015
27,"[[ -1.95913498e+01  -3.00739958e+00  -1.48114381e-01  -1.20010100e-01]
 [ -5.95832677e+01  -4.84316079e-03   0.00000000e+00   0.00000000e+00]]",-1.25081,"[ 0.79712567 -0.53485384 -0.97443583  0.42794843 -1.27451848 -1.0696814
 -2.74167899  0.38963408  0.76153842  1.06332985  0.        ]",[-0.65246257 -1.11874685],[-0.66332185 -0.8027485 ],[-0.16584244 -0.30769613],-0.174897956297
28,"[[-20.79709937  -3.00653285  -0.14811438  -0.1200101 ]
 [-60.98701323   0.06233489   0.           0.        ]]",-1.10075,"[-0.72151295 -0.53468409 -1.35556684  0.42475121 -1.27450815 -1.06967431
 -2.80468331  0.39897385  0.806994    1.21939467  0.        ]",[-1.24810813 -0.49578358],[-0.51733267 -0.74428207],[-0.16584244 -0.30769613],-0.191986052626
29,"[[-22.0444509   -3.00486883  -0.14811438  -0.1200101 ]
 [-63.73896985   0.08350784   0.           0.        ]]",-1.22474,"[-1.58814453 -0.53435713  0.11821903  0.4186154  -1.27449781 -1.06966722
 -2.92826076  0.40191654  0.95725122  1.22506004  0.        ]",[ 0.59347471 -1.02545369],[-0.47496054 -0.70504415],[-0.16584244 -0.30769613],-0.207399176577
30,"[[ -2.32829945e+01  -3.00402554e+00  -1.48114381e-01  -1.20010100e-01]
 [ -6.01274261e+01   1.61037434e-02   0.00000000e+00   0.00000000e+00]]",-1.31274,"[-0.59431946 -0.53418888  1.47945254  0.4155057  -1.27448748 -1.06966014
 -2.7658995   0.39254246  1.01084572  1.06569155  0.        ]",[-0.47818557 -0.59255895],[-0.62469733 -0.72903574],[-0.16584244 -0.30769613],-0.201507021479
31,"[[ -2.44925961e+01  -3.00346788e+00  -1.48114381e-01  -1.20010100e-01]
 [ -6.08303892e+01   3.04025324e-02   0.00000000e+00   0.00000000e+00]]",-1.25171,"[ 0.88611517 -0.53407635  0.93374173  0.41344897 -1.27447715 -1.06965305
 -2.79741074  0.39452933  0.89856663  0.95608412  0.        ]",[-0.61078115 -0.14428889],[-0.70468307 -0.78049994],[-0.16584244 -0.30769613],-0.181669347681
32,"[[ -2.57213846e+01  -3.00247788e+00  -1.48114381e-01  -1.20010100e-01]
 [ -6.20444183e+01   5.30568322e-02   0.00000000e+00   0.00000000e+00]]",-1.24984,"[ 0.92690212 -0.53387711 -0.79398267  0.40979927 -1.27446682 -1.06964597
 -2.85188129  0.39767805  0.76651196  1.03825324  0.        ]",[-0.87933011 -0.97315814],[-0.66747606 -0.80365086],[-0.16584244 -0.30769613],-0.173462251837
33,"[[ -2.69848807e+01  -3.00246338e+00  -1.48114381e-01  -1.20010100e-01]
 [ -6.42976850e+01  -2.57862973e-02   0.00000000e+00   0.00000000e+00]]",-1.1142,"[-0.59748865 -0.5338721  -1.40176255  0.40974438 -1.27445648 -1.06963888
 -2.95303834  0.38671329  0.79417605  1.21100371  0.        ]",[ 0.3657058  -1.01717869],[-0.5081327  -0.74279618],[-0.16584244 -0.30769613],-0.190060177208
34,"[[ -2.82435358e+01  -3.00305900e+00  -1.48114381e-01  -1.20010100e-01]
 [ -6.15768866e+01  -2.81372795e-02   0.00000000e+00   0.00000000e+00]]",-1.2434,"[-1.58943908 -0.53398875 -0.00780869  0.41193772 -1.27444615 -1.0696318
 -2.83070917  0.38638501  0.94767257  1.23317471  0.        ]",[ 0.16399534 -2.15234711],[-0.48034105 -0.70827341],[-0.16584244 -0.30769613],-0.207055328798
35,"[[ -2.94563282e+01  -3.00351396e+00  -1.48114381e-01  -1.20010100e-01]
 [ -5.97085792e+01  -1.72309382e-02   0.00000000e+00   0.00000000e+00]]",-1.30398,"[-0.73685676 -0.53407701  1.42551172  0.41361288 -1.27443582 -1.06962471
 -2.74669208  0.3879002   1.01404081  1.08175452  0.        ]",[-0.2161557  -0.58433214],[-0.61398673 -0.72479284],[-0.16584244 -0.30769613],-0.202964017146
36,"[[ -3.06472269e+01  -3.00332755e+00  -1.48114381e-01  -1.20010100e-01]
 [ -5.93823821e+01   2.15800969e-02   0.00000000e+00   0.00000000e+00]]",-1.27631,"[ 0.77180293 -0.53403789  1.08047854  0.41292443 -1.27442549 -1.06961763
 -2.73196464  0.39329564  0.91518076  0.9591961   0.        ]",[ 0.40903801 -0.47572834],[-0.70702779 -0.77657413],[-0.16584244 -0.30769613],-0.183731290318
37,"[[ -3.18068308e+01  -3.00279094e+00  -1.48114381e-01  -1.20010100e-01]
 [ -5.65873200e+01   2.61816696e-02   0.00000000e+00   0.00000000e+00]]",-1.28914,"[ 1.05452542 -0.533929   -0.53283682  0.41094543 -1.27441516 -1.06961054
 -2.60632251  0.3939341   0.78012344  1.01347929  0.        ]",[-0.92794022 -1.62505257],[-0.71875799 -0.81823605],[-0.16584244 -0.30769613],-0.172990560447
38,"[[ -3.29641999e+01  -3.00291898e+00  -1.48114381e-01  -1.20010100e-01]
 [ -5.91410785e+01  -2.20654340e-02   0.00000000e+00   0.00000000e+00]]",-1.1521,"[-0.18501081 -0.53395239 -1.46032035  0.41141577 -1.27440483 -1.06960346
 -2.72098768  0.38722373  0.77016273  1.17545202  0.        ]",[-0.93532071 -1.04564009],[-0.57382393 -0.76826704],[-0.16584244 -0.30769613],-0.184801935067
39,"[[ -3.41724301e+01  -3.00336663e+00  -1.48114381e-01  -1.20010100e-01]
 [ -6.16735021e+01  -1.97897370e-02   0.00000000e+00   0.00000000e+00]]",-1.19335,"[-1.48945426 -0.53403929 -0.52475464  0.41306398 -1.2743945  -1.06959638
 -2.83468357  0.3875388   0.90399907  1.24953626  0.        ]",[ 1.09943827 -1.19093676],[-0.46488807 -0.71026909],[-0.16584244 -0.30769613],-0.203959192004
40,"[[ -3.53539254e+01  -3.00367882e+00  -1.48114381e-01  -1.20010100e-01]
 [ -5.64932972e+01  -1.15817231e-02   0.00000000e+00   0.00000000e+00]]",-1.28511,"[-1.17684933 -0.53409909  1.10993875  0.41421303 -1.27438417 -1.06958929
 -2.60189343  0.38867879  1.01155274  1.138213    0.        ]",[-1.15307583 -0.93663194],[-0.58822238 -0.71926248],[-0.16584244 -0.30769613],-0.206659509699
41,"[[ -3.65122953e+01  -3.00378099e+00  -1.48114381e-01  -1.20010100e-01]
 [ -5.93342200e+01  -1.21092822e-03   0.00000000e+00   0.00000000e+00]]",-1.35784,"[ 0.29882968 -0.5341172   1.42822409  0.41458809 -1.27437384 -1.06958221
 -2.7294522   0.39011952  0.96384782  0.98567263  0.        ]",[-0.61949027 -1.20054952],[-0.687922  -0.7595641],[-0.16584244 -0.30769613],-0.190927329556
42,"[[ -3.77118036e+01  -3.00384720e+00  -1.48114381e-01  -1.20010100e-01]
 [ -6.06123549e+01  -3.96313244e-03   0.00000000e+00   0.00000000e+00]]",-1.32569,"[ 1.15808171 -0.53412818  0.01931111  0.41483062 -1.27436351 -1.06957512
 -2.7867965   0.38973542  0.81664679  0.97705521  0.        ]",[-0.44531582 -2.3128145 ],[-0.7111553  -0.80474389],[-0.16584244 -0.30769613],-0.174185852603
43,"[[ -3.89297018e+01  -3.00391600e+00  -1.48114381e-01  -1.20010100e-01]
 [ -6.11755801e+01  -2.75254683e-03   0.00000000e+00   0.00000000e+00]]",-1.17283,"[ 0.24257541 -0.53413967 -1.37478597  0.41508268 -1.27435318 -1.06956804
 -2.81202129  0.38990237  0.75664723  1.13176392  0.        ]",[ 0.21325788 -0.54213451],[-0.59943652 -0.77955055],[-0.16584244 -0.30769613],-0.17990318129
44,"[[ -4.01325907e+01  -3.00347208e+00  -1.48114381e-01  -1.20010100e-01]
 [ -5.91201682e+01   3.20627998e-02   0.00000000e+00   0.00000000e+00]]",-1.12493,"[-1.2597298  -0.53404962 -0.93663352  0.4134451  -1.27434285 -1.06956096
 -2.71961599  0.39474229  0.86198471  1.24878829  0.        ]",[-0.97270107 -0.90032103],[-0.48802862 -0.72450519],[-0.16584244 -0.30769613],-0.199762750122
45,"[[ -4.13418918e+01  -3.00327063e+00  -1.48114381e-01  -1.20010100e-01]
 [ -6.18010047e+01  -2.26796684e-03   0.00000000e+00   0.00000000e+00]]",-1.24676,"[-1.42107219 -0.5340075   0.75859001  0.41270119 -1.27433252 -1.06955387
 -2.83996464  0.38996695  0.99713669  1.1788002   0.        ]",[-0.32130153 -0.53361389],[-0.52707851 -0.70822477],[-0.16584244 -0.30769613],-0.208075302969
46,"[[ -4.25784004e+01  -3.00298526e+00  -1.48114381e-01  -1.20010100e-01]
 [ -6.18496881e+01   2.08640426e-02   0.00000000e+00   0.00000000e+00]]",-1.32353,"[ 0.01234553 -0.53394863  1.51655022  0.41164801 -1.27432219 -1.06954679
 -2.84207185  0.39318223  0.98496081  1.0076682   0.        ]",[ 0.17952978 -0.36735336],[-0.66009045 -0.74687624],[-0.16584244 -0.30769613],-0.19474832328
47,"[[ -4.37959775e+01  -3.00242968e+00  -1.48114381e-01  -1.20010100e-01]
 [ -5.99144714e+01   2.78537805e-02   0.00000000e+00   0.00000000e+00]]",-1.2502,"[ 1.13441776 -0.53383568  0.3160234   0.40959919 -1.27431186 -1.06953971
 -2.75506899  0.39415281  0.84035477  0.96306485  0.        ]",[-0.48515608 -0.1891541 ],[-0.72080934 -0.80185282],[-0.16584244 -0.30769613],-0.175762968232
48,"[[ -4.50016391e+01  -3.00178126e+00  -1.48114381e-01  -1.20010100e-01]
 [ -6.06492485e+01   3.07410139e-02   0.00000000e+00   0.00000000e+00]]",-1.19793,"[ 0.5040058  -0.53370365 -1.23849015  0.40720844 -1.27430153 -1.06953262
 -2.78799889  0.3945529   0.75281713  1.09947208  0.        ]",[-1.23545935 -0.50281575],[-0.62984395 -0.79210472],[-0.16584244 -0.30769613],-0.17691633774
49,"[[ -4.62423025e+01  -3.00161627e+00  -1.48114381e-01  -1.20010100e-01]
 [ -6.34078989e+01  -4.11939989e-03   0.00000000e+00   0.00000000e+00]]",-1.09836,"[-1.08979451 -0.53366838 -1.11853741  0.40659904 -1.27429121 -1.06952554
 -2.91182683  0.38970386  0.83874956  1.24305553  0.        ]",[-1.04335191 -0.59586667],[-0.473748   -0.72461921],[-0.16584244 -0.30769613],-0.197036402515
