timestep,human_obs,rewards,obs,actions,avg_action_dist,logstd_action_dist,original_rewards
27,"[[  6.04551352  -3.0085793    0.19600331  -0.08646194]
 [ 15.40460947   0.05676456   0.           0.        ]]",-1.53398,"[ 1.14867197 -0.49431756 -0.33272336  0.3930942   1.6942556  -0.76022737
  0.47632666  0.39579004 -1.76418943  0.70464147  0.        ]",[-0.28967121 -0.59048912],[ 0.16397598 -0.68530285],[-0.26500118 -0.37462059],-0.221113712134
28,"[[  6.33903886  -3.00651443   0.19600331  -0.08646194]
 [ 13.95276114   0.11401701   0.           0.        ]]",-1.41905,"[ 1.18517885 -0.49390495  0.10034489  0.38487998  1.69424518 -0.76022546
  0.42634061  0.40355798 -1.73368371  0.67665275  0.        ]",[ 1.62504891 -1.14929006],[ 0.22529563 -0.64698684],[-0.26500118 -0.37462059],-0.216212564247
29,"[[  6.65504752  -3.00501173   0.19600331  -0.08646194]
 [ 17.63583165   0.04626502   0.           0.        ]]",-1.42188,"[ 1.09333459 -0.49360045  0.55759126  0.37890339  1.69423477 -0.76022356
  0.55314294  0.39436386 -1.69422142  0.6600466   0.        ]",[ 0.00896767 -0.44824029],[ 0.25344768 -0.61899173],[-0.26500118 -0.37462059],-0.210630711651
30,"[[  7.00461749  -3.00381896   0.19600331  -0.08646194]
 [ 17.32220976   0.05905753   0.           0.        ]]",-1.3737,"[ 0.84472596 -0.49335618  0.99934788  0.37416024  1.69422435 -0.76022165
  0.54234421  0.39609897 -1.64774919  0.65968684  0.        ]",[-0.87079715 -0.84035909],[ 0.28295559 -0.58977306],[-0.26500118 -0.37462059],-0.204800164067
31,"[[  7.31302877e+00  -3.00326464e+00   1.96003314e-01  -8.64619355e-02]
 [  1.35315509e+01   8.48343257e-03   0.00000000e+00   0.00000000e+00]]",-1.31166,"[ 0.52032876 -0.49324142  1.29189301  0.3719558   1.69421394 -0.76021975
  0.41183555  0.38923574 -1.60898638  0.67495789  0.        ]",[-0.51952169 -0.59580523],[ 0.30151209 -0.56737792],[-0.26500118 -0.37462059],-0.200585816876
32,"[[  7.56033418  -3.00296862   0.19600331  -0.08646194]
 [ 11.20673765   0.01617056   0.           0.        ]]",-1.28174,"[ 0.21023291 -0.4931795   1.44053605  0.37077836  1.69420352 -0.76021784
  0.33179429  0.39027812 -1.58213884  0.69665138  0.        ]",[-0.52677081 -0.40483784],[ 0.30372137 -0.55431497],[-0.26500118 -0.37462059],-0.198177995272
33,"[[ 7.76131712 -3.00249224  0.19600331 -0.08646194]
 [ 8.89924614  0.0247519   0.          0.        ]]",-1.21391,"[-0.06054321 -0.49308017  1.4977948   0.36888403  1.69419311 -0.76021593
  0.25234944  0.39144182 -1.56406524  0.71945625  0.        ]",[ 1.69141344 -0.83024035],[ 0.3040387  -0.54438049],[-0.26500118 -0.37462059],-0.196961969806
34,"[[  7.97725925  -3.00253037   0.19600331  -0.08646194]
 [ 12.68236022  -0.01513206   0.           0.        ]]",-1.22612,"[-0.35687422 -0.49308708  1.49288234  0.36903494  1.69418269 -0.76021403
  0.38259744  0.38602915 -1.54993637  0.74797904  0.        ]",[-0.42394767  0.49174124],[ 0.26622081 -0.55679339],[-0.26500118 -0.37462059],-0.19655102723
35,"[[  8.21154694  -2.98329414   0.19600331  -0.08646194]
 [ 10.75283303   1.93226267   0.           0.        ]]",-1.18765,"[-0.66906165 -0.4888357   1.41011891  0.29267755  1.69417228 -0.76021212
  0.31616518  0.65027564 -1.52712349  0.79086223  0.        ]",[ 1.21238688 -0.052895  ],[ 0.16764212 -0.59706366],[-0.26500118 -0.37462059],-0.19588208898
36,"[[  8.46419212  -2.94713144   0.19600331  -0.08646194]
 [ 14.49919697   1.6848469    0.           0.        ]]",-1.26134,"[-0.97577004 -0.47937024  1.23581955  0.14978791  1.69416186 -0.76021022
  0.44514811  0.61670165 -1.50677286  0.85706283  0.        ]",[-0.36390772 -0.88849281],[ 0.06074674 -0.6464361 ],[-0.26500118 -0.37462059],-0.196929214509
