timestep,human_obs,rewards,obs,actions,avg_action_dist,logstd_action_dist,original_rewards
13,"[[-1.74507305 -3.04295004 -0.05068417 -0.07658984]
 [-9.23384615  4.85389446  0.          0.        ]]",-0.590716,"[-0.50461492 -0.59687734 -1.44424496  0.58704169 -0.44064451 -0.69434079
 -0.65477936  1.06866774  0.07747931  0.82395909  0.        ]",[ 0.82088186  0.15535045],[-0.2073295  -0.66148955],[-0.10970242 -0.23168851],-0.0971721126421
14,"[[-1.89530596 -2.94066272 -0.05068417 -0.07658984]
 [-5.80088936  5.37310347  0.          0.        ]]",-0.58127,"[-0.70485483 -0.57574816 -1.38798239  0.24342835 -0.44064143 -0.69433478
 -0.43973901  1.14190077  0.00953348  0.84985739  0.        ]",[-0.69961311 -0.22423274],[-0.23060234 -0.68981737],[-0.10970242 -0.23168851],-0.096554418757
15,"[[-2.03796332 -2.84317683 -0.05068417 -0.07658984]
 [-8.45598633  4.37881245  0.          0.        ]]",-0.552284,"[-0.8859091  -0.5424066  -1.30452711 -0.07750748 -0.44063836 -0.69432877
 -0.60604781  1.0016178  -0.0506601   0.88871794  0.        ]",[-1.1997568  -0.47263697],[-0.20805334 -0.68810666],[-0.10970242 -0.23168851],-0.098734378221
16,"[[ -2.24512749  -2.7752472   -0.05068417  -0.07658984]
 [-12.24778448   2.42070417   0.           0.        ]]",-0.519491,"[-1.12547256 -0.51171968 -1.13490443 -0.29570906 -0.44063529 -0.69432275
 -0.84355615  0.72536797 -0.06915938  0.95027968  0.        ]",[ 0.13006174 -0.44892321],[-0.15473969 -0.66346169],[-0.10970242 -0.23168851],-0.105533446257
17,"[[ -2.48248391  -2.74514617  -0.05068417  -0.07658984]
 [-11.4903909    0.59547975   0.           0.        ]]",-0.539857,"[-1.35421644 -0.49620373 -0.87877253 -0.39066067 -0.44063221 -0.69431674
 -0.79610563  0.46786737 -0.03816802  1.01353463  0.        ]",[-1.2266696   0.46822941],[-0.12132443 -0.6441102 ],[-0.10970242 -0.23168851],-0.114032540035
18,"[[ -2.7497321   -2.71475138  -0.05068417  -0.07658984]
 [-15.2219747    2.43789343   0.           0.        ]]",-0.585951,"[-1.53820484 -0.47936242 -0.52883901 -0.48533171 -0.44062914 -0.69431073
 -1.0298391   0.72778433  0.01723333  1.07590428  0.        ]",[-0.09280185 -1.6433107 ],[-0.12135325 -0.65003574],[-0.10970242 -0.23168851],-0.123338719547
19,"[[ -3.0548351   -2.70620135  -0.05068417  -0.07658984]
 [-15.28814043  -1.56953329   0.           0.        ]]",-0.640245,"[-1.63734821 -0.47441201 -0.08060069 -0.51172941 -0.44062607 -0.69430472
 -1.03397121  0.1624233   0.11215381  1.10897495  0.        ]",[-0.50670002 -0.14135386],[-0.08569491 -0.62072688],[-0.10970242 -0.23168851],-0.131263518453
20,"[[ -3.37769049  -2.74289188  -0.05068417  -0.07658984]
 [-16.99172933  -2.09775024   0.           0.        ]]",-0.696767,"[-1.60429978 -0.49498497  0.40604461 -0.39771423 -0.44062299 -0.69429871
 -1.14066836  0.08790253  0.22619338  1.06823702  0.        ]",[ 0.1292719  -1.07966883],[-0.07521735 -0.60622329],[-0.10970242 -0.23168851],-0.133113028093
21,"[[ -3.70901822  -2.82415329  -0.05068417  -0.07658984]
 [-16.14390195  -6.01535548   0.           0.        ]]",-0.714592,"[-1.42671902 -0.53440278  0.86686745 -0.13910147 -0.44061992 -0.6942927
 -1.08754684 -0.46478873  0.30606431  0.94877911  0.        ]",[ 0.15486975  0.06305989],[-0.04026937 -0.57510239],[-0.10970242 -0.23168851],-0.126311092476
22,"[[ -4.02254014  -2.94075694  -0.05068417  -0.07658984]
 [-15.21137255  -5.64626408   0.           0.        ]]",-0.713662,"[-1.14190939 -0.57574596  1.22190933  0.24377611 -0.44061684 -0.69428669
 -1.02912117 -0.41271436  0.30336276  0.79744386  0.        ]",[ 0.62826341 -1.23887543],[-0.03619763 -0.56500536],[-0.10970242 -0.23168851],-0.111419100045
23,"[[ -4.29878957  -3.04277763  -0.05068417  -0.07658984]
 [-12.4227054   -1.77819137   0.           0.        ]]",-0.697794,"[-0.81904746 -0.59681718  1.44100673  0.58650238 -0.44061377 -0.69428068
 -0.85443152  0.13299651  0.2402913   0.69534113  0.        ]",[-1.46447016 -0.80370992],[-0.08834225 -0.58729434],[-0.10970242 -0.23168851],-0.0963007443875
24,"[[ -4.58449974  -3.04531919  -0.05068417  -0.07658984]
 [-16.13596803   0.7222136    0.           0.        ]]",-0.712218,"[-0.44132247 -0.59715517  1.5565851   0.59509526 -0.4406107  -0.69427467
 -1.08701535  0.48575473  0.22791395  0.66666956  0.        ]",[-0.42403929 -0.61410739],[-0.15007351 -0.61625659],[-0.10970242 -0.23168851],-0.0925509701944
25,"[[ -4.92085881  -3.02865946  -0.05068417  -0.07658984]
 [-17.49541469   0.78649524   0.           0.        ]]",-0.70962,"[ 0.01919243 -0.59474196  1.53608398  0.53877518 -0.44060762 -0.69426866
 -1.17215434  0.49482014  0.21778831  0.6376267   0.        ]",[ 0.22573495 -0.63704571],[-0.21666633 -0.64525139],[-0.10970242 -0.23168851],-0.0889916688454
26,"[[ -5.25832481  -3.01597068  -0.05068417  -0.07658984]
 [-16.25531897   0.47965465   0.           0.        ]]",-0.713012,"[ 0.44907639 -0.59264665  1.34826309  0.49594915 -0.44060455 -0.69426265
 -1.09446132  0.45152695  0.19484739  0.6107389   0.        ]",[-0.69013238 -1.53732415],[-0.29160851 -0.68372881],[-0.10970242 -0.23168851],-0.0844371691251
27,"[[ -5.60761795  -3.00928058  -0.05068417  -0.07658984]
 [-18.6659614    0.22008752   0.           0.        ]]",-0.677904,"[ 0.80857838 -0.59145064  1.00015189  0.47339492 -0.44060148 -0.69425664
 -1.24544403  0.41490341  0.15823445  0.59428794  0.        ]",[-0.31750122  1.5155594 ],[-0.32584417 -0.6996085 ],[-0.10970242 -0.23168851],-0.0795715621671
28,"[[ -5.98984028  -2.96519291  -0.05068417  -0.07658984]
 [-19.55329751   4.17551307   0.           0.        ]]",-0.690197,"[ 1.05214939 -0.58206149  0.48979194  0.32533113 -0.4405984  -0.69425063
 -1.30100562  0.97294129  0.12620153  0.5625528   0.        ]",[-0.18652908 -0.00917541],[-0.42271763 -0.76998568],[-0.10970242 -0.23168851],-0.0737533465865
29,"[[ -6.38443106  -2.88287332  -0.05068417  -0.07658984]
 [-19.90460073   4.05686649   0.           0.        ]]",-0.661312,"[ 1.1038959  -0.5574612  -0.10261091  0.05219559 -0.44059533 -0.69424462
 -1.32298964  0.95619141  0.07655482  0.50974216  0.        ]",[-1.17726115 -0.59807093],[-0.43581593 -0.7894237 ],[-0.10970242 -0.23168851],-0.0644110598114
30,"[[ -6.81829332  -2.82629782  -0.05068417  -0.07658984]
 [-23.46974949   1.60889537   0.           0.        ]]",-0.592303,"[ 0.91848874 -0.53528422 -0.723297   -0.13221689 -0.44059226 -0.69423861
 -1.5462753   0.61081563 -0.01246496  0.51257581  0.        ]",[-1.00083459  0.47439413],[-0.34175098 -0.74321318],[-0.10970242 -0.23168851],-0.0576174085479
31,"[[ -7.32274869  -2.77558548  -0.05068417  -0.07658984]
 [-26.9641113    3.45624961   0.           0.        ]]",-0.562608,"[ 0.43165234 -0.51182273 -1.25802941 -0.29466814 -0.44058919 -0.6942326
 -1.76511338  0.87144075 -0.11466925  0.58919213  0.        ]",[-0.49314543  0.0170386 ],[-0.27852845 -0.73245215],[-0.10970242 -0.23168851],-0.0609553186565
32,"[[ -7.87626198  -2.70645812  -0.05068417  -0.07658984]
 [-28.38247695   3.45654532   0.           0.        ]]",-0.520391,"[-0.29646548 -0.47450214 -1.46684546 -0.51099185 -0.44058611 -0.69422659
 -1.8539081   0.87147351 -0.19539745  0.73895469  0.        ]",[-0.62039651 -0.71217545],[-0.19840293 -0.70348763],[-0.10970242 -0.23168851],-0.0774927002842
33,"[[ -8.46291656  -2.66629141  -0.05068417  -0.07658984]
 [-30.27670927   0.56980626   0.           0.        ]]",-0.508123,"[-1.05326789 -0.45004795 -1.19434032 -0.63360625 -0.44058304 -0.69422058
 -1.97249989  0.46419333 -0.1674953   0.95245791  0.        ]",[-0.78750982  0.00889361],[-0.08797452 -0.63973188],[-0.10970242 -0.23168851],-0.103902464987
34,"[[ -9.0937189   -2.65463625  -0.05068417  -0.07658984]
 [-32.79513023   0.59568464   0.           0.        ]]",-0.569511,"[ -1.56772973e+00  -4.42576291e-01  -4.42561249e-01  -6.68720166e-01
  -4.40579967e-01  -6.94214575e-01  -2.13017348e+00   4.67841080e-01
   1.90233382e-03   1.12170709e+00   0.00000000e+00]",[-0.51464287 -0.71174362],[-0.04101099 -0.61108816],[-0.10970242 -0.23168851],-0.128244788137
35,"[[ -9.76355213  -2.67109473  -0.05068417  -0.07658984]
 [-34.18363297  -2.2320891    0.           0.        ]]",-0.705475,"[-1.56420703 -0.45307106  0.55539262 -0.6190602  -0.44057689 -0.69420857
 -2.21706461  0.06887929  0.25109715  1.12095896  0.        ]",[ 1.41720882 -1.37036501],[-0.03699036 -0.59034824],[-0.10970242 -0.23168851],-0.140437205548
36,"[[-10.40071755  -2.75499969  -0.05068417  -0.07658984]
 [-29.548407    -6.14550593   0.           0.        ]]",-0.715426,"[-1.0372254  -0.50133245  1.30819384 -0.35971875 -0.44057382 -0.69420256
 -1.92669466 -0.48325168  0.40220157  0.90916715  0.        ]",[-0.27212653  0.26808006],[-0.06421418 -0.58177984],[-0.10970242 -0.23168851],-0.130649060499
37,"[[-10.99663192  -2.86602593  -0.05068417  -0.07658984]
 [-30.04134045  -4.96112686   0.           0.        ]]",-0.690973,"[-0.26427028 -0.55127705  1.56892599 -0.0030004  -0.44057075 -0.69419655
 -1.95751271 -0.31614774  0.36213068  0.68461666  0.        ]",[ 0.33086745 -0.64313092],[-0.12265228 -0.59979349],[-0.10970242 -0.23168851],-0.107225204035
38,"[[-11.57835305  -2.98980354  -0.05068417  -0.07658984]
 [-28.13710488  -7.40856765   0.           0.        ]]",-0.674127,"[ 0.49194395 -0.5875944   1.31832626  0.40790959 -0.44056768 -0.69419054
 -1.83820207 -0.661449    0.20979912  0.59854082  0.        ]",[-0.00798761 -0.80141109],[-0.13324191 -0.58425122],[-0.10970242 -0.23168851],-0.0847875452311
39,"[[-12.13582181  -3.05878167  -0.05068417  -0.07658984]
 [-27.61150396  -0.21701476   0.           0.        ]]",-0.70092,"[ 0.98533928 -0.59876558  0.68442287  0.64071801 -0.4405646  -0.69418453
 -1.80523886  0.35320056  0.10586863  0.63523394  0.        ]",[ 0.15251991 -0.17993165],[-0.26673138 -0.65818292],[-0.10970242 -0.23168851],-0.079079658987
40,"[[-12.67650781  -3.04497533  -0.05068417  -0.07658984]
 [-26.4609499    1.06355945   0.           0.        ]]",-0.690059,"[ 1.10262808 -0.59704803 -0.11603531  0.59397162 -0.44056153 -0.69417853
 -1.73314026  0.53387292  0.06599825  0.65587386  0.        ]",[ 1.61854723  0.37598742],[-0.30045748 -0.68293053],[-0.10970242 -0.23168851],-0.0782339581849
41,"[[-13.16074511  -3.00897338  -0.05068417  -0.07658984]
 [-21.97771599   2.53173809   0.           0.        ]]",-0.681279,"[ 0.87485047 -0.59134219 -0.79928224  0.47239878 -0.44055846 -0.69417252
 -1.45233664  0.74101259  0.02919657  0.67555904  0.        ]",[-0.60368221 -0.21826936],[-0.32099336 -0.70230478],[-0.10970242 -0.23168851],-0.0779282464534
42,"[[-13.61991507  -2.96751045  -0.05068417  -0.07658984]
 [-23.93276486   1.61762864   0.           0.        ]]",-0.599109,"[ 0.41501253 -0.58256817 -1.26864244  0.33311774 -0.44055539 -0.69416651
 -1.5747452   0.61203498 -0.00773696  0.71478368  0.        ]",[ 0.06752752 -0.2845398 ],[-0.23406692 -0.66892403],[-0.10970242 -0.23168851],-0.0802348211692
43,"[[-14.09113429  -2.9467786   -0.05068417  -0.07658984]
 [-23.19163301   0.45941917   0.           0.        ]]",-0.526779,"[-0.20242044 -0.57729863 -1.46560113  0.26383965 -0.44055231 -0.6941605
 -1.52830032  0.44861821 -0.01470528  0.78895347  0.        ]",[ 0.24989751 -1.66182774],[-0.15047331 -0.6305173 ],[-0.10970242 -0.23168851],-0.0884277638124
44,"[[-14.54043543  -2.97740444  -0.05068417  -0.07658984]
 [-21.74333034  -3.50879805   0.           0.        ]]",-0.489411,"[-0.80603629 -0.58486531 -1.34541217  0.36626651 -0.44054924 -0.6941545
 -1.43757194 -0.11126585  0.04699023  0.85380818  0.        ]",[ 0.02678494  0.44262332],[-0.03984444 -0.56804281],[-0.10970242 -0.23168851],-0.0988665152986
45,"[[-14.9699189   -3.02074873  -0.05068417  -0.07658984]
 [-21.20677231  -0.54582385   0.           0.        ]]",-0.531772,"[-1.28424165 -0.59338489 -0.9705283   0.51209789 -0.44054617 -0.69414849
 -1.40394485  0.30678731  0.12927606  0.86152862  0.        ]",[ 0.88207158 -0.9325734 ],[ 0.01439341 -0.55129176],[-0.10970242 -0.23168851],-0.10449867909
46,"[[-15.3548015   -3.02023604  -0.05068417  -0.07658984]
 [-17.29453516   0.31101806   0.           0.        ]]",-0.570058,"[-1.55749087 -0.59329444 -0.47415262  0.51036409 -0.4405431  -0.69414248
 -1.15892082  0.42767945  0.17297079  0.85977674  0.        ]",[ 1.34316024 -1.67701385],[ 0.02478622 -0.5540272 ],[-0.10970242 -0.23168851],-0.107233696569
47,"[[-15.65753214  -3.01365078  -0.05068417  -0.07658984]
 [-12.99286735   0.29798933   0.           0.        ]]",-0.596785,"[-1.64067158 -0.59215605 -0.02562745  0.48814879 -0.44054003 -0.69413648
 -0.88951535  0.42583823  0.20470701  0.85030699  0.        ]",[ 0.01100682 -1.20818447],[ 0.00599234 -0.56384659],[-0.10970242 -0.23168851],-0.108537213598
48,"[[-15.91437156  -3.00890733  -0.05068417  -0.07658984]
 [-12.69207726   0.17730268   0.           0.        ]]",-0.631768,"[-1.61316489 -0.59129785  0.36202125  0.47215755 -0.44053695 -0.69413047
 -0.87066911  0.40880715  0.22984929  0.83339822  0.        ]",[-0.53620862  0.10646332],[-0.00645788 -0.56834066],[-0.10970242 -0.23168851],-0.108743003749
49,"[[-16.18699273  -3.00116673  -0.05068417  -0.07658984]
 [-14.56380023   0.59537136   0.           0.        ]]",-0.653058,"[-1.48740182 -0.58983404  0.75060384  0.44608631 -0.44053388 -0.69412446
 -0.98787651  0.46779157  0.25313335  0.81026269  0.        ]",[-0.20175337 -0.88673454],[-0.02826855 -0.57574862],[-0.10970242 -0.23168851],-0.108334113623
