timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
31,"[-1.71912928 -0.36318155  0.62138351  1.08585705 -0.48128223 -0.68617142
  0.21522039 -0.07731985 -0.54726182 -0.00867823  0.        ]",[ 1.1455616   0.04409595],-0.0197953879061,-0.0197953879061,[ 0.0084714  -0.33129093],"[[-3.48575825  2.10202638 -0.05483497 -0.08039717]
 [ 0.92832507  1.57126788  0.          0.        ]]",[-0.40278366 -0.37828088]
32,"[-1.74508298 -0.39929543  0.53901471  1.04103645 -0.48128194 -0.68617093
  0.69625423 -0.05544031 -0.47358308 -0.04550674  0.        ]",[-2.66192592 -0.91163574],-0.0112757320832,-0.0112757320832,[-1.36615133 -0.77970505],"[[-3.42765917  2.13488888 -0.05483497 -0.08039717]
 [ 4.86847191  1.71449548  0.          0.        ]]",[-0.40278366 -0.37828088]
33,"[-1.76590777 -0.39682815  0.45727575  1.04420349 -0.48128165 -0.68617043
  0.20123861 -0.61201644 -0.43393976 -0.08766373  0.        ]",[ -1.51441856e+00  -1.05252805e-03],-0.00669680224475,-0.00669680224475,[-0.13531683  0.1549547 ],"[[-3.37097137  2.13262265 -0.05483497 -0.08039717]
 [ 0.81380652 -1.92896266  0.          0.        ]]",[-0.40278366 -0.37828088]
34,"[-1.75777686 -0.35468331  0.49145497  1.09592503 -0.48128136 -0.68616994
 -0.28399669 -0.60678436 -0.489032   -0.08455735  0.        ]",[ 1.59441221  1.00964777],-0.0125886331931,-0.0125886331931,[ 1.30132115  0.67557919],"[[-3.3945734   2.09438703 -0.05483497 -0.08039717]
 [-3.16074861 -1.89471511  0.          0.        ]]",[-0.40278366 -0.37828088]
35,"[-1.74915495 -0.3571421   0.52438081  1.09302764 -0.48128107 -0.68616944
  0.20687944  0.00377411 -0.50392229 -0.06596429  0.        ]",[-0.46985466 -2.17982576],-0.0142180378272,-0.0142180378272,[-0.18683498 -0.4879013 ],"[[-3.41744681  2.09659418 -0.05483497 -0.08039717]
 [ 0.86000823  2.10211671  0.          0.        ]]",[-0.40278366 -0.37828088]
36,"[-1.74850993 -0.35925403  0.52671758  1.09052699 -0.48128078 -0.68616895
 -0.0222349  -0.60743496 -0.50319112 -0.06409603  0.        ]",[ 0.49636438  0.86497499],-0.0141526502195,-0.0141526502195,[ 0.595819    0.47674602],"[[-3.41907586  2.09849226 -0.05483497 -0.08039717]
 [-1.0166617  -1.89897477  0.          0.        ]]",[-0.40278366 -0.37828088]
37,"[-1.74834057 -0.35564707  0.52731918  1.09478743 -0.48128049 -0.68616845
  0.22007333 -0.07851425 -0.50675071 -0.06476358  0.        ]",[ 0.45742771 -0.62991217],-0.0145298208599,-0.0145298208599,[-0.18997604 -0.3881177 ],"[[-3.41949555  2.09525228 -0.05483497 -0.08039717]
 [ 0.96807894  1.56343775  0.          0.        ]]",[-0.40278366 -0.37828088]
38,"[-1.76213559 -0.36224518  0.47349761  1.08696577 -0.4812802  -0.68616796
  0.43881493 -0.46427612 -0.47299292 -0.09162483  0.        ]",[-0.73431305 -0.89555212],-0.0109137508761,-0.0109137508761,[-0.74686503 -0.15263119],"[[-3.38215713  2.10118422 -0.05483497 -0.08039717]
 [ 2.75978634 -0.96183135  0.          0.        ]]",[-0.40278366 -0.37828088]
39,"[-1.77043057 -0.3006509   0.43647204  1.1559373  -0.48127991 -0.68616746
  0.07730654 -1.00303047 -0.50696239 -0.13002126  0.        ]",[ 0.73287553  1.13189855],-0.0152015882501,-0.0152015882501,[ 0.35207129  1.00547862],"[[-3.35667141  2.04656207 -0.05483497 -0.08039717]
 [-0.20131554 -4.48862031  0.          0.        ]]",[-0.40278366 -0.37828088]
40,"[-1.77771047 -0.24371254  0.39977951  1.21207327 -0.48127961 -0.68616697
  0.43192191 -0.38462112 -0.53550609 -0.16561603  0.        ]",[-1.83183866 -0.25990633],-0.0191741016236,-0.0191741016236,[-0.80078459 -0.05292153],"[[-3.33155421  1.99740684 -0.05483497 -0.08039717]
 [ 2.70332683 -0.44040333  0.          0.        ]]",[-0.40278366 -0.37828088]
41,"[-1.78133264 -0.22130092  0.37951946  1.23227839 -0.48127932 -0.68616647
 -0.05785048 -0.54044861 -0.54299074 -0.18270719  0.        ]",[ 1.36675292  1.47103451],-0.0205359519608,-0.0205359519608,[ 0.60352135  0.58436358],"[[-3.31773849  1.97836396 -0.05483497 -0.08039717]
 [-1.30837786 -1.46047982  0.          0.        ]]",[-0.40278366 -0.37828088]
42,"[-1.784681   -0.23404025  0.3592276   1.22091828 -0.48127903 -0.68616597
  0.42852029  0.06878564 -0.52080242 -0.19078194  0.        ]",[-0.92275133 -1.31158295],-0.0187879719609,-0.0187879719609,[-1.01272726 -0.63487053],"[[-3.30393505  1.98916883 -0.05483497 -0.08039717]
 [ 2.67546413  2.52767389  0.          0.        ]]",[-0.40278366 -0.37828088]
43,"[-1.78829375 -0.24615848  0.33515584  1.20979996 -0.48127874 -0.68616548
 -0.02382535 -0.54368467 -0.49681795 -0.20033701  0.        ]",[-0.94707616  0.39500401],-0.0171517883979,-0.0171517883979,[ 0.38111505  0.48440915],"[[-3.28760047  1.99949529 -0.05483497 -0.08039717]
 [-1.02967622 -1.48166373  0.          0.        ]]",[-0.40278366 -0.37828088]
44,"[-1.77373162 -0.23013555  0.42032611  1.22443207 -0.48127845 -0.68616498
 -0.47902772 -0.30023551 -0.55842219 -0.15702302  0.        ]",[ 2.60312476  1.0766775 ],-0.0212030039924,-0.0212030039924,[ 1.83551729  0.63007033],"[[-3.3456036   1.98585185 -0.05483497 -0.08039717]
 [-4.75821636  0.1119945   0.          0.        ]]",[-0.40278366 -0.37828088]
45,"[-1.7557177  -0.2790706   0.49944332  1.17803462 -0.48127816 -0.68616449
  0.01568271  0.30424141 -0.55942511 -0.0994999   0.        ]",[ 0.72334529 -0.06458676],-0.0202428935093,-0.0202428935093,[ 0.23411515 -0.57784224],"[[-3.40011174  2.02779347 -0.05483497 -0.08039717]
 [-0.70607171  4.06900168  0.          0.        ]]",[-0.40278366 -0.37828088]
46,"[-1.76099812 -0.36735989  0.47813871  1.08081795 -0.48127787 -0.68616399
  0.36696974  0.25283786 -0.47091179 -0.08755389  0.        ]",[-1.89063146 -2.07083385],-0.010657624877,-0.010657624877,[-0.74006915 -0.9282254 ],"[[-3.38536384  2.10579729 -0.05483497 -0.08039717]
 [ 2.17130037  3.73250655  0.          0.        ]]",[-0.40278366 -0.37828088]
47,"[-1.76212869 -0.40482328  0.47338828  1.03385823 -0.48127758 -0.6861635
 -0.12152396 -0.36328848 -0.43515889 -0.07682837  0.        ]",[ 1.60457738 -0.63482146],-0.00677608369186,-0.00677608369186,[ 0.64358103  0.12225831],"[[-3.38208303  2.13998041 -0.05483497 -0.08039717]
 [-1.82992018 -0.30075626  0.          0.        ]]",[-0.40278366 -0.37828088]
48,"[-1.7633128  -0.37068463  0.46834033  1.07679194 -0.48127729 -0.686163
  0.36619349 -0.74639933 -0.46285556 -0.0914769   0.        ]",[-0.25930768 -0.53889092],-0.00982823313639,-0.00982823313639,[-0.4727065   0.25190294],"[[-3.37859963  2.10880267 -0.05483497 -0.08039717]
 [ 2.16494137 -2.80866378  0.          0.        ]]",[-0.40278366 -0.37828088]
49,"[-1.77358967 -0.28366903  0.42094453  1.17340475 -0.481277   -0.68616251
  0.23566527 -1.06385459 -0.51311821 -0.14326299  0.        ]",[-0.44413233  0.7930943 ],-0.0162056680178,-0.0162056680178,[-0.04751507  0.98508942],"[[-3.34602809  2.0317789  -0.05483497 -0.08039717]
 [ 1.09579526 -4.88678263  0.          0.        ]]",[-0.40278366 -0.37828088]
