timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
38,[-7.31068707  0.71892673],"[-0.21627918 -0.14170307 -1.36010953  1.51553728 -0.02262731 -1.19772075
 -1.49299387  0.32235618  0.5825815   0.64452191  0.        ]","[[ -4.55478663e+01   1.89421299e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.06431542e+02   2.56913201e+00   0.00000000e+00   0.00000000e+00]]",-0.129690371786,[-6.76892923  1.13149058],-2.40749,[-0.06765141 -0.60696161]
39,[-4.87686205 -0.36230278],"[-1.38794744 -0.25898085  0.95455432  1.4664239  -0.0226273  -1.19772006
 -1.54140274  0.88629487 -0.85128187  0.71274093  0.        ]","[[ -4.76951138e+01   1.98434652e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.08287551e+02   6.43134274e+00   0.00000000e+00   0.00000000e+00]]",-0.129521734797,[-5.27376867 -0.26154114],-2.07284,[-0.06765141 -0.60696161]
40,[-5.31119013 -1.30608833],"[ 1.05864172 -0.40368468  0.70839277  1.38634747 -0.0226273  -1.19771936
 -1.58886819  0.70980177 -0.10837387  1.80717373  0.        ]","[[ -4.98791256e+01   2.10084379e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.10107395e+02   5.22260837e+00   0.00000000e+00   0.00000000e+00]]",-0.242680521228,[-6.27794669 -0.64031046],-3.95901,[-0.06765141 -0.60696161]
41,[ -7.05417776e+00   5.23298234e-03],"[-0.58321157 -0.49479873 -1.3085166   1.32317276 -0.02262729 -1.19771867
 -1.63535013  0.31797119  0.39403612  0.67958421  0.        ]","[[ -5.20991579e+01   2.17837020e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.11889536e+02   2.53910622e+00   0.00000000e+00   0.00000000e+00]]",-0.111966206891,[-8.59174512 -0.24908585],-2.01336,[-0.06765141 -0.60696161]
42,[-4.09846544 -0.70244509],"[-1.03161041 -0.53990036  1.36205034  1.28769082 -0.02262729 -1.19771798
 -1.68087587  0.16012821 -0.77804589  0.9235564   0.        ]","[[ -5.43544630e+01   2.21830639e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.13635021e+02   1.45809855e+00   0.00000000e+00   0.00000000e+00]]",-0.144406382731,[-3.07895343 -0.55194561],-3.97019,[-0.06765141 -0.60696161]
43,[-5.41210985 -1.2470876 ],"[  1.15434592e+00  -5.47110452e-01  -1.22217705e-03   1.28173592e+00
  -2.26272802e-02  -1.19771729e+00  -1.72546544e+00  -1.69768653e-01
   1.41556758e-01   1.66355036e+00   0.00000000e+00]","[[ -5.66443193e+01   2.22480155e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.15344619e+02  -8.01242334e-01   0.00000000e+00   0.00000000e+00]]",-0.225901817072,[-4.97030837 -0.60471763],-4.89768,[-0.06765141 -0.60696161]
44,[-6.05262804  0.9133988 ],"[-1.26209612 -0.50174314 -0.85093154  1.31789906 -0.02262727 -1.19771659
 -1.76912191 -0.52392628  0.07672187  0.45743702  0.        ]","[[ -5.89680093e+01   2.18444556e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.17018447e+02  -3.22673639e+00   0.00000000e+00   0.00000000e+00]]",-0.0575017895782,[-6.15820743  2.05620804],-1.69164,[-0.06765141 -0.60696161]
45,[-4.05852461 -0.74486357],"[-0.13528098 -0.4733703   1.64160515  1.33900988 -0.02262727 -1.1977159
 -1.81193747  0.05629324 -0.76362019  1.39477476  0.        ]","[[ -6.13248432e+01   2.15978405e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.18660040e+02   7.46969204e-01   0.00000000e+00   0.00000000e+00]]",-0.202041856769,[-5.30219538 -1.83989024],-4.06442,[-0.06765141 -0.60696161]
46,[-6.51164865 -0.30188137],"[ 0.65592775 -0.44359598 -1.01792291  1.35999341 -0.02262726 -1.19771521
 -1.85389237 -0.53155117  0.53646964  1.27509829  0.        ]","[[ -6.37141896e+01   2.13433379e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.20268641e+02  -3.27895644e+00   0.00000000e+00   0.00000000e+00]]",-0.193217314982,[-7.50211069 -0.38532134],-3.80099,[-0.06765141 -0.60696161]
47,[-4.80356741  0.89819407],"[-1.58959572 -0.34598934  0.38446324  1.42104682 -0.02262726 -1.19771451
 -1.89495074 -0.75285449 -0.59102079  0.4810952   0.        ]","[[ -6.61353601e+01   2.05355460e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.21842875e+02  -4.79458105e+00   0.00000000e+00   0.00000000e+00]]",-0.0792310926194,[-6.3817388   1.85038722],-1.00402,[-0.06765141 -0.60696161]
48,[-4.88509846 -0.56620294],"[ 0.97263649 -0.27606651  0.89831343  1.45813394 -0.02262725 -1.19771382
 -1.93523296 -0.16939165 -0.16881932  1.87102379  0.        ]","[[ -6.85877075e+01   1.99776043e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.23387357e+02  -7.98665556e-01   0.00000000e+00   0.00000000e+00]]",-0.251852303129,[-3.90869652 -0.66553778],-5.2009,[-0.06765141 -0.60696161]
49,[-6.67832565  1.89032352],"[-0.74311882 -0.22111526 -1.25025764  1.48371978 -0.02262725 -1.19771313
 -1.97471726 -0.5607938   0.35867262  0.45017625  0.        ]","[[ -7.10706488e+01   1.95489654e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.24901253e+02  -3.47923104e+00   0.00000000e+00   0.00000000e+00]]",-0.0873119450682,[-7.53312276  2.26112786],-1.15004,[-0.06765141 -0.60696161]
