timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
26,"[[ -2.27163784e+01  -3.01044284e+00  -1.40675234e-01  -1.14186581e-01]
 [ -8.04209509e+01   6.12478431e-02   0.00000000e+00   0.00000000e+00]]",-2.29258,[-0.3667199  -0.34126404],"[-1.19421808 -0.48341994  1.00383983  0.37081175 -1.21008124 -0.98973618
 -1.40624514  0.39701669  1.03879667  1.067054    0.        ]",[-2.0239594 -0.5662989],[-1.68651298 -0.24575852],-0.19692174285
27,"[[-24.34854854  -3.00748437  -0.14067523  -0.11418658]
 [-82.78817331   0.17350065   0.           0.        ]]",-2.26721,[-0.3667199  -0.34126404],"[ 0.81759339 -0.4828252   1.06701296  0.35916812 -1.21008047 -0.98973568
 -1.44992604  0.41237519  0.94369875  0.88549666  0.        ]",[-1.94639003 -0.55884397],[-1.86474773  0.20298175],-0.174414217766
28,"[[-26.02759232  -2.99594445  -0.14067523  -0.11418658]
 [-85.10845748   0.97790916   0.           0.        ]]",-2.35914,[-0.3667199  -0.34126404],"[ 0.70386715 -0.48037982 -1.11942102  0.31379619 -1.2100797  -0.98973517
 -1.49274069  0.52243563  0.77368553  1.00101903  0.        ]",[-2.22006083 -0.65466052],[-2.98679116 -1.49263204],-0.165514163867
29,"[[-27.7525832   -3.00625855  -0.14067523  -0.11418658]
 [-87.38304164  -0.99912266   0.           0.        ]]",-2.3629,[-0.3667199  -0.34126404],"[-1.35805936 -0.48257466 -0.70501757  0.3543449  -1.21007893 -0.98973467
 -1.53471196  0.25193448  0.91083434  1.18078392  0.        ]",[-2.28479004 -0.57934678],[-1.57883161 -0.31744819],-0.192979994632
30,"[[-29.52261237  -3.01225729  -0.14067523  -0.11418658]
 [-89.61244111   0.08996974   0.           0.        ]]",-2.2458,[-0.3667199  -0.34126404],"[-0.59827279 -0.48377747  1.42326675  0.37795467 -1.21007816 -0.98973416
 -1.57584933  0.40094599  1.03873459  0.9921947   0.        ]",[-1.91768289 -0.50418812],[-1.75860526 -0.96082124],-0.191694744164
31,"[[-31.33678665  -3.00936527  -0.14067523  -0.11418658]
 [-91.79770591   0.1544067    0.           0.        ]]",-2.34727,[-0.3667199  -0.34126404],"[ 1.21670973 -0.48320413  0.14441342  0.36656979 -1.2100774  -0.98973366
 -1.61617218  0.40976226  0.85192382  0.89906717  0.        ]",[-2.09462476 -0.60566604],[-2.28851722 -0.50749754],-0.165661196009
32,"[[-33.1942322   -3.00628703  -0.14067523  -0.11418658]
 [-93.93971183   0.13474008   0.           0.        ]]",-2.3074,[-0.3667199  -0.34126404],"[-0.44502593 -0.48258004 -1.41131071  0.3544566  -1.21007663 -0.98973315
 -1.65569668  0.40707131  0.81482088  1.12733989  0.        ]",[-2.36536026 -0.61038047],[-2.46460237  0.22683648],-0.179650660464
33,"[[-35.09409169  -2.99455471  -0.14067523  -0.11418658]
 [-96.03922142   1.03560681   0.           0.        ]]",-2.34415,[-0.3667199  -0.34126404],"[-1.34772263 -0.48007106  0.78008108  0.30833662 -1.21007586 -0.98973265
 -1.69443689  0.53032946  1.03507762  1.1061139   0.        ]",[-2.11063409 -0.59108925],[-1.28118144 -0.41078514],-0.199370712398
34,"[[-37.03552533  -2.99030751  -0.14067523  -0.11418658]
 [-98.09731852  -0.60534444   0.           0.        ]]",-2.29421,[-0.3667199  -0.34126404],"[ 0.92787427 -0.47911165  0.93417125  0.29166012 -1.21007509 -0.98973214
 -1.73241281  0.30581121  0.93847753  0.87134005  0.        ]",[-1.94201434 -0.49323815],[-1.87386526 -0.18868867],-0.172921839339
35,"[[ -39.01771315   -3.00575612   -0.14067523   -0.11418658]
 [-100.11471437   -0.38743344    0.            0.        ]]",-2.38997,[-0.3667199  -0.34126404],"[ 0.18429817 -0.48247053 -1.39633597  0.35236769 -1.21007432 -0.98973164
 -1.76963755  0.33562613  0.78077603  1.06789827  0.        ]",[-2.22596979 -0.49324441],[-2.38758133 -0.85315973],-0.171588505353
36,"[[ -4.10398471e+01  -3.00797257e+00  -1.40675234e-01  -1.14186581e-01]
 [ -1.02092083e+02   4.24682392e-02   0.00000000e+00   0.00000000e+00]]",-2.31135,[-0.3667199  -0.34126404],"[-1.51456094 -0.48292285  0.31912559  0.36108837 -1.21007355 -0.98973113
 -1.80612356  0.39444603  1.0035657   1.13325704  0.        ]",[-2.13552904 -0.50781465],[-1.73860804 -0.01958139],-0.19822835367
37,"[[ -43.1011354    -3.0055663    -0.14067523   -0.11418658]
 [-104.03029331    0.14482741    0.            0.        ]]",-2.21899,[-0.3667199  -0.34126404],"[ 0.71853965 -0.48243113  1.16295755  0.35162076 -1.21007279 -0.98973063
 -1.84188688  0.4084509   0.95750461  0.88848182  0.        ]",[-1.9296174  -0.46563607],[-3.42541211 -0.08228452],-0.176094350967
38,"[[ -4.52008030e+01  -3.00311430e+00  -1.40675234e-01  -1.14186581e-01]
 [ -1.05930140e+02   9.63047035e-02   0.00000000e+00   0.00000000e+00]]",-2.32403,[-0.3667199  -0.34126404],"[ 0.31625218 -0.48192111 -1.35252668  0.34197646 -1.21007202 -0.98973012
 -1.87694214  0.4018118   0.77866205  1.05384507  0.        ]",[-2.22275662 -0.49091995],[-2.03974705  0.80494992],-0.170241062394
39,"[[ -47.33808738   -2.96915813   -0.14067523   -0.11418658]
 [-107.79200743    3.28899669    0.            0.        ]]",-2.25446,[-0.3667199  -0.34126404],"[-1.51029303 -0.47393104  0.3407998   0.20878428 -1.21007125 -0.98972962
 -1.91129646  0.8386423   1.00704811  1.16791895  0.        ]",[-2.2870841  -0.73262286],[-2.63973082  0.56814585],-0.201218735304
40,"[[ -49.51223386   -2.88136047   -0.14067523   -0.11418658]
 [-109.6164275     5.48425564    0.            0.        ]]",-2.31303,[-0.3667199  -0.34126404],"[ 0.84731204 -0.44529834  1.03429532 -0.13158504 -1.21007048 -0.98972912
 -1.94495965  1.13900162  1.02698207  0.81637032  0.        ]",[-2.12171888 -0.86177063],[-2.32512122 -1.10905183],-0.179233854106
41,"[[ -51.72250509   -2.81234215   -0.14067523   -0.11418658]
 [-111.40487707    1.43175558    0.            0.        ]]",-2.15844,[-0.3667199  -0.34126404],"[-0.00358076 -0.41483336 -1.43335725 -0.39375573 -1.21006971 -0.98972861
 -1.97795895  0.58452979  0.63583469  1.02738002  0.        ]",[-2.22277617 -0.81401545],[-2.82368483 -0.69955572],-0.155057007368
42,"[[ -53.96819879   -2.81160503   -0.14067523   -0.11418658]
 [-113.15879586   -1.34867715    0.            0.        ]]",-2.42029,[-0.3667199  -0.34126404],"[-1.33002827 -0.41447062  0.81089012 -0.39652481 -1.21006894 -0.98972811
 -2.01032092  0.20410499  1.08609626  1.26382831  0.        ]",[-2.16557097 -0.76124275],[-3.14895528  0.08239782],-0.216374854328
43,"[[ -5.62486269e+01  -2.83486004e+00  -1.40675234e-01  -1.14186581e-01]
 [ -1.14878261e+02  -9.78178694e-01   0.00000000e+00   0.00000000e+00]]",-2.29861,[-0.3667199  -0.34126404],"[ 1.15931756 -0.42553292  0.46288537 -0.30883149 -1.21006818 -0.9897276
 -2.04204701  0.25479733  0.95274205  0.74696916  0.        ]",[-1.92223132 -0.58997285],[-2.36819558 -0.01354219],-0.166836377884
44,"[[ -5.85631020e+01  -2.85459662e+00  -1.40675234e-01  -1.14186581e-01]
 [ -1.16563635e+02  -9.95522285e-01   0.00000000e+00   0.00000000e+00]]",-2.3376,[-0.3667199  -0.34126404],"[-0.75337071 -0.43430707 -1.30047029 -0.23389547 -1.21006741 -0.9897271
 -2.07314389  0.25242427  0.71349401  1.18203262  0.        ]",[-2.32709193 -0.73385322],[-1.75519439 -1.32737602],-0.175403669867
45,"[[ -6.09109548e+01  -2.91387661e+00  -1.40675234e-01  -1.14186581e-01]
 [ -1.18216290e+02  -4.91990203e+00   0.00000000e+00   0.00000000e+00]]",-2.27714,[-0.3667199  -0.34126404],"[-0.6342419  -0.45723465  1.40987607 -0.00630654 -1.21006664 -0.98972659
 -2.10363687 -0.28451806  1.11219814  1.0423025   0.        ]",[-1.86174989 -0.35363358],[-3.12343015  0.27680976],-0.202878815566
46,"[[ -6.32915336e+01  -3.00018114e+00  -1.40675234e-01  -1.14186581e-01]
 [ -1.19836070e+02  -3.21536936e+00   0.00000000e+00   0.00000000e+00]]",-2.38766,[-0.3667199  -0.34126404],"[ 1.07763269 -0.48129826 -0.62450065  0.33044521 -1.21006587 -0.98972609
 -2.13352307 -0.05130002  0.79785532  0.94315414  0.        ]",[-2.09809947 -0.34394178],[-2.00058914 -0.59649926],-0.163392137211
47,"[[ -6.57041782e+01  -3.02460480e+00  -1.40675234e-01  -1.14186581e-01]
 [ -1.21423059e+02  -4.41768148e-02   0.00000000e+00   0.00000000e+00]]",-2.21953,[-0.3667199  -0.34126404],"[-1.49208314 -0.48608043 -0.36319931  0.42660974 -1.2100651  -0.98972558
 -2.16280407  0.38258973  0.95573348  1.1513239   0.        ]",[-2.24501872 -0.42988557],[-3.07316059  0.23119596],-0.194922419235
48,"[[ -6.81482459e+01  -3.01550559e+00  -1.40675234e-01  -1.14186581e-01]
 [ -1.22978504e+02   9.15128582e-01   0.00000000e+00   0.00000000e+00]]",-2.26259,[-0.3667199  -0.34126404],"[ 0.62416977 -0.48440368  1.23884515  0.39074741 -1.21006433 -0.98972508
 -2.19150285  0.51384397  0.96073153  0.8973343   0.        ]",[-1.9395777  -0.41027701],[-1.53459448  0.26347592],-0.177025222608
49,"[[ -7.06231120e+01  -2.98682958e+00  -1.40675234e-01  -1.14186581e-01]
 [ -1.24502997e+02   1.94938121e+00   0.00000000e+00   0.00000000e+00]]",-2.32879,[-0.3667199  -0.34126404],"[-0.07382235 -0.47830385 -1.43997482  0.27801243 -1.21006357 -0.98972457
 -2.21963034  0.65535261  0.77765972  1.09140334  0.        ]",[-2.33842397 -0.55891436],[-2.97367786 -0.78051512],-0.173244357394
