timestep,logstd_action_dist,original_rewards,rewards,obs,avg_action_dist,actions,human_obs
26,[-0.29179877 -0.31319767],-0.213688104099,-1.32431,"[-1.49897783 -0.86468275  0.29719808 -0.20020157 -0.53426797  1.62544452
 -0.75241269 -0.56778392  0.29317738 -1.37871722  0.        ]",[-1.86581588  0.67688954],[-1.15330769  1.12591951],"[[ -2.21223107e+01   2.98377940e+00  -6.17390861e-02   1.84300120e-01]
 [ -7.77188959e+01  -1.93792601e+00   0.00000000e+00   0.00000000e+00]]"
27,[-0.29179877 -0.31319767],-0.195412302479,-1.72484,"[ 0.05935124 -0.8649323   1.56453548 -0.20309825 -0.53426656  1.62543237
 -0.82246615  0.01668784  0.12934576 -1.29139237  0.        ]",[-1.92559075  0.51588821],[-1.89037367  0.24083601],"[[ -2.37009742e+01   2.98508884e+00  -6.17390861e-02   1.84300120e-01]
 [ -8.01394613e+01   2.05552205e+00   0.00000000e+00   0.00000000e+00]]"
28,[-0.29179877 -0.31319767],-0.178333846012,-0.812245,"[ 1.22120454 -0.87078987 -0.18108735 -0.2790013  -0.53426515  1.62542023
 -0.89114391 -0.21093413  0.20771673 -1.13990279  0.        ]",[-1.85265815  0.67506355],[-2.70355491  0.12211266],"[[ -2.53275730e+01   3.01930643e+00  -6.17390861e-02   1.84300120e-01]
 [ -8.25125076e+01   5.00277703e-01   0.00000000e+00   0.00000000e+00]]"
29,[-0.29179877 -0.31319767],-0.195452889003,-0.124485,"[-0.53617248 -0.87058648 -1.30521896 -0.27605613 -0.53426374  1.62540809
 -0.95845576 -0.33451727  0.35546721 -1.21183067  0.        ]",[-1.79814684  0.67490053],[-2.06770294 -0.15484633],"[[ -2.70011596e+01   3.01798196e+00  -6.17390861e-02   1.84300120e-01]
 [ -8.48383754e+01  -3.44115344e-01   0.00000000e+00   0.00000000e+00]]"
30,[-0.29179877 -0.31319767],-0.211407824822,-1.35244,"[-1.37564352 -0.86850292  0.7409829  -0.24716497 -0.53426233  1.62539595
 -1.02443249 -0.42387418  0.26191164 -1.37232909  0.        ]",[-1.86468315  0.60666406],[-1.61565699  0.65240855],"[[ -2.87208007e+01   3.00497495e+00  -6.17390861e-02   1.84300120e-01]
 [ -8.71181309e+01  -9.54656700e-01   0.00000000e+00   0.00000000e+00]]"
31,[-0.29179877 -0.31319767],-0.187751195247,-1.9319,"[ 0.6923098  -0.86781025  1.28657023 -0.23818475 -0.53426092  1.6253838
 -1.08910113 -0.22127815  0.13413465 -1.23321377  0.        ]",[-1.91433692  0.6585865 ],[-1.37771076  0.32983201],"[[ -3.04855833e+01   3.00092752e+00  -6.17390861e-02   1.84300120e-01]
 [ -8.93527098e+01   4.29582451e-01   0.00000000e+00   0.00000000e+00]]"
32,[-0.29179877 -0.31319767],-0.180900496905,-0.574178,"[ 0.74830077 -0.86836271 -1.03078607 -0.24539839 -0.53425951  1.62537166
 -1.1524922  -0.28301873  0.29026864 -1.12714976  0.        ]",[-1.80463243  0.69284278],[-1.98593709  1.00997985],"[[ -3.22946152e+01   3.00417935e+00  -6.17390861e-02   1.84300120e-01]
 [ -9.15431687e+01   7.73496226e-03   0.00000000e+00   0.00000000e+00]]"
33,[-0.29179877 -0.31319767],-0.208845546299,-0.871922,"[-1.39625211 -0.86836086 -0.4840226  -0.24541465 -0.5342581   1.62535952
 -1.21462652 -0.28464545  0.34626671 -1.32059073  0.        ]",[-1.80882716  0.59623498],[-0.69048692  0.44785341],"[[ -3.41470208e+01   3.00418691e+00  -6.17390861e-02   1.84300120e-01]
 [ -9.36902293e+01  -3.38396199e-03   0.00000000e+00   0.00000000e+00]]"
34,[-0.29179877 -0.31319767],-0.200425707953,-1.71809,"[-0.26760986 -0.86824577  1.57158591 -0.24394623 -0.5342567   1.62534738
 -1.24006312 -0.29058977  0.15611701 -1.32176601  0.        ]",[-1.9062711   0.60184109],[-1.8289174  -0.85077453],"[[ -3.60296457e+01   3.00352538e+00  -6.17390861e-02   1.84300120e-01]
 [ -9.45693312e+01  -4.40028594e-02   0.00000000e+00   0.00000000e+00]]"
35,[-0.29179877 -0.31319767],-0.173947300209,-1.22785,"[ 1.20683036 -0.86161543 -0.25020886 -0.1670916  -0.53425529  1.62533524
 -1.30046003 -0.78438419  0.22713369 -1.09920057  0.        ]",[-1.86166835  0.94223022],[-2.08195416  1.01786696],"[[ -3.79419734e+01   2.96879706e+00  -6.17390861e-02   1.84300120e-01]
 [ -9.66564003e+01  -3.41785755e+00   0.00000000e+00   0.00000000e+00]]"
