timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
35,"[[ 1.27133101 -2.49135469  0.05057009  0.10039584]
 [ 2.10044055  4.73986212  0.          0.        ]]",[-0.08807546 -0.58095264],-0.109434875189,[-0.65157719  0.22873078],-1.08082,"[-0.16669158 -0.58369517  1.53553825 -0.77528302  0.42326202  0.86906281
  0.79556702  1.04828804 -0.35842022 -0.80361952  0.        ]",[-0.50659674 -0.36170787]
36,"[[ 1.28704024 -2.38841186  0.05057009  0.10039584]
 [-0.52076621  5.55172006  0.          0.        ]]",[ 0.23314163 -0.61968887],-0.106039661644,[ 0.24811558 -1.08180721],-1.06369,"[-0.18898141 -0.50216557  1.54287979 -1.00160052  0.42326176  0.86906202
  0.71568659  1.16952095 -0.25661338 -0.74985176  0.        ]",[-0.50659674 -0.36170787]
37,"[[ 1.28658371 -2.31820826  0.05057009  0.10039584]
 [ 0.47181982  1.482201    0.          0.        ]]",[ 0.06775382 -0.20822735],-0.104471435355,[ 0.12939302 -0.41866999],-1.06354,"[-0.18833206 -0.44107093  1.54266906 -1.14411699  0.4232615   0.86906122
  0.74593451  0.56182138 -0.19079615 -0.71472435  0.        ]",[-0.50659674 -0.36170787]
38,"[[ 1.30106617 -2.30549163  0.05057009  0.10039584]
 [ 0.97475305 -0.20491493  0.          0.        ]]",[-0.05306676 -0.03107734],-0.103000619443,[-0.02572832 -0.32056053],-1.05851,"[-0.20896936 -0.42955524  1.54910612 -1.16883765  0.42326124  0.86906042
  0.76126051  0.30988496 -0.17957984 -0.69602186  0.        ]",[-0.50659674 -0.36170787]
39,"[[ 1.31934608 -2.32228434  0.05057009  0.10039584]
 [ 0.85364084 -1.47013978  0.          0.        ]]",[-0.06715719  0.132126  ],-0.10192897196,[-0.86129902 -0.09425597],-1.05746,"[-0.23513566 -0.44473298  1.55676223 -1.1361175   0.42326098  0.86905963
  0.75756906  0.12094936 -0.19543121 -0.69070524  0.        ]",[-0.50659674 -0.36170787]
40,"[[ 1.30203883 -2.35513892  0.05057009  0.10039584]
 [-2.57296121 -1.81417211  0.          0.        ]]",[ 0.50035703  0.30167744],-0.104113473928,[ 0.84800667  0.31282503],-1.05087,"[-0.21035816 -0.47374085  1.54952133 -1.07039524  0.42326072  0.86905883
  0.65314462  0.06957509 -0.22514112 -0.72203145  0.        ]",[-0.50659674 -0.36170787]
41,"[[ 1.28477306 -2.37863463  0.05057009  0.10039584]
 [ 0.83503961 -0.53964678  0.          0.        ]]",[ 0.04812328  0.05472037],-0.105988346237,[ 0.24818037 -0.00841506],-1.06347,"[-0.18575743 -0.49391339  1.5418299  -1.02204065  0.42326046  0.86905803
  0.75700112  0.25989951 -0.24733943 -0.74689436  0.        ]",[-0.50659674 -0.36170787]
42,"[[ 1.31116583 -2.38965478  0.05057009  0.10039584]
 [ 1.80102    -0.56229098  0.          0.        ]]",[-0.14927317  0.03445101],-0.104266567631,[-1.29632282 -0.57511379],-1.05564,"[-0.22341013 -0.50320665  1.55339155 -0.99898033  0.4232602   0.86905724
  0.78643823  0.25651791 -0.25750924 -0.73262813  0.        ]",[-0.50659674 -0.36170787]
43,"[[ 1.30710833 -2.42363642  0.05057009  0.10039584]
 [-2.1934795  -2.82832398  0.          0.        ]]",[ 0.39714909  0.37375316],-0.105408303594,[ 0.55706339  0.54318736],-1.05164,"[-0.21760355 -0.53117364  1.55168195 -0.92638234  0.42325994  0.86905644
  0.66470731 -0.08186855 -0.2899356  -0.75174443  0.        ]",[-0.50659674 -0.36170787]
44,"[[ 1.28580099 -2.45806149  0.05057009  0.10039584]
 [ 0.05526752 -0.62153835  0.          0.        ]]",[ 0.16263154  0.1069704 ],-0.107726823384,[-0.54806997 -0.52617883],-1.07011,"[-0.18721826 -0.55841704  1.54229246 -0.85060707  0.42325968  0.86905565
  0.73323621  0.24767058 -0.3243151  -0.78137104  0.        ]",[-0.50659674 -0.36170787]
45,"[[ 1.26512529 -2.49127268  0.05057009  0.10039584]
 [-2.11561613 -2.69267715  0.          0.        ]]",[ 0.43267304  0.34516504],-0.10983711097,[ 0.30232435  0.9161875 ],-1.07286,"[-0.15791437 -0.58363133  1.53250397 -0.77546034  0.42325942  0.86905485
  0.66707905 -0.06161266 -0.35879675 -0.80754119  0.        ]",[-0.50659674 -0.36170787]
46,"[[ 1.23524184 -2.50819309  0.05057009  0.10039584]
 [-0.87684636  0.98836667  0.          0.        ]]",[ 0.40676969 -0.04737382],-0.112090643544,[ 0.84340323  0.04575543],-1.08149,"[-0.1159003  -0.5960647   1.51718719 -0.73642964  0.42325916  0.86905405
  0.70482943  0.4880778  -0.37876408 -0.8319724   0.        ]",[-0.50659674 -0.36170787]
47,"[[ 1.25138033 -2.48680422  0.05057009  0.10039584]
 [ 2.47950486  1.1499828   0.          0.        ]]",[-0.11252512 -0.1717477 ],-0.110645677938,[-0.47758228 -0.04128399],-1.08279,"[-0.13853809 -0.58030007  1.5256261  -0.78568357  0.4232589   0.86905326
  0.80711201  0.51221163 -0.35544059 -0.81481366  0.        ]",[-0.50659674 -0.36170787]
48,"[[ 1.28150763 -2.46567301  0.05057009  0.10039584]
 [ 0.53969294  0.96375637  0.          0.        ]]",[ 0.10927971 -0.09031448],-0.108190752957,[-0.93769684 -0.07600161],-1.07286,"[-0.18111794 -0.56428797  1.54030447 -0.83355629  0.42325864  0.86905246
  0.74799651  0.48440207 -0.33207265 -0.78727349  0.        ]",[-0.50659674 -0.36170787]
49,"[[ 1.25494793 -2.44960856  0.05057009  0.10039584]
 [-3.18325163  0.64376154  0.          0.        ]]",[ 0.70588565  0.0499523 ],-0.109661168223,[ 0.72520023  0.25764819],-1.06913,"[-0.14355882 -0.55182864  1.52743265 -0.86941294  0.42325838  0.86905166
  0.63454095  0.43661688 -0.31782314 -0.79888041  0.        ]",[-0.50659674 -0.36170787]
