timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
37,-0.0174708913286,[-0.74908318 -0.03101812],-0.0174708913286,[-0.09095047 -0.58837008],"[[-0.08281693 -0.94577008  0.15351645 -0.08526842]
 [ 1.39899935  1.09034903  0.          0.        ]]","[ 1.05516232  1.00482365 -0.13104285 -0.88698863  1.33140429 -0.73805957
  0.15925707  0.50275732 -0.37450348 -0.05019601  0.        ]",[-0.64679378 -0.5774653 ]
38,-0.0170065021149,[ 1.17339309  0.01492556],-0.0170065021149,[ 0.75966394 -0.32005802],"[[-0.08485103 -0.92540294  0.15351645 -0.08526842]
 [-1.59244015  0.94684285  0.          0.        ]]","[ 1.05490667  1.02607696 -0.13400771 -0.855186    1.33140208 -0.73805889
 -0.22821353  0.47977913 -0.35795278 -0.04004734  0.        ]",[-0.64679378 -0.5774653 ]
39,-0.0156745702815,[-0.74579675  0.02888428],-0.0156745702815,[-0.45673817 -0.75197685],"[[-0.07668661 -0.90607332  0.15351645 -0.08526842]
 [ 2.39559216  0.98599245  0.          0.        ]]","[ 1.05588889  1.04594844 -0.12210405 -0.82419668  1.33139988 -0.73805821
  0.28834252  0.4860473  -0.33266924 -0.01101753  0.        ]",[-0.64679378 -0.5774653 ]
40,-0.0145361957595,[-0.18870847 -0.73462119],-0.0145361957595,[ 0.28849235 -0.56721556],"[[-0.05885659 -0.8853925   0.15351645 -0.08526842]
 [-0.60259804  1.08176601  0.          0.        ]]","[ 1.05769042  1.06687798 -0.09608319 -0.79018461  1.33139767 -0.73805753
 -0.100003    0.50138196 -0.29766741  0.03871798  0.        ]",[-0.64679378 -0.5774653 ]
41,-0.0157058300774,[ 0.19938986  0.34124737],-0.0157058300774,[ 0.86989254  0.27076945],"[[-0.07827098 -0.89315466  0.15351645 -0.08526842]
 [-1.33640665 -1.84821777  0.          0.        ]]","[ 1.0557031   1.05906127 -0.12441452 -0.80305227  1.33139546 -0.73805685
 -0.19505071  0.03223995 -0.32271636 -0.00458318  0.        ]",[-0.64679378 -0.5774653 ]
42,-0.018226818299,[-0.20132472  0.3048457 ],-0.018226818299,[ 0.62093461 -0.07084699],"[[-0.0968231  -0.91619733  0.15351645 -0.08526842]
 [-0.52151126 -0.46067329  0.          0.        ]]","[ 1.05327976  1.03557274 -0.15144741 -0.84052197  1.33139325 -0.73805617
 -0.08949986  0.25441022 -0.36153548 -0.05610862  0.        ]",[-0.64679378 -0.5774653 ]
43,-0.0205955177417,[ 0.6327024  -0.45875413],-0.0205955177417,[ 0.79915053 -0.28176633],"[[-0.11514556 -0.91320601  0.15351645 -0.08526842]
 [-1.3081127   0.75575168  0.          0.        ]]","[ 1.05038437  1.03864443 -0.17809791 -0.83571901  1.33139105 -0.73805548
 -0.19138578  0.44918118 -0.37738048 -0.0881043   0.        ]",[-0.64679378 -0.5774653 ]
44,-0.0208560064539,[-0.51292297 -0.80481928],-0.0208560064539,[ 0.2629897  -0.04859765],"[[-0.11592606 -0.91647413  0.15351645 -0.08526842]
 [ 1.22163671 -1.07645455  0.          0.        ]]","[ 1.05024871  1.03528546 -0.17923188 -0.84096367  1.33138884 -0.7380548
  0.13628491  0.15581213 -0.381181   -0.09175199  0.        ]",[-0.64679378 -0.5774653 ]
45,-0.0231584099019,[ 2.35400148 -0.24119898],-0.0231584099019,[ 1.18489301  1.01832104],"[[-0.11208807 -0.96975689  0.15351645 -0.08526842]
 [-0.83103207 -4.24127942  0.          0.        ]]","[ 1.05089931  0.97937861 -0.17365415 -0.92329929  1.33138663 -0.73805412
 -0.12959113 -0.35093294 -0.42675603 -0.11883839  0.        ]",[-0.64679378 -0.5774653 ]
46,-0.0258029399958,[-0.33616835  1.71214812],-0.0258029399958,[-0.04156256  0.91959667],"[[-0.08884338 -1.0633338   0.15351645 -0.08526842]
 [ 3.142307   -5.11348341  0.          0.        ]]","[ 1.05437897  0.87625794 -0.1398248  -1.05285757  1.33138442 -0.73805344
  0.38506377 -0.49058817 -0.49207992 -0.131652    0.        ]",[-0.64679378 -0.5774653 ]
47,-0.0222427123576,[ 0.22684936  0.25757053],-0.0222427123576,[ 0.06623455  0.27305993],"[[-0.03997765 -1.1248558   0.15351645 -0.08526842]
 [ 1.74891018 -1.05226086  0.          0.        ]]","[ 1.05907354  0.80539928 -0.06850105 -1.12713301  1.33138222 -0.73805276
  0.20458087  0.15968704 -0.50141461 -0.08050036  0.        ]",[-0.64679378 -0.5774653 ]
48,-0.015491649079,[ 0.52176422 -0.66799123],-0.015491649079,[-0.45361263 -0.10771614],"[[ 0.00365672 -1.13546141  0.15351645 -0.08526842]
 [ 2.61165427 -0.01176344  0.          0.        ]]","[ 1.06025524  0.79296212 -0.0046898  -1.13903535  1.33138001 -0.73805207
  0.31632954  0.3262894  -0.46844318 -0.01122565  0.        ]",[-0.64679378 -0.5774653 ]
49,-0.00514280777637,[-1.41852409 -0.14404419],-0.00514280777637,[-1.19541538  0.33218327],"[[ 0.07609288 -1.16223705  0.15351645 -0.08526842]
 [ 4.62526585 -2.65697207  0.          0.        ]]","[ 1.05594322  0.76129317  0.10115991 -1.16789004  1.3313778  -0.73805139
  0.57714681 -0.09725683 -0.42754846  0.10094311  0.        ]",[-0.64679378 -0.5774653 ]
