timestep,human_obs,original_rewards,obs,logstd_action_dist,rewards,actions,avg_action_dist
21,"[[  1.08976886e+01  -3.00396738e+00  -7.21625665e-02   2.42991062e-02]
 [  4.90678880e+01  -6.17797128e-04   0.00000000e+00   0.00000000e+00]]",-0.0596629288055,"[-0.32416952 -0.51506667 -1.51411713  0.23573998 -0.63663699  0.20326773
  1.03506922  0.36603109  0.22499221 -0.10718464  0.        ]",[-0.40977105  0.02585847],0.169572,[ 1.60846644 -4.68322401],[ 0.82077003 -3.07480383]
22,"[[  1.19090251e+01  -3.00397994e+00  -7.21625665e-02   2.42991062e-02]
 [  5.20558077e+01  -5.54732035e-04   0.00000000e+00   0.00000000e+00]]",-0.0637645436635,"[ 0.90126655 -0.51506853 -0.94376912  0.23578504 -0.63663614  0.20326753
  1.10711118  0.36603898  0.20909912 -0.25304055  0.        ]",[-0.40977105  0.02585847],-0.146048,[ 0.36087213 -2.31763603],[ 0.55646348 -2.89340925]
23,"[[  1.29541373e+01  -3.00398870e+00  -7.21625665e-02   2.42991062e-02]
 [  5.24540849e+01  -3.25335608e-04   0.00000000e+00   0.00000000e+00]]",-0.0810899701605,"[ 1.08609536 -0.51506964  0.52462942  0.23581641 -0.63663529  0.20326733
  1.116712    0.36606871  0.30960825 -0.34720452  0.        ]",[-0.40977105  0.02585847],-0.187071,[ 1.01097861 -2.71043529],[ 0.59149653 -2.71415925]
24,"[[  1.40325252e+01  -3.00399341e+00  -7.21625665e-02   2.42991062e-02]
 [  5.53749700e+01  -1.59759625e-04   0.00000000e+00   0.00000000e+00]]",-0.0929843768794,"[-0.04558731 -0.51506994  1.43969722  0.23583315 -0.63663444  0.20326713
  1.18713722  0.36609006  0.43161886 -0.28778766  0.        ]",[-0.40977105  0.02585847],-0.251837,[ 1.24176572 -1.56480802],[ 0.91779149 -2.89190531]
25,"[[  1.51687506e+01  -3.00399560e+00  -7.21625665e-02   2.42991062e-02]
 [  5.82380318e+01  -6.97775311e-05   0.00000000e+00   0.00000000e+00]]",-0.0890394833578,"[-1.37190967 -0.51506976  0.7255382   0.23584083 -0.63663359  0.20326693
  1.25616783  0.36610148  0.44162666 -0.1248791   0.        ]",[-0.40977105  0.02585847],0.122584,[ 1.48671593 -4.08843376],[ 1.15408981 -3.15122318]
26,"[[  1.63616686e+01  -3.00399650e+00  -7.21625665e-02   2.42991062e-02]
 [  6.10444153e+01  -2.58231915e-05   0.00000000e+00   0.00000000e+00]]",-0.0704365013715,"[-1.28333821 -0.51506931 -0.93948885  0.23584384 -0.63663274  0.20326672
  1.3238314   0.36610685  0.31346992 -0.04633681  0.        ]",[-0.40977105  0.02585847],0.0213779,[ 0.65392318 -2.56000183],[ 1.0074538  -3.21983862]
27,"[[  1.75964090e+01  -3.00399682e+00  -7.21625665e-02   2.42991062e-02]
 [  6.24250239e+01  -8.00023942e-06   0.00000000e+00   0.00000000e+00]]",-0.0587250318032,"[ 0.24086184 -0.51506876 -1.44695393  0.23584474 -0.63663189  0.20326652
  1.35711671  0.3661088   0.20310199 -0.1642055   0.        ]",[-0.40977105  0.02585847],-0.113408,[ 0.99349315 -2.19566627],[ 0.69677317 -3.06789827]
28,"[[  1.88719767e+01  -3.00399686e+00  -7.21625665e-02   2.42991062e-02]
 [  6.51227572e+01   2.07493468e-06   0.00000000e+00   0.00000000e+00]]",-0.0748634920575,"[ 1.1880531  -0.51506815 -0.00341927  0.23584467 -0.63663104  0.20326632
  1.4221598   0.36610973  0.26544022 -0.32928429  0.        ]",[-0.40977105  0.02585847],0.154547,[-0.71450848 -4.37160575],[ 0.51670587 -2.80476046]
29,"[[  2.01331132e+01  -3.00399690e+00  -7.21625665e-02   2.42991062e-02]
 [  6.10046120e+01  -5.62501366e-06   0.00000000e+00   0.00000000e+00]]",-0.09194099713,"[ 0.20086007 -0.51506753  1.38699619  0.23584457 -0.63663019  0.20326612
  1.32286058  0.36610832  0.41595708 -0.30837443  0.        ]",[-0.40977105  0.02585847],-0.185533,[ 1.94829863 -2.55596432],[ 0.85448289 -2.8749125 ]
30,"[[  2.13808133e+01  -3.00399694e+00  -7.21625665e-02   2.42991062e-02]
 [  6.37562269e+01   1.75330529e-06   0.00000000e+00   0.00000000e+00]]",-0.0897904430157,"[-1.3186417  -0.51506692  0.81413699  0.23584446 -0.63662934  0.20326592
  1.38920296  0.36610889  0.44568294 -0.13454975  0.        ]",[-0.40977105  0.02585847],0.0808691,[ 1.30276795 -3.65602232],[ 1.14819062 -3.1645422 ]
31,"[[  2.26829991e+01  -3.00399685e+00  -7.21625665e-02   2.42991062e-02]
 [  6.64533697e+01   6.18122789e-06   0.00000000e+00   0.00000000e+00]]",-0.0697856999502,"[-1.25058495 -0.51506628 -0.98377303  0.23584392 -0.63662848  0.20326572
  1.45423143  0.36610908  0.30861195 -0.04712529  0.        ]",[-0.40977105  0.02585847],0.0712889,[-0.22627206 -2.80379614],[ 1.00032592 -3.23992491]
32,"[[  2.39898786e+01  -3.00399680e+00  -7.21625665e-02   2.42991062e-02]
 [  6.42419524e+01  -5.10465606e-07   0.00000000e+00   0.00000000e+00]]",-0.0591274603414,"[ 0.3823158  -0.51506565 -1.38735386  0.23584349 -0.63662763  0.20326552
  1.40090644  0.36610781  0.20079887 -0.18071591  0.        ]",[-0.40977105  0.02585847],-0.0231781,[-0.17487475 -2.85457147],[ 0.66527557 -3.05635548]
33,"[[  2.52550108e+01  -3.00399685e+00  -7.21625665e-02   2.42991062e-02]
 [  6.22778102e+01  -4.14857736e-06   0.00000000e+00   0.00000000e+00]]",-0.0766077613357,"[ 1.17811416 -0.51506504  0.14435929  0.23584344 -0.63662678  0.20326532
  1.35354403  0.36610694  0.27691402 -0.33605916  0.        ]",[-0.40977105  0.02585847],-0.334841,[ 0.91901264 -0.55845036],[ 0.53101385 -2.77815437]
34,"[[  2.65247048e+01  -3.00352859e+00  -7.21625665e-02   2.42991062e-02]
 [  6.46835675e+01   3.23589105e-02   0.00000000e+00   0.00000000e+00]]",-0.0926608047335,"[ 0.05559662 -0.51497196  1.42414143  0.23415428 -0.63662593  0.20326511
  1.41154682  0.37035626  0.42599461 -0.2965748   0.        ]",[-0.40977105  0.02585847],-0.0939448,[ 1.15524313 -3.00343381],[ 0.8837887  -2.91887999]
35,"[[  2.78452532e+01  -3.00341553e+00  -7.21625665e-02   2.42991062e-02]
 [  6.73623499e+01  -8.52451670e-03   0.00000000e+00   0.00000000e+00]]",-0.0877702757424,"[-1.44250333 -0.51494897  0.58090819  0.23374625 -0.63662508  0.20326491
  1.47613219  0.36498729  0.43435945 -0.11009142  0.        ]",[-0.40977105  0.02585847],0.077008,[ 1.66002016 -3.41462058],[ 1.14723945 -3.20883369]
36,"[[  2.92188453e+01  -3.00363203e+00  -7.21625665e-02   2.42991062e-02]
 [  6.99881050e+01  -1.06547701e-02   0.00000000e+00   0.00000000e+00]]",-0.0656656597477,"[-0.99714807 -0.51499118 -1.23947591  0.2345269  -0.63662423  0.20326471
  1.53943845  0.36470717  0.27724329 -0.05761241  0.        ]",[-0.40977105  0.02585847],0.0478454,[ 0.21254605 -2.69000217],[ 0.94138563 -3.23526287]
37,"[[  3.06131494e+01  -3.00380675e+00  -7.21625665e-02   2.42991062e-02]
 [  6.94441214e+01  -6.69300949e-03   0.00000000e+00   0.00000000e+00]]",-0.0619419680383,"[ 0.76774532 -0.51502507 -1.10449738  0.23515682 -0.63662338  0.20326451
  1.52631731  0.36522701  0.20340034 -0.23213017  0.        ]",[-0.40977105  0.02585847],-0.0587721,[ 0.75113042 -2.83151703],[ 0.57729143 -3.00317335]
38,"[[  3.20180771e+01  -3.00390607e+00  -7.21625665e-02   2.42991062e-02]
 [  7.10433178e+01  -3.48238822e-03   0.00000000e+00   0.00000000e+00]]",-0.0844154586502,"[ 0.94605546 -0.51504405  0.80415467  0.23551481 -0.63662253  0.20326431
  1.56487128  0.36564822  0.33712498 -0.34859007  0.        ]",[-0.40977105  0.02585847],-0.127282,[ 0.95117656 -2.97325899],[ 0.64898658 -2.79736137]
39,"[[  3.34626179e+01  -3.00395546e+00  -7.21625665e-02   2.42991062e-02]
 [  7.34028962e+01  -1.65370389e-03   0.00000000e+00   0.00000000e+00]]",-0.0931962894269,"[-0.82077175 -0.51505317  1.28286017  0.23569275 -0.63662168  0.20326411
  1.6217587   0.36588796  0.45688564 -0.20615262  0.        ]",[-0.40977105  0.02585847],0.0880364,[ 0.74981579 -3.78317912],[ 1.06397367 -3.12016439]
40,"[[  3.49458825e+01  -3.00397832e+00  -7.21625665e-02   2.42991062e-02]
 [  7.49185176e+01  -7.43652595e-04   0.00000000e+00   0.00000000e+00]]",-0.0750628840466,"[-1.4647965  -0.51505705 -0.59885213  0.23577496 -0.63662083  0.20326391
  1.65829666  0.36600706  0.34745538 -0.04691477  0.        ]",[-0.40977105  0.02585847],0.141773,[ 1.53488011 -3.34086595],[ 1.05856383 -3.29214668]
41,"[[  3.64690971e+01  -3.00398839e+00  -7.21625665e-02   2.42991062e-02]
 [  7.73946867e+01  -3.18984809e-04   0.00000000e+00   0.00000000e+00]]",-0.058786389566,"[ 0.27102782 -0.51505842 -1.43584957  0.23581104 -0.63661998  0.2032637
  1.71799421  0.36606243  0.20247965 -0.16764161  0.        ]",[-0.40977105  0.02585847],-0.0187671,[ 0.14099812 -2.58965439],[ 0.68666935 -3.12667179]
42,"[[  3.80072195e+01  -3.00399269e+00  -7.21625665e-02   2.42991062e-02]
 [  7.64207992e+01  -1.36621935e-04   0.00000000e+00   0.00000000e+00]]",-0.0797790799314,"[ 1.1235175  -0.51505865  0.41348863  0.23582632 -0.63661913  0.2032635
  1.69450619  0.36608599  0.29954516 -0.34494145  0.        ]",[-0.40977105  0.02585847],-0.239253,[-0.51092635 -1.32769451],[ 0.55905354 -2.82619667]
43,"[[  3.95001600e+01  -3.00399459e+00  -7.21625665e-02   2.42991062e-02]
 [  7.28850335e+01  -6.42833662e-05   0.00000000e+00   0.00000000e+00]]",-0.0936893429701,"[-0.50397362 -0.5150584   1.40863705  0.23583294 -0.63661827  0.2032633
  1.6092486   0.36609509  0.45113434 -0.24274252  0.        ]",[-0.40977105  0.02585847],0.120452,[ 2.01757462 -4.48674437],[ 1.00022697 -3.06087828]
44,"[[  4.09831087e+01  -3.00399542e+00  -7.21625665e-02   2.42991062e-02]
 [  7.54014583e+01  -2.31142611e-05   0.00000000e+00   0.00000000e+00]]",-0.0793049714381,"[-1.55346025 -0.51505795 -0.24739115  0.23583567 -0.63661742  0.2032631
  1.6699169   0.3661001   0.37784632 -0.05687956  0.        ]",[-0.40977105  0.02585847],0.121575,[ 0.26164757 -3.20129383],[ 1.09669125 -3.29679108]
45,"[[  4.24865553e+01  -3.00399572e+00  -7.21625665e-02   2.42991062e-02]
 [  7.49447158e+01  -9.74022184e-06   0.00000000e+00   0.00000000e+00]]",-0.0588061076591,"[-0.08617909 -0.51505739 -1.51703874  0.23583654 -0.63661657  0.2032629
  1.65889833  0.36610146  0.21345183 -0.12956676  0.        ]",[-0.40977105  0.02585847],0.160469,[-0.7148748  -3.73533708],[ 0.7661674  -3.16088009]
46,"[[  4.39421655e+01  -3.00399594e+00  -7.21625665e-02   2.42991062e-02]
 [  7.06306802e+01  -1.24412960e-05   0.00000000e+00   0.00000000e+00]]",-0.0737666652339,"[ 1.18729666 -0.51505681 -0.09626022  0.23583709 -0.63661572  0.2032627
  1.55487656  0.36610071  0.25856166 -0.32436648  0.        ]",[-0.40977105  0.02585847],-0.153237,[ 0.52466032 -2.54777423],[ 0.50726402 -2.84213734]
47,"[[  4.53615921e+01  -3.00399612e+00  -7.21625665e-02   2.42991062e-02]
 [  7.13097258e+01  -5.55541376e-06   0.00000000e+00   0.00000000e+00]]",-0.0925445132227,"[ 0.07275899 -0.51505622  1.42067774  0.23583749 -0.63661487  0.2032625
  1.57124398  0.36610122  0.42455958 -0.29799958  0.        ]",[-0.40977105  0.02585847],0.0170283,[-0.13872308 -3.41116919],[ 0.87190998 -2.94725966]
48,"[[  4.67681121e+01  -3.00399623e+00  -7.21625665e-02   2.42991062e-02]
 [  6.93488017e+01  -6.33814035e-06   0.00000000e+00   0.00000000e+00]]",-0.086838080422,"[-1.48111761 -0.51505563  0.48038338  0.23583768 -0.63661402  0.2032623
  1.52395899  0.36610073  0.42857204 -0.10172679  0.        ]",[-0.40977105  0.02585847],0.0640407,[ 1.72498551 -3.16340438],[ 1.14331484 -3.22694254]
49,"[[  4.81810386e+01  -3.00399628e+00  -7.21625665e-02   2.42991062e-02]
 [  7.19352313e+01   1.53092107e-06   0.00000000e+00   0.00000000e+00]]",-0.0640714003202,"[-0.86654359 -0.51505502 -1.32965384  0.2358376  -0.63661317  0.20326209
  1.58631545  0.36610136  0.26456718 -0.06543422  0.        ]",[-0.40977105  0.02585847],0.223376,[ 2.17817823 -4.3514117 ],[ 0.9124527  -3.23347759]
