timestep,human_obs,original_rewards,obs,logstd_action_dist,rewards,actions,avg_action_dist
23,"[[ -1.51845532e+01  -3.00331165e+00   5.73083425e-02  -1.50155466e-01]
 [ -6.00291877e+01  -2.03928277e-02   0.00000000e+00   0.00000000e+00]]",-0.177224899481,"[-1.3887893  -0.52342576 -0.78071004  0.2320732   0.48288979 -1.29655005
 -1.6644991   0.36149329 -0.62118829  1.45924808  0.        ]",[-0.38826555 -0.00132815],-0.721515,[-0.83317774 -0.97975458],[-1.01130319 -1.75688481]
24,"[[ -1.64063116e+01  -3.00362143e+00   5.73083425e-02  -1.50155466e-01]
 [ -6.21396156e+01  -1.11074949e-02   0.00000000e+00   0.00000000e+00]]",-0.161213420719,"[-1.25069542 -0.5234859   0.91799891  0.23316668  0.48288915 -1.29654633
 -1.71739875  0.36271526 -0.50113212  1.35781549  0.        ]",[-0.38826555 -0.00132815],-0.683964,[-0.85103025 -2.60845539],[-0.9631443  -1.69480062]
25,"[[ -1.76705685e+01  -3.00380244e+00   5.73083425e-02  -1.50155466e-01]
 [ -6.42789476e+01  -6.89791266e-03   0.00000000e+00   0.00000000e+00]]",-0.143917173889,"[ 0.33086475 -0.52352068  1.33608582  0.23380552  0.48288851 -1.2965426
 -1.77102231  0.36326901 -0.54532413  1.18661388  0.        ]",[-0.38826555 -0.00132815],-0.481937,[-0.52110733 -1.26440867],[-0.95361757 -1.65753388]
26,"[[ -1.89640810e+01  -3.00390455e+00   5.73083425e-02  -1.50155466e-01]
 [ -6.50696678e+01  -3.57216626e-03   0.00000000e+00   0.00000000e+00]]",-0.152184354684,"[ 1.17359868 -0.52353997 -0.2075929   0.23416579  0.48288787 -1.29653887
 -1.79083693  0.3637064  -0.70016822  1.18723848  0.        ]",[-0.38826555 -0.00132815],-0.434843,[-2.03929662 -1.44352347],[-1.01169884 -1.72446108]
27,"[[ -2.02922748e+01  -3.00395519e+00   5.73083425e-02  -1.50155466e-01]
 [ -6.77408092e+01  -1.69455350e-03   0.00000000e+00   0.00000000e+00]]",-0.173422908552,"[-0.01932025 -0.52354917 -1.51200703  0.23434435  0.48288723 -1.29653515
 -1.85779123  0.36395315 -0.74030726  1.3675253   0.        ]",[-0.38826555 -0.00132815],-0.521743,[-1.18002119 -2.63412696],[-1.04888546 -1.79410267]
28,"[[ -2.16733609e+01  -3.00397859e+00   5.73083425e-02  -1.50155466e-01]
 [ -7.03590714e+01  -7.59706512e-04   0.00000000e+00   0.00000000e+00]]",-0.175639723523,"[-1.50427083 -0.52355303 -0.50219106  0.2344267   0.48288659 -1.29653142
 -1.92341889  0.36407578 -0.59467636  1.45515724  0.        ]",[-0.38826555 -0.00132815],-0.767254,[-1.98079245 -1.56054644],[-0.99946451 -1.73964536]
29,"[[ -2.31062921e+01  -3.00398887e+00   5.73083425e-02  -1.50155466e-01]
 [ -7.29255013e+01  -3.25514965e-04   0.00000000e+00   0.00000000e+00]]",-0.153986025779,"[-0.80168113 -0.52355433  1.29707408  0.23446274  0.48288596 -1.29652769
 -1.98774611  0.3641325  -0.4944944   1.29547719  0.        ]",[-0.38826555 -0.00132815],-0.628133,[-0.91564669 -0.47531012],[-0.94553161 -1.6625452 ]
30,"[[ -2.45866913e+01  -3.00343673e+00   5.73083425e-02  -1.50155466e-01]
 [ -7.51071417e+01   3.83171008e-02   0.00000000e+00   0.00000000e+00]]",-0.144335052357,"[ 0.98225071 -0.52344534  0.73421332  0.23251295  0.48288532 -1.29652396
 -2.04242611  0.36921935 -0.62086928  1.15607038  0.        ]",[-0.38826555 -0.00132815],-0.424126,[-0.23942906 -0.4282872 ],[-0.95800853 -1.64317942]
31,"[[ -2.60834272e+01  -3.00269785e+00   5.73083425e-02  -1.50155466e-01]
 [ -7.45682531e+01   3.17078165e-02   0.00000000e+00   0.00000000e+00]]",-0.166391671092,"[ 0.6054396  -0.52329905 -1.24742567  0.22990406  0.48288468 -1.29652024
 -2.02890568  0.36834879 -0.75109862  1.29402836  0.        ]",[-0.38826555 -0.00132815],-0.470494,[-0.03466193 -1.10843147],[-1.0468241  -1.78503752]
32,"[[ -2.75613582e+01  -3.00280968e+00   5.73083425e-02  -1.50155466e-01]
 [ -7.32293062e+01  -2.37372623e-02   0.00000000e+00   0.00000000e+00]]",-0.178107605912,"[-1.23762378 -0.52332042 -1.00999631  0.23029858  0.48288404 -1.29651651
 -1.99532933  0.36104899 -0.64578634  1.45710456  0.        ]",[-0.38826555 -0.00132815],-0.653423,[-1.42485055 -2.57749171],[-1.01293373 -1.75033224]
33,"[[ -2.90511241e+01  -3.00329827e+00   5.73083425e-02  -1.50155466e-01]
 [ -7.57389175e+01  -2.17737536e-02   0.00000000e+00   0.00000000e+00]]",-0.159858808756,"[-1.17802228 -0.52341597  1.00427254  0.2320233   0.4828834  -1.29651278
 -2.05823034  0.36130705 -0.49799651  1.34668424  0.        ]",[-0.38826555 -0.00132815],-0.654808,[-0.75832623 -2.32742798],[-0.95466363 -1.67798018]
34,"[[ -3.05809833e+01  -3.00364284e+00   5.73083425e-02  -1.50155466e-01]
 [ -7.72419903e+01  -1.28146418e-02   0.00000000e+00   0.00000000e+00]]",-0.143182193271,"[ 0.72958886 -0.52348295  1.06412162  0.23323964  0.48288276 -1.29650906
 -2.0958981   0.36248608 -0.58438879  1.16295664  0.        ]",[-0.38826555 -0.00132815],-0.414558,[ 0.04432254 -1.20147333],[-0.95170784 -1.64164519]
35,"[[ -3.21087202e+01  -3.00383034e+00   5.73083425e-02  -1.50155466e-01]
 [ -7.55373881e+01  -6.48619215e-03   0.00000000e+00   0.00000000e+00]]",-0.162057822284,"[ 0.86496372 -0.523519   -0.98710975  0.2339014   0.48288212 -1.29650533
 -2.05315484  0.36331878 -0.74342803  1.25673433  0.        ]",[-0.38826555 -0.00132815],-0.453391,[-1.13389121 -0.8459082 ],[-1.04032075 -1.77152038]
36,"[[ -3.36441893e+01  -3.00375836e+00   5.73083425e-02  -1.50155466e-01]
 [ -7.80013047e+01   8.24974712e-03   0.00000000e+00   0.00000000e+00]]",-0.178286174555,"[-1.03739931 -0.52350417 -1.21431712  0.23364699  0.48288149 -1.2965016
 -2.11490885  0.36525834 -0.66990142  1.44816171  0.        ]",[-0.38826555 -0.00132815],-0.638829,[-2.0461433 -2.3468669],[-1.02056634 -1.75979304]
37,"[[ -3.52284473e+01  -3.00376082e+00   5.73083425e-02  -1.50155466e-01]
 [ -8.04164461e+01  -4.33421311e-03   0.00000000e+00   0.00000000e+00]]",-0.161683011449,"[-1.27458422 -0.52350394  0.88642526  0.23365543  0.48288085 -1.29649788
 -2.17543895  0.36360121 -0.5023878   1.36155529  0.        ]",[-0.38826555 -0.00132815],-0.620033,[-0.63792683 -3.25883054],[-0.95679557 -1.67994523]
38,"[[ -3.68461451e+01  -3.00385480e+00   5.73083425e-02  -1.50155466e-01]
 [ -8.13502236e+01  -4.30475564e-03   0.00000000e+00   0.00000000e+00]]",-0.143181447372,"[ 0.71103178 -0.52352164  1.08192446  0.233987    0.48288021 -1.29649415
 -2.1988333   0.36360464 -0.5823197   1.16388203  0.        ]",[-0.38826555 -0.00132815],-0.439515,[-1.2679773  -0.24189077],[-0.94760871 -1.63646722]
39,"[[ -3.84967162e+01  -3.00311962e+00   5.73083425e-02  -1.50155466e-01]
 [ -8.36990615e+01   5.29743536e-02   0.00000000e+00   0.00000000e+00]]",-0.163835650271,"[ 0.76707419 -0.52337652 -1.10155899  0.23139098  0.48287957 -1.29649042
 -2.25769942  0.37114505 -0.74760736  1.27139699  0.        ]",[-0.38826555 -0.00132815],-0.426849,[-0.65154998  0.90245834],[-1.03718567 -1.7673918 ]
40,"[[ -4.01799526e+01  -2.96617405e+00   5.73083425e-02  -1.50155466e-01]
 [ -8.46214294e+01   3.62986881e+00   0.00000000e+00   0.00000000e+00]]",-0.181520998874,"[-1.28324675 -0.51513689 -0.94997673  0.10131625  0.48287893 -1.29648669
 -2.28080616  0.8420464  -0.66060048  1.48200488  0.        ]",[-0.38826555 -0.00132815],-0.622477,[-0.33661229 -1.48961083],[-0.98599875 -1.73082685]
41,"[[ -4.18689438e+01  -2.93396589e+00   5.73083425e-02  -1.50155466e-01]
 [ -8.42789181e+01  -3.95481980e-01   0.00000000e+00   0.00000000e+00]]",-0.158989736548,"[-0.90678486 -0.50638885  1.23526242 -0.0113928   0.48287829 -1.29648297
 -2.27220511  0.31210311 -0.45153397  1.35205326  0.        ]",[-0.38826555 -0.00132815],-0.6208,[-0.76737822 -0.35010727],[-0.95249021 -1.67064595]
42,"[[ -4.35682680e+01  -2.95564371e+00   5.73083425e-02  -1.50155466e-01]
 [ -8.56489755e+01  -1.76780522e+00   0.00000000e+00   0.00000000e+00]]",-0.140186370347,"[ 1.06620667 -0.51243553  0.56027706  0.06438977  0.48287765 -1.29647924
 -2.30653375  0.13143456 -0.61685098  1.11910726  0.        ]",[-0.38826555 -0.00132815],-0.345657,[-1.14348808 -2.30516718],[-0.95143247 -1.63558102]
43,"[[ -4.53039649e+01  -3.01358851e+00   5.73083425e-02  -1.50155466e-01]
 [ -8.79130853e+01  -2.34609892e+00   0.00000000e+00   0.00000000e+00]]",-0.171969217492,"[ 0.14443139 -0.52535808 -1.47828762  0.26837894  0.48287702 -1.29647551
 -2.36327295  0.05530119 -0.75058615  1.34784216  0.        ]",[-0.38826555 -0.00132815],-0.377001,[-0.12460595 -4.10093607],[-1.05749857 -1.78546321]
44,"[[ -4.70497145e+01  -3.02823984e+00   5.73083425e-02  -1.50155466e-01]
 [ -8.66660254e+01   1.72194933e-01   0.00000000e+00   0.00000000e+00]]",-0.170312420026,"[-1.5694696  -0.52787397 -0.14788014  0.32022639  0.48287638 -1.29647179
 -2.33199616  0.38683856 -0.56120779  1.41926957  0.        ]",[-0.38826555 -0.00132815],-0.705763,[-0.80260842 -1.34806677],[-0.97435832 -1.71187437]
45,"[[ -4.87977041e+01  -3.02054870e+00   5.73083425e-02  -1.50155466e-01]
 [ -8.81280608e+01   4.44499278e-01   0.00000000e+00   0.00000000e+00]]",-0.14673573587,"[-0.05360914 -0.52659007  1.44084812  0.29299727  0.48287574 -1.29646806
 -2.36862879  0.42268741 -0.53290666  1.21698716  0.        ]",[-0.38826555 -0.00132815],-0.489256,[-1.00576359 -1.81494686],[-0.93364084 -1.63394427]
46,"[[ -5.05824854e+01  -3.01290118e+00   5.73083425e-02  -1.50155466e-01]
 [ -9.03426989e+01   3.03996359e-01   0.00000000e+00   0.00000000e+00]]",-0.15630345474,"[ 1.1139765  -0.52523038 -0.5010833   0.26594783  0.4828751  -1.29646433
 -2.42412585  0.40418942 -0.71779143  1.21643408  0.        ]",[-0.38826555 -0.00132815],-0.391744,[-0.39863978 -0.85025819],[-1.00245881 -1.71155548]
47,"[[ -5.23872309e+01  -3.00815247e+00   5.73083425e-02  -1.50155466e-01]
 [ -9.01325460e+01   1.74634148e-01   0.00000000e+00   0.00000000e+00]]",-0.177830527799,"[-0.91666616 -0.52434416 -1.30422089  0.24916482  0.48287446 -1.29646061
 -2.41884015  0.38715813 -0.6790898   1.43970567  0.        ]",[-0.38826555 -0.00132815],-0.455903,[-0.45596252 -4.08488323],[-1.01751876 -1.75314844]
48,"[[ -5.41900922e+01  -3.00576993e+00   5.73083425e-02  -1.50155466e-01]
 [ -9.01535212e+01   7.64537258e-02   0.00000000e+00   0.00000000e+00]]",-0.159581157526,"[-1.17198293 -0.52388716  1.01085237  0.24074824  0.48287382 -1.29645688
 -2.41934816  0.374232   -0.49896754  1.3438519   0.        ]",[-0.38826555 -0.00132815],-0.608574,[ 0.04244888 -1.08936707],[-0.94712889 -1.66453409]
49,"[[ -5.59735697e+01  -3.00473877e+00   5.73083425e-02  -1.50155466e-01]
 [ -8.82007306e+01   3.26477826e-02   0.00000000e+00   0.00000000e+00]]",-0.144278974381,"[ 0.96097834 -0.52368647  0.77078265  0.23710623  0.48287319 -1.29645316
 -2.37038097  0.36846439 -0.61778244  1.15702444  0.        ]",[-0.38826555 -0.00132815],-0.34008,[-0.62616613 -2.70483715],[-0.94322276 -1.62115645]
