timestep,logstd_action_dist,original_rewards,obs,human_obs,rewards,actions,avg_action_dist
15,[-0.41557011  0.05335318],-0.232041538449,"[-0.2930136  -0.51352264 -1.52066175  0.30632117  1.61952069 -0.95290958
 -0.53898663  0.45946063 -1.67465944  1.05885771  0.        ]","[[ -1.64826903  -3.02141971   0.18602168  -0.11002392]
 [-16.02288852   0.7006328    0.           0.        ]]",-1.24073,[-0.11414179 -1.5243657 ],[-0.85467374 -1.84603238]
16,[-0.41557011  0.05335318],-0.231580480966,"[-0.72187286 -0.51176697 -1.4083448   0.27047029  1.6195155  -0.95290797
 -0.54219142  0.40956172 -1.65383364  1.09117679  0.        ]","[[ -1.97007863  -3.01166501   0.18602168  -0.11002392]
 [-16.15762102   0.3202696    0.           0.        ]]",-1.23929,[-0.74750048 -2.26118292],[-0.8376137  -1.84120059]
17,[-0.41557011  0.05335318],-0.228909523011,"[-1.12418751 -0.51093402 -1.1279087   0.2543867   1.61951031 -0.95290636
 -0.60499185  0.38603709 -1.6174666   1.11498653  0.        ]","[[ -2.31971614  -3.00728487   0.18602168  -0.11002392]
 [-18.79733268   0.14095053   0.           0.        ]]",-1.2229,[ 0.37506894 -2.5731322 ],[-0.81764269 -1.83020794]
18,[-0.41557011  0.05335318],-0.224366487651,"[-1.4177967  -0.51056299 -0.705744    0.24739669  1.61950513 -0.95290475
 -0.56080845  0.37547244 -1.57346203  1.12153104  0.        ]","[[ -2.67702965  -3.00538047   0.18602168  -0.11002392]
 [-16.94020699   0.06042195   0.           0.        ]]",-1.22445,[-0.34771989 -1.04917094],[-0.80646777 -1.82673311]
19,[-0.41557011  0.05335318],-0.218759409536,"[-1.55462201 -0.51040345 -0.21145907  0.2444272   1.61949994 -0.95290314
 -0.5855829   0.37087793 -1.53055369  1.10912337  0.        ]","[[ -3.02628218  -3.00457133   0.18602168  -0.11002392]
 [-17.98157555   0.0254021    0.           0.        ]]",-1.16458,[-0.54335626 -2.71692693],[-0.7968545  -1.82077551]
20,[-0.41557011  0.05335318],-0.212207436246,"[-1.51664106 -0.51033622  0.34430191  0.24318709  1.61949475 -0.95290154
 -0.62829483  0.36892557 -1.49103309  1.07651044  0.        ]","[[ -3.40392686e+00  -3.00423343e+00   1.86021681e-01  -1.10023922e-01]
 [ -1.97769093e+01   1.05226703e-02   0.00000000e+00   0.00000000e+00]]",-1.12727,[-0.94242404 -3.00887049],[-0.79277492 -1.81638408]
21,[-0.41557011  0.05335318],-0.205354413816,"[-1.24747149 -0.51030813  0.90581594  0.24267596  1.61948956 -0.95289993
 -0.70775139  0.36811    -1.4620035   1.02132657  0.        ]","[[ -3.83297452e+00  -3.00409419e+00   1.86021681e-01  -1.10023922e-01]
 [ -2.31167265e+01   4.30862323e-03   0.00000000e+00   0.00000000e+00]]",-1.15882,[-0.65659674 -1.47279974],[-0.78977525 -1.80806136]
22,[-0.41557011  0.05335318],-0.200034008209,"[-0.71716541 -0.51029633  1.32912802  0.2424673   1.61948437 -0.95289832
 -0.75871127  0.36777398 -1.45572601  0.94836682  0.        ]","[[ -4.31680071e+00  -3.00403738e+00   1.86021681e-01  -1.10023922e-01]
 [ -2.52587541e+01   1.75006597e-03   0.00000000e+00   0.00000000e+00]]",-1.11931,[ 0.61396687 -0.5173387 ],[-0.80911505 -1.80789089]
23,[-0.41557011  0.05335318],-0.198596616728,"[-0.07607764 -0.51018974  1.43899849  0.2405044   1.61947918 -0.95289671
 -0.68898116  0.372277   -1.47773551  0.88131424  0.        ]","[[ -4.79256903  -3.00350246   0.18602168  -0.11002392]
 [-22.32784568   0.0360781    0.           0.        ]]",-1.10219,[-1.15240116 -1.82317093],[-0.83714879 -1.78656292]
24,[-0.41557011  0.05335318],-0.201438454247,"[ 0.54760428 -0.51016281  1.21542323  0.24001724  1.61947399 -0.9528951
 -0.77265966  0.36635708 -1.52409543  0.83317422  0.        ]","[[ -5.27441595e+00  -3.00336973e+00   1.86021681e-01  -1.10023922e-01]
 [ -2.58451249e+01  -9.04486544e-03   0.00000000e+00   0.00000000e+00]]",-1.09388,[-1.7704306   2.18077785],[-0.83857584 -1.72815657]
25,[-0.41557011  0.05335318],-0.205126933041,"[ 1.04945305 -0.50118542  0.61471464  0.09534419  1.61946881 -0.9528935
 -0.85467553  0.88587301 -1.57464687  0.78559388  0.        ]","[[ -5.82590763  -2.9638179    0.18602168  -0.11002392]
 [-29.29252695   3.95107411   0.           0.        ]]",-1.09201,[-1.43697391 -0.88011529],[-0.77796268 -1.65668702]
26,[-0.41557011  0.05335318],-0.21565677298,"[ 1.17282331 -0.48881838 -0.28080792 -0.06177688  1.61946362 -0.95289189
 -0.93507385  0.41853063 -1.66492597  0.7723607   0.        ]","[[ -6.4456648   -2.92053978   0.18602168  -0.11002392]
 [-32.67194859   0.3886725    0.           0.        ]]",-1.07743,[-0.08498219 -2.61409822],[-0.81930161 -1.69704103]
27,[-0.41557011  0.05335318],-0.230218661213,"[ 0.76048483 -0.49822283 -1.11870562  0.05434732  1.61945843 -0.95289028
 -0.92769565 -0.10179892 -1.73401006  0.89671914  0.        ]","[[ -7.09599244  -2.95256132   0.18602168  -0.11002392]
 [-32.36188733  -3.57763479   0.           0.        ]]",-1.11019,[-1.00677197 -2.39037964],[-0.89418054 -1.80803204]
28,[-0.41557011  0.05335318],-0.232471319097,"[-0.0798302  -0.5165499  -1.5206618   0.37645377  1.61945324 -0.95288867
 -1.00665069  0.09489377 -1.68753488  1.04040642  0.        ]","[[ -7.77652998  -3.04047016   0.18602168  -0.11002392]
 [-35.68065307  -2.0783097    0.           0.        ]]",-1.15424,[-0.24426547 -3.05961331],[-0.86570442 -1.83241367]
29,[-0.41557011  0.05335318],-0.225664157873,"[-1.00760636 -0.51733698 -1.232416    0.39695325  1.61944805 -0.95288707
 -1.01285013  0.45479499 -1.60255132  1.09030784  0.        ]","[[ -8.49275804  -3.04603127   0.18602168  -0.11002392]
 [-35.94130844   0.66510171   0.           0.        ]]",-1.20575,[ 0.65473232 -1.01342679],[-0.78584075 -1.79047656]
30,[-0.41557011  0.05335318],-0.218629222703,"[-1.52218276 -0.51494701 -0.40266168  0.33792702  1.61944287 -0.95288546
 -0.93424734  0.46871174 -1.53873559  1.09307271  0.        ]","[[ -9.17843584  -3.03001039   0.18602168  -0.11002392]
 [-32.63748856   0.77118831   0.           0.        ]]",-1.14638,[-0.92509888 -2.84084261],[-0.77733469 -1.80063915]
31,[-0.41557011  0.05335318],-0.208837962708,"[-1.43451265 -0.51281766  0.58714261  0.29176192  1.61943768 -0.95288385
 -1.00601408  0.43022139 -1.48003885  1.04371963  0.        ]","[[ -9.86145235  -3.01746042   0.18602168  -0.11002392]
 [-35.65411108   0.47779294   0.           0.        ]]",-1.10741,[-0.67995518 -3.07617876],[-0.77413797 -1.79602313]
32,[-0.41557011  0.05335318],-0.200388853653,"[-0.724174   -0.51151823  1.32594563  0.26578004  1.61943249 -0.95288224
 -1.0532685   0.39999525 -1.45997654  0.94608765  0.        ]","[[-10.59446388  -3.01038877   0.18602168  -0.11002392]
 [-37.64042274   0.24739275   0.           0.        ]]",-1.12508,[-0.48165864 -1.3424936 ],[-0.78129458 -1.77381968]
33,[-0.41557011  0.05335318],-0.200133835537,"[ 0.30313843 -0.51084684  1.34684538  0.25290098  1.6194273  -0.95288063
 -1.08090869  0.38295028 -1.50530366  0.85048749  0.        ]","[[-11.35892983  -3.006881     0.18602168  -0.11002392]
 [-38.80230037   0.1174679    0.           0.        ]]",-1.07422,[-0.22800433 -1.69218844],[-0.80485022 -1.70741892]
34,[-0.41557011  0.05335318],-0.209562564151,"[ 1.06555625 -0.51052947  0.57820438  0.2469353   1.61942211 -0.95287903
 -1.08410855  0.37449214 -1.59734805  0.81847251  0.        ]","[[-12.13632619  -3.00525564   0.18602168  -0.11002392]
 [-38.93688696   0.05299739   0.           0.        ]]",-0.917681,[-0.75203765 -3.59915205],[-0.80668247 -1.65456319]
35,[-0.41557011  0.05335318],-0.223124418146,"[ 1.09734121 -0.51038701 -0.57862554  0.24428627  1.61941693 -0.95287742
 -1.13660641  0.37057183 -1.68453482  0.87587377  0.        ]","[[ -1.29372047e+01  -3.00453383e+00   1.86021681e-01  -1.10023922e-01]
 [ -4.11436094e+01   2.31171783e-02   0.00000000e+00   0.00000000e+00]]",-1.09402,[ 0.57823924 -2.97253914],[-0.82419825 -1.68738151]
36,[-0.41557011  0.05335318],-0.232333273063,"[ 0.36039833 -0.51032498 -1.40312652  0.24314315  1.61941174 -0.95287581
 -1.06275917  0.36883077 -1.71080048  0.98940618  0.        ]","[[ -1.37289343e+01  -3.00422237e+00   1.86021681e-01  -1.10023922e-01]
 [ -3.80396953e+01   9.84854684e-03   0.00000000e+00   0.00000000e+00]]",-1.19414,[-1.11998488 -1.59451895],[-0.85409045 -1.80107069]
37,[-0.41557011  0.05335318],-0.232461279425,"[-0.70333736 -0.51029841 -1.41659514  0.24266026  1.61940655 -0.9528742
 -1.13903649  0.36807856 -1.66108308  1.09169781  0.        ]","[[ -1.45218974e+01  -3.00409082e+00   1.86021681e-01  -1.10023922e-01]
 [ -4.12459340e+01   4.11749672e-03   0.00000000e+00   0.00000000e+00]]",-1.20243,[-1.69869297 -2.82708339],[-0.81390095 -1.80778015]
38,[-0.41557011  0.05335318],-0.222391396623,"[-1.48961409 -0.51028703 -0.5211498   0.24245934  1.61940136 -0.9528726
 -1.21380339  0.36776123 -1.55677541  1.11968979  0.        ]","[[ -1.53783485e+01  -3.00403613e+00   1.86021681e-01  -1.10023922e-01]
 [ -4.43887006e+01   1.70147163e-03   0.00000000e+00   0.00000000e+00]]",-1.22,[-1.65351992 -1.31466948],[-0.77711058 -1.79583025]
39,[-0.41557011  0.05335318],-0.206861757166,"[-1.33161599 -0.510282    0.78406411  0.24237645  1.61939618 -0.95287099
 -1.28708972  0.36762931 -1.46694915  1.03582357  0.        ]","[[ -1.62970307e+01  -3.00401360e+00   1.86021681e-01  -1.10023922e-01]
 [ -4.74692515e+01   6.98686899e-04   0.00000000e+00   0.00000000e+00]]",-1.15396,[-0.49262941 -1.13412175],[-0.76782298 -1.78547478]
40,[-0.41557011  0.05335318],-0.1985800733,"[-0.21697174 -0.5102796   1.44340052  0.24234223  1.61939099 -0.95286938
 -1.31113305  0.36757502 -1.47097953  0.8945031   0.        ]","[[ -1.72565568e+01  -3.00400434e+00   1.86021681e-01  -1.10023922e-01]
 [ -4.84799914e+01   2.87649399e-04   0.00000000e+00   0.00000000e+00]]",-1.08804,[ 0.21724051 -0.60593726],[-0.7747699  -1.72173488]
41,[-0.41557011  0.05335318],-0.206086098392,"[ 0.91701961 -0.51019546  0.84779982  0.24079458  1.6193858  -0.95286777
 -1.2678341   0.3713408  -1.56934129  0.81717988  0.        ]","[[ -1.82078975e+01  -3.00358259e+00   1.86021681e-01  -1.10023922e-01]
 [ -4.66601393e+01   2.89955239e-02   0.00000000e+00   0.00000000e+00]]",-1.04318,[-1.36558097 -1.65319564],[-0.7846595  -1.63448572]
42,[-0.41557011  0.05335318],-0.222313667833,"[ 1.12017855 -0.51017457 -0.51044743  0.24041886  1.61938061 -0.95286616
 -1.34005025  0.36654378 -1.68068081  0.86908461  0.        ]","[[ -1.91715573e+01  -3.00348025e+00   1.86021681e-01  -1.10023922e-01]
 [ -4.96957251e+01  -7.56738003e-03   0.00000000e+00   0.00000000e+00]]",-1.04026,[-0.3526842  -3.01104953],[-0.79501557 -1.64573967]
43,[-0.41557011  0.05335318],-0.233192755595,"[ 0.15535793 -0.51021225 -1.4786889   0.24112571  1.61937543 -0.95286456
 -1.34986256  0.36629051 -1.70700974  1.01275091  0.        ]","[[ -2.01696113e+01  -3.00367297e+00   1.86021681e-01  -1.10023922e-01]
 [ -5.01083058e+01  -9.49513158e-03   0.00000000e+00   0.00000000e+00]]",-1.11119,[-1.03498909 -3.58400579],[-0.83088613 -1.78182697]
44,[-0.41557011  0.05335318],-0.228915122433,"[-1.15624036 -0.51024255 -1.09472504  0.24169694  1.61937024 -0.95286295
 -1.4204541   0.36675307 -1.61558533  1.1181543   0.        ]","[[ -2.12015496e+01  -3.00382871e+00   1.86021681e-01  -1.10023922e-01]
 [ -5.30756291e+01  -5.96644188e-03   0.00000000e+00   0.00000000e+00]]",-1.1992,[-0.64484258 -2.67613009],[-0.78383374 -1.78933668]
45,[-0.41557011  0.05335318],-0.211799124315,"[-1.50742433 -0.51025952  0.37952289  0.24202153  1.61936505 -0.95286134
 -1.45619375  0.36712824 -1.48869287  1.07403072  0.        ]","[[ -2.22781363e+01  -3.00391724e+00   1.86021681e-01  -1.10023922e-01]
 [ -5.45780389e+01  -3.10388762e-03   0.00000000e+00   0.00000000e+00]]",-1.02552,[-0.18798906 -4.12054733],[-0.76169384 -1.78214121]
46,[-0.41557011  0.05335318],-0.198930319567,"[-0.45411717 -0.51026767  1.4154542   0.24218288  1.61935987 -0.95285973
 -1.44819252  0.36734146 -1.46167833  0.91865434  0.        ]","[[ -2.33663244e+01  -3.00396128e+00   1.86021681e-01  -1.10023922e-01]
 [ -5.42418907e+01  -1.47576146e-03   0.00000000e+00   0.00000000e+00]]",-1.05679,[-1.33164809 -2.50787143],[-0.75831711 -1.71859646]
47,[-0.41557011  0.05335318],-0.205963910047,"[ 0.90791203 -0.51027114  0.86079124  0.24225768  1.61935468 -0.95285813
 -1.51683641  0.36744726 -1.56811941  0.81761507  0.        ]","[[ -2.44801133e+01  -3.00398172e+00   1.86021681e-01  -1.10023922e-01]
 [ -5.71273836e+01  -6.66531887e-04   0.00000000e+00   0.00000000e+00]]",-1.04958,[-1.41013553 -0.93823796],[-0.75686824 -1.60038793]
48,[-0.41557011  0.05335318],-0.225358251195,"[ 1.01007375 -0.5102594  -0.77606606  0.2420503   1.61934949 -0.95285652
 -1.58412072  0.36809044 -1.69515235  0.89404372  0.        ]","[[ -2.56510389e+01  -3.00392526e+00   1.86021681e-01  -1.10023922e-01]
 [ -5.99557535e+01   4.23896917e-03   0.00000000e+00   0.00000000e+00]]",-0.980009,[-1.19933658 -3.45072509],[-0.76184845 -1.61972857]
49,[-0.41557011  0.05335318],-0.233428176664,"[-0.42543538 -0.51025646 -1.50258036  0.24200606  1.6193443  -0.95285491
 -1.65007236  0.36736207 -1.68085167  1.06965949  0.        ]","[[ -2.68779702e+01  -3.00391327e+00   1.86021681e-01  -1.10023922e-01]
 [ -6.27281323e+01  -1.31022109e-03   0.00000000e+00   0.00000000e+00]]",-1.22529,[-1.67444966 -1.89521431],[-0.80092907 -1.77815723]
