timestep,human_obs,original_rewards,obs,logstd_action_dist,rewards,actions,avg_action_dist
17,"[[ 1.51959905 -3.00566544 -0.05402323 -0.05468652]
 [-5.47591659  0.07916635  0.          0.        ]]",-0.0818923648558,"[-0.14203737 -0.56178271  1.44546019  0.24028624 -0.45733765 -0.48982206
 -0.38502044  0.36400092  0.26140866  0.40701215  0.        ]",[-0.29814976 -0.04083458],-0.107416,[-0.77852214 -2.81327047],[-0.26151538 -1.70531535]
18,"[[ 1.38024168 -3.00464341 -0.05402323 -0.05468652]
 [-8.44990937  0.03064798  0.          0.        ]]",-0.0796901526332,"[ 0.04832504 -0.56158928  1.42036543  0.23694684 -0.45733675 -0.48982107
 -0.47419427  0.35755181  0.25147533  0.39078347  0.        ]",[-0.29814976 -0.04083458],-0.0812566,[-0.32373665 -3.09119891],[-0.31790096 -1.69229996]
19,"[[ 1.20006146 -3.00424798 -0.05402323 -0.05468652]
 [-9.56439893  0.01184888  0.          0.        ]]",-0.0766258918296,"[ 0.28643113 -0.56151332  1.34589256  0.23565469 -0.45733586 -0.48982009
 -0.5076111   0.35505261  0.23524516  0.37248955  0.        ]",[-0.29814976 -0.04083458],-0.15397,[ 0.40258724 -1.24450508],[-0.34252748 -1.66661525]
20,"[[  1.02666591e+00  -3.00409516e+00  -5.40232303e-02  -5.46865194e-02]
 [ -7.78109857e+00   4.57676824e-03   0.00000000e+00   0.00000000e+00]]",-0.0736000813888,"[ 0.5004049  -0.56148318  1.23160772  0.23515508 -0.45733496 -0.48981911
 -0.45413806  0.35408544  0.21706106  0.35841834  0.        ]",[-0.29814976 -0.04083458],-0.0773374,[-0.2844963  -2.77433837],[-0.35440257 -1.63863134]
21,"[[  8.61287880e-01  -3.00403620e+00  -5.40232303e-02  -5.46865194e-02]
 [ -8.75346379e+00   1.76334769e-03   0.00000000e+00   0.00000000e+00]]",-0.0707413561541,"[ 0.68464923 -0.5614708   1.08682508  0.23496208 -0.45733407 -0.48981813
 -0.48329344  0.35371087  0.19798103  0.3486584   0.        ]",[-0.29814976 -0.04083458],-0.080593,[ 0.1540392  -2.62206028],[-0.35462397 -1.60426116]
22,"[[  6.94076436e-01  -3.00401347e+00  -5.40232303e-02  -5.46865194e-02]
 [ -7.97029053e+00   6.80027427e-04   0.00000000e+00   0.00000000e+00]]",-0.0679728835025,"[ 0.84602832 -0.5614653   0.90900627  0.23488744 -0.45733317 -0.48981714
 -0.45980908  0.35356625  0.17754189  0.34270438  0.        ]",[-0.29814976 -0.04083458],-0.0618071,[-2.30473494 -1.9614147 ],[-0.35484692 -1.57611752]
23,"[[  4.96528879e-01  -3.00400476e+00  -5.40232303e-02  -5.46865194e-02]
 [ -1.17717967e+01   2.58804234e-04   0.00000000e+00   0.00000000e+00]]",-0.0649973539285,"[ 0.99833483 -0.56146245  0.66500716  0.23485858 -0.45733228 -0.48981616
 -0.57379621  0.35350962  0.1527164   0.34095911  0.        ]",[-0.29814976 -0.04083458],-0.0689808,[-1.18511314 -1.88628115],[-0.34341758 -1.54428327]
24,"[[  2.23706271e-01  -3.00400144e+00  -5.40232303e-02  -5.46865194e-02]
 [ -1.54980465e+01   9.96605783e-05   0.00000000e+00   0.00000000e+00]]",-0.0617109156738,"[ 1.13031883 -0.56146062  0.28469225  0.23484731 -0.45733138 -0.48981518
 -0.68552649  0.35348782  0.11894088  0.34802607  0.        ]",[-0.29814976 -0.04083458],-0.10716,[ 0.22226007 -0.84229798],[-0.32714722 -1.52018881]
25,"[[ -7.43471184e-02  -3.00383284e+00  -5.40232303e-02  -5.46865194e-02]
 [ -1.43112476e+01   1.15988630e-02   0.00000000e+00   0.00000000e+00]]",-0.0596353624583,"[ 1.1608263  -0.56142743 -0.15776872  0.23429621 -0.45733049 -0.48981419
 -0.6499387   0.35501552  0.08540487  0.36752204  0.        ]",[-0.29814976 -0.04083458],-0.0870677,[-0.71465509 -1.13001763],[-0.32405406 -1.52388573]
26,"[[ -3.86119076e-01  -3.00379197e+00  -5.40232303e-02  -5.46865194e-02]
 [ -1.68574627e+01  -3.03164790e-03   0.00000000e+00   0.00000000e+00]]",-0.0595330314905,"[ 1.06323692 -0.56141847 -0.60948381  0.23416229 -0.45732959 -0.48981321
 -0.72628552  0.35307035  0.05713373  0.39947461  0.        ]",[-0.29814976 -0.04083458],-0.0803253,[-0.25381576 -1.59827274],[-0.31370449 -1.55069876]
27,"[[ -7.30002822e-01  -3.00386913e+00  -5.40232303e-02  -5.46865194e-02]
 [ -1.75286750e+01  -3.80102074e-03   0.00000000e+00   0.00000000e+00]]",-0.0618918911319,"[ 0.81368585 -0.56143193 -1.04320466  0.23441394 -0.4573287  -0.48981223
 -0.74641005  0.35296745  0.03730686  0.44475674  0.        ]",[-0.29814976 -0.04083458],-0.0909865,[-0.74333751 -1.15636216],[-0.30789086 -1.61091244]
28,"[[ -1.10662367e+00  -3.00393149e+00  -5.40232303e-02  -5.46865194e-02]
 [ -2.01247580e+01  -2.38901085e-03   0.00000000e+00   0.00000000e+00]]",-0.0668025848423,"[ 0.40399354 -0.56144257 -1.38285608  0.23461722 -0.4573278  -0.48981125
 -0.82425183  0.35315448  0.03182803  0.50009363  0.        ]",[-0.29814976 -0.04083458],-0.0662248,[-0.05068392 -3.07675212],[-0.26559108 -1.68521583]
29,"[[ -1.50713497e+00  -3.00396691e+00  -5.40232303e-02  -5.46865194e-02]
 [ -1.99270315e+01  -1.24184097e-03   0.00000000e+00   0.00000000e+00]]",-0.073493575095,"[-0.12492706 -0.5614481  -1.5379166   0.23473255 -0.45732691 -0.48981026
 -0.81832075  0.35330631  0.04532916  0.55708509  0.        ]",[-0.29814976 -0.04083458],-0.199907,[ 0.18687915 -0.13125924],[-0.18940085 -1.7546463 ]
30,"[[ -1.89429382  -3.00306321  -0.05402323  -0.05468652]
 [-18.79263462   0.063071     0.           0.        ]]",-0.0801701197504,"[-0.6503191  -0.56127489 -1.46343217  0.23178033 -0.45732601 -0.48980928
 -0.78430357  0.36185346  0.07464131  0.60221633  0.        ]",[-0.29814976 -0.04083458],-0.225971,[ 0.44023213 -1.18440055],[-0.0972224  -1.79437447]
31,"[[ -2.24892573  -3.0028491   -0.05402323  -0.05468652]
 [-16.67760409  -0.01705119   0.           0.        ]]",-0.0857448513625,"[-1.07648419 -0.56123278 -1.21034167  0.23108064 -0.45732512 -0.4898083
 -0.72088211  0.35120377  0.11282729  0.62932445  0.        ]",[-0.29814976 -0.04083458],-0.286844,[-0.4970925  -1.54622896],[-0.02362579 -1.81873584]
32,"[[ -2.59891216  -3.00327905  -0.05402323  -0.05468652]
 [-18.31558045  -0.02109937   0.           0.        ]]",-0.0901497748975,"[-1.39183552 -0.56131369 -0.81839688  0.23248454 -0.45732422 -0.48980732
 -0.76999527  0.35066509  0.15646722  0.63863566  0.        ]",[-0.29814976 -0.04083458],-0.37703,[-0.74646257 -1.220671  ],[ 0.01807431 -1.829229  ]
33,"[[ -2.99123896e+00  -3.00362466e+00  -5.40232303e-02  -5.46865194e-02]
 [ -2.09084585e+01  -1.32271651e-02   0.00000000e+00   0.00000000e+00]]",-0.0933414202359,"[-1.5741507  -0.56137831 -0.27056512  0.23361302 -0.45732333 -0.48980633
 -0.84774107  0.35171075  0.20503542  0.62753384  0.        ]",[-0.29814976 -0.04083458],-0.425515,[-0.45974526 -0.67800088],[ 0.02853419 -1.82467747]
34,"[[ -3.42351849e+00  -3.00347941e+00  -5.40232303e-02  -5.46865194e-02]
 [ -2.23148083e+01   1.67154654e-02   0.00000000e+00   0.00000000e+00]]",-0.0944521695796,"[-1.53531087 -0.56134948  0.36893158  0.23313817 -0.45732243 -0.48980535
 -0.8899083   0.3556898   0.24977805  0.59157155  0.        ]",[-0.29814976 -0.04083458],-0.292473,[ 0.26455187 -2.09013602],[  8.79988074e-04  -1.80270422e+00]
35,"[[ -3.85487313e+00  -3.00349467e+00  -5.40232303e-02  -5.46865194e-02]
 [ -2.08256181e+01  -9.49454705e-03   0.00000000e+00   0.00000000e+00]]",-0.0929118411652,"[-1.2539491  -0.56135119  0.93090657  0.23318762 -0.45732154 -0.48980437
 -0.84525214  0.35220556  0.27757605  0.53685416  0.        ]",[-0.29814976 -0.04083458],-0.296128,[ 0.23847168 -0.85086238],[-0.05877651 -1.77305603]
36,"[[ -4.25777577e+00  -3.00353983e+00  -5.40232303e-02  -5.46865194e-02]
 [ -1.94691660e+01   1.67318447e-03   0.00000000e+00   0.00000000e+00]]",-0.0892175754149,"[-0.8172434  -0.56135859  1.29564875  0.23333473 -0.45732064 -0.48980338
 -0.80457636  0.35368923  0.2837002   0.47762894  0.        ]",[-0.29814976 -0.04083458],-0.149975,[ 0.07751081 -2.89546485],[-0.15905945 -1.74089622]
37,"[[ -4.64021295e+00  -3.00364934e+00  -5.40232303e-02  -5.46865194e-02]
 [ -1.87768586e+01  -8.41203185e-03   0.00000000e+00   0.00000000e+00]]",-0.0840262837048,"[-0.31182322 -0.56137823  1.44351334  0.23369205 -0.45731975 -0.4898024
 -0.78381524  0.35234815  0.2707724   0.42304632  0.        ]",[-0.29814976 -0.04083458],-0.179311,[-0.03146752 -0.94291766],[-0.27184352 -1.70802021]
38,"[[ -5.01327062e+00  -3.00374321e+00  -5.40232303e-02  -5.46865194e-02]
 [ -1.85297323e+01  -2.23828676e-03   0.00000000e+00   0.00000000e+00]]",-0.0778797365729,"[ 0.19562714 -0.56139487  1.38027218  0.23399825 -0.45731885 -0.48980142
 -0.77640306  0.35316807  0.24237112  0.37905817  0.        ]",[-0.29814976 -0.04083458],-0.138749,[-0.09633291 -1.52030078],[-0.33050287 -1.67415226]
39,"[[ -5.38401162e+00  -3.00382747e+00  -5.40232303e-02  -5.46865194e-02]
 [ -1.85443195e+01  -4.69227231e-03   0.00000000e+00   0.00000000e+00]]",-0.0714000050618,"[ 0.64443605 -0.56140969  1.12287844  0.23427309 -0.45731796 -0.48980044
 -0.77683845  0.35284126  0.20261797  0.3504381   0.        ]",[-0.29814976 -0.04083458],-0.158481,[-0.88946725  0.04941264],[-0.33108568 -1.601524  ]
40,"[[ -5.7865485   -3.00193516  -0.05402323  -0.05468652]
 [-21.69885525   0.19221154   0.           0.        ]]",-0.0650053283108,"[ 0.99827196 -0.56104666  0.66515049  0.22809224 -0.45731706 -0.48979945
 -0.87142594  0.37901141  0.15369594  0.33938748  0.        ]",[-0.29814976 -0.04083458],-0.107041,[ 0.41536877 -1.25673745],[-0.30908218 -1.53647351]
41,"[[ -6.19971535  -3.0010923   -0.05402323  -0.05468652]
 [-19.62473901  -0.03948327   0.           0.        ]]",-0.0603647986256,"[ 1.15984816 -0.56088273  0.07779431  0.22533951 -0.45731617 -0.48979847
 -0.80923057  0.34821575  0.10305719  0.35305661  0.        ]",[-0.29814976 -0.04083458],-0.118322,[ 1.22502356 -1.40111767],[-0.30984774 -1.51458883]
42,"[[ -6.54858737  -3.00215246  -0.05402323  -0.05468652]
 [-15.27695165  -0.05331943   0.           0.        ]]",-0.0591645693582,"[ 1.11642034 -0.56108607 -0.43869628  0.2288011  -0.45731528 -0.48979749
 -0.67885875  0.34637613  0.06688864  0.38431651  0.        ]",[-0.29814976 -0.04083458],-0.118693,[ 0.88153796 -0.95434531],[-0.31946927 -1.53864014]
43,"[[ -6.81607308  -3.00298451  -0.05402323  -0.05468652]
 [-11.48425823  -0.03057119   0.           0.        ]]",-0.0601554899238,"[ 0.97368317 -0.56124433 -0.80585119  0.23151815 -0.45731438 -0.4897965
 -0.56513195  0.34939902  0.04679343  0.41706788  0.        ]",[-0.29814976 -0.04083458],-0.117124,[ 0.68418409 -1.21495899],[-0.32982153 -1.5817076 ]
44,"[[-7.01629809 -3.00347762 -0.05402323 -0.05468652]
 [-8.54802768 -0.01863778  0.          0.        ]]",-0.0618809063892,"[ 0.81083323 -0.56133719 -1.04665378  0.23312842 -0.45731349 -0.48979552
 -0.47708674  0.35098448  0.03700839  0.44488141  0.        ]",[-0.29814976 -0.04083458],-0.110189,[-1.47354351 -0.51914851],[-0.31877223 -1.63040352]
45,"[[ -7.22528561  -3.00324264  -0.05402323  -0.05468652]
 [-12.33809447   0.02564792   0.           0.        ]]",-0.0643526351056,"[ 0.59736537 -0.56129122 -1.25524909  0.23236046 -0.45731259 -0.48979454
 -0.59073254  0.35686997  0.03166754  0.47521425  0.        ]",[-0.29814976 -0.04083458],-0.0620111,[ 1.09337389 -3.661194  ],[-0.29315001 -1.66805315]
46,"[[-7.42987204 -3.00325524 -0.05402323 -0.05468652]
 [-8.13455635 -0.01382124  0.          0.        ]]",-0.0673558104163,"[ 0.35418309 -0.56129243 -1.40856022  0.23240124 -0.4573117  -0.48979356
 -0.46468625  0.35162336  0.03181631  0.50566609  0.        ]",[-0.29814976 -0.04083458],-0.0578067,[-0.85156881 -2.68449417],[-0.2485441  -1.71259999]
47,"[[ -7.62477588  -3.00355387  -0.05402323  -0.05468652]
 [-11.34512858  -0.01365617   0.           0.        ]]",-0.0705933842423,"[ 0.10036353 -0.56134812 -1.50185089  0.23337629 -0.4573108  -0.48979257
 -0.56095594  0.35164466  0.03709479  0.53418458  0.        ]",[-0.29814976 -0.04083458],-0.163058,[ 0.57507216 -0.77179513],[-0.21039137 -1.74305296]
48,"[[ -7.82658038e+00  -3.00353002e+00  -5.40232303e-02  -5.46865194e-02]
 [ -8.84365723e+00   8.54328472e-03   0.00000000e+00   0.00000000e+00]]",-0.0740983684832,"[-0.17480347 -0.56134239 -1.54035836  0.23329797 -0.45730991 -0.48979159
 -0.4859468   0.35459462  0.04714504  0.56175957  0.        ]",[-0.29814976 -0.04083458],-0.16692,[-0.16570684 -1.40693318],[-0.15507179 -1.77179122]
49,"[[ -8.00827964e+00  -3.00359184e+00  -5.40232303e-02  -5.46865194e-02]
 [ -9.32466637e+00  -8.58530932e-03   0.00000000e+00   0.00000000e+00]]",-0.0772878790652,"[-0.42418701 -0.56135296 -1.52315987  0.23349951 -0.45730901 -0.48979061
 -0.50036916  0.35231736  0.06008224  0.58410332  0.        ]",[-0.29814976 -0.04083458],-0.252659,[ 0.40468505  0.57761451],[-0.11331469 -1.79099381]
