timestep,logstd_action_dist,original_rewards,obs,human_obs,rewards,actions,avg_action_dist
18,[-0.38336244 -0.01908482],-0.168825339982,"[ 0.06595932 -0.53139566 -1.50494918  0.24097121  0.61005951 -1.20384837
 -1.17232604  0.364659   -0.8497796   1.26114177  0.        ]","[[ -7.66149742e+00  -3.00418291e+00   6.86383734e-02  -1.39868062e-01]
 [ -3.78785042e+01   1.26342571e-02   0.00000000e+00   0.00000000e+00]]",-0.583247,[-2.08249679 -1.74709878],[-0.98633945 -1.62845373]
19,[-0.38336244 -0.01908482],-0.173343709714,"[-0.97235523 -0.53136738 -1.27479201  0.24047722  0.61005852 -1.20384487
 -1.25633133  0.36343889 -0.78369003  1.34685966  0.        ]","[[ -8.45126875e+00  -3.00404142e+00   6.86383734e-02  -1.39868062e-01]
 [ -4.10879340e+01   3.39870456e-03   0.00000000e+00   0.00000000e+00]]",-0.640367,[-0.64495316 -1.78967131],[-0.98212838 -1.65567827]
20,[-0.38336244 -0.01908482],-0.167805037908,"[-1.56279342 -0.53135952 -0.24360844  0.24035015  0.61005753 -1.20384138
 -1.30187712  0.36309457 -0.67958012  1.34907741  0.        ]","[[ -9.29048704e+00  -3.00400508e+00   6.86383734e-02  -1.39868062e-01]
 [ -4.28280952e+01   7.95106478e-04   0.00000000e+00   0.00000000e+00]]",-0.744113,[-1.02366065 -0.70507646],[-0.97682285 -1.65965712]
21,[-0.38336244 -0.01908482],-0.153743495903,"[-1.2022786  -0.5312964   0.97372658  0.23923196  0.61005654 -1.20383789
 -1.3833165   0.36585989 -0.60661295  1.25241105  0.        ]","[[ -1.01782671e+01  -3.00368468e+00   6.86383734e-02  -1.39868062e-01]
 [ -4.59395389e+01   2.17390166e-02   0.00000000e+00   0.00000000e+00]]",-0.64889,[-0.48246784 -2.06057428],[-0.98460937 -1.645293  ]
22,[-0.38336244 -0.01908482],-0.140340947981,"[-0.04424746 -0.53128075  1.43442188  0.2389657   0.61005554 -1.2038344
 -1.40950787  0.36223472 -0.62726615  1.11939014  0.        ]","[[ -1.11070991e+01  -3.00360845e+00   6.86383734e-02  -1.39868062e-01]
 [ -4.69403300e+01  -5.70867735e-03   0.00000000e+00   0.00000000e+00]]",-0.499821,[-1.51567382 -1.716299  ],[-0.97928119 -1.60175109]
23,[-0.38336244 -0.01908482],-0.140646328152,"[ 1.01791256 -0.5313082   0.65601412  0.23947183  0.61005455 -1.20383091
 -1.48881533  0.36204438 -0.73528601  1.05951553  0.        ]","[[ -1.20763071e+01  -3.00375360e+00   6.86383734e-02  -1.39868062e-01]
 [ -4.99703682e+01  -7.14634800e-03   0.00000000e+00   0.00000000e+00]]",-0.394342,[ 0.36521361 -2.38938202],[-0.9481113  -1.51441479]
24,[-0.38336244 -0.01908482],-0.155137615678,"[ 1.02123533 -0.53133018 -0.73800608  0.23988017  0.61005356 -1.20382741
 -1.42506686  0.36239528 -0.83855513  1.13139489  0.        ]","[[ -1.30512811e+01  -3.00387072e+00   6.86383734e-02  -1.39868062e-01]
 [ -4.75351463e+01  -4.48550643e-03   0.00000000e+00   0.00000000e+00]]",-0.435095,[-0.5365089  -2.61000812],[-0.96340525 -1.56371188]
25,[-0.38336244 -0.01908482],-0.169581631981,"[-0.02812602 -0.53134232 -1.5211278   0.24011231  0.61005257 -1.20382392
 -1.45603153  0.36267838 -0.84668749  1.27073949  0.        ]","[[ -1.40138551e+01  -3.00393734e+00   6.86383734e-02  -1.39868062e-01]
 [ -4.87183134e+01  -2.33809645e-03   0.00000000e+00   0.00000000e+00]]",-0.563233,[-0.82463821 -2.02705045],[-0.97161973 -1.61366665]
26,[-0.38336244 -0.01908482],-0.172668000289,"[-1.25419605 -0.53134797 -0.99919659  0.24022785  0.61005158 -1.20382043
 -1.51624322  0.36283969 -0.75001739  1.35913099  0.        ]","[[ -1.50113033e+01  -3.00397055e+00   6.86383734e-02  -1.39868062e-01]
 [ -5.10188453e+01  -1.11285515e-03   0.00000000e+00   0.00000000e+00]]",-0.694787,[-1.93040754 -1.36319838],[-0.96971798 -1.64664102]
27,[-0.38336244 -0.01908482],-0.160637945861,"[-1.49010006 -0.53135015  0.47049306  0.24028123  0.61005059 -1.20381694
 -1.59343581  0.36292014 -0.63027184  1.30528697  0.        ]","[[ -1.60612715e+01  -3.00398593e+00   6.86383734e-02  -1.39868062e-01]
 [ -5.39681430e+01  -4.99965611e-04   0.00000000e+00   0.00000000e+00]]",-0.709409,[-0.5265048  -0.30116546],[-0.97134459 -1.64200151]
28,[-0.38336244 -0.01908482],-0.142902079471,"[-0.37332455 -0.53120629  1.43150698  0.23771874  0.61004959 -1.20381344
 -1.6200284   0.36972028 -0.61165646  1.15065006  0.        ]","[[ -1.71508303e+01  -3.00325155e+00   6.86383734e-02  -1.39868062e-01]
 [ -5.49843458e+01   5.09971108e-02   0.00000000e+00   0.00000000e+00]]",-0.525364,[-0.62944313 -1.28346524],[-0.97294426 -1.60472369]
29,[-0.38336244 -0.01908482],-0.139759061686,"[ 0.95100933 -0.53117109  0.7772615   0.23710458  0.6100486  -1.20380995
 -1.65676225  0.36119051 -0.72276421  1.05903054  0.        ]","[[ -1.82646005e+01  -3.00307559e+00   6.86383734e-02  -1.39868062e-01]
 [ -5.63880009e+01  -1.35899505e-02   0.00000000e+00   0.00000000e+00]]",-0.391688,[-0.28838661 -1.9872697 ],[-0.93792582 -1.50321221]
30,[-0.38336244 -0.01908482],-0.156128908066,"[ 0.9818581  -0.53123748 -0.81334317  0.23830456  0.61004761 -1.20380646
 -1.65742303  0.36075143 -0.84239533  1.13858066  0.        ]","[[ -1.93926166e+01  -3.00341963e+00   6.86383734e-02  -1.39868062e-01]
 [ -5.64135261e+01  -1.69111370e-02   0.00000000e+00   0.00000000e+00]]",-0.403627,[-0.29317097 -3.08408644],[-0.94768059 -1.54760337]
31,[-0.38336244 -0.01908482],-0.171590267517,"[-0.33644113 -0.53129069 -1.52484411  0.23927123  0.61004662 -1.20380297
 -1.65856638  0.36158278 -0.83254122  1.29992554  0.        ]","[[ -2.05213282e+01  -3.00369679e+00   6.86383734e-02  -1.39868062e-01]
 [ -5.64574881e+01  -1.06122018e-02   0.00000000e+00   0.00000000e+00]]",-0.561218,[-0.13529435 -2.65097191],[-0.96152568 -1.61123133]
32,[-0.38336244 -0.01908482],-0.170161728532,"[-1.49331121 -0.53132053 -0.54974248  0.23982041  0.61004563 -1.20379948
 -1.64332552  0.3622542  -0.70551995  1.35845913  0.        ]","[[ -2.16446387e+01  -3.00385428e+00   6.86383734e-02  -1.39868062e-01]
 [ -5.58755002e+01  -5.52425782e-03   0.00000000e+00   0.00000000e+00]]",-0.64395,[-0.93032918 -3.25246356],[-0.96340573 -1.6426034 ]
33,[-0.38336244 -0.01908482],-0.152970183317,"[-1.16046347 -0.53133497  1.01982049  0.24009386  0.61004464 -1.20379598
 -1.71077897  0.36263578 -0.60527848  1.24586805  0.        ]","[[ -2.27880077e+01  -3.00393274e+00   6.86383734e-02  -1.39868062e-01]
 [ -5.84528065e+01  -2.63116906e-03   0.00000000e+00   0.00000000e+00]]",-0.609661,[-1.51884493 -2.67159999],[-0.97093523 -1.62674034]
34,[-0.38336244 -0.01908482],-0.138490452801,"[ 0.36824179 -0.53134124  1.31236851  0.24022058  0.61004365 -1.20379249
 -1.78411622  0.36282618 -0.65610733  1.08683381  0.        ]","[[ -2.39851785e+01  -3.00396915e+00   6.86383734e-02  -1.39868062e-01]
 [ -6.12549382e+01  -1.18570870e-03   0.00000000e+00   0.00000000e+00]]",-0.412576,[-0.84314233 -1.83604419],[-0.94694507 -1.53832603]
35,[-0.38336244 -0.01908482],-0.14851847194,"[ 1.17333201 -0.53134356 -0.19125431  0.24027645  0.61004265 -1.203789
 -1.8397447   0.36291456 -0.80532822  1.08885945  0.        ]","[[ -2.52316042e+01  -3.00398525e+00   6.86383734e-02  -1.39868062e-01]
 [ -6.33805527e+01  -5.12787002e-04   0.00000000e+00   0.00000000e+00]]",-0.404257,[-1.26775684 -1.05883494],[-0.90825486 -1.47759604]
36,[-0.38336244 -0.01908482],-0.169000522518,"[ 0.04525404 -0.53134409 -1.5091258   0.24030008  0.61004166 -1.20378551
 -1.91052645  0.36295358 -0.84922173  1.26318727  0.        ]","[[ -2.65263512e+01  -3.00399210e+00   6.86383734e-02  -1.39868062e-01]
 [ -6.60851325e+01  -2.13637824e-04   0.00000000e+00   0.00000000e+00]]",-0.538029,[-1.63649106 -1.63098651],[-0.94677055 -1.58333373]
37,[-0.38336244 -0.01908482],-0.170641466844,"[-1.46661215 -0.53134382 -0.62341179  0.24030951  0.61004067 -1.20378202
 -1.97990553  0.36297027 -0.71216888  1.35962324  0.        ]","[[ -2.78746526e+01  -3.00399489e+00   6.86383734e-02  -1.39868062e-01]
 [ -6.87361712e+01  -8.35729958e-05   0.00000000e+00   0.00000000e+00]]",-0.704756,[-0.96388678 -0.39629497],[-0.94888043 -1.62287521]
38,[-0.38336244 -0.01908482],-0.149514922818,"[-0.94226738 -0.53121855  1.20751161  0.23807903  0.61003968 -1.20377853
 -2.04416702  0.36881938 -0.60140741  1.21593674  0.        ]","[[ -2.92740136e+01  -3.00335568e+00   6.86383734e-02  -1.39868062e-01]
 [ -7.11917414e+01   4.42115341e-02   0.00000000e+00   0.00000000e+00]]",-0.582101,[-0.83267341 -1.73252644],[-0.95568287 -1.60193276]
39,[-0.38336244 -0.01908482],-0.139009037158,"[ 0.8568654  -0.53118763  0.91326684  0.23754087  0.61003869 -1.20377503
 -2.09355718  0.3614393  -0.70826018  1.06097341  0.        ]","[[ -3.07167858e+01  -3.00320151e+00   6.86383734e-02  -1.39868062e-01]
 [ -7.30791946e+01  -1.16690661e-02   0.00000000e+00   0.00000000e+00]]",-0.317106,[-1.61052673 -2.80065586],[-0.90007639 -1.46306527]
40,[-0.38336244 -0.01908482],-0.160344357046,"[ 0.77436516 -0.53124465 -1.09895543  0.23857409  0.6100377  -1.20377154
 -2.1593085   0.36105492 -0.85370684  1.17297105  0.        ]","[[ -3.22035793e+01  -3.00349775e+00   6.86383734e-02  -1.39868062e-01]
 [ -7.55917771e+01  -1.45760180e-02   0.00000000e+00   0.00000000e+00]]",-0.416584,[ 0.46758709 -2.60149645],[-0.91691661 -1.52666163]
41,[-0.38336244 -0.01908482],-0.173267395474,"[-1.07988393 -0.53129038 -1.18717632  0.23940735  0.61003671 -1.20376805
 -2.07166966  0.3617709  -0.77229933  1.35251525  0.        ]","[[ -3.36818257e+01  -3.00373666e+00   6.86383734e-02  -1.39868062e-01]
 [ -7.22440166e+01  -9.15072338e-03   0.00000000e+00   0.00000000e+00]]",-0.652946,[-1.20505119  0.0071817 ],[-0.94323063 -1.60868764]
42,[-0.38336244 -0.01908482],-0.156599573372,"[-1.33877618 -0.5311066   0.78914603  0.23613833  0.61003571 -1.20376456
 -2.13785333  0.37258006 -0.61347466  1.2754892   0.        ]","[[ -3.51520813e+01  -3.00279974e+00   6.86383734e-02  -1.39868062e-01]
 [ -7.47731235e+01   7.27031103e-02   0.00000000e+00   0.00000000e+00]]",-0.635375,[-0.94023094 -1.78192357],[-0.95029187 -1.60889816]
43,[-0.38336244 -0.01908482],-0.138146556778,"[ 0.51276614 -0.5310635   1.23060604  0.23538572  0.61003472 -1.20376107
 -2.19653153  0.36009865 -0.66792656  1.07689946  0.        ]","[[ -3.66700426e+01  -3.00258408e+00   6.86383734e-02  -1.39868062e-01]
 [ -7.70155308e+01  -2.18059233e-02   0.00000000e+00   0.00000000e+00]]",-0.30959,[-0.11159537 -3.42721921],[-0.91494679 -1.49231601]
44,[-0.38336244 -0.01908482],-0.155359000501,"[ 1.01116845 -0.53116733 -0.7582784   0.23724886  0.61003373 -1.20375757
 -2.16817571  0.35955757 -0.8397673   1.1326483   0.        ]","[[ -3.81994892e+01  -3.00311824e+00   6.86383734e-02  -1.39868062e-01]
 [ -7.59327379e+01  -2.58995080e-02   0.00000000e+00   0.00000000e+00]]",-0.400981,[ 0.04251596 -1.26452256],[-0.89468819 -1.48426259]
45,[-0.38336244 -0.01908482],-0.173214194012,"[-0.77368794 -0.531249   -1.39604632  0.23872273  0.61003274 -1.20375408
 -2.12441118  0.3608485  -0.80240274  1.33449029  0.        ]","[[ -3.97013730e+01  -3.00354078e+00   6.86383734e-02  -1.39868062e-01]
 [ -7.42612080e+01  -1.61205791e-02   0.00000000e+00   0.00000000e+00]]",-0.574315,[-1.12263771 -2.38895447],[-0.93821824 -1.5963757 ]
46,[-0.38336244 -0.01908482],-0.160364665698,"[-1.48152316 -0.53129472  0.49492726  0.23955585  0.61003175 -1.20375059
 -2.1895478   0.36187228 -0.6288085   1.30333714  0.        ]","[[ -4.12115719e+01  -3.00377965e+00   6.86383734e-02  -1.39868062e-01]
 [ -7.67503901e+01  -8.36457796e-03   0.00000000e+00   0.00000000e+00]]",-0.708471,[-1.39232485  0.57028993],[-0.9480648 -1.6109947]
47,[-0.38336244 -0.01908482],-0.137248934301,"[ 0.28717312 -0.52655513  1.34850838  0.1610887   0.61003076 -1.2037471
 -2.2533876   0.66059261 -0.63178607  1.08806377  0.        ]","[[ -4.27710583e+01  -2.98125303e+00   6.86383734e-02  -1.39868062e-01]
 [ -7.91900828e+01   2.25362783e+00   0.00000000e+00   0.00000000e+00]]",-0.388436,[-1.66663753 -0.89999083],[-0.89587927 -1.50194669]
48,[-0.38336244 -0.01908482],-0.151220017185,"[ 1.07315544 -0.52448258 -0.6191304   0.13010772  0.61002977 -1.20374361
 -2.31596988  0.18470309 -0.83827803  1.09133367  0.        ]","[[ -4.43788561e+01  -2.97233694e+00   6.86383734e-02  -1.39868062e-01]
 [ -8.15817889e+01  -1.34992069e+00   0.00000000e+00   0.00000000e+00]]",-0.353559,[-1.3584057  -2.31992567],[-0.87765294 -1.45427966]
49,[-0.38336244 -0.01908482],-0.173085085946,"[-0.83484612 -0.53466834 -1.36362745  0.30452584  0.61002877 -1.20374012
 -2.37731549  0.1848651  -0.79496183  1.33766755  0.        ]","[[ -4.60340162e+01  -3.02237798e+00   6.86383734e-02  -1.39868062e-01]
 [ -8.39263071e+01  -1.34869221e+00   0.00000000e+00   0.00000000e+00]]",-0.604282,[-1.10545872 -0.19379814],[-0.93743801 -1.58616424]
