timestep,logstd_action_dist,original_rewards,obs,human_obs,rewards,actions,avg_action_dist
22,[-0.10048538 -0.04116301],-0.127304710275,"[-1.07906083 -0.64752771  1.17186984  0.21322407 -0.93103834  0.10976982
  1.38740263  0.32691751  0.6345812  -0.07032131  0.        ]","[[  8.48639926e+00  -3.00331716e+00  -1.09576153e-01   9.01903925e-03]
 [  3.49240285e+01  -2.05376262e-02   0.00000000e+00   0.00000000e+00]]",-0.210431,[ 0.8165507  -1.72333612],[ 0.72911042 -1.48175788]
23,[-0.10048538 -0.04116301],-0.121605616433,"[-1.61175114 -0.64758466  0.27404813  0.21415132 -0.93103319  0.10976949
  1.51239807  0.32799581  0.59593617  0.01953861  0.        ]","[[  9.21038043e+00  -3.00364834e+00  -1.09576153e-01   9.01903925e-03]
 [  3.74656185e+01  -1.25136235e-02   0.00000000e+00   0.00000000e+00]]",-0.0665415,[ 0.93497768 -1.93848161],[ 0.74114263 -1.48555899]
24,[-0.10048538 -0.04116301],-0.109394554034,"[-1.4291456  -0.64761512 -0.85661298  0.21466764 -0.93102805  0.10976916
  1.65797707  0.32881305  0.50905005  0.05732356  0.        ]","[[  9.98939307e+00  -3.00383285e+00  -1.09576153e-01   9.01903925e-03]
 [  4.04257803e+01  -6.43033746e-03   0.00000000e+00   0.00000000e+00]]",-0.0284666,[ 1.44136734 -1.0827168 ],[ 0.72132939 -1.47356999]
25,[-0.10048538 -0.04116301],-0.0961959371984,"[-0.49129506 -0.64762874 -1.53871389  0.21492183 -0.9310229   0.10976883
  1.81333078  0.32926841  0.41931432  0.00707438  0.        ]","[[  1.08296040e+01  -3.00392381e+00  -1.09576153e-01   9.01903925e-03]
 [  4.35847834e+01  -3.03721822e-03   0.00000000e+00   0.00000000e+00]]",0.177633,[-0.03122843 -3.23239007],[ 0.67189151 -1.44330263]
26,[-0.10048538 -0.04116301],-0.0930035147786,"[ 0.62132792 -0.64763356 -1.2080028   0.21503884 -0.93101775  0.1097685
  1.7647899   0.32949179  0.39204159 -0.1069778   0.        ]","[[  1.16914021e+01  -3.00396581e+00  -1.09576153e-01   9.01903925e-03]
 [  4.25983173e+01  -1.36859488e-03   0.00000000e+00   0.00000000e+00]]",-0.097459,[ 0.55500777 -1.64345908],[ 0.62759805 -1.39601803]
27,[-0.10048538 -0.04116301],-0.103306249815,"[ 1.11666346 -0.64763418 -0.06183292  0.2150903  -0.9310126   0.10976817
  1.83136935  0.32959491  0.4492817  -0.20552914  0.        ]","[[  1.25569550e+01  -3.00398441e+00  -1.09576153e-01   9.01903925e-03]
 [  4.39524585e+01  -5.94006233e-04   0.00000000e+00   0.00000000e+00]]",-0.189787,[ 0.43006327 -1.75315153],[ 0.63617593 -1.36567342]
28,[-0.10048538 -0.04116301],-0.118256147375,"[ 0.61811631 -0.64763289  1.11572379  0.215112   -0.93100746  0.10976784
  1.87229738  0.32963991  0.55360134 -0.21785954  0.        ]","[[  1.34443583e+01  -3.00399239e+00  -1.09576153e-01   9.01903925e-03]
 [  4.47851010e+01  -2.51423427e-04   0.00000000e+00   0.00000000e+00]]",-0.321131,[ 2.10650431 -1.14518266],[ 0.68967718 -1.40306449]
29,[-0.10048538 -0.04116301],-0.127129246344,"[-0.58293076 -0.64763076  1.42316162  0.2151206  -0.93100231  0.10976751
  2.02339478  0.32965915  0.62922723 -0.12655845  0.        ]","[[  1.43708898e+01  -3.00399570e+00  -1.09576153e-01   9.01903925e-03]
 [  4.78578047e+01  -1.00355297e-04   0.00000000e+00   0.00000000e+00]]",-0.106088,[ 0.47102637 -2.47291353],[ 0.76199967 -1.47200727]
30,[-0.10048538 -0.04116301],-0.123406953706,"[-1.54959104 -0.64762827  0.50010796  0.21512361 -0.93099716  0.10976719
  2.06848912  0.32966623  0.60879585  0.00293199  0.        ]","[[  1.53372516e+01  -3.00399701e+00  -1.09576153e-01   9.01903925e-03]
 [  4.87753199e+01  -3.97158742e-05   0.00000000e+00   0.00000000e+00]]",-0.192606,[-0.69884491 -0.90054099],[ 0.78027046 -1.4981761 ]
31,[-0.10048538 -0.04116301],-0.109350298076,"[-1.427115   -0.64760671 -0.86009054  0.21482903 -0.93099202  0.10976686
  1.88488745  0.33064799  0.50873146  0.05727294  0.        ]","[[  1.62753086e+01  -3.00389212e+00  -1.09576153e-01   9.01903925e-03]
 [  4.50428125e+01   7.26655631e-03   0.00000000e+00   0.00000000e+00]]",-0.186817,[ 1.02080975  0.36328113],[ 0.73588222 -1.47700107]
32,[-0.10048538 -0.04116301],-0.0935629738168,"[-0.36231491 -0.64484486 -1.55558318  0.17398813 -0.93098687  0.10976653
  2.03573031  0.52432707  0.40113832 -0.00445276  0.        ]","[[  1.72069434e+01  -2.98930162e+00  -1.09576153e-01   9.01903925e-03]
 [  4.81104321e+01   1.44703735e+00   0.00000000e+00   0.00000000e+00]]",-0.051011,[ 1.46520739 -0.85933048],[ 0.67740226 -1.43974781]
33,[-0.10048538 -0.04116301],-0.0942696157199,"[ 0.83512997 -0.64590856 -0.96284921  0.18928403 -0.93098172  0.1097662
  2.18357139  0.06298708  0.39596608 -0.14472503  0.        ]","[[  1.81993193e+01  -2.99477003e+00  -1.09576153e-01   9.01903925e-03]
 [  5.11171741e+01  -1.98242635e+00   0.00000000e+00   0.00000000e+00]]",-0.113794,[ 0.09633859 -1.38841628],[ 0.65120447 -1.39316976]
34,[-0.10048538 -0.04116301],-0.108538824172,"[ 1.02543573 -0.65029619  0.49317162  0.25951711 -0.93097658  0.10976587
  2.15253326  0.28677671  0.48566842 -0.21053828  0.        ]","[[  1.92153382e+01  -3.01982415e+00  -1.09576153e-01   9.01903925e-03]
 [  5.04868133e+01  -3.18838438e-01   0.00000000e+00   0.00000000e+00]]",-0.329375,[ 1.18559932 -0.59864309],[ 0.67572439 -1.37463057]
35,[-0.10048538 -0.04116301],-0.123134427079,"[-0.03583825 -0.64992669  1.44359279  0.25309946 -0.93097143  0.10976554
  2.29805964  0.37256832  0.59526725 -0.17539272  0.        ]","[[  2.02547718e+01  -3.01753854e+00  -1.09576153e-01   9.01903925e-03]
 [  5.34466673e+01   3.18916699e-01   0.00000000e+00   0.00000000e+00]]",-0.125575,[ 0.44278406 -2.35124938],[ 0.76475859 -1.43746448]
36,[-0.10048538 -0.04116301],-0.125529031215,"[-1.35311457 -0.64894109  0.87990732  0.23646393 -0.93096628  0.10976521
  2.33219742  0.36310778  0.62333977 -0.03845964  0.        ]","[[  2.13306787e+01  -3.01161036e+00  -1.09576153e-01   9.01903925e-03]
 [  5.41417032e+01   2.48599461e-01   0.00000000e+00   0.00000000e+00]]",-0.120752,[ 0.80199145 -1.32964922],[ 0.79831159 -1.50007486]
37,[-0.10048538 -0.04116301],-0.111717537376,"[-1.50982302 -0.64827721 -0.69631956  0.22569246 -0.93096114  0.10976488
  2.43559673  0.34848031  0.52546493  0.0538737   0.        ]","[[  2.24346177e+01  -3.00776953e+00  -1.09576153e-01   9.01903925e-03]
 [  5.62451901e+01   1.39872980e-01   0.00000000e+00   0.00000000e+00]]",0.0757807,[ 2.14868518 -1.61039213],[ 0.77945256 -1.49093127]
38,[-0.10048538 -0.04116301],-0.094449097818,"[-0.227228   -0.64791812 -1.55895748  0.22001393 -0.93095599  0.10976455
  2.57549391  0.33899014  0.40731555 -0.01500793  0.        ]","[[  2.35880746e+01  -3.00574403e+00  -1.09576153e-01   9.01903925e-03]
 [  5.90910152e+01   6.93351207e-02   0.00000000e+00   0.00000000e+00]]",-0.0182039,[ 1.19824707 -0.76158648],[ 0.71916264 -1.44078052]
39,[-0.10048538 -0.04116301],-0.0982787979301,"[ 1.04009312 -0.64769741 -0.54445232  0.2165821  -0.93095084  0.10976422
  2.71260947  0.33633267  0.41927348 -0.17520403  0.        ]","[[  2.47978828e+01  -3.00451974e+00  -1.09576153e-01   9.01903925e-03]
 [  6.18805076e+01   4.95888178e-02   0.00000000e+00   0.00000000e+00]]",-0.0546727,[ 1.59542307 -2.43677999],[ 0.69335735 -1.38211167]
40,[-0.10048538 -0.04116301],-0.119019039569,"[ 0.56153413 -0.64760473  1.16451552  0.21517437 -0.9309457   0.1097639
  2.84699722  0.33095998  0.55951841 -0.21519551  0.        ]","[[  2.60629268e+01  -3.00401762e+00  -1.09576153e-01   9.01903925e-03]
 [  6.46147794e+01   9.65870260e-03   0.00000000e+00   0.00000000e+00]]",-0.17044,[-1.05673603 -1.55210271],[ 0.77252287 -1.41286278]
41,[-0.10048538 -0.04116301],-0.127339488239,"[-1.04151915 -0.64758832  1.20094001  0.21496015 -0.93094055  0.10976357
  2.58933076  0.3297116   0.63453035 -0.07540326  0.        ]","[[  2.73026635e+01  -3.00394141e+00  -1.09576153e-01   9.01903925e-03]
 [  5.93763460e+01   3.86813615e-04   0.00000000e+00   0.00000000e+00]]",0.0256686,[ 1.74080449 -2.94485781],[ 0.81008166 -1.49947262]
42,[-0.10048538 -0.04116301],-0.114892419012,"[-1.60250077 -0.64758774 -0.41254449  0.21499284 -0.93093541  0.10976324
  2.72616009  0.32952173  0.54776318  0.05131741  0.        ]","[[  2.85181216e+01  -3.00395332e+00  -1.09576153e-01   9.01903925e-03]
 [  6.21601948e+01  -1.01656888e-03   0.00000000e+00   0.00000000e+00]]",-0.00729024,[ 1.75956296 -0.63555145],[ 0.8069194  -1.50149059]
43,[-0.10048538 -0.04116301],-0.0949780089601,"[-0.34110446 -0.64751893 -1.5570633   0.21396233 -0.93093026  0.10976291
  2.86026707  0.33314297  0.41097074 -0.00532226  0.        ]","[[  2.97887039e+01  -3.00358578e+00  -1.09576153e-01   9.01903925e-03]
 [  6.48889331e+01   2.59100954e-02   0.00000000e+00   0.00000000e+00]]",0.0923524,[ 1.39429453 -1.78874268],[ 0.74005818 -1.45093417]
44,[-0.10048538 -0.04116301],-0.0987344043828,"[ 1.05404693 -0.64750162 -0.49814947  0.21373479 -0.93092511  0.10976258
  2.9917044   0.32864922  0.42170514 -0.17955748  0.        ]","[[  3.11133188e+01  -3.00350481e+00  -1.09576153e-01   9.01903925e-03]
 [  6.75636504e+01  -7.48611545e-03   0.00000000e+00   0.00000000e+00]]",-0.201814,[ 1.48618113 -0.45652396],[ 0.71518308 -1.38449788]
45,[-0.10048538 -0.04116301],-0.121096965433,"[ 0.39327949 -0.64742833  1.28220421  0.21263814 -0.93091997  0.10976225
  3.12052398  0.33379988  0.57590765 -0.20624492  0.        ]","[[  3.24908969e+01  -3.00311366e+00  -1.09576153e-01   9.01903925e-03]
 [  7.01854196e+01   3.08093420e-02   0.00000000e+00   0.00000000e+00]]",-0.167303,[ 1.30431138 -1.4648851 ],[ 0.7991693  -1.42610598]
46,[-0.10048538 -0.04116301],-0.125819721546,"[-1.37255596 -0.64742709  0.8517919   0.21266046 -0.93091482  0.10976192
  3.24677631  0.32748534  0.62552748 -0.02881153  0.        ]","[[  3.39203896e+01  -3.00312186e+00  -1.09576153e-01   9.01903925e-03]
 [  7.27552851e+01  -1.61214690e-02   0.00000000e+00   0.00000000e+00]]",0.0289567,[-0.38353522 -1.99105819],[ 0.85690653 -1.51878321]
47,[-0.10048538 -0.04116301],-0.10545193488,"[-1.23627234 -0.64748753 -1.1197423   0.21364063 -0.93090968  0.10976159
  3.1011942   0.32749394  0.48176628  0.05308024  0.        ]","[[  3.53458085e+01  -3.00347191e+00  -1.09576153e-01   9.01903925e-03]
 [  6.97964635e+01  -1.60495880e-02   0.00000000e+00   0.00000000e+00]]",0.0585983,[-0.57115187 -0.7460885 ],[ 0.8010419  -1.49437737]
48,[-0.10048538 -0.04116301],-0.092517327905,"[ 0.48940362 -0.64748256 -1.31480203  0.21360494 -0.93090453  0.10976126
  2.92198696  0.33085807  0.3902504  -0.09050084  0.        ]","[[  3.67051856e+01  -3.00345941e+00  -1.09576153e-01   9.01903925e-03]
 [  6.61533869e+01   8.96548398e-03   0.00000000e+00   0.00000000e+00]]",0.0459069,[-0.02435529 -1.95475917],[ 0.71677715 -1.41321111]
49,[-0.10048538 -0.04116301],-0.108948609591,"[ 1.04883904 -0.64749367  0.42085682  0.21381944 -0.93089939  0.10976094
  2.85277877  0.32832804  0.48598901 -0.22300469  0.        ]","[[  3.80141461e+01  -3.00353620e+00  -1.09576153e-01   9.01903925e-03]
 [  6.47473548e+01  -9.83323434e-03   0.00000000e+00   0.00000000e+00]]",-0.178874,[ 2.26318118 -1.69619296],[ 0.72917384 -1.38579202]
