timestep,logstd_action_dist,original_rewards,obs,human_obs,rewards,actions,avg_action_dist
14,[-0.39612928 -0.0136521 ],-0.107593991269,"[-1.12538533 -0.52920935 -1.14236461  0.22906131  0.59090256 -0.54131846
 -0.69219778  0.27214331 -0.74943503  0.69300264  0.        ]","[[ -2.31081524  -3.00072802   0.06692376  -0.06329015]
 [-19.99153378  -0.69136234   0.           0.        ]]",-0.277912,[-0.91768224 -3.05689695],[-0.53814369 -1.46100199]
15,[-0.39612928 -0.0136521 ],-0.102979124057,"[-1.46609736 -0.53037043 -0.62092003  0.24993355  0.59090164 -0.54131764
 -0.77628353  0.35537458 -0.69424109  0.69625231  0.        ]","[[ -2.74312965  -3.00668904   0.06692376  -0.06329015]
 [-23.2291225   -0.06089817   0.           0.        ]]",-0.34755,[-0.47997308 -1.69864238],[-0.5286842 -1.4647907]
16,[-0.39612928 -0.0136521 ],-0.0959306670317,"[-1.56953258 -0.53031867  0.07614775  0.24899801  0.59090071 -0.54131683
 -0.81369472  0.36990847 -0.63892687  0.66993247  0.        ]","[[ -3.22216503  -3.00642205   0.06692376  -0.06329015]
 [-24.66961587   0.04919682   0.           0.        ]]",-0.346008,[-0.30494922 -2.60431186],[-0.53214049 -1.45767713]
17,[-0.39612928 -0.0136521 ],-0.0874160687839,"[-1.34784497 -0.53012548  0.77326986  0.24548417  0.59089978 -0.54131602
 -0.83236735  0.36928447 -0.59853261  0.61404839  0.        ]","[[ -3.72277141  -3.00541892   0.06692376  -0.06329015]
 [-25.38862621   0.04447381   0.           0.        ]]",-0.29348,[ 0.38647816 -2.74501946],[-0.5375061  -1.44200766]
18,[-0.39612928 -0.0136521 ],-0.07981551627,"[-0.85964749 -0.5299891   1.26055285  0.24302348  0.59089886 -0.5413152
 -0.77957003  0.3668567  -0.58563751  0.54361243  0.        ]","[[ -4.21014835  -3.00471639   0.06692376  -0.06329015]
 [-23.35584228   0.02608766   0.           0.        ]]",-0.25777,[-0.7381518   0.83366499],[-0.55579871 -1.42785585]
19,[-0.39612928 -0.0136521 ],-0.0731742848189,"[-0.21094805 -0.52268581  1.44421467  0.12551469  0.59089793 -0.54131439
 -0.84345991  0.80260882 -0.57633415  0.4784731   0.        ]","[[ -4.70194734  -2.97107756   0.06692376  -0.06329015]
 [-25.815839     3.32682348   0.           0.        ]]",-0.122824,[-0.16773083 -2.67076144],[-0.51409751 -1.37691569]
20,[-0.39612928 -0.0136521 ],-0.0693721624421,"[ 0.47274995 -0.51591451  1.25682301  0.03461753  0.59089701 -0.54131358
 -0.84743583  0.27125145 -0.60396257  0.39999091  0.        ]","[[ -5.21980046  -2.94492445   0.06692376  -0.06329015]
 [-25.96898774  -0.69808477   0.           0.        ]]",-0.06284,[ 0.53586274 -1.79388228],[-0.52568161 -1.32138371]
21,[-0.39612928 -0.0136521 ],-0.0799792624226,"[ 0.96275931 -0.52875057  0.75986506  0.22115496  0.59089608 -0.54131277
 -0.77898575 -0.24958184 -0.7056409   0.39424426  0.        ]","[[ -5.71273766  -2.99846915   0.06692376  -0.06329015]
 [-23.33353309  -4.64327609   0.           0.        ]]",-0.125019,[-0.2440351  -1.58781954],[-0.55781198 -1.29529119]
22,[-0.39612928 -0.0136521 ],-0.0913849709472,"[ 1.17415324 -0.53626726  0.10302601  0.37501948  0.59089516 -0.54131195
 -0.79207796  0.35304798 -0.77406998  0.44991985  0.        ]","[[ -6.18446665  -3.04231934   0.06692376  -0.06329015]
 [-23.83767546  -0.07849921   0.           0.        ]]",-0.0643054,[-0.75915488 -3.47479742],[-0.48001403 -1.254776  ]
23,[-0.39612928 -0.0136521 ],-0.0978286633741,"[ 1.07026201 -0.5348543  -0.62777373  0.34131383  0.59089423 -0.54131114
 -0.85788399  0.45609097 -0.80965515  0.48661021  0.        ]","[[ -6.6866422   -3.03273299   0.06692376  -0.06329015]
 [-26.37144741   0.70203032   0.           0.        ]]",-0.132009,[-0.57067559 -0.16952302],[-0.46805775 -1.28229928]
24,[-0.39612928 -0.0136521 ],-0.104298067639,"[ 0.60653695 -0.53261996 -1.25244931  0.29339712  0.5908933  -0.54131033
 -0.90300623  0.44109289 -0.83141971  0.5458888   0.        ]","[[ -7.23150299  -3.01908722   0.06692376  -0.06329015]
 [-28.10884506   0.58842835   0.           0.        ]]",-0.155673,[-0.19242155 -2.14702346],[-0.51448846 -1.37489128]
25,[-0.39612928 -0.0136521 ],-0.108628780516,"[-0.11639815 -0.53112983 -1.52899976  0.26424194  0.59089238 -0.54130951
 -0.90833896  0.40002646 -0.82119921  0.61971739  0.        ]","[[ -7.79574072  -3.01077335   0.06692376  -0.06329015]
 [-28.31424341   0.27736521   0.           0.        ]]",-0.215341,[-0.79367333 -1.64898501],[-0.52752304 -1.40985525]
26,[-0.39612928 -0.0136521 ],-0.108648829033,"[-0.89759996 -0.53041037 -1.32440744  0.25082364  0.59089145 -0.5413087
 -0.97539357  0.37985203 -0.77219247  0.68044577  0.        ]","[[ -8.38793025  -3.00694403   0.06692376  -0.06329015]
 [-30.89610543   0.12455328   0.           0.        ]]",-0.253892,[-0.73319761 -1.75781665],[-0.52679479 -1.43615913]
27,[-0.39612928 -0.0136521 ],-0.103132633607,"[-1.46743856 -0.5300851  -0.61745313  0.24489011  0.59089053 -0.54130789
 -1.03490158  0.3705579  -0.69460372  0.69757859  0.        ]","[[ -9.02884181  -3.00525013   0.06692376  -0.06329015]
 [-33.18741413   0.05415654   0.           0.        ]]",-0.383645,[-1.19566755 -1.46227563],[-0.52393144 -1.45032144]
28,[-0.39612928 -0.0136521 ],-0.0923510568661,"[-1.51209029 -0.52994347  0.39744247  0.24233756  0.5908896  -0.54130708
 -1.12066678  0.3664459  -0.61807535  0.64973203  0.        ]","[[ -9.72572310e+00  -3.00452136e+00   6.69237603e-02  -6.32901456e-02]
 [ -3.64897108e+01   2.30130083e-02   0.00000000e+00   0.00000000e+00]]",-0.353934,[-0.20808075 -0.68902937],[-0.52514589 -1.43708587]
29,[-0.39612928 -0.0136521 ],-0.0803156795472,"[-0.90361484 -0.52981894  1.23331701  0.24010623  0.59088868 -0.54130626
 -1.12329959  0.36768513 -0.58502675  0.54962417  0.        ]","[[ -1.04565355e+01  -3.00388425e+00   6.69237603e-02  -6.32901456e-02]
 [ -3.65911943e+01   3.24034548e-02   0.00000000e+00   0.00000000e+00]]",-0.216481,[-0.48778339 -3.24424373],[-0.54402566 -1.4124018 ]
30,[-0.39612928 -0.0136521 ],-0.0745377293586,"[ 0.08369283 -0.52977779  1.41317071  0.23938044  0.59088775 -0.54130545
 -1.1546424   0.36313692 -0.61832564  0.4471844   0.        ]","[[ -1.12004687e+01  -3.00367706e+00   6.69237603e-02  -6.32901456e-02]
 [ -3.77980954e+01  -2.04426406e-03   0.00000000e+00   0.00000000e+00]]",-0.0803577,[-0.22942913 -2.81619406],[-0.51463485 -1.32392538]
31,[-0.39612928 -0.0136521 ],-0.0800197567972,"[ 0.93375613 -0.52979653  0.8067248   0.23973104  0.59088682 -0.54130464
 -1.15879763  0.36262847 -0.70356754  0.39836162  0.        ]","[[ -1.19580370e+01  -3.00377727e+00   6.69237603e-02  -6.32901456e-02]
 [ -3.79582041e+01  -5.89199100e-03   0.00000000e+00   0.00000000e+00]]",-0.0875642,[ 0.02112219 -1.3388879 ],[-0.44040889 -1.21742964]
32,[-0.39612928 -0.0136521 ],-0.0923878667731,"[ 1.16691004 -0.52981558 -0.25485587  0.24008731  0.5908859  -0.54130382
 -1.13710607  0.36286967 -0.79317173  0.43143314  0.        ]","[[ -1.27088226e+01  -3.00387910e+00   6.69237603e-02  -6.32901456e-02]
 [ -3.71231378e+01  -4.06139323e-03   0.00000000e+00   0.00000000e+00]]",-0.105929,[-0.5499564   0.22162423],[-0.41363871 -1.21328235]
33,[-0.39612928 -0.0136521 ],-0.104149068533,"[ 0.66031533 -0.52806134 -1.20856683  0.20952894  0.59088497 -0.54130301
 -1.17456702  0.47883821 -0.84449217  0.52261205  0.        ]","[[-13.46575819  -2.99514697   0.06692376  -0.06329015]
 [-38.56560954   0.87436755   0.           0.        ]]",-0.148285,[-1.0298309  -1.50657202],[-0.46880895 -1.33027387]
34,[-0.39612928 -0.0136521 ],-0.110138885892,"[-0.37782272 -0.53045976 -1.51857986  0.25184724  0.59088405 -0.5413022
 -1.25756888  0.2258297  -0.81868964  0.64253061  0.        ]","[[-14.26913657  -3.00723686   0.06692376  -0.06329015]
 [-41.761549    -1.04208534   0.           0.        ]]",-0.217917,[-0.2553072  -1.47206684],[-0.52351469 -1.40242028]
35,[-0.39612928 -0.0136521 ],-0.104501378494,"[-1.33204952 -0.53171438 -0.88589036  0.27560619  0.59088312 -0.54130139
 -1.26234586  0.37102855 -0.71570537  0.69234965  0.        ]","[[-15.10621437  -3.01401581   0.06692376  -0.06329015]
 [-41.94562218   0.05774997   0.           0.        ]]",-0.384975,[-1.78851198 -1.36368697],[-0.51374209 -1.4329114 ]
36,[-0.39612928 -0.0136521 ],-0.0923934979729,"[-1.52461973 -0.53115126  0.35119389  0.26480941  0.59088219 -0.54130057
 -1.34360593  0.38764802 -0.62157767  0.64717599  0.        ]","[[-15.9765201   -3.01093614   0.06692376  -0.06329015]
 [-45.07452601   0.18364055   0.           0.        ]]",-0.310436,[-0.47264547 -2.91352155],[-0.51398432 -1.42445648]
37,[-0.39612928 -0.0136521 ],-0.0784712056826,"[-0.72142494 -0.53055475  1.33204403  0.25364531  0.59088127 -0.54129976
 -1.3690286   0.38022358 -0.58902945  0.52548305  0.        ]","[[-16.88783343  -3.00775038   0.06692376  -0.06329015]
 [-46.05354528   0.12740692   0.           0.        ]]",-0.21116,[-0.47069515 -0.98412794],[-0.5360465 -1.394225 ]
38,[-0.39612928 -0.0136521 ],-0.0758334543151,"[ 0.51126493 -0.53018311  1.23280967  0.2468292   0.59088034 -0.54129895
 -1.3937472   0.37265906 -0.65350473  0.41691938  0.        ]","[[-17.81845525  -3.00580472   0.06692376  -0.06329015]
 [-47.00546446   0.07011219   0.           0.        ]]",-0.0775145,[-0.38940702 -0.74535343],[-0.45753402 -1.24645209]
39,[-0.39612928 -0.0136521 ],-0.0884576318425,"[ 1.17590971 -0.52993873  0.08249591  0.24240536  0.59087942 -0.54129813
 -1.40961727  0.37025059 -0.76876161  0.41372225  0.        ]","[[-18.76469722  -3.00454168   0.06692376  -0.06329015]
 [-47.61669573   0.0518726    0.           0.        ]]",-0.0728749,[-0.03004449 -1.85850993],[-0.36734843 -1.15723515]
40,[-0.39612928 -0.0136521 ],-0.103521681879,"[ 0.70294467 -0.52983616 -1.17044613  0.24056874  0.59087849 -0.54129732
 -1.38821972  0.36472766 -0.83881422  0.52270289  0.        ]","[[ -1.97087668e+01  -3.00401730e+00   6.69237603e-02  -6.32901456e-02]
 [ -4.67930095e+01   1.00421825e-02   0.00000000e+00   0.00000000e+00]]",-0.0977115,[ 0.57229353 -0.09367867],[-0.43508106 -1.28709471]
41,[-0.39612928 -0.0136521 ],-0.109734703368,"[-0.45974497 -0.52963236 -1.50410405  0.23692715  0.59087757 -0.54129651
 -1.30530724  0.37221834 -0.80913874  0.64960596  0.        ]","[[-20.61259846  -3.00297738   0.06692376  -0.06329015]
 [-43.60079314   0.06678491   0.           0.        ]]",-0.220236,[-0.4873672  -2.09604921],[-0.51109666 -1.39906168]
42,[-0.39612928 -0.0136521 ],-0.104628547182,"[-1.4081146  -0.52958867 -0.7515012   0.23616082  0.59087664 -0.5412957
 -1.33300185  0.36094507 -0.70841245  0.70090982  0.        ]","[[ -2.14953148e+01  -3.00275859e+00   6.69237603e-02  -6.32901456e-02]
 [ -4.46672832e+01  -1.86021259e-02   0.00000000e+00   0.00000000e+00]]",-0.362705,[-0.69306647 -0.83547813],[-0.51637882 -1.43262792]
43,[-0.39612928 -0.0136521 ],-0.0904381475018,"[-1.45641713 -0.52964485  0.55789689  0.23717786  0.59087571 -0.54129488
 -1.38129984  0.36198992 -0.60856257  0.63750715  0.        ]","[[ -2.24073204e+01  -3.00304915e+00   6.69237603e-02  -6.32901456e-02]
 [ -4.65270809e+01  -1.06842065e-02   0.00000000e+00   0.00000000e+00]]",-0.35202,[-0.33079569  0.05496665],[-0.51760155 -1.41925883]
44,[-0.39612928 -0.0136521 ],-0.0765042019942,"[-0.49740179 -0.52925253  1.40837362  0.23022821  0.59087479 -0.54129407
 -1.39138858  0.39092194 -0.58918773  0.50317861  0.        ]","[[-23.34176127  -3.00106408   0.06692376  -0.06329015]
 [-46.91571073   0.20846795   0.           0.        ]]",-0.219945,[-1.5435109  -1.34344384],[-0.53010035 -1.37670016]
45,[-0.39612928 -0.0136521 ],-0.0770919120181,"[ 0.74087557 -0.52921021  1.04655378  0.22949646  0.59087386 -0.54129326
 -1.47009212  0.35108287 -0.6746808   0.40250249  0.        ]","[[-24.31048186  -3.00085511   0.06692376  -0.06329015]
 [-49.94624777  -0.09329289   0.           0.        ]]",-0.0535131,[ 0.46515405 -0.95761072],[-0.4251768  -1.20483053]
46,[-0.39612928 -0.0136521 ],-0.0923996514532,"[ 1.16575666 -0.52950185 -0.26341326  0.23466918  0.59087294 -0.54129245
 -1.39657554  0.35619064 -0.79374561  0.43051107  0.        ]","[[-25.28100815  -3.00233286   0.06692376  -0.06329015]
 [-47.11581297  -0.05460016   0.           0.        ]]",-0.0691015,[ 0.14965641  1.04676539],[-0.36233348 -1.166067  ]
47,[-0.39612928 -0.0136521 ],-0.107230361152,"[ 0.45838922 -0.52084317 -1.35255431  0.09971861  0.59087201 -0.54129163
 -1.35694977  0.87927376 -0.86632501  0.53199212  0.        ]","[[-26.20801853  -2.96367183   0.06692376  -0.06329015]
 [-45.59026675   3.90754156   0.           0.        ]]",-0.172766,[-0.20469439 -0.37846873],[-0.43277824 -1.32896256]
48,[-0.39612928 -0.0136521 ],-0.119089114742,"[-0.75238448 -0.50248931 -1.40499648 -0.11588858  0.59087109 -0.54129082
 -1.35454907  0.67146553 -0.86732475  0.69379975  0.        ]","[[-27.11889808  -2.90131485   0.06692376  -0.06329015]
 [-45.49800366   2.33349321   0.           0.        ]]",-0.249512,[ 0.44915916 -2.65286808],[-0.51487142 -1.4159168 ]
49,[-0.39612928 -0.0136521 ],-0.113411896699,"[-1.52321868 -0.50026563 -0.44385245 -0.13819209  0.59087016 -0.54129001
 -1.28496919  0.14290783 -0.71879801  0.78718274  0.        ]","[[-28.00197926  -2.89481398   0.06692376  -0.06329015]
 [-42.81910398  -1.67009744   0.           0.        ]]",-0.344888,[ 0.61946399 -0.62923659],[-0.57273191 -1.45304155]
