timestep,human_obs,original_rewards,obs,logstd_action_dist,rewards,actions,avg_action_dist
10,"[[ -1.98404987  -3.2241837    0.0240662   -0.05936824]
 [-12.64761954  -0.89454859   0.           0.        ]]",-0.064648464455,"[-0.75381577 -0.54048696 -1.40210883  1.00025165  0.20103584 -0.51771802
 -0.5051795   0.2439332  -0.28821241  0.56242386  0.        ]",[-0.37965372 -0.01630538],-0.205327,[-1.39337765 -1.39267169],[-0.40247789 -1.49615598]
11,"[[ -2.27421209  -3.17235197   0.0240662   -0.05936824]
 [-16.35634001   4.03311959   0.           0.        ]]",-0.0661910001313,"[-1.09173153 -0.54464701 -1.17412317  0.81959954  0.20103559 -0.51771723
 -0.60199161  0.89412376 -0.31927204  0.56870132  0.        ]",[-0.37965372 -0.01630538],-0.231078,[-0.54592174 -1.36362815],[-0.33996031 -1.47298217]
12,"[[ -2.61977717  -3.09814856   0.0240662   -0.05936824]
 [-18.19405138   3.0909173    0.           0.        ]]",-0.0706800167178,"[-1.39499541 -0.54397928 -0.78093613  0.5605952   0.20103534 -0.51771644
 -0.64996248  0.76980121 -0.34158283  0.60184025  0.        ]",[-0.37965372 -0.01630538],-0.250657,[-0.32069781 -1.97905999],[-0.34053332 -1.48213959]
13,"[[ -2.99278452  -3.05052794   0.0240662   -0.05936824]
 [-19.1036489    1.72983606   0.           0.        ]]",-0.0724949741393,"[-1.56314213 -0.5394429  -0.25973612  0.39472709  0.20103509 -0.51771565
 -0.67370564  0.59020913 -0.32899819  0.62143199  0.        ]",[-0.37965372 -0.01630538],-0.343916,[-1.04968635 -1.34085366],[-0.36485484 -1.48589575]
14,"[[ -3.41078815  -3.02551107   0.0240662   -0.05936824]
 [-22.6847763    0.85519557   0.           0.        ]]",-0.0701900126802,"[-1.52873824 -0.53577623  0.35674583  0.30785484  0.20103483 -0.51771486
 -0.76718676  0.47480181 -0.29716608  0.60874563  0.        ]",[-0.37965372 -0.01630538],-0.270477,[ 0.25417598 -2.31985186],[-0.42168453 -1.46027899]
15,"[[ -3.84988089  -3.01353854   0.0240662   -0.05936824]
 [-21.22934721   0.39547561   0.           0.        ]]",-0.0646230858925,"[-1.24693592 -0.53370914  0.92911787  0.26636572  0.20103458 -0.51771407
 -0.72919253  0.41414227 -0.26989301  0.56531224  0.        ]",[-0.37965372 -0.01630538],-0.236045,[-0.68193575 -2.40837402],[-0.47383514 -1.42967057]
16,"[[ -4.297341    -3.00811034   0.0240662   -0.05936824]
 [-23.50906631   0.17539675   0.           0.        ]]",-0.0574498376688,"[-0.75605742 -0.53270508  1.32286551  0.24757554  0.20103433 -0.51771328
 -0.78870138  0.38510283 -0.26270906  0.50449791  0.        ]",[-0.37965372 -0.01630538],-0.201169,[-0.81550397 -1.31104159],[-0.50105882 -1.4046911 ]
17,"[[ -4.79524864e+00  -3.00573459e+00   2.40661994e-02  -5.93682387e-02]
 [ -2.62724881e+01   7.55998308e-02   0.00000000e+00   0.00000000e+00]]",-0.0501783674953,"[-0.08638539 -0.53225215  1.44411623  0.23935578  0.20103408 -0.51771249
 -0.86083669  0.37193432 -0.2841065   0.43741621  0.        ]",[-0.37965372 -0.01630538],-0.0519519,[-0.4074988  -2.40779983],[-0.48799536 -1.35467386]
18,"[[ -5.33166788e+00  -3.00472024e+00   2.40661994e-02  -5.93682387e-02]
 [ -2.73657922e+01   3.19183762e-02   0.00000000e+00   0.00000000e+00]]",-0.0465833205673,"[ 0.59938683 -0.53205588  1.17283552  0.2358469   0.20103383 -0.5177117
 -0.88937469  0.36617014 -0.33584709  0.38752916  0.        ]",[-0.37965372 -0.01630538],-0.0693004,[ 0.15367462 -0.95464904],[-0.44034103 -1.27190709]
19,"[[ -5.86744351e+00  -3.00424690e+00   2.40661994e-02  -5.93682387e-02]
 [ -2.62156043e+01   1.65903751e-02   0.00000000e+00   0.00000000e+00]]",-0.0494682109676,"[ 1.06012172 -0.53196336  0.56198925  0.23420953  0.20103357 -0.51771091
 -0.85934806  0.36414715 -0.4024957   0.37571432  0.        ]",[-0.37965372 -0.01630538],-0.0752614,[-0.27867658 -0.28025327],[-0.40458992 -1.22560835]
20,"[[ -6.39761889e+00  -3.00329623e+00   2.40661994e-02  -5.93682387e-02]
 [ -2.67999865e+01   5.73125154e-02   0.00000000e+00   0.00000000e+00]]",-0.0570792682311,"[ 1.16848259 -0.53177742 -0.20903457  0.23092158  0.20103332 -0.51771012
 -0.87460108  0.36951986 -0.46455661  0.40445898  0.        ]",[-0.37965372 -0.01630538],-0.0667449,[-1.09674628 -0.58826035],[-0.39732614 -1.23165226]
21,"[[ -6.96802034e+00  -3.00262586e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.02287319e+01   1.73839143e-02   0.00000000e+00   0.00000000e+00]]",-0.0669557790955,"[ 0.8668017  -0.5316453  -0.98051654  0.22860325  0.20103307 -0.51770933
 -0.96410386  0.36425084 -0.50790119  0.47198937  0.        ]",[-0.37965372 -0.01630538],-0.0897903,[-0.20444932 -0.80814412],[-0.4339188  -1.30843699]
22,"[[ -7.57471255e+00  -3.00265904e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.04397857e+01  -1.10701551e-02   0.00000000e+00   0.00000000e+00]]",-0.0759013934458,"[ 0.17939229 -0.53165099 -1.46973752  0.2287177   0.20103282 -0.51770854
 -0.969611    0.36049588 -0.51188922  0.56220711  0.        ]",[-0.37965372 -0.01630538],-0.167817,[-0.12186014  0.13379942],[-0.47150162 -1.37382293]
23,"[[ -8.18230277e+00  -2.99755704e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.03196333e+01   5.19505134e-01   0.00000000e+00   0.00000000e+00]]",-0.0813255880662,"[-0.64475877 -0.53063045 -1.44789541  0.21108248  0.20103257 -0.51770775
 -0.96647226  0.43050399 -0.4752488   0.63995594  0.        ]",[-0.37965372 -0.01630538],-0.246698,[-0.74611207 -1.10148783],[-0.44423726 -1.40118766]
24,"[[ -8.81231347e+00  -3.00797002e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.26735405e+01  -3.00561270e-01   0.00000000e+00   0.00000000e+00]]",-0.0804873083082,"[-1.32790581 -0.53267203 -0.8946897   0.24708777  0.20103232 -0.51770696
 -1.02791684  0.32229675 -0.39427578  0.67110638  0.        ]",[-0.37965372 -0.01630538],-0.253817,[-1.0039364  -2.57855782],[-0.41953614 -1.45536053]
25,"[[ -9.49901920e+00  -3.00911983e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.59859970e+01   7.23078847e-02   0.00000000e+00   0.00000000e+00]]",-0.0744904538514,"[-1.57456532 -0.5328874   0.07131113  0.2510664   0.20103206 -0.51770616
 -1.11438321  0.37149595 -0.3134057   0.64269611  0.        ]",[-0.37965372 -0.01630538],-0.317183,[ 0.4016703  -1.43560578],[-0.41263464 -1.45753419]
26,"[[ -1.01956351e+01  -3.00723180e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.36832678e+01   9.39492777e-02   0.00000000e+00   0.00000000e+00]]",-0.0640795420904,"[-1.18883547 -0.5325306   0.99789804  0.24453283  0.20103181 -0.51770537
 -1.0542694   0.374351   -0.26497768  0.56131045  0.        ]",[-0.37965372 -0.01630538],-0.285241,[-1.54055845 -1.24115875],[-0.45645407 -1.41798925]
27,"[[ -1.09023350e+01  -3.00568588e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.69757471e+01   5.93844233e-02   0.00000000e+00   0.00000000e+00]]",-0.0524844019745,"[-0.32871817 -0.53223458  1.44275815  0.23918433  0.20103156 -0.51770458
 -1.1402141   0.36978968 -0.27264653  0.45991046  0.        ]",[-0.37965372 -0.01630538],-0.140658,[ 0.51987677  0.4266881 ],[-0.47911784 -1.36739266]
28,"[[ -1.16138526e+01  -2.98754954e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.41853043e+01   1.74861428e+00   0.00000000e+00   0.00000000e+00]]",-0.045187098665,"[ 0.59826674 -0.52852012  1.17369993  0.17652832  0.20103131 -0.51770379
 -1.06736883  0.59268158 -0.32346678  0.38022489  0.        ]",[-0.37965372 -0.01630538],-0.0597009,[-0.71173741 -1.05072145],[-0.40240133 -1.25063515]
29,"[[ -1.23190438e+01  -2.99264497e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.63267131e+01  -2.24483502e+00   0.00000000e+00   0.00000000e+00]]",-0.0503004171743,"[ 1.13557081 -0.52960925  0.32526687  0.19411441  0.20103106 -0.517703
 -1.12326571  0.06574787 -0.42000142  0.37073654  0.        ]",[-0.37965372 -0.01630538],-0.0583529,[-0.13313737 -1.05931071],[-0.39022467 -1.19783723]
30,"[[ -1.30436516e+01  -3.02057700e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.61346810e+01  -3.63437433e-01   0.00000000e+00   0.00000000e+00]]",-0.0645319440024,"[ 1.02351058 -0.53493601 -0.7227688   0.29074553  0.2010308  -0.51770221
 -1.11824983  0.31399722 -0.49071989  0.46116199  0.        ]",[-0.37965372 -0.01630538],-0.0979453,[-1.55814774  0.43051278],[-0.39862344 -1.25545561]
31,"[[ -1.37988920e+01  -3.01047848e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.93785384e+01   1.35823043e+00   0.00000000e+00   0.00000000e+00]]",-0.075085524311,"[ 0.25684692 -0.53313554 -1.4430511   0.25576717  0.20103055 -0.51770142
 -1.2029248   0.5411701  -0.50795652  0.55686315  0.        ]",[-0.37965372 -0.01630538],-0.120958,[ 0.03348335 -2.21062578],[-0.42797378 -1.34211504]
32,"[[ -1.45773116e+01  -3.00027772e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.84664605e+01  -2.67163765e-01   0.00000000e+00   0.00000000e+00]]",-0.0811154571477,"[-0.78752941 -0.53117137 -1.38554016  0.22048201  0.2010303  -0.51770063
 -1.1791123   0.32669905 -0.45679015  0.64825492  0.        ]",[-0.37965372 -0.01630538],-0.0812808,[-1.56606202 -3.70126308],[-0.42653754 -1.409554  ]
33,"[[ -1.53787252e+01  -3.00334781e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.16642492e+01  -6.81345487e-02   0.00000000e+00   0.00000000e+00]]",-0.0792938443052,"[-1.50435053 -0.53177682 -0.52028454  0.23109611  0.20103005 -0.51769984
 -1.2625842   0.35296049 -0.36096525  0.67206235  0.        ]",[-0.37965372 -0.01630538],-0.290302,[ 0.16113527 -2.311011  ],[-0.40081251 -1.46013522]
34,"[[ -1.61973336e+01  -3.00401967e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.02014631e+01  -1.20221752e-02   0.00000000e+00   0.00000000e+00]]",-0.0690663591545,"[-1.41662631 -0.53190691  0.66052778  0.23341926  0.2010298  -0.51769905
 -1.22439563  0.36036403 -0.27757437  0.60247601  0.        ]",[-0.37965372 -0.01630538],-0.218864,[ 0.4715782  -2.97461258],[-0.4264625  -1.43754697]
35,"[[ -1.69746445e+01  -3.00410211e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.75385020e+01   3.72905034e-04   0.00000000e+00   0.00000000e+00]]",-0.0557725505182,"[-0.61304385 -0.53192211  1.38092797  0.23370408  0.20102955 -0.51769826
 -1.15487789  0.36199908 -0.26248174  0.49004829  0.        ]",[-0.37965372 -0.01630538],-0.170838,[-0.6244534  -1.20895484],[-0.48098066 -1.39169121]
36,"[[ -1.77427648e+01  -3.00407190e+00   2.40661994e-02  -5.93682387e-02]
 [ -3.92677647e+01   1.89932438e-03   0.00000000e+00   0.00000000e+00]]",-0.0469317159155,"[ 0.41624602 -0.53191542  1.2918558   0.23359932  0.20102929 -0.51769747
 -1.20001538  0.3622     -0.31789011  0.39825415  0.        ]",[-0.37965372 -0.01630538],-0.0601822,[-1.24789137 -1.33426275],[-0.42741486 -1.26551557]
37,"[[ -1.85600454e+01  -3.00403851e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.24496919e+01   1.34950274e-03   0.00000000e+00   0.00000000e+00]]",-0.0509657365554,"[ 1.12016033 -0.53190811  0.38579715  0.23348353  0.20102904 -0.51769668
 -1.2830729   0.36212695 -0.41827609  0.37898653  0.        ]",[-0.37965372 -0.01630538],-0.0551041,[ 0.06214108 -0.81075027],[-0.33798921 -1.16478443]
38,"[[ -1.93981392e+01  -3.00381722e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.13633032e+01   1.46085351e-02   0.00000000e+00   0.00000000e+00]]",-0.0646797077445,"[ 0.97531044 -0.53186425 -0.81521038  0.23271795  0.20102879 -0.51769589
 -1.25470975  0.363876   -0.50029249  0.45425894  0.        ]",[-0.37965372 -0.01630538],-0.0102028,[-0.77229241 -2.3840837 ],[-0.37277666 -1.2408787 ]
39,"[[ -2.02478687e+01  -3.00375818e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.36021866e+01  -3.29554516e-03   0.00000000e+00   0.00000000e+00]]",-0.0770896485642,"[ 0.03606404 -0.53185193 -1.50530802  0.23251346  0.20102854 -0.5176951
 -1.31314958  0.36151305 -0.50690876  0.57790302  0.        ]",[-0.37965372 -0.01630538],-0.192215,[-0.12169274 -0.50116287],[-0.43827358 -1.35252821]
40,"[[ -2.11160861e+01  -3.00331694e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.32208323e+01   3.21526329e-02   0.00000000e+00   0.00000000e+00]]",-0.0816519490261,"[-1.08361275 -0.53176504 -1.18148155  0.23098726  0.20102829 -0.51769431
 -1.30319042  0.36618997 -0.43007609  0.66653885  0.        ]",[-0.37965372 -0.01630538],-0.269139,[-1.07324159 -2.04371939],[-0.40037951 -1.42872322]
41,"[[ -2.20116429e+01  -3.00326195e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.63245046e+01  -1.24337864e-02   0.00000000e+00   0.00000000e+00]]",-0.0758125167766,"[-1.57806532 -0.53175348 -0.00858182  0.23079682  0.20102803 -0.51769352
 -1.38420413  0.36030625 -0.31946963  0.65282294  0.        ]",[-0.37965372 -0.01630538],-0.314788,[-0.22997887 -2.19897965],[-0.39464632 -1.45564973]
42,"[[ -2.29380678e+01  -3.00354827e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.63179977e+01  -1.35060378e-02   0.00000000e+00   0.00000000e+00]]",-0.0612953218067,"[-1.00538958 -0.53180856  1.16885562  0.23178666  0.20102778 -0.51769273
 -1.38402942  0.36016427 -0.25920358  0.53807621  0.        ]",[-0.37965372 -0.01630538],-0.198298,[ 0.41555958 -1.74562261],[-0.44102123 -1.40668845]
43,"[[ -2.38387198e+01  -3.00376651e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.37557456e+01  -8.26124293e-03   0.00000000e+00   0.00000000e+00]]",-0.0481360368071,"[ 0.17610498 -0.53185027  1.39257635  0.2325411   0.20102753 -0.51769194
 -1.31713995  0.36085584 -0.29879936  0.41550682  0.        ]",[-0.37965372 -0.01630538],-0.0321342,[-0.18131865 -2.19025686],[-0.43329051 -1.2852875 ]
44,"[[ -2.47123466e+01  -3.00388849e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.36074305e+01  -4.25716562e-03   0.00000000e+00   0.00000000e+00]]",-0.0493779297162,"[ 1.05752907 -0.53187319  0.5683201   0.23296264  0.20102728 -0.51769115
 -1.31326402  0.36138369 -0.40173944  0.37532348  0.        ]",[-0.37965372 -0.01630538],-0.0650648,[ 0.6889569  -0.10525518],[-0.34192368 -1.16725993]
45,"[[ -2.55484650e+01  -3.00299984e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.00163733e+01   6.35514305e-02   0.00000000e+00   0.00000000e+00]]",-0.0623111531826,"[ 1.06013935 -0.53169892 -0.64014429  0.22988926  0.20102703 -0.51769036
 -1.21951943  0.37033065 -0.49151896  0.43657263  0.        ]",[-0.37965372 -0.01630538],-0.0498434,[-0.21386861 -1.42504707],[-0.36201015 -1.22103441]
46,"[[ -2.63493402e+01  -3.00279884e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.00709621e+01  -1.81986798e-02   0.00000000e+00   0.00000000e+00]]",-0.0749721945625,"[ 0.27749186 -0.53165871 -1.43500456  0.2291939   0.20102678 -0.51768957
 -1.22094075  0.35954308 -0.51384808  0.55117302  0.        ]",[-0.37965372 -0.01630538],-0.144707,[-1.26054205 -1.52232097],[-0.44371441 -1.34407413]
47,"[[ -2.71825252e+01  -3.00325032e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.32369901e+01  -2.20069420e-02   0.00000000e+00   0.00000000e+00]]",-0.081465360717,"[-0.83548943 -0.53174628 -1.35989517  0.23075485  0.20102652 -0.51768878
 -1.3035824   0.35904008 -0.45517253  0.65238602  0.        ]",[-0.37965372 -0.01630538],0.00427365,[-1.79728629 -4.41869694],[-0.40926936 -1.40825629]
48,"[[ -2.80784019e+01  -3.00360995e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.63403413e+01  -1.37370545e-02   0.00000000e+00   0.00000000e+00]]",-0.0781090055229,"[-1.55198928 -0.53181566 -0.32882477  0.23199823  0.20102627 -0.51768799
 -1.38458724  0.36013082 -0.34442469  0.66651097  0.        ]",[-0.37965372 -0.01630538],-0.339621,[-0.52496258 -1.73923001],[-0.3905414  -1.45870185]
49,"[[ -2.90168585e+01  -3.00381355e+00   2.40661994e-02  -5.93682387e-02]
 [ -4.75014463e+01  -7.13160535e-03   0.00000000e+00   0.00000000e+00]]",-0.0648491821376,"[-1.21562861 -0.5318545   0.96723657  0.23270203  0.20102602 -0.5176872
 -1.41489152  0.36100194 -0.26431768  0.56800822  0.        ]",[-0.37965372 -0.01630538],-0.166851,[-0.32413708 -3.14244421],[-0.41636732 -1.41811562]
