timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
28,[-1.86395663  3.82453945],-0.181931080783,-1.76819,[-1.49366283  4.46163559],"[ 1.33003794 -0.48284035 -0.26814413 -0.2802526   1.48812114  0.26444125
 -1.78857231 -0.38666938 -1.50127044 -0.22601113  0.        ]","[[ -1.88159011e+01   3.00399633e+00   1.71739151e-01   3.10461054e-02]
 [ -7.50330151e+01  -1.45062444e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
29,[-1.63543392  4.0321044 ],-0.158789763652,-2.32113,[-1.69893169  3.56208086],"[ 0.01438181 -0.48284014 -1.78871746 -0.28025148  1.48811992  0.26444118
 -1.83566395 -0.38666898 -1.31932426 -0.26294752  0.        ]","[[ -2.03413829e+01   3.00399607e+00   1.71739151e-01   3.10461054e-02]
 [ -7.75069175e+01  -1.24200813e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
30,[-2.32961793  4.92738868],-0.16792736282,-1.47468,[-1.78691649  3.4672122 ],"[-1.52352654 -0.48283994 -0.42879001 -0.28025046  1.48811869  0.26444111
 -1.88182314 -0.38666877 -1.35192328 -0.45730391  0.        ]","[[ -2.19158513e+01   3.00399583e+00   1.71739151e-01   3.10461054e-02]
 [ -7.99318454e+01  -1.16945811e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
31,[-1.27257045  3.82734309],-0.190925970125,-1.03297,[-1.43158364  4.31974649],"[-0.13210217 -0.48283974  1.15732011 -0.28024947  1.48811747  0.26444104
 -1.92706832 -0.38666863 -1.54262306 -0.41717784  0.        ]","[[ -2.35383366e+01   3.00399560e+00   1.71739151e-01   3.10461054e-02]
 [ -8.23087683e+01  -1.14920815e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
32,[-1.80125152  3.52456368],-0.180194707013,-1.81033,[-1.55274034  4.44048977],"[ 1.32681384 -0.48283954 -0.42856949 -0.2802485   1.48811624  0.26444096
 -1.9714176  -0.38666851 -1.48856894 -0.21854941  0.        ]","[[ -2.52078883e+01   3.00399537e+00   1.71739151e-01   3.10461054e-02]
 [ -8.46386367e+01  -1.14840334e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
33,[-2.00268764  2.28620467],-0.157157453601,-2.48047,[-1.6732235   3.49752021],"[-0.41031278 -0.48283934 -1.75773894 -0.28024752  1.48811502  0.26444089
 -2.01488869 -0.38666841 -1.30138327 -0.30001551  0.        ]","[[ -2.69235746e+01   3.00399514e+00   1.71739151e-01   3.10461054e-02]
 [ -8.69223819e+01  -1.15422816e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
34,[-3.13524728  5.00109119],-0.176326735942,-0.836364,[-1.79921937  3.71751952],"[-1.40903947 -0.48283914  0.27056667 -0.28024653  1.48811379  0.26444082
 -2.05749898 -0.38666831 -1.41208328 -0.48141382  0.        ]","[[ -2.86844822e+01   3.00399491e+00   1.71739151e-01   3.10461054e-02]
 [ -8.91609171e+01  -1.16172744e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
35,[-1.20459341  5.57715489],-0.191415236636,-0.855668,[-1.26944017  4.63909721],"[ 0.76040268 -0.48283894  0.86166614 -0.28024554  1.48811257  0.26444075
 -2.0992655  -0.3866682  -1.56228661 -0.32816756  0.        ]","[[ -3.04897159e+01   3.00399467e+00   1.71739151e-01   3.10461054e-02]
 [ -9.13551372e+01  -1.16901888e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
36,[-1.60013621  3.60292528],-0.165784633049,-2.10818,[-1.72171521  3.96022272],"[ 0.764668   -0.48283874 -1.49392574 -0.28024454  1.48811134  0.26444067
 -2.14020494 -0.3866681  -1.37832694 -0.21430195  0.        ]","[[ -3.23383981e+01   3.00399444e+00   1.71739151e-01   3.10461054e-02]
 [ -9.35059196e+01  -1.17541705e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
37,[-1.23737355  2.70522552],-0.163985846774,-1.99592,[-1.72487617  3.46893191],"[-1.45145134 -0.48283854 -0.79292212 -0.28024354  1.48811012  0.2644406
 -2.18033368 -0.38666799 -1.32690225 -0.433721    0.        ]","[[ -3.42296688e+01   3.00399420e+00   1.71739151e-01   3.10461054e-02]
 [ -9.56141241e+01  -1.18070047e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
38,[-1.94606235  4.51770405],-0.19124619452,-0.765652,[-1.40738964  4.4299078 ],"[-0.04925243 -0.48283833  1.15686062 -0.28024254  1.48810889  0.26444053
 -2.21966775 -0.38666788 -1.54655184 -0.41021462  0.        ]","[[ -3.61626849e+01   3.00399397e+00   1.71739151e-01   3.10461054e-02]
 [ -9.76805936e+01  -1.18482586e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
39,[-1.62398726  5.04732708],-0.173994002979,-1.54849,[-1.68206573  4.29112434],"[ 1.19623066 -0.48283813 -0.94294583 -0.28024153  1.48810767  0.26444046
 -2.25822288 -0.38666777 -1.44208625 -0.20469974  0.        ]","[[ -3.81366198e+01   3.00399373e+00   1.71739151e-01   3.10461054e-02]
 [ -9.97061544e+01  -1.18781718e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
40,[-1.82853494  4.39317942],-0.159567908023,-2.15094,[-1.67522955  3.45862603],"[-1.20060082 -0.48283793 -1.25706199 -0.28024052  1.48810644  0.26444038
 -2.29601449 -0.38666766 -1.30263598 -0.39034268  0.        ]","[[ -4.01506637e+01   3.00399349e+00   1.71739151e-01   3.10461054e-02]
 [ -1.01691616e+02  -1.18972258e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
41,[-1.78405953  4.46276725],-0.189580803874,-0.642385,[-1.45987153  4.33043575],"[-0.39277138 -0.48283773  1.12608749 -0.28023951  1.48810522  0.26444031
 -2.33305768 -0.38666755 -1.52767671 -0.43750753  0.        ]","[[ -4.22040225e+01   3.00399325e+00   1.71739151e-01   3.10461054e-02]
 [ -1.03637773e+02  -1.19059780e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
42,[-2.04621198  3.33020633],-0.176159321481,-1.81881,[-1.61070466  4.3985157 ],"[ 1.26113491 -0.48283753 -0.77299625 -0.2802385   1.48810399  0.26444024
 -2.36936727 -0.38666743 -1.45848059 -0.20745111  0.        ]","[[ -4.42959178e+01   3.00399302e+00   1.71739151e-01   3.10461054e-02]
 [ -1.05545403e+02  -1.19049980e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
43,[-2.69488654  1.79398247],-0.159489134963,-2.34126,[-1.65983534  3.48527813],"[-1.19304619 -0.48283733 -1.26643121 -0.28023749  1.48810277  0.26444017
 -2.40495777 -0.38666732 -1.302262   -0.38925868  0.        ]","[[ -4.64255868e+01   3.00399278e+00   1.71739151e-01   3.10461054e-02]
 [ -1.07415268e+02  -1.18948444e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
44,[-1.00107946  4.48628209],-0.190410283279,-0.698059,[-1.42889118  4.41775227],"[-0.24446548 -0.48283713  1.15000275 -0.28023648  1.48810154  0.26444009
 -2.43984342 -0.3866672  -1.53665257 -0.42623619  0.        ]","[[ -4.85922818e+01   3.00399254e+00   1.71739151e-01   3.10461054e-02]
 [ -1.09248117e+02  -1.18760555e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
45,[-1.23179021  6.8709263 ],-0.172375667488,-1.12437,[-1.68555236  4.28905106],"[ 1.13492402 -0.48283693 -1.06344473 -0.28023547  1.48810032  0.26444002
 -2.47403815 -0.38666708 -1.42971907 -0.20402708  0.        ]","[[ -5.07952696e+01   3.00399230e+00   1.71739151e-01   3.10461054e-02]
 [ -1.11044682e+02  -1.18491473e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
46,[-1.89423191  2.13795211],-0.163340441774,-2.02429,[-1.68026757  3.53843212],"[-1.42917349 -0.48283672 -0.85581988 -0.28023446  1.48809909  0.26443995
 -2.50755565 -0.38666697 -1.32304243 -0.42882521  0.        ]","[[ -5.30338319e+01   3.00399207e+00   1.71739151e-01   3.10461054e-02]
 [ -1.12805681e+02  -1.18146128e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
47,[-1.3397388   4.34476397],-0.192065043947,-0.883433,[-1.30595767  4.65897179],"[ 0.36394189 -0.48283652  1.07840726 -0.28023346  1.48809787  0.26443988
 -2.54040932 -0.38666685 -1.56021569 -0.37181973  0.        ]","[[ -5.53072645e+01   3.00399183e+00   1.71739151e-01   3.10461054e-02]
 [ -1.14531819e+02  -1.17729224e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
48,[-1.75585622  5.46184216],-0.163638155545,-1.75738,[-1.66061831  3.99143004],"[ 0.59258327 -0.48283632 -1.60942291 -0.28023246  1.48809664  0.26443981
 -2.57261229 -0.38666673 -1.36103251 -0.22314935  0.        ]","[[ -5.76148769e+01   3.00399159e+00   1.71739151e-01   3.10461054e-02]
 [ -1.16223786e+02  -1.17245251e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
49,[-2.297773    2.04800698],-0.173803298001,-1.40374,[-1.71985364  3.77996612],"[-1.47741041 -0.48283612  0.06970661 -0.28023147  1.48809542  0.26443973
 -2.60417744 -0.3866666  -1.39308712 -0.47746417  0.        ]","[[ -5.99559926e+01   3.00399136e+00   1.71739151e-01   3.10461054e-02]
 [ -1.17882257e+02  -1.16698488e-05   0.00000000e+00   0.00000000e+00]]",[-0.89656734 -0.17256653]
