timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
26,-1.60585,"[ 0.87640076  1.04073752 -0.03760207  0.85720266  1.54256625 -0.10487175
 -0.02755064 -1.57230122 -0.17490874  0.42804167  0.        ]",[ 0.53395002  0.1401369 ],-0.0212728135929,[ 0.54926682  1.73034728],[-0.49373356 -0.28730077],"[[-0.396224    0.66096542  0.17718104 -0.01100928]
 [-1.70832404 -7.59592716  0.          0.        ]]"
27,-1.50041,"[ 0.86874095  1.13250195 -0.05806601  0.4942097   1.54256477 -0.10487172
  0.31939961 -1.45702194 -0.15130872  0.19955725  0.        ]",[-0.25917785  1.51024377],-0.0293498724629,[ 0.03548308  2.00078321],[-0.49373356 -0.28730077],"[[-0.40885776  0.5161155   0.17718104 -0.01100928]
 [ 0.43776568 -6.89141526  0.          0.        ]]"
28,-1.57529,"[ 0.86773372  1.18229482 -0.06070356  0.23395591  1.5425633  -0.10487169
  0.15200583 -0.78673516 -0.14639645  0.06196407  0.        ]",[ 0.26846152  0.41272441],-0.0371494642881,[ 0.29921815  1.66015863],[-0.49373356 -0.28730077],"[[-0.4104911   0.41938773  0.17718104 -0.01100928]
 [-0.59766165 -2.79501421  0.          0.        ]]"
29,-1.51889,"[ 0.86700043  1.19961462 -0.06261605  0.1257682   1.54256182 -0.10487166
  0.32551259 -0.5103416  -0.14724328  0.00509747  0.        ]",[-0.37769452  1.75222127],-0.0406005269866,[-0.01011805  1.31178606],[-0.49373356 -0.28730077],"[[-0.41167616  0.38043529  0.17718104 -0.01100928]
 [ 0.47557862 -1.10585868  0.          0.        ]]"
30,-1.57387,"[ 0.86351685  1.191881   -0.07162253  0.17552712  1.54256035 -0.10487163
  0.08219705  0.14123241 -0.14890753  0.0156096   0.        ]",[ 0.54573658  1.29015003],-0.0398191237055,[ 0.40854445  0.67740142],[-0.49373356 -0.28730077],"[[-0.41726523  0.39827126  0.17718104 -0.01100928]
 [-1.02946817  2.87618206  0.          0.        ]]"
31,-1.624,"[ 0.86430689  1.1442093  -0.06959051  0.43835091  1.54255887 -0.1048716
  0.43429673  0.77968393 -0.15128038  0.1523251   0.        ]",[ 0.05712552  0.05662459],-0.0316739524897,[-0.41364056 -0.74798894],[-0.49373356 -0.28730077],"[[-0.41600305  0.49494332  0.17718104 -0.01100928]
 [ 1.14847169  6.7780266   0.          0.        ]]"
32,-1.67794,"[ 0.87950291  1.06106166 -0.02909688  0.78603937  1.54255739 -0.10487157
  0.46717864  0.79440084 -0.16732218  0.40147695  0.        ]",[-0.63903912 -1.79912463],-0.022127154205,[-0.70088953 -1.46953738],[-0.49373356 -0.28730077],"[[-0.39099298  0.63140628  0.17718104 -0.01100928]
 [ 1.35186617  6.86796995  0.          0.        ]]"
33,-1.63385,"[ 0.88033728  0.99198242 -0.02678835  1.01178365  1.54255592 -0.10487154
  0.0543643   0.12439292 -0.1935859   0.53259834  0.        ]",[-0.7194924  -0.55414046],-0.0213393268867,[ 0.08893141 -0.83217025],[-0.49373356 -0.28730077],"[[-0.38957508  0.72768234  0.17718104 -0.01100928]
 [-1.20162667  2.77327442  0.          0.        ]]"
34,-1.65611,"[ 0.84762275  0.96652348 -0.11108589  1.08478702  1.54255444 -0.10487151
 -0.40186747 -0.24347021 -0.20600736  0.44695999  0.        ]",[ 0.15830759 -0.51793294],-0.0178799918741,[ 1.20280385  0.03867766],[-0.49373356 -0.28730077],"[[-0.44192202  0.7605914   0.17718104 -0.01100928]
 [-4.02368124  0.52511078  0.          0.        ]]"
35,-1.67728,"[ 0.79533131  0.97449614 -0.22573716  1.06243766  1.54255297 -0.10487148
 -0.28763311 -0.58078476 -0.21356988  0.25394408  0.        ]",[ 1.16229027  0.44853814],-0.0210334252673,[ 1.38838768  0.67774677],[-0.49373356 -0.28730077],"[[-0.51530614  0.75041019  0.17718104 -0.01100928]
 [-3.31707724 -1.53635833  0.          0.        ]]"
36,-1.75253,"[ 0.77505427  0.98425538 -0.26525973  1.03444815  1.54255149 -0.10487145
  0.36248621 -0.28541867 -0.21706719  0.17352225  0.        ]",[ 0.21300236 -1.10792833],-0.0251364061997,[ 0.22399384 -0.04880416],[-0.49373356 -0.28730077],"[[-0.54130013  0.73779412  0.17718104 -0.01100928]
 [ 0.70428031  0.26874429  0.          0.        ]]"
37,-1.56165,"[ 0.79259187  1.01018546 -0.23121536  0.95648265  1.54255001 -0.10487142
  0.49668409 -0.93423563 -0.20500277  0.18160982  0.        ]",[-0.18560452  0.51615697],-0.0255937216453,[-0.03719616  0.71793032],[-0.49373356 -0.28730077],"[[-0.51888596  0.70338498  0.17718104 -0.01100928]
 [ 1.53437126 -3.69644385  0.          0.        ]]"
38,-1.65875,"[ 0.80989202  1.04788054 -0.19581261  0.83266245  1.54254854 -0.10487139
  0.37294947 -0.58780009 -0.19043651  0.16642322  0.        ]",[ 0.53225393 -0.04448109],-0.0276252655489,[ 0.07575548  0.49617192],[-0.49373356 -0.28730077],"[[-0.4958777   0.65069873  0.17718104 -0.01100928]
 [ 0.76900354 -1.5792364   0.          0.        ]]"
39,-1.6446,"[ 0.83575582  1.07024246 -0.1389767   0.75239148  1.54254706 -0.10487136
  0.71091987 -0.61162304 -0.17635652  0.21150864  0.        ]",[ 0.08505672 -0.29107915],-0.0264722156106,[-0.76818335  0.24319057],[-0.49373356 -0.28730077],"[[-0.45952257  0.61765324  0.17718104 -0.01100928]
 [ 2.85954263 -1.72482958  0.          0.        ]]"
40,-1.63682,"[ 0.87441915  1.09949949 -0.0429496   0.63820985  1.54254558 -0.10487133
  0.75623571 -0.79464528 -0.15681624  0.29957998  0.        ]",[ 0.49258312  0.76906877],-0.0249954983143,[-1.09645224  0.40815249],[-0.49373356 -0.28730077],"[[-0.3995193   0.57193412  0.17718104 -0.01100928]
 [ 3.13984866 -2.84335495  0.          0.        ]]"
41,-1.55033,"[ 0.9187959   1.11510106  0.09171913  0.57236771  1.54254411 -0.1048713
  1.06105771 -0.28726943 -0.14248529  0.47151315  0.        ]",[-2.10270314 -0.76381552],-0.0253871679975,[-2.1399579  -0.68083477],[-0.49373356 -0.28730077],"[[-0.31780461  0.5461782   0.17718104 -0.01100928]
 [ 5.02534782  0.25742372  0.          0.        ]]"
42,-1.65022,"[ 0.94507959  1.12975817  0.19269672  0.50685409  1.54254263 -0.10487127
  0.40558739 -0.78274704 -0.13574828  0.59010693  0.        ]",[-0.36983561 -0.67824753],-0.0293362052032,[-1.09581101  0.33303416],[-0.49373356 -0.28730077],"[[-0.25797718  0.52094503  0.17718104 -0.01100928]
 [ 0.97089656 -2.7706419   0.          0.        ]]"
43,-1.58998,"[ 0.94686208  1.17289402  0.2004556   0.28811672  1.54254116 -0.10487124
  0.16610749 -1.21312044 -0.11825533  0.49150692  0.        ]",[-0.36457411  0.73511496],-0.0284291258201,[-0.53391147  1.49459183],[-0.49373356 -0.28730077],"[[-0.25342189  0.43914263  0.17718104 -0.01100928]
 [-0.51042046 -5.40083219  0.          0.        ]]"
44,-1.53422,"[ 0.93686932  1.20748166  0.15868722  0.07228957  1.54253968 -0.10487121
 -0.06559997 -0.71925544 -0.11071795  0.3215046   0.        ]",[-0.49103362  2.88759831],-0.0295073203746,[-0.00901613  1.47619903],[-0.49373356 -0.28730077],"[[-0.27801039  0.36140865  0.17718104 -0.01100928]
 [-1.94366069 -2.38262585  0.          0.        ]]"
45,-1.67132,"[ 0.90975065  1.21045766  0.06137774  0.05126167  1.5425382  -0.10487118
 -0.37366773 -0.06352062 -0.12282319  0.16167299  0.        ]",[ 1.80916477  1.27329835],-0.0337614083785,[ 0.87827361  1.17058682],[-0.49373356 -0.28730077],"[[-0.33600276  0.35396434  0.17718104 -0.01100928]
 [-3.84923204  1.62483348  0.          0.        ]]"
46,-1.61065,"[  8.90132233e-01   1.17925465e+00   1.04019275e-03   2.51725575e-01
   1.54253673e+00  -1.04871150e-01   2.77961349e-01   5.78870679e-01
  -1.35095661e-01   1.67364481e-01   0.00000000e+00]",[-0.28623069 -0.61108898],-0.0323629086224,[-0.25616953 -0.25906977],[-0.49373356 -0.28730077],"[[-0.37254659  0.42585084  0.17718104 -0.01100928]
 [ 0.18145618  5.55074551  0.          0.        ]]"
47,-1.58839,"[ 0.88571822  1.13508457 -0.0116622   0.48205759  1.54253525 -0.10487112
  0.09447147  0.16503076 -0.14446231  0.26559153  0.        ]",[-0.49457913 -0.75947516],-0.0273655961739,[ 0.10902056 -0.01601577],[-0.49373356 -0.28730077],"[[-0.38030494  0.51149008  0.17718104 -0.01100928]
 [-0.95353017  3.02160464  0.          0.        ]]"
48,-1.6523,"[ 0.86254073  1.11806251 -0.0741023   0.55940786  1.54253377 -0.10487109
 -0.21862217 -0.3367112  -0.15645414  0.20890105  0.        ]",[ 1.54618073  1.25018252],-0.0284398448177,[ 0.91239595  0.85808891],[-0.49373356 -0.28730077],"[[-0.41880652  0.54115659  0.17718104 -0.01100928]
 [-2.8901875  -0.04474077  0.          0.        ]]"
49,-1.55283,"[ 0.85127727  1.09448511 -0.10221958  0.65856786  1.5425323  -0.10487106
  0.42997129  0.31110176 -0.16551191  0.21788132  0.        ]",[-1.0116343   0.19881402],-0.027179490837,[-0.34020162 -0.53802311],[-0.49373356 -0.28730077],"[[-0.43635783  0.57998404  0.17718104 -0.01100928]
 [ 1.1217208   3.91430165  0.          0.        ]]"
