timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
34,"[[-20.52572012   1.15443704   0.18856901   0.11042348]
 [-69.78554167  -4.67882331   0.           0.        ]]",0.330355,"[-0.32718278  0.39310531 -1.46914802  1.14009723  1.64151296  0.96561702
 -1.04672162 -0.85120513 -0.80499137 -1.83035104  0.        ]",[-0.93823695  1.15816808],[-1.12093742  1.25374923],[-0.43134141 -0.18567058],-0.284285165508
35,"[[-21.94727055   1.10132841   0.18856901   0.11042348]
 [-72.36130533  -0.64563453   0.           0.        ]]",-0.966221,"[-1.55795908  0.4552026  -0.05986398  1.09988832  1.64150529  0.96561466
 -1.09711658 -0.2297082  -2.21812566 -1.4871146   0.        ]",[-1.13399863  0.6685456 ],[-1.6270598   0.16139369],[-0.43134141 -0.18567058],-0.397121178412
36,"[[ -2.34198321e+01   1.09475519e+00   1.88569014e-01   1.10423476e-01]
 [ -7.48865001e+01  -1.40240645e-02   0.00000000e+00   0.00000000e+00]]",-0.551257,"[-0.37738286  0.4627764   1.4727525   1.09459762  1.64149763  0.9656123
 -1.14652178 -0.13237952 -2.05092961  0.168001    0.        ]",[-1.23173618  0.65343797],[-1.01793877  1.28576036],[-0.43134141 -0.18567058],-0.307644426186
37,"[[-24.94241542   1.13398975   0.18856901   0.11042348]
 [-77.36396733   3.92402976   0.           0.        ]]",0.28285,"[ 1.16969288  0.41719589  0.28562625  1.12514175  1.64148996  0.96560995
 -1.1949928   0.47445797 -0.55825563  0.10272641  0.        ]",[-1.11655939  0.41859835],[-2.3815343   0.51955099],[-0.43134141 -0.18567058],-0.0653211002515
38,"[[-26.51407139   1.23209383   0.18856901   0.11042348]
 [-79.79377635   5.8794266    0.           0.        ]]",0.325224,"[ 0.07695655  0.29969356 -1.45084011  1.19064411  1.6414823   0.96560759
 -1.24253098  0.77577547 -0.5424282  -1.55612106  0.        ]",[-1.00213373  0.03579229],[-1.28117091 -0.47318867],[-0.43134141 -0.18567058],-0.233100271441
39,"[[-28.13383823   1.32945188   0.18856901   0.11042348]
 [-82.17481821   3.86268741   0.           0.        ]]",-0.617191,"[-1.54571561  0.17899334 -0.20243976  1.2398075   1.64147463  0.96560523
 -1.28911459  0.46500291 -2.00179171 -1.61745307  0.        ]",[-1.16768026 -0.05025291],[-2.04046321  0.40620763],[-0.43134141 -0.18567058],-0.379328718638
40,"[[-29.80075856   1.4217888    0.18856901   0.11042348]
 [-84.50964197   5.36561651   0.           0.        ]]",-0.488817,"[-0.24343752  0.06179248  1.48623768  1.27142865  1.64146697  0.96560287
 -1.3347935   0.6965975  -2.02478943  0.00462335  0.        ]",[-1.27693558 -0.29276955],[-1.64791979  0.75252396],[-0.43134141 -0.18567058],-0.302405622776
41,"[[-31.51393003   1.55762176   0.18856901   0.11042348]
 [-86.80023921   8.20784858   0.           0.        ]]",0.064583,"[ 1.18795081 -0.11330358 -0.13989901  1.2908473   1.6414593   0.96560051
 -1.37960665  1.1345721  -0.63995049 -0.07724941  0.        ]",[-1.17817295 -0.57678354],[-1.95762645 -0.25229961],[-0.43134141 -0.18567058],-0.0776113167281
42,"[[-33.27246444   1.7097959    0.18856901   0.11042348]
 [-89.04563035   7.01330137   0.           0.        ]]",0.201755,"[-0.57047489 -0.30968314 -1.41725649  1.27395734  1.64145164  0.96559815
 -1.42353486  0.95049439 -0.83084573 -1.53858339  0.        ]",[-1.09954274 -0.73746157],[-0.23784459 -0.96458432],[-0.43134141 -0.18567058],-0.247254816138
43,"[[-35.04517804   1.81000986   0.18856901   0.11042348]
 [-88.22796882   3.02161459   0.           0.        ]]",-0.533927,"[-1.39877605 -0.43702408  0.69981952  1.2406867   1.64144397  0.96559579
 -1.40753109  0.33538929 -2.03432315 -1.17759856  0.        ]",[-1.20093143 -0.50767982],[-1.86391264 -1.44701278],[-0.43134141 -0.18567058],-0.348361851948
44,"[[-36.83193839   1.8297835    0.18856901   0.11042348]
 [-90.44020021  -1.03099732   0.           0.        ]]",-0.160503,"[ 0.70848634 -0.46182613  1.13559923  1.23207085  1.64143631  0.96559344
 -1.45081013 -0.28910398 -1.5383509   0.088708    0.        ]",[-1.19500029 -0.01227173],[-0.82088966 -0.00513009],[-0.43134141 -0.18567058],-0.223563434213
45,"[[-38.65537571   1.80881815   0.18856901   0.11042348]
 [-91.89866336  -1.06564036   0.           0.        ]]",0.313002,"[ 0.6115392  -0.43552396 -1.20613025  1.2411764   1.64142864  0.96559108
 -1.47934056 -0.29444196 -0.52746219 -0.75701901  0.        ]",[-1.06467092  0.01706739],[-1.72256794  0.85791751],[-0.43134141 -0.18567058],-0.123983171764
46,"[[-40.51481811   1.82144028   0.18856901   0.11042348]
 [-94.03888944   2.31631762   0.           0.        ]]",-0.243923,"[-1.48680906 -0.45137486 -0.46946638  1.23577823  1.64142098  0.96558872
 -1.52120994  0.22670713 -1.53936367 -1.62289586  0.        ]",[-1.15132928 -0.44620293],[-0.90597828 -1.83844683],[-0.43134141 -0.18567058],-0.323955166803
47,"[[-42.41290463   1.8272045    0.18856901   0.11042348]
 [-95.76348242  -1.72664445   0.           0.        ]]",-0.198513,"[-0.18042548 -0.45859633  1.48769388  1.23322015  1.64141331  0.96558636
 -1.55494662 -0.39630113 -1.97850238 -0.26571674  0.        ]",[-1.23997462 -0.01772285],[-1.46592526  0.15473559],[-0.43134141 -0.18567058],-0.297332267175
48,"[[-44.34885971   1.79877204   0.18856901   0.11042348]
 [-97.82523171  -1.11895433   0.           0.        ]]",0.241888,"[ 1.10308557 -0.42287053 -0.52619006  1.24526238  1.64140565  0.965584
 -1.5952796  -0.30265731 -0.65940236 -0.25980688  0.        ]",[-1.12730181  0.04242064],[-1.69799901  0.47713554],[-0.43134141 -0.18567058],-0.0882913654187
49,"[[-46.32565016   1.79516195   0.18856901   0.11042348]
 [-99.84733896   0.75142133   0.           0.        ]]",0.206354,"[-1.14340646 -0.41831634 -1.05651972  1.24668854  1.64139799  0.96558164
 -1.63483643 -0.01443714 -1.17798221 -1.65538082  0.        ]",[-1.12353134 -0.26695067],[-1.19622022  0.76042702],[-0.43134141 -0.18567058],-0.29042973615
