timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
25,"[[  7.49612632e+00   2.19593257e+00   1.58498101e-02   7.53827518e-02]
 [  1.75233446e+01   5.34637829e-01   0.00000000e+00   0.00000000e+00]]",[ 1.05399536  1.02849953],[-0.50232309 -0.27724585],[ 0.53844208 -0.14634728],0.236687,"[ 0.31335652 -0.97348027  1.39862796  0.92288821  0.15079992  0.64720942
  0.61879435 -0.03704563 -0.69466925 -0.06413938  0.        ]",-0.0875818090455
26,"[[  7.88283217e+00   2.24623311e+00   1.58498101e-02   7.53827518e-02]
 [  2.11353312e+01   4.48219309e+00   0.00000000e+00   0.00000000e+00]]",[ 0.40337557 -0.84001271],[-0.50232309 -0.27724585],[ 0.57982045 -0.40947244],0.132511,"[-0.20834975 -1.02721871  1.49173556  0.87207009  0.15079977  0.64720849
  0.68439571  0.59910256 -0.79017893 -0.30881613  0.        ]",-0.112672281482
27,"[[  8.31736931e+00   2.30159895e+00   1.58498101e-02   7.53827518e-02]
 [  2.23143601e+01   1.06576319e+00   0.00000000e+00   0.00000000e+00]]",[ 0.15988364  0.03988393],[-0.50232309 -0.27724585],[ 0.61265904 -0.15651658],0.293086,"[-0.78375439 -1.08390871  1.33632117  0.81233105  0.15079961  0.64720757
  0.70580865  0.04854406 -0.78063987 -0.59235355  0.        ]",-0.134103911481
28,"[[  8.76557703e+00   2.32427086e+00   1.58498101e-02   7.53827518e-02]
 [  2.25057775e+01   1.20097829e+00   0.00000000e+00   0.00000000e+00]]",[ 1.1123069  -0.42761485],[-0.50232309 -0.27724585],[ 0.60968882 -0.16091076],0.155496,"[-1.25645178 -1.10633844  0.91900612  0.78675774  0.15079946  0.64720664
  0.70928418  0.07033396 -0.68017516 -0.83396234  0.        ]",-0.149785985499
29,"[[  9.25094391e+00   2.33104515e+00   1.58498101e-02   7.53827518e-02]
 [  2.60191603e+01  -5.17908266e-01   0.00000000e+00   0.00000000e+00]]",[ 1.47874166  0.58271906],[-0.50232309 -0.27724585],[ 0.61326611 -0.01906282],0.121689,"[-1.52403019 -1.11294751  0.26871445  0.77899365  0.1507993   0.64720572
  0.77309452 -0.20666534 -0.49049825 -1.01170851  0.        ]",-0.158970793026
30,"[[  9.80587937e+00   2.34391600e+00   1.58498101e-02   7.53827518e-02]
 [  2.94629851e+01   1.79718327e+00   0.00000000e+00   0.00000000e+00]]",[ 0.76060643  1.52838924],[-0.50232309 -0.27724585],[ 0.59779239 -0.22505376],-0.101477,"[-1.44603615 -1.12538943 -0.53748612  0.7640908   0.15079914  0.64720479
  0.83564136  0.16641312 -0.21343314 -1.06203515  0.        ]",-0.157295444479
31,"[[  1.04195044e+01   2.41920210e+00   1.58498101e-02   7.53827518e-02]
 [  3.18915806e+01   5.71832557e+00   0.00000000e+00   0.00000000e+00]]",[ 1.70618116 -1.06874357],[-0.50232309 -0.27724585],[ 0.52420622 -0.55942404],-0.105557,"[-0.91825946 -1.19500235 -1.22793207  0.67304303  0.15079899  0.64720387
  0.87974902  0.79830727  0.05337452 -0.87496089  0.        ]",-0.134462575079
32,"[[  1.10907319e+01   2.49267458e+00   1.58498101e-02   7.53827518e-02]
 [  3.52199439e+01   1.64245611e+00   0.00000000e+00   0.00000000e+00]]",[-0.71976899 -0.06716718],[-0.50232309 -0.27724585],[ 0.52409011 -0.31587043],-0.184117,"[-0.03788983 -1.25743932 -1.46001565  0.57815729  0.15079883  0.64720295
  0.94019847  0.14147701  0.15028195 -0.54562718  0.        ]",-0.0962964776375
33,"[[  1.17595482e+01   2.52249890e+00   1.58498101e-02   7.53827518e-02]
 [  3.16734850e+01   1.34110060e+00   0.00000000e+00   0.00000000e+00]]",[-0.36260321 -1.01527337],[-0.50232309 -0.27724585],[ 0.48659068 -0.31730452],-0.0467594,"[ 0.78335554 -1.28115309 -1.05553439  0.53805756  0.15079868  0.64720202
  0.87578452  0.09291315  0.06451567 -0.25491402  0.        ]",-0.0538834562444
34,"[[  1.23723239e+01   2.50930243e+00   1.58498101e-02   7.53827518e-02]
 [  2.96108522e+01  -2.64740873e+00   0.00000000e+00   0.00000000e+00]]",[ 0.55006032 -0.48071404],[-0.50232309 -0.27724585],[ 0.55351222  0.03677627],-0.0373444,"[ 1.18165199 -1.27077424 -0.27247599  0.55590798  0.15079852  0.6472011
  0.8383206  -0.54983936 -0.11684619 -0.08456953  0.        ]",-0.0157927409656
35,"[[  1.29805042e+01   2.43775840e+00   1.58498101e-02   7.53827518e-02]
 [  3.12018209e+01  -4.50090108e+00   0.00000000e+00   0.00000000e+00]]",[ 0.39951914  0.97896311],[-0.50232309 -0.27724585],[ 0.62807244  0.27773139],0.0278948,"[ 1.09114654 -1.21128616  0.60818211  0.64961815  0.15079837  0.64720017
  0.86721498 -0.84853069 -0.34550501 -0.016052    0.        ]",-0.0299512614505
36,"[[  1.36142072e+01   2.38749770e+00   1.58498101e-02   7.53827518e-02]
 [  3.21653668e+01  -5.38433082e-01   0.00000000e+00   0.00000000e+00]]",[-0.14041388 -0.17539422],[-0.50232309 -0.27724585],[ 0.69847423  0.02438617],0.12029,"[ 0.51865243 -1.16634366  1.29460455  0.71217331  0.15079821  0.64719925
  0.88471377 -0.20997321 -0.5986853  -0.1311392   0.        ]",-0.0741129626623
37,"[[  1.42455478e+01   2.36983794e+00   1.58498101e-02   7.53827518e-02]
 [  3.09726512e+01  -1.22522461e+00   0.00000000e+00   0.00000000e+00]]",[ 0.08036644  0.43133688],[-0.50232309 -0.27724585],[ 0.69921029  0.08875398],0.306283,"[-0.31750179 -1.14995808  1.48366584  0.73347494  0.15079806  0.64719832
  0.86304959 -0.32065038 -0.74035884 -0.41789826  0.        ]",-0.113294689299
38,"[[  1.48620404e+01   2.36268390e+00   1.58498101e-02   7.53827518e-02]
 [  3.06776377e+01   5.04063200e-01   0.00000000e+00   0.00000000e+00]]",[ 1.44853142  0.78735388],[-0.50232309 -0.27724585],[ 0.69076675 -0.03278902],0.264312,"[-1.0810731  -1.14323296  1.12036597  0.74200069  0.1507979   0.6471974
  0.85768991 -0.04197266 -0.70185961 -0.74337314  0.        ]",-0.141212722076
39,"[[  1.55092232e+01   2.40391375e+00   1.58498101e-02   7.53827518e-02]
 [  3.40296025e+01   3.60849272e+00   0.00000000e+00   0.00000000e+00]]",[ 0.70000906 -1.35876702],[-0.50232309 -0.27724585],[ 0.69918936 -0.24845746],0.0480408,"[-1.51767899 -1.18129099  0.30492443  0.69204773  0.15079775  0.64719647
  0.9185682   0.45831138 -0.46130249 -0.97439907  0.        ]",-0.152234348223
40,"[[  1.62108667e+01   2.43560421e+00   1.58498101e-02   7.53827518e-02]
 [  3.61276164e+01  -4.26048259e-01   0.00000000e+00   0.00000000e+00]]",[ 0.25890061 -0.34230906],[-0.50232309 -0.27724585],[ 0.65550399 -0.00877631],-0.196501,"[-1.37438022 -1.20939823 -0.70027641  0.65235096  0.15079759  0.64719555
  0.9566715  -0.19186273 -0.13800922 -0.98480578  0.        ]",-0.145826923869
41,"[[  1.69365260e+01   2.41353140e+00   1.58498101e-02   7.53827518e-02]
 [  3.64372343e+01  -1.77675755e+00   0.00000000e+00   0.00000000e+00]]",[-0.59938158 -0.20741723],[-0.50232309 -0.27724585],[ 0.59204465  0.00827134],-0.350588,"[-0.63045432 -1.18992297 -1.38090998  0.68011595  0.15079744  0.64719463
  0.96229306 -0.40953195  0.12343215 -0.7872482   0.        ]",-0.12593640399
42,"[[  1.76342225e+01   2.37007252e+00   1.58498101e-02   7.53827518e-02]
 [  3.33427045e+01  -2.56641674e+00   0.00000000e+00   0.00000000e+00]]",[ 0.28804311  0.89863893],[-0.50232309 -0.27724585],[ 0.55825084  0.01321763],-0.0607827,"[ 0.31028593 -1.15016364 -1.37421563  0.73318916  0.15079728  0.6471937
  0.90608705 -0.53678664  0.22300398 -0.45794638  0.        ]",-0.0933539988498
43,"[[  1.83058924e+01   2.35492046e+00   1.58498101e-02   7.53827518e-02]
 [  3.38228120e+01   1.03916867e+00   0.00000000e+00   0.00000000e+00]]",[ 0.42371006  1.00979494],[-0.50232309 -0.27724585],[ 0.56564456 -0.21432576],-0.035174,"[ 1.00907335 -1.13586857 -0.75250052  0.7511809   0.15079713  0.64719278
  0.9148053   0.04426205  0.10169403 -0.12894541  0.        ]",-0.0480267503027
44,"[[  1.89924657e+01   2.41518966e+00   1.58498101e-02   7.53827518e-02]
 [  3.48313057e+01   4.97463995e+00   0.00000000e+00   0.00000000e+00]]",[-0.01497652  0.66151861],[-0.50232309 -0.27724585],[ 0.61165124 -0.43281856],-0.0577703,"[ 1.19345244 -1.19139471  0.22354271  0.67804523  0.15079697  0.64719185
  0.93312031  0.67847232 -0.21699259  0.00568204  0.        ]",-0.00868418949466
45,"[[  1.96815911e+01   2.53994199e+00   1.58498101e-02   7.53827518e-02]
 [  3.40837885e+01   7.49230778e+00   0.00000000e+00   0.00000000e+00]]",[ 1.24110582  0.10786137],[-0.50232309 -0.27724585],[ 0.69737697 -0.5211817 ],-0.0524302,"[ 0.75799973 -1.2945396   1.10664199  0.51419071  0.15079682  0.64719093
  0.91954182  1.08419878 -0.50353217 -0.17188055  0.        ]",-0.0616284790705
46,"[[  2.03962333e+01   2.69255730e+00   1.58498101e-02   7.53827518e-02]
 [  3.73694723e+01   7.76835016e+00   0.00000000e+00   0.00000000e+00]]",[ 0.4597567   0.60343068],[-0.50232309 -0.27724585],[ 0.81680518 -0.38555911],0.219251,"[-0.13545745 -1.3971866   1.49191548  0.29405032  0.15079666  0.64719
  0.97921611  1.12868115 -0.55211251 -0.49076343  0.        ]",-0.0970422096324
47,"[[  2.11544762e+01   2.87033084e+00   1.58498101e-02   7.53827518e-02]
 [  3.84511886e+01   1.00017155e+01   0.00000000e+00   0.00000000e+00]]",[ 0.68438107  0.1723565 ],[-0.50232309 -0.27724585],[ 0.83032578 -0.44046161],0.101477,"[-1.09056047 -1.4811771   1.1112432   0.01676344  0.15079651  0.64718908
  0.99886077  1.48858891 -0.36997402 -0.66973038  0.        ]",-0.105124559382
48,"[[  2.19430561e+01   3.04728460e+00   1.58498101e-02   7.53827518e-02]
 [  4.03999899e+01   3.96586179e+00   0.00000000e+00   0.00000000e+00]]",[ 0.56049523 -0.88340807],[-0.50232309 -0.27724585],[ 0.74120355 -0.00199011],0.0132464,"[-1.54317234 -1.52429603  0.08394152 -0.27325648  0.15079635  0.64718815
  1.03425372  0.51589608 -0.20879613 -0.5991418   0.        ]",-0.0895173363851
49,"[[  2.27652947e+01   3.06148389e+00   1.58498101e-02   7.53827518e-02]
 [  4.18191645e+01  -1.39179597e+00   0.00000000e+00   0.00000000e+00]]",[ 0.37203675 -0.72891498],[-0.50232309 -0.27724585],[ 0.60759884  0.24776529],-0.0591834,"[-1.15259052 -1.52595118 -1.02153111 -0.29686316  0.15079619  0.64718723
  1.06002721 -0.34750345 -0.18147011 -0.5012975   0.        ]",-0.0749251238935
