timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
26,-0.221483102948,"[[  1.62960447e+01  -3.00392891e+00  -1.59887285e-01   1.71750651e-01]
 [  6.35360917e+01  -2.76231178e-03   0.00000000e+00   0.00000000e+00]]",[ 1.02821887 -1.5712589 ],-1.43998,"[-1.4385846  -0.60493594 -0.82460236  0.2101575  -1.4276938   1.48384659
  2.46490719  0.34644108  0.93805482 -1.22328281  0.        ]",[-0.13879825 -0.09410618],[ 2.73519163 -1.36309013]
27,-0.220396193834,"[[  1.75938716e+01  -3.00396713e+00  -1.59887285e-01   1.71750651e-01]
 [  6.62375926e+01  -1.24476870e-03   0.00000000e+00   0.00000000e+00]]",[ 1.12674236 -1.58929873],-1.49654,"[ 0.14917904 -0.60494028 -1.4205058   0.21027048 -1.42767962  1.48383106
  2.59302041  0.34664502  0.82120664 -1.33583688  0.        ]",[-0.13879825 -0.09410618],[ 1.78195483 -1.60639863]
28,-0.241727345801,"[[  1.89451919e+01  -3.00398403e+00  -1.59887285e-01   1.71750651e-01]
 [  6.88856132e+01  -5.38313233e-04   0.00000000e+00   0.00000000e+00]]",[ 1.18609071 -1.6191256 ],-1.44681,"[ 1.10231884 -0.6049407   0.1539487   0.21032005 -1.42766544  1.48381553
  2.7185847   0.34673929  0.89075486 -1.49797579  0.        ]",[-0.13879825 -0.09410618],[ 0.76983339 -1.7972787 ]
29,-0.251860685413,"[[  2.03398033e+01  -3.00399124e+00  -1.59887285e-01   1.71750651e-01]
 [  7.05699161e+01  -2.25287343e-04   0.00000000e+00   0.00000000e+00]]",[ 1.11745262 -1.60890639],-1.28865,"[-0.16987627 -0.60493932  1.51021157  0.21034078 -1.42765127  1.4838
  2.79841623  0.34678035  1.04791234 -1.45083518  0.        ]",[-0.13879825 -0.09410618],[ 3.00647067 -2.12348709]
30,-0.234063815674,"[[  2.17769096e+01  -3.00399419e+00  -1.59887285e-01   1.71750651e-01]
 [  7.31321721e+01  -8.84239697e-05   0.00000000e+00   0.00000000e+00]]",[ 1.07791805 -1.55732393],-1.4992,"[-1.64037581 -0.60493716  0.33017559  0.21034882 -1.42763709  1.48378447
  2.91988969  0.34679758  1.03092433 -1.26181408  0.        ]",[-0.13879825 -0.09410618],[ 1.15110611 -1.51163468]
31,-0.217106703444,"[[  2.32647520e+01  -3.00399529e+00  -1.59887285e-01   1.71750651e-01]
 [  7.56437044e+01  -3.01931533e-05   0.00000000e+00   0.00000000e+00]]",[ 1.05634761 -1.58799076],-1.52871,"[-0.6889048  -0.60493467 -1.4286345   0.21035138 -1.42762291  1.48376895
  3.03894293  0.34680419  0.85955824 -1.2605869   0.        ]",[-0.13879825 -0.09410618],[ 0.75721345 -1.56820469]
32,-0.2343479913,"[[  2.47926816e+01  -3.00399563e+00  -1.59887285e-01   1.71750651e-01]
 [  7.71442551e+01  -7.73962953e-06   0.00000000e+00   0.00000000e+00]]",[ 1.18924177 -1.61382759],-1.42786,"[ 1.02905832 -0.60493203 -0.491684    0.21035169 -1.42760874  1.48375342
  3.11002331  0.34680595  0.84745982 -1.45976074  0.        ]",[-0.13879825 -0.09410618],[ 1.43616191 -1.46030738]
33,-0.252173703892,"[[  2.63599689e+01  -3.00399567e+00  -1.59887285e-01   1.71750651e-01]
 [  7.95763624e+01   3.08403842e-06   0.00000000e+00   0.00000000e+00]]",[ 1.03471971 -1.65683663],-1.46939,"[ 0.18661974 -0.60492933  1.42714415  0.21035107 -1.42759456  1.4837379
  3.22528346  0.34680615  1.02531561 -1.47852796  0.        ]",[-0.13879825 -0.09410618],[ 1.10263558 -1.53359604]
34,-0.235547840023,"[[  2.79754152e+01  -3.00399555e+00  -1.59887285e-01   1.71750651e-01]
 [  8.19603227e+01   7.87476359e-06   0.00000000e+00   0.00000000e+00]]",[ 1.09057271 -1.5588963 ],-1.54881,"[-1.61049743 -0.60492661  0.45339741  0.21035    -1.42758039  1.48372237
  3.33824371  0.34680553  1.03842097 -1.27046431  0.        ]",[-0.13879825 -0.09410618],[ 0.41434636 -1.27369635]
35,-0.217133959536,"[[  2.96148022e+01  -3.00399542e+00  -1.59887285e-01   1.71750651e-01]
 [  8.19783166e+01   5.06002915e-06   0.00000000e+00   0.00000000e+00]]",[ 1.06589913 -1.59083605],-1.41601,"[-0.5991597  -0.60492389 -1.45485965  0.2103489  -1.42756621  1.48370685
  3.33896472  0.34680388  0.85346801 -1.26726131  0.        ]",[-0.13879825 -0.09410618],[ 1.63228225 -2.76837745]
36,-0.237860175341,"[[  3.12778104e+01  -3.00399529e+00  -1.59887285e-01   1.71750651e-01]
 [  8.43147267e+01   7.61527504e-06   0.00000000e+00   0.00000000e+00]]",[ 1.1458497  -1.63542902],-1.28363,"[ 1.09544583 -0.60492116 -0.19693565  0.2103478  -1.42755204  1.48369132
  3.44964894  0.34680295  0.8656595  -1.48006417  0.        ]",[-0.13879825 -0.09410618],[ 1.6616214  -3.23584386]
37,-0.251539257681,"[[  3.29870829e+01  -3.00399512e+00  -1.59887285e-01   1.71750651e-01]
 [  8.66048842e+01   9.55970362e-06   0.00000000e+00   0.00000000e+00]]",[ 1.04658854 -1.64039421],-1.49921,"[-0.28223658 -0.60491843  1.5150843   0.21034657 -1.42753786  1.4836758
  3.55812184  0.34680195  1.05343674 -1.44094196  0.        ]",[-0.13879825 -0.09410618],[ 0.28394469 -2.11320118]
38,-0.227716792812,"[[  3.47132584e+01  -3.00399498e+00  -1.59887285e-01   1.71750651e-01]
 [  8.60146344e+01   4.46362834e-06   0.00000000e+00   0.00000000e+00]]",[ 1.04912686 -1.57105827],-1.46417,"[-1.65531548 -0.60491571 -0.22317793  0.21034544 -1.42752369  1.48366028
  3.52996958  0.34679999  0.99156778 -1.23328362  0.        ]",[-0.13879825 -0.09410618],[ 0.86072017 -2.02480818]
39,-0.220473702467,"[[  3.64506585e+01  -3.00399488e+00  -1.59887285e-01   1.71750651e-01]
 [  8.77196906e+01   5.77952533e-06   0.00000000e+00   0.00000000e+00]]",[ 1.1373868  -1.59430075],-1.52297,"[ 0.1587466  -0.60491299 -1.41709045  0.21034442 -1.42750952  1.48364475
  3.61067578  0.34679889  0.82095821 -1.33669165  0.        ]",[-0.13879825 -0.09410618],[ 1.6771444   0.73163009]
40,-0.250899552551,"[[ 38.22735401  -2.97487938  -0.15988728   0.17175065]
 [ 89.94239242   2.90208025   0.           0.        ]]",[ 1.00202656 -1.71215785],-1.34976,"[ 0.91917065 -0.59898373  0.76871134  0.12391073 -1.42749535  1.48362923
  3.71591588  0.73925     0.95815767 -1.53202757  0.        ]",[-0.13879825 -0.09410618],[ 0.99591482 -2.42498067]
41,-0.243068788071,"[[ 40.04789576  -2.95707739  -0.15988728   0.17175065]
 [ 92.10467095  -1.10835864   0.           0.        ]]",[ 1.0862354  -1.57710564],-1.50124,"[-1.25758722 -0.59480399  1.08218071  0.07126616 -1.42748117  1.48361371
  3.81827131  0.19690677  1.08942076 -1.2983968   0.        ]",[-0.13879825 -0.09410618],[ 0.64828702 -1.58584857]
42,-0.219074864871,"[[ 41.89744954  -3.01868902  -0.15988728   0.17175065]
 [ 92.84833899  -3.81397874   0.           0.        ]]",[ 1.01946402 -1.59127605],-1.46517,"[-0.9654     -0.60746819 -1.30011116  0.25410263 -1.427467    1.48359819
  3.85333992 -0.16898218  0.89242626 -1.24703858  0.        ]",[-0.13879825 -0.09410618],[ 1.78507539 -0.91562965]
43,-0.233486655367,"[[ 43.77570327  -3.04265679  -0.15988728   0.17175065]
 [ 94.96985114   0.26959828   0.           0.        ]]",[ 1.09410036 -1.65455401],-1.44848,"[ 1.07913148 -0.61102852 -0.29843791  0.32564381 -1.42745283  1.48358267
  3.95373241  0.38325311  0.86190093 -1.4370644   0.        ]",[-0.13879825 -0.09410618],[ 0.55692494 -1.09940129]
44,-0.249366716416,"[[ 45.67836058  -3.03042861  -0.15988728   0.17175065]
 [ 95.2947794    0.70881923   0.           0.        ]]",[ 1.03611755 -1.64625621],-1.26655,"[-0.45544076 -0.60930374  1.50328794  0.28911841 -1.42743866  1.48356715
  3.96892328  0.44264896  1.03996508 -1.43080888  0.        ]",[-0.13879825 -0.09410618],[ 2.19175925 -2.89053243]
45,-0.224383187732,"[[ 47.60505248  -3.01822371  -0.15988728   0.17175065]
 [ 97.36750356   0.48544355   0.           0.        ]]",[ 1.05612803 -1.58114195],-1.53823,"[-1.51425813 -0.60738324 -0.68621492  0.25271228 -1.42742449  1.48355163
  4.06697446  0.41243933  0.95800325 -1.23368751  0.        ]",[-0.13879825 -0.09410618],[ 0.35402974 -0.71011132]
46,-0.227628109192,"[[ 49.54712624  -3.01058493  -0.15988728   0.17175065]
 [ 96.84162913   0.2827176    0.           0.        ]]",[ 1.16024637 -1.61751103],-1.49336,"[ 0.76511695 -0.60607919 -0.98016165  0.22995383 -1.42741032  1.48353611
  4.04181082  0.38502231  0.82721045 -1.40713346  0.        ]",[-0.13879825 -0.09410618],[ 0.69618188 -0.39068888]
47,-0.251983011489,"[[ 51.49237913  -3.00611879  -0.15988728   0.17175065]
 [ 97.68086467   0.1658545    0.           0.        ]]",[ 0.93100905 -1.70554078],-1.36109,"[ 0.18707964 -0.60527964  1.4269658   0.21665792 -1.42739615  1.48352059
  4.0813661   0.36921695  1.02355325 -1.47797861  0.        ]",[-0.13879825 -0.09410618],[ 1.55901009 -2.25637937]
48,-0.229349690589,"[[  5.34663193e+01  -3.00433960e+00  -1.59887285e-01   1.71750651e-01]
 [  9.97064044e+01   3.91980943e-02   0.00000000e+00   0.00000000e+00]]",[ 1.0664494  -1.57357609],-1.51508,"[-1.66968366 -0.6049521  -0.07886125  0.21136298 -1.42738198  1.48350507
  4.17714658  0.35208722  1.00265876 -1.23921062  0.        ]",[-0.13879825 -0.09410618],[ 0.09583465 -1.57481367]
49,-0.222158768439,"[[  5.54444502e+01  -3.00396053e+00  -1.59887285e-01   1.71750651e-01]
 [  9.81120053e+01   6.40058989e-03   0.00000000e+00   0.00000000e+00]]",[ 1.15239322 -1.60244799],-1.40612,"[ 0.34374997 -0.60487964 -1.33374319  0.21023444 -1.42736781  1.48348955
  4.10132012  0.34765055  0.81829785 -1.35717798  0.        ]",[-0.13879825 -0.09410618],[ 0.96096984 -2.14256325]
