timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
15,"[ 0.90314253  0.48312479 -0.55251928  1.42324971  1.3642387   0.29125805
  0.07400738 -0.34199984 -0.41594741  0.05316846  0.        ]","[[-0.40583166  1.33703378  0.15700894  0.03205696]
 [-0.87478618 -0.10496741  0.          0.        ]]",[-0.50674576 -0.24444259],-0.01673334916,[-0.17036895 -0.05471095],[-0.59526879 -0.43432152],-0.01673334916
16,"[ 0.88025291  0.49737809 -0.60341895  1.41590883  1.36423575  0.29125781
 -0.18631515 -0.49803811 -0.39033385 -0.02579283  0.        ]","[[-0.44327118  1.32524843  0.15700894  0.03205696]
 [-2.86253853 -1.07035541  0.          0.        ]]",[ 0.69889814 -0.95289056],-0.0104891003561,[ 0.68830699  0.31766191],[-0.59526879 -0.43432152],-0.0104891003561
17,"[ 0.86128028  0.56813169 -0.64213204  1.37383612  1.3642328   0.29125757
  0.18342062 -1.10456833 -0.33469472 -0.13187511  0.        ]","[[-0.47219597  1.26619104  0.15700894  0.03205696]
 [-0.03933888 -4.82287522  0.          0.        ]]",[ 1.13813916  1.31336754],-0.00920223726652,[ 0.43204707  1.19472837],[-0.59526879 -0.43432152],-0.00920223726652
18,"[ 0.88654235  0.63376883 -0.58992234  1.32608232  1.36422986  0.29125733
  0.7016186  -0.44929269 -0.30630544 -0.1063295   0.        ]","[[-0.43328239  1.21040967  0.15700894  0.03205696]
 [ 3.91747865 -0.76878836  0.          0.        ]]",[-0.66344397  0.45673357],-0.0125604869398,[-1.20938551  0.20501259],[-0.59526879 -0.43432152],-0.0125604869398
19,"[ 0.91668316  0.63035459 -0.51975819  1.32877761  1.36422691  0.29125709
  0.34759817 -0.15441869 -0.32758271 -0.00293009  0.        ]","[[-0.38205487  1.21333801  0.15700894  0.03205696]
 [ 1.21428327  1.05554974  0.          0.        ]]",[-1.71759537 -1.41387648],-0.0155106541908,[-0.7318663  -0.12280115],[-0.59526879 -0.43432152],-0.0155106541908
20,"[ 0.90785504  0.65222213 -0.54135207  1.31107166  1.36422396  0.29125686
 -0.17363725 -0.79763931 -0.30726326 -0.05026961  0.        ]","[[-0.39770196  1.19452136  0.15700894  0.03205696]
 [-2.76571811 -2.92395784  0.          0.        ]]",[ 0.9008027   0.03659602],-0.0144180033051,[ 0.83016151  0.91009009],[-0.59526879 -0.43432152],-0.0144180033051
21,"[ 0.89668392  0.71682787 -0.56738571  1.25279955  1.36422101  0.29125662
  0.30033623 -0.76501152 -0.26057908 -0.14117565  0.        ]","[[-0.41670429  1.13806749  0.15700894  0.03205696]
 [ 0.85340315 -2.72210072  0.          0.        ]]",[-0.14736165  0.27988348],-0.0170344293188,[-0.05956455  0.88291943],[-0.59526879 -0.43432152],-0.0170344293188
22,"[ 0.90323524  0.76468853 -0.55227836  1.20357678  1.36421806  0.29125638
  0.22172226 -0.57714849 -0.23512956 -0.16038507  0.        ]","[[-0.40565893  1.09528694  0.15700894  0.03205696]
 [ 0.25313223 -1.55982694  0.          0.        ]]",[-0.02437916  1.52706021],-0.0197980333013,[ 0.05067272  0.72236896],[-0.59526879 -0.43432152],-0.0197980333013
23,"[ 0.90558551  0.75487876 -0.5467429   1.21409978  1.36421511  0.29125614
  0.20829239  0.06784992 -0.24217496 -0.1433494   0.        ]","[[-0.40162523  1.10412836  0.15700894  0.03205696]
 [ 0.15058715  2.43066936  0.          0.        ]]",[-0.24380624 -1.68588427],-0.0189900676876,[-0.27098382 -0.1327357 ],[-0.59526879 -0.43432152],-0.0189900676876
24,"[ 0.90167419  0.74551222 -0.55591208  1.22393381  1.36421216  0.2912559
  0.08170171 -0.57988916 -0.24582782 -0.14881087  0.        ]","[[-0.40831168  1.11253368  0.15700894  0.03205696]
 [-0.81601882 -1.5767833   0.          0.        ]]",[-0.1450288   0.77453789],-0.0186095973081,[ 0.35959685  0.73855197],[-0.59526879 -0.43432152],-0.0186095973081
25,"[ 0.88842581  0.74601405 -0.58579035  1.22340878  1.36420921  0.29125566
  0.00855335 -0.0791131  -0.23941016 -0.19441438  0.        ]","[[-0.43023601  1.1120834   0.15700894  0.03205696]
 [-1.37455605  1.52142916  0.          0.        ]]",[-0.01717609  0.03474464],-0.0197884875214,[ 0.34763545  0.11842549],[-0.59526879 -0.43432152],-0.0197884875214
26,"[ 0.8706298   0.71057337 -0.62337861  1.25882618  1.36420626  0.29125542
  0.00320941 -0.06174445 -0.25305651 -0.22027663  0.        ]","[[-0.45813654  1.14359013  0.15700894  0.03205696]
 [-1.41536063  1.62888558  0.          0.        ]]",[ 0.73441431  0.20708705],-0.01903368361,[ 0.40965635  0.07331428],[-0.59526879 -0.43432152],-0.01903368361
27,"[ 0.87136867  0.6643001  -0.62186722  1.30084222  1.36420331  0.29125518
  0.3874363   0.0654572  -0.28052575 -0.17839798  0.        ]","[[-0.45700793  1.18406374  0.15700894  0.03205696]
 [ 1.51847038  2.4158588   0.          0.        ]]",[ 0.10171046 -0.50660703],-0.015227202222,[-0.58791023 -0.26079521],[-0.59526879 -0.43432152],-0.015227202222
28,"[ 0.89292959  0.63217119 -0.57581842  1.32731646  1.36420036  0.29125495
  0.4362807  -0.26652125 -0.31084915 -0.08450684  0.        ]","[[-0.42289637  1.21177358  0.15700894  0.03205696]
 [ 1.89143272  0.36197017  0.          0.        ]]",[-0.35566907  0.56673869],-0.0126981738837,[-0.7375797   0.03066078],[-0.59526879 -0.43432152],-0.0126981738837
29,"[ 0.90676835  0.59737871 -0.54391439  1.35358658  1.36419741  0.29125471
  0.24699329  0.09509233 -0.34200589 -0.01273731  0.        ]","[[-0.39956924  1.24145988  0.15700894  0.03205696]
 [ 0.44610043  2.59920322  0.          0.        ]]",[-1.17643931 -0.38042721],-0.0139007859044,[-0.58526677 -0.42504731],[-0.59526879 -0.43432152],-0.0139007859044
30,"[ 0.888297    0.55428015 -0.58605635  1.38278348  1.36419447  0.29125447
 -0.27235088 -0.15655124 -0.35798675 -0.04104364  0.        ]","[[-0.4304344   1.27782353  0.15700894  0.03205696]
 [-3.51943241  1.04233402  0.          0.        ]]",[ 0.67624493 -0.36228195],-0.0109466630324,[ 0.71233326 -0.03921184],[-0.59526879 -0.43432152],-0.0109466630324
31,"[ 0.86053587  0.54683435 -0.6435542   1.38745853  1.36419152  0.29125423
  0.08726989 -0.39185582 -0.34764622 -0.11798311  0.        ]","[[-0.47327226  1.28406375  0.15700894  0.03205696]
 [-0.77349487 -0.4134494   0.          0.        ]]",[-0.18139172  0.861251  ],-0.00805747025941,[ 0.2218325  0.2309639],[-0.59526879 -0.43432152],-0.00805747025941
32,"[ 0.84496143  0.51563218 -0.67329486  1.40591089  1.36418857  0.29125399
 -0.00483453  0.16069879 -0.36014157 -0.13818849  0.        ]","[[-0.49579838  1.31009413  0.15700894  0.03205696]
 [-1.47677115  3.00509155  0.          0.        ]]",[ 0.41089088 -0.16935843],-0.0064632610808,[ 0.17221496 -0.49373791],[-0.59526879 -0.43432152],-0.0064632610808
33,"[ 0.8357239   0.45172986 -0.69019957  1.43804213  1.36418562  0.29125375
  0.21196073  0.04263213 -0.39655683 -0.11700615  0.        ]","[[-0.50872505  1.36286703  0.15700894  0.03205696]
 [ 0.17859953  2.27463849  0.          0.        ]]",[-0.52667496  0.41449537],-0.00337769330905,[-0.28027624 -0.49263176],[-0.59526879 -0.43432152],-0.00337769330905
34,"[ 0.82296472  0.37635437 -0.71273387  1.46647074  1.36418267  0.29125351
 -0.06150137  0.3007032  -0.43973745 -0.09830682  0.        ]","[[-0.52610308  1.42437941  0.15700894  0.03205696]
 [-1.90945606  3.87126953  0.          0.        ]]",[-0.34889503 -0.79029273],-0.00427509910565,[ 0.17532228 -0.84415925],[-0.59526879 -0.43432152],-0.00427509910565
35,"[ 0.78276661  0.32043635 -0.77835743  1.48112438  1.36417972  0.29125327
 -0.23729847 -0.21744056 -0.46007119 -0.15488893  0.        ]","[[-0.57775998  1.46964163  0.15700894  0.03205696]
 [-3.25177798  0.66562805  0.          0.        ]]",[ 0.89217955 -0.82427859],-0.0043002974032,[ 1.01124477 -0.15209475],[-0.59526879 -0.43432152],-0.0043002974032
36,"[ 0.75877309  0.34465607 -0.81420529  1.47543677  1.36417677  0.29125304
  0.23361427 -0.74722992 -0.43696161 -0.2234058   0.        ]","[[-0.60671867  1.45006795  0.15700894  0.03205696]
 [ 0.34393335 -2.6120643   0.          0.        ]]",[ 1.10479585 -0.01148729],-0.00712803423352,[ 0.3473441   0.49148926],[-0.59526879 -0.43432152],-0.00712803423352
37,"[ 0.79680447  0.40892479 -0.75628649  1.4554102   1.36417382  0.2912528
  0.7509931  -0.74635651 -0.4084652  -0.18288381  0.        ]","[[-0.56020301  1.39788101  0.15700894  0.03205696]
 [ 4.29444445 -2.60666611  0.          0.        ]]",[-1.09933303  0.18526759],-0.00369790626916,[-0.99759692  0.36175105],[-0.59526879 -0.43432152],-0.00369790626916
38,"[ 0.83124986  0.46296534 -0.69819315  1.43291619  1.36417087  0.29125256
  0.22157625 -0.61930649 -0.38746728 -0.13635048  0.        ]","[[-0.51487321  1.35363397  0.15700894  0.03205696]
 [ 0.2520251  -1.82064093  0.          0.        ]]",[ 0.01318421  1.77993088],-0.00358695224718,[ 0.08705553  0.40572354],[-0.59526879 -0.43432152],-0.00358695224718
39,"[ 0.83525283  0.45849312 -0.69103201  1.43497332  1.36416792  0.29125232
  0.22764217  0.0265271  -0.39201086 -0.12292467  0.        ]","[[-0.50936804  1.35731053  0.15700894  0.03205696]
 [ 0.29834348  2.17498088  0.          0.        ]]",[-0.13551254 -0.49099752],-0.0034913514262,[-0.29901302 -0.4659178 ],[-0.59526879 -0.43432152],-0.0034913514262
40,"[ 0.83563635  0.42975159 -0.69033859  1.44735127  1.36416498  0.29125208
  0.15669444 -0.29465714 -0.41068633 -0.10212938  0.        ]","[[-0.50883641  1.38087301  0.15700894  0.03205696]
 [-0.24338404  0.18788896  0.          0.        ]]",[ 0.27475531 -0.72112314],-0.00361378648051,[-0.0216103  -0.08361545],[-0.59526879 -0.43432152],-0.00361378648051
41,"[ 0.84001885  0.46015673 -0.6823812   1.43420398  1.36416203  0.29125184
  0.29980124 -0.75682146 -0.39310002 -0.1116644   0.        ]","[[-0.50274063  1.35594246  0.15700894  0.03205696]
 [ 0.8493232  -2.67141527  0.          0.        ]]",[-0.31380857  0.09353431],-0.00395418922372,[-0.0730986   0.54405606],[-0.59526879 -0.43432152],-0.00395418922372
42,"[ 0.84312184  0.51963386 -0.67667608  1.40361156  1.36415908  0.2912516
  0.13495773 -0.68836392 -0.35686736 -0.14606959  0.        ]","[[-0.49838292  1.30676351  0.15700894  0.03205696]
 [-0.4093532  -2.2478899   0.          0.        ]]",[ 0.69103256  0.83299095],-0.00680742898602,[ 0.35178804  0.60852289],[-0.59526879 -0.43432152],-0.00680742898602
43,"[ 0.85658561  0.53334332 -0.65121972  1.39562289  1.36415613  0.29125136
  0.49404448 -0.14815047 -0.35425035 -0.11916664  0.        ]","[[-0.47906025  1.29533879  0.15700894  0.03205696]
 [ 2.33248697  1.09427667  0.          0.        ]]",[-0.43236071 -0.77880467],-0.00735342284261,[-0.83205545 -0.22446248],[-0.59526879 -0.43432152],-0.00735342284261
44,"[ 0.87588651  0.5444324  -0.61249817  1.38889957  1.36415318  0.29125113
  0.2640238  -0.65003138 -0.35707932 -0.0715212   0.        ]","[[-0.45003236  1.28607066  0.15700894  0.03205696]
 [ 0.57614761 -2.0107387   0.          0.        ]]",[-0.34920177 -0.32516272],-0.00909522827286,[-0.15049885  0.48307902],[-0.59526879 -0.43432152],-0.00909522827286
45,"[ 0.87429791  0.60692524 -0.61579053  1.34656603  1.36415023  0.29125089
  0.08160304 -0.85165035 -0.31677515 -0.12314218  0.        ]","[[-0.45248483  1.23334058  0.15700894  0.03205696]
 [-0.8167389  -3.2581109   0.          0.        ]]",[ 1.39813322  2.28489892],-0.0111837376842,[ 0.49685615  0.93024147],[-0.59526879 -0.43432152],-0.0111837376842
46,"[ 0.88918829  0.63592737 -0.58405097  1.3242703   1.36414728  0.29125065
  0.60182185 -0.20137286 -0.30638023 -0.09949337  0.        ]","[[-0.42896547  1.20854351  0.15700894  0.03205696]
 [ 3.15543156  0.7649889   0.          0.        ]]",[-0.08633048  0.07756406],-0.0127082885388,[-1.09173858 -0.0651269 ],[-0.59526879 -0.43432152],-0.0127082885388
47,"[ 0.9232699   0.61463032 -0.50288407  1.34080404  1.36414433  0.29125041
  0.5488997  -0.15416848 -0.34316618  0.03214184  0.        ]","[[-0.36991117  1.22677341  0.15700894  0.03205696]
 [ 2.75134521  1.05702937  0.          0.        ]]",[-1.03166701 -1.02047209],-0.0170582666156,[-1.21737397 -0.19947699],[-0.59526879 -0.43432152],-0.0170582666156
48,"[ 0.93105269  0.63657514 -0.48225184  1.32374607  1.36414139  0.29125017
  0.02366557 -0.79740496 -0.33512895  0.04498369  0.        ]","[[-0.3551225   1.20798594  0.15700894  0.03205696]
 [-1.25911112 -2.92251073  0.          0.        ]]",[ 0.15912788  0.94842027],-0.0184336125298,[ 0.18645227  0.76271528],[-0.59526879 -0.43432152],-0.0184336125298
49,"[ 0.92119906  0.65998726 -0.50821478  1.30444766  1.36413844  0.29124993
  0.10926943 -0.18107888 -0.31160067 -0.00901426  0.        ]","[[-0.37374651  1.18779324  0.15700894  0.03205696]
 [-0.60547758  0.89053388  0.          0.        ]]",[-0.26034219  1.03155628],-0.0162778719769,[-0.2152669  -0.00658703],[-0.59526879 -0.43432152],-0.0162778719769
