timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
18,"[-0.313836   -1.19973603  1.51281904 -0.49483042 -0.47050949 -0.32040507
  1.10799501 -1.13214183 -0.19729717  0.35863994  0.        ]","[[ 1.52710926  2.82809487 -0.05369416 -0.0381    ]
 [ 6.45487984 -4.62271779  0.          0.        ]]",[-0.26153331 -0.24909591],-0.0400690014092,[-0.30707115  0.4561826 ],[-0.92951405 -0.78470117],-0.0400690014092
19,"[-0.4838052  -1.15308791  1.5102027  -0.25020789 -0.4705092  -0.32040489
  0.93837004 -1.28995587 -0.30161243  0.34807079  0.        ]","[[ 1.64453484  2.72666181 -0.05369416 -0.0381    ]
 [ 5.29155902 -5.51760356  0.          0.        ]]",[ 0.31246446  1.14924464],-0.0354701832942,[-0.16855802  0.87175798],[-0.92951405 -0.78470117],-0.0354701832942
20,"[-0.65197352 -1.11405904  1.48729169 -0.08856136 -0.4705089  -0.32040471
  1.10348162 -0.57241331 -0.37022484  0.30485925  0.        ]","[[ 1.76172762  2.65713326 -0.05369416 -0.0381    ]
 [ 6.42394067 -1.4488189   0.          0.        ]]",[-1.07883657  0.20505825],-0.0311227138629,[-0.72399688 -0.10386169],[-0.92951405 -0.78470117],-0.0311227138629
21,"[-0.7751719  -1.10146022  1.45714712 -0.04187778 -0.47050861 -0.32040453
  0.50766208 -0.4241868  -0.38460344  0.25148871  0.        ]","[[ 1.84920754  2.63658984 -0.05369416 -0.0381    ]
 [ 2.3376756  -0.60831013  0.          0.        ]]",[-0.15552822  0.33028117],-0.0271018388583,[ 0.18106627  0.17420462],[-0.92951405 -0.78470117],-0.0271018388583
22,"[-0.83069866 -1.10213053  1.43966222 -0.04430947 -0.47050832 -0.32040435
  0.41113527 -0.19143592 -0.37838958  0.22288383  0.        ]","[[ 1.88931896  2.63766561 -0.05369416 -0.0381    ]
 [ 1.67567451  0.71148971  0.          0.        ]]",[ 0.80367047 -0.07774618],-0.0250432301027,[ 0.26135948 -0.07173485],[-0.92951405 -0.78470117],-0.0250432301027
23,"[-0.91923196 -1.10892103  1.40647701 -0.06925702 -0.47050802 -0.32040416
  0.87023883 -0.24820249 -0.35596859  0.17578054  0.        ]","[[ 1.95442376  2.64866582 -0.05369416 -0.0381    ]
 [ 4.82431505  0.38959754  0.          0.        ]]",[-1.12472843 -0.97041006],-0.0219077744853,[-0.65361995 -0.53421193],[-0.92951405 -0.78470117],-0.0219077744853
24,"[ -9.93303394e-01  -1.08953389e+00   1.37339057e+00   2.99436633e-04
  -4.70507726e-01  -3.20403983e-01   2.79025698e-01  -9.27202435e-01
  -3.80576122e-01   1.41825196e-01   0.00000000e+00]","[[ 2.01022817  2.61782704 -0.05369416 -0.0381    ]
 [ 0.76964437 -3.46063375  0.          0.        ]]",[ 0.30556278  0.73190322],-0.0190828822074,[ 0.48014766  0.80913675],[-0.92951405 -0.78470117],-0.0190828822074
25,"[-1.0289556  -1.06318699  1.35562302  0.08747523 -0.47050743 -0.3204038
  0.45320242 -0.40403966 -0.41976019  0.12718836  0.        ]","[[ 2.03760637  2.57837885 -0.05369416 -0.0381    ]
 [ 1.96418858 -0.49407384  0.          0.        ]]",[ 0.5645664  -0.17495403],-0.0180124201517,[-0.0549141   0.03717613],[-0.92951405 -0.78470117],-0.0180124201517
26,"[-1.10699547 -1.05149432  1.312253    0.12381472 -0.47050714 -0.32040362
  0.77343627 -0.52448207 -0.42488916  0.08250367  0.        ]","[[ 2.09892575  2.56164505 -0.05369416 -0.0381    ]
 [ 4.16042627 -1.17703656  0.          0.        ]]",[-0.94028436  0.16560929],-0.0148181007812,[-0.73298687 -0.17216718],[-0.92951405 -0.78470117],-0.0148181007812
27,"[-1.16257522 -1.03950322  1.27732744  0.15974604 -0.47050684 -0.32040344
  0.21863307 -0.40473812 -0.43240167  0.0488797   0.        ]","[[ 2.14395783  2.54491685 -0.05369416 -0.0381    ]
 [ 0.35546694 -0.49803797  0.          0.        ]]",[ 0.16703824 -0.17674392],-0.0125431148079,[ 0.17974046  0.17671379],[-0.92951405 -0.78470117],-0.0125431148079
28,"[-1.17914059 -1.02709774  1.26621812  0.19559912 -0.47050655 -0.32040326
  0.31403125 -0.52641629 -0.44788527  0.03883291  0.        ]","[[ 2.1576316   2.52803341 -0.05369416 -0.0381    ]
 [ 1.00972915 -1.18800741  0.          0.        ]]",[ 0.2724242   0.50681404],-0.0123082165504,[ 0.01827748  0.27235931],[-0.92951405 -0.78470117],-0.0123082165504
29,"[-1.21591967 -1.02456996  1.24034147  0.20274617 -0.47050625 -0.32040308
  0.46837851 -0.16836666 -0.44296127  0.01458332  0.        ]","[[ 2.18844691  2.52464388 -0.05369416 -0.0381    ]
 [ 2.06827701  0.8422865   0.          0.        ]]",[-0.41485069 -0.15208239],-0.0104777924665,[-0.43230772 -0.37914538],[-0.92951405 -0.78470117],-0.0104777924665
30,"[-1.24456646 -1.03245695  1.2189689   0.18026107 -0.47050596 -0.3204029
  0.22293039 -0.27750717 -0.42345576 -0.00405654  0.        ]","[[ 2.21292306  2.53528023 -0.05369416 -0.0381    ]
 [ 0.38494391  0.22341258  0.          0.        ]]",[-0.61329797 -0.11104756],-0.00855550529251,[ 0.0275232  -0.06218475],[-0.92951405 -0.78470117],-0.00855550529251
31,"[-1.22502767 -1.03246469  1.23366037  0.18023549 -0.47050566 -0.32040272
 -0.13221645 -0.35583367 -0.42852957  0.00872279  0.        ]","[[ 2.19618407  2.53529224 -0.05369416 -0.0381    ]
 [-2.0507258  -0.22073285  0.          0.        ]]",[-0.09212818  0.03562808],-0.00959473383438,[ 0.65558457  0.34627482],[-0.92951405 -0.78470117],-0.00959473383438
32,"[-1.1722293  -1.03028379  1.27088166  0.18650017 -0.47050537 -0.32040253
 -0.17947928 -0.33018665 -0.4445599   0.04316833  0.        ]","[[ 2.15191737  2.53233672 -0.05369416 -0.0381    ]
 [-2.3748644  -0.07530459  0.          0.        ]]",[ 1.28502436  0.63294506],-0.012490424535,[ 0.78399706  0.41360053],[-0.92951405 -0.78470117],-0.012490424535
33,"[-1.16336448 -1.04746799  1.27678989  0.1360026  -0.47050507 -0.32040235
  0.40464494  0.11205913 -0.41963942  0.04811169  0.        ]","[[ 2.14461387  2.55599136 -0.05369416 -0.0381    ]
 [ 1.6311759   2.43241358  0.          0.        ]]",[ 0.17041258 -0.78630654],-0.0122385331841,[-0.27264053 -0.63587403],[-0.92951405 -0.78470117],-0.0122385331841
34,"[-1.21027648 -1.05939523  1.24440955  0.09937563 -0.47050478 -0.32040217
  0.49830712 -0.44550276 -0.3894073   0.01977911  0.        ]","[[ 2.18368242  2.57291818 -0.05369416 -0.0381    ]
 [ 2.27353146 -0.72919459  0.          0.        ]]",[-0.73749991 -0.36753247],-0.0100601137526,[-0.33549988 -0.14135188],[-0.92951405 -0.78470117],-0.0100601137526
35,"[-1.2288011  -1.03873954  1.23085151  0.16196448 -0.47050449 -0.32040199
  0.06600686 -0.69960599 -0.41778908  0.00659373  0.        ]","[[ 2.1994062   2.54387751 -0.05369416 -0.0381    ]
 [-0.69126602 -2.17006751  0.          0.        ]]",[ 0.05903274  0.79156451],-0.00919658493621,[ 0.43442911  0.61454868],[-0.92951405 -0.78470117],-0.00919658493621
36,"[-1.215456   -1.03029236  1.24065925  0.18646257 -0.47050419 -0.32040181
  0.10208333 -0.13928798 -0.43430178  0.01492993  0.        ]","[[ 2.18806336  2.53235437 -0.05369416 -0.0381    ]
 [-0.44384644  1.00716495  0.          0.        ]]",[ 0.40627213 -0.43097729],-0.0102002171841,[ 0.22397918 -0.09943336],[-0.92951405 -0.78470117],-0.0102002171841
37,"[-1.22411213 -1.03237242  1.23431984  0.18048187 -0.4705039  -0.32040163
  0.33788982 -0.44374936 -0.42889     0.00932458  0.        ]","[[ 2.19541238  2.53517592 -0.05369416 -0.0381    ]
 [ 1.17335911 -0.71925661  0.          0.        ]]",[-0.6191369   0.16552095],-0.00964721694787,[-0.09710215  0.07713804],[-0.92951405 -0.78470117],-0.00964721694787
38,"[-1.22251287 -1.02669683  1.23549524  0.19670464 -0.4705036  -0.32040145
 -0.02290301 -0.32565922 -0.43802599  0.01020532  0.        ]","[[ 2.19405327  2.52750928 -0.05369416 -0.0381    ]
 [-1.30102339 -0.04963877  0.          0.        ]]",[-0.02774154 -0.50589778],-0.00999818009932,[ 0.47281408  0.25407869],[-0.92951405 -0.78470117],-0.00999818009932
39,"[-1.19061473 -1.01077356  1.25829911  0.24085937 -0.47050331 -0.32040127
 -0.03516188 -0.67874983 -0.46978737  0.03217727  0.        ]","[[ 2.16718921  2.50642809 -0.05369416 -0.0381    ]
 [-1.38509702 -2.05180744  0.          0.        ]]",[ 0.24960141  0.42721604],-0.0128292663807,[ 0.62298536  0.79462582],[-0.92951405 -0.78470117],-0.0128292663807
40,"[-1.169503   -0.99235568  1.27268835  0.28959596 -0.47050301 -0.32040108
  0.11292287 -0.37326505 -0.50149476  0.04902355  0.        ]","[[ 2.14967709  2.48277187 -0.05369416 -0.0381    ]
 [-0.36950567 -0.31958757  0.          0.        ]]",[ 0.6296217   0.69808404],-0.0156165308091,[ 0.29752347  0.36289036],[-0.92951405 -0.78470117],-0.0156165308091
41,"[-1.19082835 -1.00904384  1.25814529  0.24553418 -0.47050272 -0.3204009
  0.47744724  0.11531622 -0.47232167  0.03217257  0.        ]","[[ 2.16736989  2.50417697 -0.05369416 -0.0381    ]
 [ 2.1304666   2.45086315  0.          0.        ]]",[-0.72116309 -0.06385718],-0.0129592755062,[-0.49430841 -0.63778758],[-0.92951405 -0.78470117],-0.0129592755062
42,"[-1.20697687 -1.04328469  1.24675536  0.14850333 -0.47050242 -0.32040072
  0.05499734  0.06216469 -0.41609496  0.02072997  0.        ]","[[ 2.18091049  2.55017029 -0.05369416 -0.0381    ]
 [-0.76676543  2.1494731   0.          0.        ]]",[ 0.19495613 -0.6210264 ],-0.0101946340178,[ 0.27492371 -0.33348131],[-0.92951405 -0.78470117],-0.0101946340178
43,"[-1.19812122 -1.05599425  1.25303812  0.10992609 -0.47050213 -0.32040054
  0.16974954 -0.37899606 -0.39787292  0.02687595  0.        ]","[[ 2.17347131  2.56806082 -0.05369416 -0.0381    ]
 [ 0.02022459 -0.35208273  0.          0.        ]]",[-0.37025605 -0.644632  ],-0.0105313496057,[ 0.24627376  0.10575539],[-0.92951405 -0.78470117],-0.0105313496057
44,"[-1.1809641  -1.03258801  1.2649324   0.17983768 -0.47050183 -0.32040036
 -0.04404833 -0.82791008 -0.43897386  0.03737293  0.        ]","[[ 2.15916423  2.53547911 -0.05369416 -0.0381    ]
 [-1.44603567 -2.89760428  0.          0.        ]]",[ 0.4164398   0.40271994],-0.0119097548806,[ 0.69425166  0.92180955],[-0.92951405 -0.78470117],-0.0119097548806
45,"[-1.16633533 -1.00124284  1.27478773  0.2663622  -0.47050154 -0.32040018
  0.20052526 -0.53657585 -0.48933413  0.04997301  0.        ]","[[ 2.14707277  2.49410186 -0.05369416 -0.0381    ]
 [ 0.23128918 -1.24562788  0.          0.        ]]",[-0.23128445  0.58425632],-0.0149642261347,[ 0.21238126  0.48047608],[-0.92951405 -0.78470117],-0.0149642261347
46,"[-1.16073016 -1.00010806  1.27849399  0.26935469 -0.47050124 -0.3204
  0.06634624 -0.12424527 -0.49221037  0.05403497  0.        ]","[[ 2.1424657   2.49264796 -0.05369416 -0.0381    ]
 [-0.68893093  1.09244567  0.          0.        ]]",[ 0.72372076  0.13927045],-0.0153688688677,[ 0.30687553  0.05433607],[-0.92951405 -0.78470117],-0.0153688688677
47,"[-1.17903952 -1.02092828  1.26623618  0.21290154 -0.47050095 -0.32039982
  0.48611488 -0.03080698 -0.45725655  0.0392678   0.        ]","[[ 2.15757131  2.51981284 -0.05369416 -0.0381    ]
 [ 2.18990756  1.62227655  0.          0.        ]]",[-0.88295558 -0.48718444],-0.0127049096117,[-0.44719774 -0.49297649],[-0.92951405 -0.78470117],-0.0127049096117
48,"[-1.18901024 -1.03044706  1.25938796  0.18598095 -0.47050065 -0.32039964
 -0.02990947 -0.37667271 -0.44040063  0.03220015  0.        ]","[[ 2.16586188  2.53258109 -0.05369416 -0.0381    ]
 [-1.34906369 -0.33891517  0.          0.        ]]",[ 0.69785726  0.16040421],-0.0115947478795,[ 0.54701871  0.35036135],[-0.92951405 -0.78470117],-0.0115947478795
49,"[-1.19021614 -1.03019595  1.258549    0.18669726 -0.47050036 -0.32039945
  0.37683648 -0.26347723 -0.44052177  0.03143999  0.        ]","[[ 2.1668688   2.53224278 -0.05369416 -0.0381    ]
 [ 1.44046014  0.30294522  0.          0.        ]]",[-0.11043491  0.24874466],-0.0115460336567,[-0.20230998 -0.1657083 ],[-0.92951405 -0.78470117],-0.0115460336567
