timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
10,"[ 0.15261371 -0.12099831  1.4015745   1.27151999 -0.58802909  1.02484847
 -0.19272063 -0.34100163 -0.41895706 -0.08589625  0.        ]","[[ 1.1973051   1.69117912 -0.06826062  0.11697727]
 [-2.37399194 -0.13193776  0.          0.        ]]",[ 0.21943174  0.72559667],-0.00406792775341,[ 0.54206753  0.3437815 ],[-0.94347829 -0.79228413],-0.00406792775341
11,"[ 0.20372613 -0.15459765  1.37981104  1.26245629 -0.58802869  1.0248474
 -0.05783769  0.16675958 -0.37900878 -0.08832024  0.        ]","[[ 1.15900596  1.71739144 -0.06826062  0.11697727]
 [-1.45896501  2.74359048  0.          0.        ]]",[ 0.37105252 -0.24261134],-0.00409442007846,[ 0.24663419 -0.39073214],[-0.94347829 -0.79228413],-0.00409442007846
12,"[ 0.22240406 -0.21156554  1.37126019  1.24293932 -0.58802829  1.02484633
  0.16292124 -0.01249807 -0.37425103 -0.14066246  0.        ]","[[ 1.14485247  1.76207775 -0.06826062  0.11697727]
 [ 0.03863271  1.72842803  0.          0.        ]]",[ 0.07511405 -0.49493366],-0.0026157153853,[-0.13981903 -0.46933821],[-0.94347829 -0.79228413],-0.0026157153853
13,"[ 0.21746599 -0.23002937  1.37354996  1.23547599 -0.58802789  1.02484527
  0.20667075 -0.36459742 -0.38241379 -0.16538724  0.        ]","[[ 1.14860296  1.77663994 -0.06826062  0.11697727]
 [ 0.33542373 -0.26556245  0.          0.        ]]",[ 0.14740985 -0.4191576 ],-0.00280138351996,[-0.17237273 -0.12828973],[-0.94347829 -0.79228413],-0.00280138351996
14,"[ 0.20095135 -0.20222683  1.38104715  1.24649669 -0.58802748  1.0248442
  0.29172729 -0.65675096 -0.39184373 -0.14468291  0.        ]","[[ 1.16110078  1.75472847 -0.06826062  0.11697727]
 [ 0.91243571 -1.920072    0.          0.        ]]",[-0.44936108 -0.51603055],-0.00108651027196,[-0.25353384  0.20522414],[-0.94347829 -0.79228413],-0.00108651027196
15,"[ 0.20065163 -0.12745545  1.38117883  1.26990974 -0.58802708  1.02484313
  0.02694396 -1.01079546 -0.37542715 -0.05981355  0.        ]","[[ 1.16132689  1.69621008 -0.06826062  0.11697727]
 [-0.883814   -3.9250814   0.          0.        ]]",[ 0.48998037  1.5209799 ],-0.0061081956276,[ 0.38551384  1.15000546],[-0.94347829 -0.79228413],-0.0061081956276
16,"[ 0.19806572 -0.07859235  1.3823274   1.28039101 -0.58802668  1.02484207
  0.31529601 -0.29793957 -0.36509714 -0.0069906   0.        ]","[[ 1.16327739  1.65821303 -0.06826062  0.11697727]
 [ 1.07232262  0.1119203   0.          0.        ]]",[-0.1252734   0.34933642],-0.0100702894145,[-0.23503116  0.06849068],[-0.94347829 -0.79228413],-0.0100702894145
17,"[ 0.17642969 -0.09931438  1.39171326  1.27640407 -0.58802628  1.024841
  0.23905284 -0.05406634 -0.39149744 -0.04476728  0.        ]","[[ 1.17953437  1.67430834 -0.06826062  0.11697727]
 [ 0.55510192  1.49300775  0.          0.        ]]",[-0.11168753  0.12874421],-0.00674639343915,[-0.24714908 -0.27179381],[-0.94347829 -0.79228413],-0.00674639343915
18,"[ 0.16766261 -0.14383751  1.39539466  1.26554275 -0.58802588  1.02483993
  0.17226557  0.03074194 -0.41007138 -0.10114894  0.        ]","[[ 1.18609058  1.70898732 -0.06826062  0.11697727]
 [ 0.10202854  1.97328851  0.          0.        ]]",[-0.97004305 -0.50049344],-0.00270552353341,[-0.22155306 -0.47321448],[-0.94347829 -0.79228413],-0.00270552353341
19,"[ 0.21616052 -0.16839329  1.3741395   1.25819882 -0.58802548  1.02483886
 -0.39393718 -0.32600429 -0.37058366 -0.09556928  0.        ]","[[ 1.14959302  1.72818288 -0.06826062  0.11697727]
 [-3.73899889 -0.04701335  0.          0.        ]]",[ 1.70034139  0.43311835],-0.00418260923367,[ 1.01548672  0.50838774],[-0.94347829 -0.79228413],-0.00418260923367
20,"[ 0.26106073 -0.18914855  1.35249891  1.25123362 -0.58802507  1.0248378
  0.20036173 -0.02310925 -0.33302831 -0.08928929  0.        ]","[[ 1.11526351  1.74445298 -0.06826062  0.11697727]
 [ 0.29262564  1.66832028  0.          0.        ]]",[ 0.09918078  0.38926871],-0.0074338823344,[-0.07061248 -0.31708941],[-0.94347829 -0.79228413],-0.0074338823344
21,"[ 0.24840661 -0.25064536  1.35879153  1.22646408 -0.58802467  1.02483673
  0.25735015  0.24322112 -0.35855429 -0.16822757  0.        ]","[[ 1.12499478  1.79295227 -0.06826062  0.11697727]
 [ 0.67922622  3.17658346  0.          0.        ]]",[-0.75308215 -1.1332268 ],-0.00474360162183,[-0.28139943 -0.88209391],[-0.94347829 -0.79228413],-0.00474360162183
22,"[ 0.26976401 -0.27980505  1.34807435  1.2125184  -0.58802427  1.02483566
 -0.18394178 -0.46700947 -0.34501962 -0.18799275  0.        ]","[[ 1.10854327  1.81612872 -0.06826062  0.11697727]
 [-2.31442169 -0.84554161  0.          0.        ]]",[ 1.13831894  0.53053637],-0.00663041836828,[ 0.64251989  0.31521735],[-0.94347829 -0.79228413],-0.00663041836828
23,"[ 0.27766403 -0.28523366  1.34399474  1.20976188 -0.58802387  1.0248346
  0.40622136 -0.09319379 -0.33891086 -0.18905457  0.        ]","[[ 1.10242381  1.82045803 -0.06826062  0.11697727]
 [ 1.68914155  1.27142156  0.          0.        ]]",[-0.44584606 -0.85710464],-0.00716652498456,[-0.43429247 -0.66421628],[-0.94347829 -0.79228413],-0.00716652498456
24,"[ 0.25728712 -0.27410085  1.35438436  1.21535596 -0.58802347  1.02483353
  0.141225   -0.6968792  -0.35512886 -0.18964002  0.        ]","[[ 1.11816988  1.81158506 -0.06826062  0.11697727]
 [-0.10854534 -2.14732329  0.          0.        ]]",[ 0.01213046  0.60314075],-0.00593185941575,[ 0.0821444   0.32131052],[-0.94347829 -0.79228413],-0.00593185941575
25,"[ 0.25945628 -0.25073842  1.35329562  1.22641543 -0.58802306  1.02483246
  0.14857614 -0.26766401 -0.34852481 -0.16094353  0.        ]","[[ 1.11649937  1.79302655 -0.06826062  0.11697727]
 [-0.05867602  0.28337164  0.          0.        ]]",[-0.09511273  0.18333462],-0.00540828723079,[-0.01241234 -0.1573827 ],[-0.94347829 -0.79228413],-0.00540828723079
26,"[ 0.26586057 -0.26698211  1.35005818  1.21882061 -0.58802266  1.0248314
  0.09324134 -0.14046098 -0.34600148 -0.17557725  0.        ]","[[ 1.11155953  1.80592164 -0.06826062  0.11697727]
 [-0.4340566   1.00373651  0.          0.        ]]",[ 0.12786118  0.33392512],-0.0060706768523,[ 0.06175775 -0.30690554],[-0.94347829 -0.79228413],-0.0060706768523
27,"[ 0.27041302 -0.30849288  1.34773167  1.19738032 -0.58802226  1.02483033
  0.16908704  0.08949613 -0.34972175 -0.22125113  0.        ]","[[ 1.1080407   1.83906249 -0.06826062  0.11697727]
 [ 0.08046674  2.30600947  0.          0.        ]]",[ 0.18144383 -1.36097392],-0.00797727297853,[-0.14628834 -0.77471638],[-0.94347829 -0.79228413],-0.00797727297853
28,"[ 0.25900813 -0.31588632  1.35351448  1.19324943 -0.58802186  1.02482926
  0.27478359 -0.61776919 -0.36095751 -0.23772113  0.        ]","[[ 1.11684424  1.84499597 -0.06826062  0.11697727]
 [ 0.79749257 -1.69931322  0.          0.        ]]",[-1.08381456 -0.08730541],-0.00839355618699,[-0.2092241  -0.02790794],[-0.94347829 -0.79228413],-0.00839355618699
29,"[ 0.28987877 -0.2694484   1.33755481  1.21762412 -0.58802146  1.0248282
 -0.31098472 -0.67279148 -0.3245531  -0.16270997  0.        ]","[[ 1.09292411  1.80788335 -0.06826062  0.11697727]
 [-3.17624498 -2.01091313  0.          0.        ]]",[ 0.79653666  0.01764695],-0.00767297753785,[ 0.97241235  0.77159357],[-0.94347829 -0.79228413],-0.00767297753785
30,"[ 0.32964912 -0.22004461  1.31556123  1.23955306 -0.58802105  1.02482713
  0.163019   -0.65349552 -0.27445861 -0.08116589  0.        ]","[[ 1.06166198  1.76876142 -0.06826062  0.11697727]
 [ 0.03930167 -1.90164074  0.          0.        ]]",[-0.32917687  0.75966817],-0.0129276715152,[ 0.30343461  0.60667646],[-0.94347829 -0.79228413],-0.0129276715152
31,"[ 0.34510709 -0.21056037  1.30655999  1.24329835 -0.58802065  1.02482606
 -0.02920751 -0.11566511 -0.25639585 -0.06124874  0.        ]","[[ 1.04936434  1.76128801 -0.06826062  0.11697727]
 [-1.26472387  1.1441482   0.          0.        ]]",[ 0.42345689 -0.33140464],-0.0150719159022,[ 0.52839196  0.15497109],[-0.94347829 -0.79228413],-0.0150719159022
32,"[ 0.35538604 -0.22259792  1.30042984  1.23851574 -0.58802025  1.02482499
  0.22156805 -0.35141881 -0.24952454 -0.06869694  0.        ]","[[ 1.04113863  1.77077548 -0.06826062  0.11697727]
 [ 0.43648628 -0.19094988  0.          0.        ]]",[ 0.49376911  0.01530308],-0.015513761194,[ 0.19126217  0.21966073],[-0.94347829 -0.79228413],-0.015513761194
33,"[ 0.31988008 -0.21857103  1.32111075  1.24014    -0.58801985  1.02482393
  0.50837722 -0.34009719 -0.28367989 -0.08546325  0.        ]","[[ 1.06938973  1.76759979 -0.06826062  0.11697727]
 [ 2.38214141 -0.12683551  0.          0.        ]]",[ 0.07379342 -0.405219  ],-0.0119785370664,[-0.33789933 -0.13720712],[-0.94347829 -0.79228413],-0.0119785370664
34,"[ 0.25556722 -0.19492269  1.35522291  1.24914949 -0.58801945  1.02482286
  0.54451    -0.62298931 -0.33968215 -0.09945826  0.        ]","[[ 1.11949196  1.74898922 -0.06826062  0.11697727]
 [ 2.62726094 -1.72888312  0.          0.        ]]",[-1.26792136  0.11534585],-0.00652716218725,[-0.48609915  0.09379464],[-0.94347829 -0.79228413],-0.00652716218725
35,"[ 0.23951443 -0.15709056  1.36309394  1.2616726  -0.58801905  1.02482179
 -0.04659469 -0.5362009  -0.34568331 -0.0671961   0.        ]","[[ 1.13180417  1.71934277 -0.06826062  0.11697727]
 [-1.38266584 -1.23739421  0.          0.        ]]",[-0.10872062 -0.07874509],-0.00736478208465,[ 0.45479095  0.5969159 ],[-0.94347829 -0.79228413],-0.00736478208465
36,"[ 0.28064434 -0.12167951  1.34241445  1.27131134 -0.58801864  1.02482073
 -0.10598146 -0.58692436 -0.29521626 -0.00159772  0.        ]","[[ 1.10010873  1.69171278 -0.06826062  0.11697727]
 [-1.78553309 -1.52464808  0.          0.        ]]",[ 0.27510306  1.0723746 ],-0.0142259151228,[ 0.7242502   0.92010289],[-0.94347829 -0.79228413],-0.0142259151228
37,"[ 0.31190889 -0.13391574  1.32556103  1.26820455 -0.58801824  1.02481966
  0.05964305  0.11756765 -0.26701862  0.00390987  0.        ]","[[ 1.07567109  1.70124877 -0.06826062  0.11697727]
 [-0.66197307  2.46495383  0.          0.        ]]",[ 0.33305303 -0.67719386],-0.0165601648995,[ 0.3164016  -0.07412675],[-0.94347829 -0.79228413],-0.0165601648995
38,"[ 0.31175426 -0.1619626   1.3256449   1.26018415 -0.58801784  1.02481859
  0.25594326 -0.36457128 -0.27577702 -0.02710088  0.        ]","[[ 1.07579259  1.72315288 -0.06826062  0.11697727]
 [ 0.66968407 -0.26544207  0.          0.        ]]",[-0.17137671 -0.42160467],-0.0145417509701,[ 0.08642945  0.26102927],[-0.94347829 -0.79228413],-0.0145417509701
39,"[  3.03530942e-01  -1.33786702e-01   1.33017130e+00   1.26823516e+00
  -5.88017439e-01   1.02481753e+00   1.54038692e-01  -6.58408739e-01
  -2.75602542e-01  -9.91482972e-04   0.00000000e+00]","[[ 1.08225023  1.70114828 -0.06826062  0.11697727]
 [-0.02161257 -1.92947117  0.          0.        ]]",[ 0.28764619  1.28312475],-0.0156848796569,[ 0.35007253  0.80724061],[-0.94347829 -0.79228413],-0.0156848796569
40,"[ 0.28947299 -0.13573572  1.33774916  1.26771728 -0.58801704  1.02481646
  0.32183726  0.04750017 -0.29048475 -0.01162468  0.        ]","[[ 1.09323892  1.7026683  -0.06826062  0.11697727]
 [ 1.11669507  2.06814967  0.          0.        ]]",[ 0.41160729 -0.17614255],-0.0140754070176,[-0.12973493 -0.29165158],[-0.94347829 -0.79228413],-0.0140754070176
41,"[ 0.23965274 -0.17916082  1.36301522  1.25463715 -0.58801663  1.02481539
  0.55874406 -0.08293001 -0.35096383 -0.09203106  0.        ]","[[ 1.13169755  1.73662033 -0.06826062  0.11697727]
 [ 2.7238175   1.32951289  0.          0.        ]]",[-0.37063605 -0.32617314],-0.00582835214853,[-0.64627838 -0.59924209],[-0.94347829 -0.79228413],-0.00582835214853
42,"[ 0.18791227 -0.19619622  1.38673349  1.24867407 -0.58801623  1.02481433
  0.33458385 -0.31560311 -0.40241131 -0.14684835  0.        ]","[[ 1.17091686  1.74999017 -0.06826062  0.11697727]
 [ 1.20316926  0.01186613  0.          0.        ]]",[-0.24027193 -0.28416565],-0.000801287291292,[-0.42226025 -0.28098568],[-0.94347829 -0.79228413],-0.000801287291292
43,"[ 0.16884799 -0.18211543  1.39485006  1.25363363 -0.58801583  1.02481326
  0.19091253 -0.51430865 -0.41678972 -0.14411654  0.        ]","[[ 1.18520145  1.73893712 -0.06826062  0.11697727]
 [ 0.22853842 -1.11342004  0.          0.        ]]",[-0.25609262  0.22651836],-0.00164720212845,[-0.17636892  0.10878029],[-0.94347829 -0.79228413],-0.00164720212845
44,"[ 0.17639572 -0.16546094  1.39167288  1.25908541 -0.58801543  1.02481219
  0.04081497 -0.3520112  -0.40664879 -0.11965431  0.        ]","[[ 1.17955604  1.72589037 -0.06826062  0.11697727]
 [-0.78968659 -0.19431895  0.          0.        ]]",[-0.01186809  0.07670812],-0.00132315283618,[ 0.09860203  0.09121546],[-0.94347829 -0.79228413],-0.00132315283618
45,"[ 0.19783528 -0.1644381   1.38237078  1.25940407 -0.58801503  1.02481113
  0.03618817 -0.29769753 -0.38672786 -0.10355573  0.        ]","[[ 1.1634474   1.72509005 -0.06826062  0.11697727]
 [-0.82107356  0.11326223  0.          0.        ]]",[ 0.03875793 -0.63767837],-0.0027521316079,[ 0.14484406  0.08268607],[-0.94347829 -0.79228413],-0.0027521316079
46,"[ 0.21729132 -0.13487684  1.37356358  1.26793542 -0.58801463  1.02481006
  0.06125003 -0.74395892 -0.36136468 -0.05694795  0.        ]","[[ 1.14873165  1.70199895 -0.06826062  0.11697727]
 [-0.65106001 -2.41394937  0.          0.        ]]",[-0.22911331  1.06430503],-0.00695198087243,[ 0.29110515  0.76956034],[-0.94347829 -0.79228413],-0.00695198087243
47,"[ 0.24613217 -0.12452299  1.35985412  1.27059244 -0.58801422  1.02480899
 -0.07060543 -0.03630286 -0.33055375 -0.02643882  0.        ]","[[ 1.12673599  1.69392857 -0.06826062  0.11697727]
 [-1.54553403  1.59355352  0.          0.        ]]",[ 1.19595126 -0.06274556],-0.0105431178065,[ 0.44192991  0.0843651 ],[-0.94347829 -0.79228413],-0.0105431178065
48,"[ 0.23422687 -0.16174667  1.36560642  1.26023387 -0.58801382  1.02480792
  0.51733903 -0.08584598 -0.35186574 -0.0759077   0.        ]","[[ 1.13584267  1.7229846  -0.06826062  0.11697727]
 [ 2.44293153  1.31298744  0.          0.        ]]",[-0.33649258 -0.5114915 ],-0.00649053633313,[-0.57855093 -0.52154422],[-0.94347829 -0.79228413],-0.00649053633313
49,"[ 0.18799115 -0.16900517  1.3866846   1.25795394 -0.58801342  1.02480686
  0.31393392 -0.44803758 -0.39679992 -0.11560322  0.        ]","[[ 1.17085696  1.72866482 -0.06826062  0.11697727]
 [ 1.06308552 -0.73812696  0.          0.        ]]",[-0.18873308  0.80782475],-0.0015516739779,[-0.33195183 -0.01565257],[-0.94347829 -0.79228413],-0.0015516739779
