timestep,human_obs,obs,original_rewards,actions,rewards,avg_action_dist,logstd_action_dist
38,"[[ 0.71279592  0.99628444  0.01542016  0.15506765]
 [-0.35265873 -1.1641397   0.          0.        ]]","[ 0.5872158   0.78580635  1.14390127  1.08150191  0.13944792  1.34001673
 -0.33467103 -0.48276582 -0.26178615  0.04824025  0.        ]",-0.0490183284418,[-0.61846274  0.28263994],-1.4324,[-0.0880993  -0.01654749],[-0.75560641 -0.43677509]
39,"[[ 0.68125758  0.98446863  0.01542016  0.15506765]
 [-2.79304672 -0.02125686  0.          0.        ]]","[ 0.62035222  0.79793984  1.10804095  1.06456097  0.13944788  1.3400155
 -0.46064752 -0.30246603 -0.18547418  0.02517729  0.        ]",-0.0546775892986,[ 0.58446951  0.22497023],-1.47367,[ 0.53750217 -0.08161582],[-0.75560641 -0.43677509]
40,"[[ 0.64915081  0.99297821  0.01542016  0.15506765]
 [-0.42551302  0.86925437  0.          0.        ]]","[ 0.65278673  0.78921021  1.07058046  1.07679107  0.13944783  1.34001428
 -0.33843155 -0.16198006 -0.13387758 -0.00345227  0.        ]",-0.0583888164231,[-0.32226675  0.38956355],-1.43423,[-0.02663636 -0.32557985],[-0.75560641 -0.43677509]
41,"[[ 0.62792708  1.02567079  0.01542016  0.15506765]
 [-1.69264077  2.39491486  0.          0.        ]]","[ 0.67349117  0.75522729  1.04530779  1.12229679  0.13944778  1.34001306
 -0.40384256  0.07870624 -0.13382278 -0.02574471  0.        ]",-0.0579539993174,[-0.01259281 -0.12727896],-1.44167,[ 0.16507787 -0.74757022],[-0.75560641 -0.43677509]
42,"[[ 0.59391178  1.06803678  0.01542016  0.15506765]
 [-1.70883668  1.84352198  0.          0.        ]]","[ 0.7054262   0.71018236  1.00399014  1.17770647  0.13944774  1.34001184
 -0.40467847 -0.00828085 -0.12213101 -0.06124055  0.        ]",-0.0583828671586,[ 0.39068151 -0.46866767],-1.45015,[ 0.23085719 -0.60874033],[-0.75560641 -0.43677509]
43,"[[ 0.57558929  1.08591746  0.01542016  0.15506765]
 [-0.12867404 -0.04914232  0.          0.        ]]","[ 0.7219799   0.69084743  0.98133297  1.19986342  0.13944769  1.34001061
 -0.32310777 -0.30686533 -0.11016467 -0.0801122   0.        ]",-0.0591777295282,[-0.26975328 -1.0935995 ],-1.42101,[ 0.06438005 -0.12103871],[-0.75560641 -0.43677509]
44,"[[ 0.56234332  1.04521945  0.01542016  0.15506765]
 [-1.19235993 -4.00746646  0.          0.        ]]","[ 0.73366029  0.73457877  0.96478394  1.1483665   0.13944764  1.34000939
 -0.37801685 -0.93132572 -0.03531445 -0.08924052  0.        ]",-0.0656457432299,[ 1.548277    0.80985459],-1.49383,[ 0.67482209  1.32717633],[-0.75560641 -0.43677509]
45,"[[ 0.57842256  0.99802853  0.01542016  0.15506765]
 [ 2.78699934 -0.72257939  0.          0.        ]]","[ 0.71944936  0.78400471  0.98485308  1.08397068  0.1394476   1.34000817
 -0.17259566 -0.41310529 -0.00642149 -0.07160297  0.        ]",-0.0683719435052,[-1.29661273  0.14114763],-1.41218,[-0.29850417  0.23706622],[-0.75560641 -0.43677509]
46,"[[ 0.59390928  0.98933954  0.01542016  0.15506765]
 [-1.2249607  -0.14823269  0.          0.        ]]","[ 0.70542705  0.79294655  1.00398454  1.07157551  0.13944755  1.34000694
 -0.37969962 -0.32249683 -0.02460574 -0.05567629  0.        ]",-0.066974091862,[ 0.02927873  0.53623333],-1.4386,[ 0.40849125  0.24820772],[-0.75560641 -0.43677509]
47,"[[ 0.57080931  1.00770726  0.01542016  0.15506765]
 [-1.08549849  1.97791953  0.          0.        ]]","[ 0.72622152  0.77398391  0.97537491  1.09758005  0.13944751  1.34000572
 -0.37250021  0.01292285 -0.00435154 -0.07951895  0.        ]",-0.0684669468865,[ 1.32100263 -1.93437966],-1.48664,[ 0.31314814 -0.37945083],[-0.75560641 -0.43677509]
48,"[[ 0.58902492  1.00713345  0.01542016  0.15506765]
 [ 2.89379885 -2.02197126  0.          0.        ]]","[ 0.70988402  0.77457927  0.99797045  1.09677808  0.13944746  1.3400045
 -0.16708203 -0.61809592 -0.03751737 -0.06106391  0.        ]",-0.0657750342611,[-0.58402546  0.10252049],-1.40973,[-0.30647713  0.55753791],[-0.75560641 -0.43677509]
49,"[[ 0.62314019  0.97117531  0.01542016  0.15506765]
 [ 0.52562589 -1.57532617  0.          0.        ]]","[ 0.67807603  0.81147371  1.03954805  1.0451311   0.13944741  1.34000328
 -0.2893311  -0.54763336 -0.05718963 -0.02625532  0.        ]",-0.0645729345888,[-0.35556826 -0.95491811],-1.4163,[ 0.06903082  0.54567719],[-0.75560641 -0.43677509]
