timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
26,[-0.52539724 -0.02163391],"[-1.05924773  0.83261332  1.17252779 -0.27171711 -1.16776485 -1.00037598
 -0.54140073 -0.6583274   0.04709478  1.87428854  0.        ]",[-2.52251077  2.60850787],"[[-22.81411814  -0.36133208  -0.13496939  -0.1151041 ]
 [-81.02636368  -4.09810346   0.           0.        ]]",1.78006,-0.291423048534,[-2.36761263  2.86612236]
27,[-0.52539724 -0.02163391],"[ 0.96128653  0.81238574  1.01318082 -0.34333219 -1.16776392 -1.00037531
 -0.60383476 -0.21552987  1.77540178  1.3604762   0.        ]",[-2.45706367  1.84654403],"[[ -2.44582792e+01  -4.02634950e-01  -1.34969387e-01  -1.15104103e-01]
 [ -8.33817233e+01  -4.53994870e-02   0.00000000e+00   0.00000000e+00]]",-0.122366,-0.380351795997,[-2.59830602  1.4101314 ]
28,[-0.52539724 -0.02163391],"[ 0.60926821  0.83151907 -1.14873167 -0.27581694 -1.16776298 -1.00037463
 -0.66500436  0.21857068  1.12446069 -0.3991851   0.        ]",[-2.24134803 -1.4871707 ],"[[-26.14906893  -0.36367865  -0.13496939  -0.1151041 ]
 [-85.68938268   3.92770553   0.           0.        ]]",-1.08838,-0.222563292401,[-2.86645971 -2.52285348]
29,[-0.52539724 -0.02163391],"[-1.39848944  0.84845669 -0.45809286 -0.20869569 -1.16776205 -1.00037395
 -0.72488583 -0.22127411 -0.49956123  0.51552312  0.        ]",[-2.34378147  0.05903569],"[[-27.88552072  -0.32551445  -0.13496939  -0.1151041 ]
 [-87.94844856  -0.09797232   0.           0.        ]]",0.21695,-0.0973044029841,[-1.76626715 -0.09942223]
30,[-0.52539724 -0.02163391],"[-0.36422111  0.8460104   1.54044468 -0.21890472 -1.16776112 -1.00037328
 -0.78363343 -0.26277423  0.68578082  2.0714165   0.        ]",[-2.56624031  2.2256093 ],"[[-29.66672623  -0.33128607  -0.13496939  -0.1151041 ]
 [-90.1647404   -0.47780277   0.           0.        ]]",1.43159,-0.348974873836,[-1.81083377  2.8420947 ]
31,[-0.52539724 -0.02163391],"[ 1.26009914  0.85842159 -0.01350373 -0.16492909 -1.16776018 -1.0003726
 -0.84125064  0.17222265  1.88096899  0.49584816  0.        ]",[-2.35226822 -0.35925812],"[[-31.49183156  -0.30089553  -0.13496939  -0.1151041 ]
 [-92.33838977   3.5035019    0.           0.        ]]",-1.4667,-0.343569867584,[-1.51929908 -2.60582741]
32,[-0.52539724 -0.02163391],"[-0.6230426   0.86945225 -1.2674472  -0.11157749 -1.16775925 -1.00037192
 -0.89764879 -0.26675357  0.08793646 -0.32534035  0.        ]",[-2.24055815 -0.91393137],"[[-33.35994525  -0.27113561  -0.13496939  -0.1151041 ]
 [-94.46605157  -0.51422262   0.           0.        ]]",-0.278067,-0.0735008436462,[-2.65964372 -0.08556818]
33,[-0.52539724 -0.02163391],"[-1.16511903  0.86459828  1.05627521 -0.13577755 -1.16775832 -1.00037125
 -0.95298136 -0.30139049 -0.10525353  1.76676127  0.        ]",[-2.53870654  1.54920745],"[[-35.27021028  -0.2846024   -0.13496939  -0.1151041 ]
 [-96.55351656  -0.83123741   0.           0.        ]]",1.93915,-0.272890928206,[-2.70999682  2.14978988]
34,[-0.52539724 -0.02163391],"[ 1.10953489  0.87288104  0.77112832 -0.0936851  -1.16775738 -1.00037057
 -1.00725154  0.13436038  1.84723769  1.22179353  0.        ]",[-2.45701456  0.53502017],"[[-37.22182422  -0.26121143  -0.13496939  -0.1151041 ]
 [-98.60090487   3.1569642    0.           0.        ]]",-0.317976,-0.379214296709,[-1.72278714  0.68203803]
35,[-0.52539724 -0.02163391],"[-0.0414946   0.89817623 -1.3660805   0.07000462 -1.16775645 -1.00036989
 -1.06042013  0.42370789  0.64989194 -0.49851962  0.        ]",[-2.24381828 -1.93580914],"[[ -39.21396776   -0.17149568   -0.13496939   -0.1151041 ]
 [-100.60673865    5.80521219    0.            0.        ]]",-0.204388,-0.158713320381,[-3.21739105  0.18088975]
36,[-0.52539724 -0.02163391],"[-1.38977105  0.91585353  0.67547835  0.29683686 -1.16775552 -1.00036922
 -1.11252232  0.49003071 -0.43143038  1.33399771  0.        ]",[-2.48026609 -0.57355332],"[[ -4.12458231e+01  -4.92921780e-02  -1.34969387e-01  -1.15104103e-01]
 [ -1.02572345e+02   6.41223201e+00   0.00000000e+00   0.00000000e+00]]",1.18374,-0.210328043988,[-3.03908989 -0.94728572]
37,[-0.52539724 -0.02163391],"[ 0.96880539  0.91639477  1.00312174  0.46375059 -1.16775459 -1.00036854
 -1.16356241  0.0664109   1.64764938  1.61441357  0.        ]",[-2.48250532  0.64248431],"[[ -4.33165889e+01   4.00585682e-02  -1.34969387e-01  -1.15104103e-01]
 [ -1.04497886e+02   2.53506370e+00   0.00000000e+00   0.00000000e+00]]",0.0323949,-0.387325521909,[-3.25561469  0.48821521]
38,[-0.52539724 -0.02163391],"[ 0.05714488  0.90956053 -1.35645792  0.59337035 -1.16775365 -1.00036786
 -1.21365864  0.27184241  0.91876357 -0.47997879  0.        ]",[-2.24177885 -1.63556528],"[[ -45.42550836    0.10963044   -0.13496939   -0.1151041 ]
 [-106.38782357    4.41527017    0.            0.        ]]",-1.04886,-0.19595633561,[-2.23364631 -2.78409788]
39,[-0.52539724 -0.02163391],"[-1.3652734   0.90123207  0.73262788  0.6815995  -1.16775272 -1.00036719
 -1.2627048  -0.17101862 -0.45956227  1.25458779  0.        ]",[-2.46001482  0.46555459],"[[ -47.57183031    0.15727243   -0.13496939   -0.1151041 ]
 [-108.23815064    0.3619989     0.            0.        ]]",1.15662,-0.19935539721,[-2.38930658 -0.00693867]
40,[-0.52539724 -0.02163391],"[ 1.08764275  0.89979842  0.81422593  0.69417513 -1.16775179 -1.00036651
 -1.31081545 -0.1756301   1.71103462  1.51861867  0.        ]",[-2.46489501  1.14611745],"[[ -49.75480415    0.16409      -0.13496939   -0.1151041 ]
 [-110.05318935    0.31979193    0.            0.        ]]",-1.10767,-0.386105666034,[-2.35678608 -0.67526983]
41,[-0.52539724 -0.02163391],"[-0.30826453  0.90393887 -1.35455153  0.65618327 -1.16775085 -1.00036583
 -1.35794193 -0.46930383  0.61493929 -0.4981848   0.        ]",[-2.23267007 -0.76173311],"[[ -51.9737069     0.14351652   -0.13496939   -0.1151041 ]
 [-111.83110418   -2.36804698    0.            0.        ]]",-0.837,-0.153937460094,[-2.73672899 -2.7388959 ]
42,[-0.52539724 -0.02163391],"[-1.06151344  0.91532428  1.17029214  0.49506897 -1.16774992 -1.00036516
 -1.40411596 -0.89737103 -0.1774535   1.71406769  0.        ]",[-2.5391686   2.27519274],"[[ -5.42278069e+01   5.68386078e-02  -1.34969387e-01  -1.15104103e-01]
 [ -1.13573092e+02  -6.28591904e+00   0.00000000e+00   0.00000000e+00]]",1.32873,-0.26465926042,[-2.7437728   0.69523909]
43,[-0.52539724 -0.02163391],"[ 1.26336364  0.9163937   0.14492212  0.31415347 -1.16774899 -1.00036448
 -1.44945644 -0.58294273  1.92776864  0.80717403  0.        ]",[-2.42073298  1.56474471],"[[ -5.65164304e+01  -4.00151801e-02  -1.34969387e-01  -1.15104103e-01]
 [ -1.15283638e+02  -3.40812983e+00   0.00000000e+00   0.00000000e+00]]",-0.0419011,-0.364369867915,[-2.33183897  1.26077875]
44,[-0.52539724 -0.02163391],"[-1.03011976  0.9144321  -1.00502484  0.26243199 -1.16774805 -1.0003638
 -1.49391486 -0.14248642 -0.15515854 -0.15120776  0.        ]",[-2.33087015 -0.01529619],"[[ -5.88389321e+01  -6.77337228e-02  -1.34969387e-01  -1.15104103e-01]
 [ -1.16960913e+02   6.23126355e-01   0.00000000e+00   0.00000000e+00]]",0.359729,-0.0387763274171,[-3.08104164 -0.12090375]
45,[-0.52539724 -0.02163391],"[-0.21060991  0.91506797  1.56047818  0.2765688  -1.16774712 -1.00036313
 -1.53744475 -0.19565662  0.64848104  2.08774904  0.        ]",[-2.63303423  2.37037849],"[[ -6.11946275e+01  -6.01531901e-02  -1.34969387e-01  -1.15104103e-01]
 [ -1.18603164e+02   1.36488031e-01   0.00000000e+00   0.00000000e+00]]",2.23588,-0.349055401454,[-2.0273607   3.64934367]
46,[-0.52539724 -0.02163391],"[ 0.8920878   0.91723831 -0.90272136  0.35586564 -1.16774619 -1.00036245
 -1.58015751  0.23704833  1.58759924 -0.10090418  0.        ]",[-2.34145451 -0.275877  ],"[[ -6.35828589e+01  -1.76840167e-02  -1.34969387e-01  -1.15104103e-01]
 [ -1.20214593e+02   4.09679892e+00   0.00000000e+00   0.00000000e+00]]",-0.699362,-0.288661945316,[-2.52717166 -1.04941304]
47,[-0.52539724 -0.02163391],"[-1.50110521  0.91707374  0.14094449  0.43322212 -1.16774525 -1.00036177
 -1.62194551 -0.20444151 -0.54454913  0.81470237  0.        ]",[-2.47386098  1.39316177],"[[ -6.60029686e+01   2.37146251e-02  -1.34969387e-01  -1.15104103e-01]
 [ -1.21791141e+02   5.60861872e-02   0.00000000e+00   0.00000000e+00]]",1.60712,-0.140394102696,[-3.94426342  0.74545055]
48,[-0.52539724 -0.02163391],"[ 0.97305791  0.91549701  0.99735163  0.49056963 -1.16774432 -1.0003611
 -1.66298007  0.11776049  1.64550562  1.61678639  0.        ]",[-2.56017256  1.82939219],"[[ -6.84543240e+01   5.44274754e-02  -1.34969387e-01  -1.15104103e-01]
 [ -1.23339271e+02   3.00502207e+00   0.00000000e+00   0.00000000e+00]]",0.928335,-0.387294431078,[-2.1053132   2.71945948]
49,[-0.52539724 -0.02163391],"[-0.46162626  0.90197125 -1.32261437  0.67483784 -1.16774339 -1.00036042
 -1.70322519  0.54323816  0.48301682 -0.48156462  0.        ]",[-2.31488276  0.29071236],"[[ -7.09363420e+01   1.53610698e-01  -1.34969387e-01  -1.15104103e-01]
 [ -1.24857624e+02   6.89918326e+00   0.00000000e+00   0.00000000e+00]]",0.174262,-0.135039990848,[-2.51839192  0.28023416]
