timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
25,"[-1.21070265 -0.46446447  0.8474694  -0.25088521 -0.15365862  0.41564844
 -0.09683718 -0.36886512 -0.0654454  -0.60535327  0.        ]",-0.491275,[-0.58021804  3.50007093],-0.0676552567368,[-0.62105179  4.31464291],[-0.38005993 -0.12643686],"[[  2.40081778e+00   3.00400069e+00  -1.85592306e-02   4.87930346e-02]
 [  6.13701419e+00  -6.94843467e-05   0.00000000e+00   0.00000000e+00]]"
26,"[-1.29834002 -0.464464    0.73571298 -0.25088141 -0.15365854  0.4156482
 -0.1550893  -0.36885957 -0.05253756 -0.60759963  0.        ]",-0.483235,[-1.36686373  3.89549644],-0.0683132653526,[-0.71080768  4.36176634],[-0.38005993 -0.12643686],"[[  2.49929003e+00   3.00399979e+00  -1.85592306e-02   4.87930346e-02]
 [  3.71827187e+00  -2.76374680e-05   0.00000000e+00   0.00000000e+00]]"
27,"[-1.32604407 -0.46446363  0.69520009 -0.25087976 -0.15365846  0.41564795
 -0.25221622 -0.36885737 -0.04805479 -0.6080453   0.        ]",-0.428567,[ 1.5307619   5.77376337],-0.0685119499282,[-0.64396274  4.37669611],[-0.38005993 -0.12643686],"[[  2.53319209e+00   3.00399941e+00  -1.85592306e-02   4.87930346e-02]
 [ -3.14626277e-01  -1.20065243e-05   0.00000000e+00   0.00000000e+00]]"
28,"[-1.35212236 -0.46446333  0.65422291 -0.25087935 -0.15365838  0.4156477
 -0.1567118  -0.36885547 -0.04362014 -0.60831938  0.        ]",-0.44788,[-0.97536459  5.04723671],-0.0686938114689,[-0.80226249  4.38837719],[-0.38005993 -0.12643686],"[[  2.56668690e+00   3.00399934e+00  -1.85592306e-02   4.87930346e-02]
 [  3.65089178e+00   1.25003522e-06   0.00000000e+00   0.00000000e+00]]"
29,"[-1.37692333 -0.46446304  0.61228138 -0.25087903 -0.1536583   0.41564746
 -0.25145759 -0.36885589 -0.03916399 -0.60842882  0.        ]",-0.499636,[-1.04149236  3.47927901],-0.0688620562194,[-0.73393583  4.40090752],[-0.38005993 -0.12643686],"[[  2.60023338e+00   3.00399929e+00  -1.85592306e-02   4.87930346e-02]
 [ -2.83133767e-01  -3.72433813e-06   0.00000000e+00   0.00000000e+00]]"
30,"[-1.34309081 -0.46446274  0.66874415 -0.25087861 -0.15365822  0.41564721
 -0.34667683 -0.36885559 -0.04517854 -0.60824098  0.        ]",-0.448636,[-1.23736611  5.18439227],-0.0686315609047,[-0.56047022  4.38593292],[-0.38005993 -0.12643686],"[[  2.55490210e+00   3.00399922e+00  -1.85592306e-02   4.87930346e-02]
 [ -4.23681830e+00  -3.01215239e-06   0.00000000e+00   0.00000000e+00]]"
31,"[-1.23891299 -0.46446244  0.81387308 -0.25087827 -0.15365814  0.41564697
 -0.44001103 -0.36885526 -0.06147407 -0.60619724  0.        ]",-0.455436,[ 0.39121608  4.98757379],-0.0678717090267,[-0.24116197  4.33277416],[-0.38005993 -0.12643686],"[[  2.43128243e+00   3.00399917e+00  -1.85592306e-02   4.87930346e-02]
 [ -8.11223392e+00  -2.10079982e-06   0.00000000e+00   0.00000000e+00]]"
32,"[-1.09616431 -0.46446216  0.9653474  -0.25087827 -0.15365806  0.41564672
 -0.39883889 -0.36885436 -0.0801365  -0.6009785   0.        ]",-0.494441,[-0.79396663  3.80093278],-0.0667405999087,[-0.03362478  4.2516098 ],[-0.38005993 -0.12643686],"[[  2.28619004e+00   3.00399921e+00  -1.85592306e-02   4.87930346e-02]
 [ -6.40270276e+00   3.31708953e-06   0.00000000e+00   0.00000000e+00]]"
33,"[-0.91855849 -0.46446188  1.10385937 -0.25087816 -0.15365799  0.41564647
 -0.4714943  -0.36885474 -0.0994822  -0.59193968  0.        ]",-0.475899,[ 0.76681265  4.97232175],-0.0652247414569,[ 0.36328527  4.15220451],[-0.38005993 -0.12643686],"[[  2.12786752e+00   3.00399921e+00  -1.85592306e-02   4.87930346e-02]
 [ -9.41949579e+00  -1.32572765e-06   0.00000000e+00   0.00000000e+00]]"
34,"[-0.72540222 -0.4644616   1.20977601 -0.2508782  -0.15365791  0.41564623
 -0.39388401 -0.36885388 -0.11706429 -0.57982487  0.        ]",-0.490361,[ 0.59819065  4.75330375],-0.0634594856778,[ 0.57980478  4.035779  ],[-0.38005993 -0.12643686],"[[  1.97181005e+00   3.00399926e+00  -1.85592306e-02   4.87930346e-02]
 [ -6.19698990e+00   3.77970020e-06   0.00000000e+00   0.00000000e+00]]"
35,"[-0.59576144 -0.46446133  1.25997462 -0.25087833 -0.15365783  0.41564598
 -0.33388902 -0.36885379 -0.12724497 -0.57062964  0.        ]",-0.530917,[ 0.44737493  3.50781165],-0.062211067707,[ 0.70645785  3.95339656],[-0.38005993 -0.12643686],"[[  1.87286415e+00   3.00399932e+00  -1.85592306e-02   4.87930346e-02]
 [ -3.70590151e+00   2.76359963e-06   0.00000000e+00   0.00000000e+00]]"
36,"[-0.52103348 -0.46446106  1.28217008 -0.25087834 -0.15365775  0.41564573
 -0.28946269 -0.36885378 -0.1325914  -0.56498551  0.        ]",-0.515469,[ 0.07059931  4.35394227],-0.0614682596686,[ 0.7640748   3.90413857],[-0.38005993 -0.12643686],"[[  1.81725410e+00   3.00399936e+00  -1.85592306e-02   4.87930346e-02]
 [ -1.86125091e+00   1.17814077e-06   0.00000000e+00   0.00000000e+00]]"
37,"[-0.47474174 -0.46446077  1.29358228 -0.2508782  -0.15365767  0.41564549
 -0.28184317 -0.36885381 -0.135722   -0.56137036  0.        ]",-0.523511,[-0.00511842  4.18837315],-0.0609995588004,[ 0.82392681  3.87316489],[-0.38005993 -0.12643686],"[[  1.78320332e+00   3.00399936e+00  -1.85592306e-02   4.87930346e-02]
 [ -1.54488162e+00  -6.87461656e-07   0.00000000e+00   0.00000000e+00]]"
38,"[-0.43258209 -0.46446048  1.30246468 -0.250878   -0.15365759  0.41564524
 -0.28159452 -0.36885363 -0.13845661 -0.55800033  0.        ]",-0.540761,[ 1.01135217  3.41095131],-0.0605668168206,[ 0.88499814  3.84516239],[-0.38005993 -0.12643686],"[[  1.75240921e+00   3.00399934e+00  -1.85592306e-02   4.87930346e-02]
 [ -1.53456376e+00  -9.06525161e-07   0.00000000e+00   0.00000000e+00]]"
39,"[-0.44539383 -0.4644602   1.29991364 -0.25087799 -0.15365751  0.415645
 -0.18550799 -0.36885297 -0.13763856 -0.55902987  0.        ]",-0.543822,[ 0.63169968  3.2977686 ],-0.0606986861309,[ 0.74569291  3.85268021],[-0.38005993 -0.12643686],"[[  1.76174757e+00   3.00399937e+00  -1.85592306e-02   4.87930346e-02]
 [  2.45510473e+00   2.60505006e-06   0.00000000e+00   0.00000000e+00]]"
40,"[-0.54561928 -0.46445993  1.2753811  -0.25087797 -0.15365743  0.41564475
 -0.12644283 -0.36885301 -0.13087248 -0.56686734  0.        ]",-0.493965,[ 0.77974115  4.87726102],-0.0617145230255,[ 0.52060682  3.91930079],[-0.38005993 -0.12643686],"[[  1.83545619e+00   3.00399940e+00  -1.85592306e-02   4.87930346e-02]
 [  4.90758432e+00   6.29620467e-07   0.00000000e+00   0.00000000e+00]]"
41,"[-0.71483961 -0.46445964  1.21443771 -0.25087788 -0.15365735  0.4156445
 -0.05443047 -0.36885286 -0.11793813 -0.57910306  0.        ]",-0.527799,[-0.7270646  3.4963536],-0.063359698154,[ 0.16710022  4.02700233],[-0.38005993 -0.12643686],"[[  1.96360820e+00   3.00399941e+00  -1.85592306e-02   4.87930346e-02]
 [  7.89765258e+00   1.64044341e-07   0.00000000e+00   0.00000000e+00]]"
42,"[-0.87450753 -0.46445934  1.13163849 -0.25087747 -0.15365727  0.41564426
 -0.12752501 -0.36885326 -0.10377208 -0.58935981  0.        ]",-0.4834,[ 0.4614872   4.69051505],-0.0648324714463,[  9.73381102e-04   4.12315655e+00],[-0.38005993 -0.12643686],"[[  2.09111007e+00   3.00399934e+00  -1.85592306e-02   4.87930346e-02]
 [  4.86264783e+00  -4.63064547e-06   0.00000000e+00   0.00000000e+00]]"
43,"[-1.00849572 -0.46445905  1.03943713 -0.25087722 -0.15365719  0.41564401
 -0.08583825 -0.36885241 -0.09012987 -0.59680499  0.        ]",-0.45555,[ 1.54749902  5.24209928],-0.0660059016284,[-0.27689299  4.20035553],[-0.38005993 -0.12643686],"[[  2.20572969e+00   3.00399931e+00  -1.85592306e-02   4.87930346e-02]
 [  6.59354615e+00   3.68660906e-07   0.00000000e+00   0.00000000e+00]]"
44,"[-1.18700265 -0.46445877  0.87411768 -0.25087723 -0.15365711  0.41564377
  0.00637314 -0.36885199 -0.06866327 -0.60455857  0.        ]",-0.473739,[-0.95029638  4.16612283],-0.0674706420604,[-0.7073127   4.30273628],[-0.38005993 -0.12643686],"[[  2.37601581e+00   3.00399935e+00  -1.85592306e-02   4.87930346e-02]
 [  1.04223069e+01   1.99391491e-06   0.00000000e+00   0.00000000e+00]]"
45,"[-1.33508958 -0.46445848  0.68127752 -0.25087687 -0.15365703  0.41564352
 -0.0892115  -0.36885261 -0.04653714 -0.60815076  0.        ]",-0.42318,[-0.50109267  5.91993641],-0.0685757709491,[-0.85155028  4.37925053],[-0.38005993 -0.12643686],"[[  2.54464146e+00   3.00399929e+00  -1.85592306e-02   4.87930346e-02]
 [  6.45348371e+00  -4.54746734e-06   0.00000000e+00   0.00000000e+00]]"
46,"[-1.4128763  -0.46445818  0.54520072 -0.2508765  -0.15365695  0.41564327
 -0.14007005 -0.36885204 -0.03222473 -0.6082628   0.        ]",-0.471408,[-0.51130067  4.25850997],-0.0690953823414,[-0.92737389  4.41566086],[-0.38005993 -0.12643686],"[[  2.65252349e+00   3.00399924e+00  -1.85592306e-02   4.87930346e-02]
 [  4.34175666e+00  -1.69834806e-06   0.00000000e+00   0.00000000e+00]]"
47,"[-1.45325517 -0.46445789  0.45833193 -0.25087629 -0.15365687  0.41564303
 -0.19089517 -0.36885166 -0.02353774 -0.60749292  0.        ]",-0.435154,[-0.15337732  5.63094707],-0.0693386477268,[-0.94110721  4.43192434],[-0.38005993 -0.12643686],"[[  2.71818491e+00   3.00399922e+00  -1.85592306e-02   4.87930346e-02]
 [  2.23141788e+00  -4.29110055e-07   0.00000000e+00   0.00000000e+00]]"
48,"[-1.47417499 -0.46445761  0.40671568 -0.25087621 -0.15365679  0.41564278
 -0.20658427 -0.36885125 -0.01852598 -0.60675688  0.        ]",-0.475121,[-1.6642941   4.67651529],-0.0694541883478,[-0.96127528  4.43920803],[-0.38005993 -0.12643686],"[[  2.75627716e+00   3.00399923e+00  -1.85592306e-02   4.87930346e-02]
 [  1.57997850e+00   1.15170879e-06   0.00000000e+00   0.00000000e+00]]"
49,"[-1.46969831 -0.46445732  0.41822259 -0.250876   -0.15365672  0.41564254
 -0.30269267 -0.36885141 -0.0196324  -0.60693743  0.        ]",-0.469133,[-0.75992884  4.66823303],-0.0694302525129,[-0.84761906  4.43816805],[-0.38005993 -0.12643686],"[[  2.74783807e+00   3.00399921e+00  -1.85592306e-02   4.87930346e-02]
 [ -2.41058904e+00  -1.75314506e-06   0.00000000e+00   0.00000000e+00]]"
