timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
26,-0.496065,"[ 0.8142942  -0.447865    0.92031921 -0.24385922 -0.74346673 -0.81648827
  1.42015024 -0.3702217   0.36364654  0.75776779  0.        ]",[ 1.31766017  4.75212045],-0.119277229406,[ 1.90862966  4.51639986],[-0.68951797 -0.20869109],"[[  1.97277497e+01   3.00399706e+00  -8.54303261e-02  -9.51889055e-02]
 [  7.47580008e+01  -3.70269907e-05   0.00000000e+00   0.00000000e+00]]"
27,-0.381242,"[-1.08875518 -0.44786471  0.78242443 -0.24385678 -0.74346637 -0.81648785
  1.47466406 -0.37021959  0.46871346  0.59234833  0.        ]",[ 0.92553393  4.27913512],-0.113050902542,[ 1.76023543  5.02535582],[-0.68951797 -0.20869109],"[[  2.12477858e+01   3.00399650e+00  -8.54303261e-02  -9.51889055e-02]
 [  7.72373475e+01  -2.14059503e-05   0.00000000e+00   0.00000000e+00]]"
28,-0.51005,"[-1.01118851 -0.44786447 -1.31204166 -0.24385519 -0.74346601 -0.81648742
  1.52161583 -0.37021868  0.62778342  0.70432409  0.        ]",[ 1.50850576  4.45480374],-0.137459219607,[ 1.59177339  4.79128075],[-0.68951797 -0.20869109],"[[  2.28139583e+01   3.00399615e+00  -8.54303261e-02  -9.51889055e-02]
 [  7.93727792e+01  -1.52053908e-05   0.00000000e+00   0.00000000e+00]]"
29,-0.586158,"[ 0.98253251 -0.44786424 -1.18840104 -0.24385397 -0.74346565 -0.816487
  1.57412064 -0.3702182   0.51932971  0.87866865  0.        ]",[ 2.04339437  5.33081299],-0.143075410177,[ 1.6966157   4.18710184],[-0.68951797 -0.20869109],"[[  2.44253733e+01   3.00399587e+00  -8.54303261e-02  -9.51889055e-02]
 [  8.17607697e+01  -1.25047961e-05   0.00000000e+00   0.00000000e+00]]"
30,-0.462617,"[ 0.73408316 -0.44786402  0.98658279 -0.24385287 -0.74346529 -0.81648657
  1.62558585 -0.37021799  0.36246697  0.74718331  0.        ]",[ 2.12605627  4.73881832],-0.118145089812,[ 1.89936185  4.62897635],[-0.68951797 -0.20869109],"[[  2.60840739e+01   3.00399563e+00  -8.54303261e-02  -9.51889055e-02]
 [  8.41014864e+01  -1.18273469e-05   0.00000000e+00   0.00000000e+00]]"
31,-0.364767,"[-1.29415714 -0.44786381  0.46989037 -0.2438518  -0.74346493 -0.81648615
  1.67603202 -0.37021784  0.50320489  0.58940684  0.        ]",[ 2.54781704  4.39113896],-0.116114695174,[ 1.66293871  5.12371731],[-0.68951797 -0.20869109],"[[  2.77891239e+01   3.00399540e+00  -8.54303261e-02  -9.51889055e-02]
 [  8.63958653e+01  -1.17307110e-05   0.00000000e+00   0.00000000e+00]]"
32,-0.585427,"[-0.48602594 -0.44786359 -1.6398117  -0.24385073 -0.74346457 -0.81648572
  1.72547932 -0.37021772  0.62724443  0.76830245  0.        ]",[ 0.94046718  3.94506932],-0.142650225609,[ 1.60760176  4.69163322],[-0.68951797 -0.20869109],"[[  2.95396057e+01   3.00399516e+00  -8.54303261e-02  -9.51889055e-02]
 [  8.86448237e+01  -1.17820089e-05   0.00000000e+00   0.00000000e+00]]"
33,-0.583521,"[ 1.30981743 -0.44786337 -0.34715156 -0.24384966 -0.74346421 -0.8164853
  1.76876486 -0.37021758  0.43766836  0.86615084  0.        ]",[ 1.69965972  5.51810281],-0.135506531222,[ 1.74520409  4.28598118],[-0.68951797 -0.20869109],"[[  3.13322551e+01   3.00399493e+00  -8.54303261e-02  -9.51889055e-02]
 [  9.06135529e+01  -1.17070419e-05   0.00000000e+00   0.00000000e+00]]"
34,-0.345747,"[-0.31682896 -0.44786315  1.23874841 -0.24384861 -0.74346385 -0.81648488
  1.81637594 -0.37021741  0.39494868  0.63938071  0.        ]",[ 1.81453427  5.44816275],-0.110511165829,[ 1.84268105  4.96873569],[-0.68951797 -0.20869109],"[[  3.31662529e+01   3.00399470e+00  -8.54303261e-02  -9.51889055e-02]
 [  9.27790160e+01  -1.14494062e-05   0.00000000e+00   0.00000000e+00]]"
35,-0.431719,"[-1.29389792 -0.44786294 -0.91640347 -0.24384756 -0.74346349 -0.81648445
  1.86304424 -0.37021731  0.61102362  0.65889435  0.        ]",[ 2.2065226   5.64302953],-0.132212867274,[ 1.56293106  5.06100273],[-0.68951797 -0.20869109],"[[  3.50431299e+01   3.00399447e+00  -8.54303261e-02  -9.51889055e-02]
 [  9.49016106e+01  -1.16502620e-05   0.00000000e+00   0.00000000e+00]]"
