timestep,human_obs,avg_action_dist,original_rewards,logstd_action_dist,rewards,obs,actions
40,"[[ -1.52456463e+01   3.00386124e+00   6.99687717e-02   3.43792097e-02]
 [ -1.48335053e+01   5.57327311e-03   0.00000000e+00   0.00000000e+00]]",[-1.27993321  1.49660182],-0.070540581035,[ 0.08350699 -0.08346239],-0.555015,"[-1.4500654  -0.47249223 -0.67625464 -0.27695678  0.60566444  0.30186866
  0.04237275 -0.36350998 -0.61430812 -0.45048008  0.        ]",[-1.64997158  0.61717267]
41,"[[-15.57909495   3.00353261   0.06996877   0.03437921]
 [-18.49914513  -0.02552156   0.           0.        ]]",[-1.4733777   1.57601738],-0.0763217562162,[ 0.08350699 -0.08346239],-0.43209,"[-1.58378853 -0.47242333 -0.20482045 -0.27565953  0.60566423  0.30186857
 -0.0833609  -0.36746297 -0.64395718 -0.489077    0.        ]",[-1.49715968  3.10300867]
42,"[[ -1.59851283e+01   3.00346921e+00   6.99687717e-02   3.43792097e-02]
 [ -2.20922157e+01   8.50462983e-03   0.00000000e+00   0.00000000e+00]]",[-1.78831482  1.60612941],-0.083260728489,[ 0.08350699 -0.08346239],-0.422885,"[-1.54247074 -0.4724099   0.39227179 -0.27540919  0.60566402  0.30186849
 -0.20660538 -0.3631371  -0.69194166 -0.51718124  0.        ]",[-2.09472357  2.65855062]
43,"[[ -1.64623094e+01   3.00367199e+00   6.99687717e-02   3.43792097e-02]
 [ -2.56141580e+01   9.71656391e-03   0.00000000e+00   0.00000000e+00]]",[-1.89655757  1.56471074],-0.0900110402489,[ 0.08350699 -0.08346239],-0.308941,"[-1.22005417 -0.47245221  1.00278685 -0.27620951  0.6056638   0.30186841
 -0.32741011 -0.36298293 -0.75454907 -0.51838296  0.        ]",[-2.92815987  4.1643033 ]
44,"[[ -1.70092298e+01   3.00382984e+00   6.99687717e-02   3.43792097e-02]
 [ -2.90663786e+01   6.00097598e-03   0.00000000e+00   0.00000000e+00]]",[-1.52310133  1.30495179],-0.0946574775485,[ 0.08350699 -0.08346239],-0.667615,"[-0.58046412 -0.47248507  1.41716408 -0.27683255  0.60566359  0.30186832
 -0.44582332 -0.36345518 -0.81751865 -0.4783752   0.        ]",[-1.7135228   1.26891716]
45,"[[ -1.76245089e+01   3.00391858e+00   6.99687717e-02   3.43792097e-02]
 [ -3.24502574e+01   3.10065683e-03   0.00000000e+00   0.00000000e+00]]",[-0.3203119   0.84862924],-0.0950049145441,[ 0.08350699 -0.08346239],-0.814112,"[ 0.25654386 -0.47250346  1.38290256 -0.27718275  0.60566338  0.30186824
 -0.56189234 -0.3638238  -0.85573199 -0.39524068  0.        ]",[-0.39859937  0.24646416]
46,"[[-18.282903     3.00316338   0.06996877   0.03437921]
 [-33.38602887  -0.05374819   0.           0.        ]]",[ 1.10293317  0.45959151],-0.0896341578469,[ 0.08350699 -0.08346239],-0.710545,"[ 0.95471969 -0.47234516  0.78303538 -0.27420175  0.60566317  0.30186815
 -0.5939897  -0.3710509  -0.84408237 -0.29459676  0.        ]",[ 1.49581988  1.40552657]
47,"[[ -1.89042674e+01   3.00299101e+00   6.99687717e-02   3.43792097e-02]
 [ -2.87658115e+01   1.52285610e-02   0.00000000e+00   0.00000000e+00]]",[ 1.82223892  0.38058481],-0.0802795090955,[ 0.08350699 -0.08346239],-0.66148,"[ 1.16882045 -0.47230879 -0.09520503 -0.27352132  0.60566295  0.30186807
 -0.4355131  -0.36228176 -0.78676262 -0.22636611  0.        ]",[ 1.74603355  1.82780357]
48,"[[ -1.94341452e+01   3.00336994e+00   6.99687717e-02   3.43792097e-02]
 [ -2.42370617e+01   1.84949764e-02   0.00000000e+00   0.00000000e+00]]",[ 1.79583168  0.48595202],-0.0710821637934,[ 0.08350699 -0.08346239],-0.678116,"[ 0.9412147  -0.47238821 -0.83339698 -0.27501689  0.60566274  0.30186798
 -0.28017392 -0.36186639 -0.71884633 -0.20935676  0.        ]",[ 1.47956724  2.27105716]
49,"[[ -1.98743476e+01   3.00367236e+00   6.99687717e-02   3.43792097e-02]
 [ -1.97979652e+01   1.15589784e-02   0.00000000e+00   0.00000000e+00]]",[ 1.34910178  0.68051088],-0.0645165564158,[ 0.08350699 -0.08346239],-0.728002,"[ 0.50601419 -0.4724514  -1.28291203 -0.27621053  0.60566253  0.3018679
 -0.12790992 -0.36274806 -0.66320071 -0.22780121  0.        ]",[ 1.31638422  0.41077277]
