timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
33,"[ 0.44712185  1.31128013 -0.96488582  1.44711688  0.80369283 -1.48763196
 -0.6948188  -0.71294301  0.04996475  0.88867716  0.        ]",[-0.78157789 -0.61503828],[-0.61511256 -0.39660102],-2.34684,-0.0915031649178,"[[-1.16899769  1.11299737  0.09289906 -0.17053153]
 [ 1.14262948 -1.94489781  0.          0.        ]]",[-0.7361865   0.31317872]
34,"[ 0.44472342  1.3793335  -0.9659337   1.37776736  0.80369245 -1.48763057
 -0.75965453 -0.95672293  0.04481215  0.82594567  0.        ]",[-0.78157789 -0.61503828],[-1.16751223  2.60964088],-2.73866,-0.0862386193042,"[[-1.17078746  1.0587363   0.09289906 -0.17053153]
 [-1.31340246 -3.47610392  0.          0.        ]]",[-0.59645146  0.76204658]
35,"[ 0.35546901  1.41499119 -1.00133584  1.33767259  0.80369207 -1.48762918
 -0.86344936 -0.31519877 -0.0141055   0.69812583  0.        ]",[-0.78157789 -0.61503828],[ 0.23517398 -0.01503432],-2.17333,-0.0715696779725,"[[-1.23650465  1.02964336  0.09289906 -0.17053153]
 [-5.24523276  0.55336416  0.          0.        ]]",[ 0.02786318  0.04979314]
36,"[ 0.22357138  1.40236575 -1.04148965  1.35217347  0.80369168 -1.48762779
 -0.83614505 -0.32648017 -0.09993925  0.58047213  0.        ]",[-0.78157789 -0.61503828],[ 0.37706893 -0.14624811],-2.13598,-0.0553319440863,"[[-1.33103199  1.0399996   0.09289906 -0.17053153]
 [-4.21094388  0.48250404  0.          0.        ]]",[ 0.21634315  0.04928751]
37,"[ 0.12611952  1.39778754 -1.06244527  1.3573461   0.8036913  -1.48762641
 -0.79455542 -0.42027292 -0.16769913  0.4982412   0.        ]",[-0.78157789 -0.61503828],[ 0.58205071  0.11392359],-2.1687,-0.0433392201763,"[[-1.39944416  1.04373876  0.09289906 -0.17053153]
 [-2.63551699 -0.10661687  0.          0.        ]]",[ 0.28835219  0.15892583]
38,"[ 0.08431494  1.3948335  -1.0692616   1.36065931  0.80369091 -1.48762502
 -0.7323853  -0.34822598 -0.1974424   0.4660021   0.        ]",[-0.78157789 -0.61503828],[-0.12751269 -0.50678938],-2.11919,-0.0383994838137,"[[-1.42852577  1.04614675  0.09289906 -0.17053153]
 [-0.28048661  0.34591512  0.          0.        ]]",[ 0.24110419  0.05696002]
39,"[ 0.06901709  1.41106862 -1.07143553  1.34220527  0.80369053 -1.48762363
 -0.74554246 -0.66877354 -0.21301762  0.44005128  0.        ]",[-0.78157789 -0.61503828],[ 0.69162067  0.21576327],-2.25569,-0.0351083341168,"[[-1.43913627  1.03286409  0.09289906 -0.17053153]
 [-0.77890038 -1.66747152  0.          0.        ]]",[ 0.2326256   0.49583307]
40,"[ 0.08636065  1.44062226 -1.06895652  1.30714704  0.80369015 -1.48762224
 -0.67290106 -0.5276258  -0.20816546  0.42904374  0.        ]",[-0.78157789 -0.61503828],[ 0.06432663  2.14832855],-2.39868,-0.0346499782793,"[[-1.42710565  1.00840981  0.09289906 -0.17053153]
 [ 1.97278926 -0.78091268  0.          0.        ]]",[ 0.09208855  0.35833371]
41,"[ 0.14609309  1.41129787 -1.05872969  1.34193568  0.80368976 -1.48762086
 -0.66724125  0.10522266 -0.15648408  0.50372787  0.        ]",[-0.78157789 -0.61503828],[-0.29744012  0.65528754],-2.1399,-0.0447013759625,"[[-1.3854991   1.03267374  0.09289906 -0.17053153]
 [ 2.18717574  3.19405792  0.          0.        ]]",[ 0.12557198 -0.48433354]
42,"[ 0.19100623  1.29984968 -1.04928877  1.45786595  0.80368938 -1.48761947
 -0.69946691  0.50829958 -0.10416931  0.63852641  0.        ]",[-0.78157789 -0.61503828],[ 0.35363947 -0.08510073],-2.0135,-0.0594578196186,"[[-1.35400379  1.12195688  0.09289906 -0.17053153]
 [ 0.96643689  5.7258158   0.          0.        ]]",[ 0.1432787  -1.12772238]
43,"[ 0.23798466  1.15590869 -1.03777048  1.57354647  0.803689   -1.48761808
 -0.66302275  0.43654646 -0.0607348   0.80319242  0.        ]",[-0.78157789 -0.61503828],[-0.19548724 -0.89786697],-1.99964,-0.0761210540726,"[[-1.32082407  1.23195129  0.09289906 -0.17053153]
 [ 2.34695287  5.27513008  0.          0.        ]]",[-0.17968495 -1.29975855]
44,"[ 0.29230549  1.06288502 -1.02230487  1.6300752   0.80368861 -1.4876167
 -0.68464373 -0.14606775 -0.02935058  0.93295815  0.        ]",[-0.78157789 -0.61503828],[-0.87483095 -0.37965091],-2.21829,-0.0892257773127,"[[-1.28210209  1.30073751  0.09289906 -0.17053153]
 [ 1.52792632  1.61568738  0.          0.        ]]",[-0.49687636 -0.81523466]
45,"[ 0.28605813  1.03971401 -1.02420215  1.64207107  0.80368823 -1.48761531
 -0.77682033 -0.39036688 -0.03284757  0.94550859  0.        ]",[-0.78157789 -0.61503828],[-0.71109527 -0.29191714],-2.27698,-0.0900640480928,"[[-1.28657691  1.31765556  0.09289906 -0.17053153]
 [-1.96379049  0.08122625  0.          0.        ]]",[-0.35137275 -0.53815627]
46,"[ 0.1914475   1.05339833 -1.04918589  1.63508151  0.80368784 -1.48761392
 -0.85007067 -0.57455537 -0.08250901  0.84303919  0.        ]",[-0.78157789 -0.61503828],[-0.19306321 -0.71377347],-2.23968,-0.0779991922358,"[[-1.35369305  1.30767265  0.09289906 -0.17053153]
 [-4.73857162 -1.07567588  0.          0.        ]]",[-0.04939271 -0.24344996]
47,"[ 0.04584264  1.12089525 -1.07440055  1.59641596  0.80368746 -1.48761253
 -0.86774243 -1.0211196  -0.17344577  0.65951302  0.        ]",[-0.78157789 -0.61503828],[ 1.18132767  0.98253992],-2.44232,-0.0562848101265,"[[-1.45518148  1.25801665  0.09289906 -0.17053153]
 [-5.40800498 -3.88058026  0.          0.        ]]",[ 0.21161288  0.49723032]
48,"[-0.05189372  1.17158686 -1.08267587  1.56264853  0.80368708 -1.48761115
 -0.76048025 -0.38965998 -0.24591035  0.54066183  0.        ]",[-0.78157789 -0.61503828],[ 0.19397164 -0.88900811],-2.11289,-0.0414971808451,"[[-1.52257433  1.22019946  0.09289906 -0.17053153]
 [-1.34486529  0.08566014  0.          0.        ]]",[ 0.31862289 -0.24710369]
49,"[-0.07940947  1.2160753  -1.08377575  1.52953064  0.80368669 -1.48760976
 -0.73949158 -0.95039252 -0.27430409  0.48471338  0.        ]",[-0.78157789 -0.61503828],[-0.37856401  0.24882294],-2.35839,-0.0349290258284,"[[-1.54149476  1.18657526  0.09289906 -0.17053153]
 [-0.54981542 -3.43634187  0.          0.        ]]",[ 0.24173012  0.570611  ]
