timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
20,[ 0.07339561  0.6440571 ],"[ 0.43194257  0.36271075  1.2983402   1.84027739 -0.47499299  1.01103076
  0.47986062 -1.08280079 -0.15816017  0.12002686  0.        ]",[ 1.07005282  1.85559045],-0.0371013028688,-0.0371013028688,"[[ 0.88294699  1.66025599 -0.05599261  0.11558585]
 [ 1.00139898 -5.0043665   0.          0.        ]]",[-0.28261226 -0.2216967 ]
21,[-0.68318075 -0.12778652],"[ 0.36157031  0.43824875  1.35405699  1.85032697 -0.47499243  1.01102881
  0.84540754 -0.48557804 -0.19807014  0.15766696  0.        ]",[ 0.35657358  0.71051768],-0.0362448004059,-0.0362448004059,"[[ 0.94247849  1.60088405 -0.05599261  0.11558585]
 [ 4.93859589 -0.94637601  0.          0.        ]]",[-0.28261226 -0.2216967 ]
22,[-1.08160818 -0.73733532],"[ 0.22101836  0.4261654   1.44680523  1.84938251 -0.47499188  1.01102686
  0.96731367 -0.06882505 -0.33548409  0.10157224  0.        ]",[-2.72652397 -0.07747536],-0.023155485037,-0.023155485037,"[[ 1.05442414  1.6103684  -0.05599261  0.11558585]
 [ 6.25162441  1.88536443  0.          0.        ]]",[-0.28261226 -0.2216967 ]
23,[-0.64787447 -0.59247386],"[ 0.10927285  0.38256364  1.50556568  1.84386857 -0.47499132  1.01102491
  0.58838817 -0.11938311 -0.44342228  0.01800896  0.        ]",[-0.88840351  0.54267117],-0.0147249856321,-0.0147249856321,"[[ 1.13850823  1.64462875 -0.05599261  0.11558585]
 [ 2.17035568  1.54183352  0.          0.        ]]",[-0.28261226 -0.2216967 ]
24,[-0.31845251 -0.66479552],"[ 0.09881247  0.31649325  1.51045444  1.82913058 -0.47499077  1.01102296
  0.25792344  0.19243927 -0.46728983 -0.04322976  0.        ]",[-0.42412795 -2.23213893],-0.0112048653272,-0.0112048653272,"[[ 1.14620373  1.69672369 -0.05599261  0.11558585]
 [-1.3889617   3.6605923   0.          0.        ]]",[-0.28261226 -0.2216967 ]
25,[ 0.00881249 -0.17199081],"[ 0.15856339  0.27515703  1.4811306   1.81594716 -0.47499021  1.01102101
  0.10467386 -0.40093772 -0.43022934 -0.05051602  0.        ]",[-1.77651772  0.8178309 ],-0.00803312226193,-0.00803312226193,"[[ 1.10186367  1.72948272 -0.05599261  0.11558585]
 [-3.03955689 -0.37125979  0.          0.        ]]",[-0.28261226 -0.2216967 ]
26,[ 0.53812087 -0.15060455],"[ 0.28814804  0.24357428  1.40532783  1.80378763 -0.47498966  1.01101906
 -0.25725591  0.07678997 -0.33316958 -0.02167357  0.        ]",[ 0.28925248 -0.34932788],-0.0127334730027,-0.0127334730027,"[[ 1.00196079  1.75462643 -0.05599261  0.11558585]
 [-6.93777184  2.87477896  0.          0.        ]]",[-0.28261226 -0.2216967 ]
27,[ 0.57091373 -0.00555426],"[ 0.43985914  0.18986144  1.29160175  1.7788908  -0.4749891   1.01101711
 -0.13820709 -0.13520326 -0.2153811  -0.01271319  0.        ]",[-0.22611863  0.10777498],-0.0243758935124,-0.0243758935124,"[[ 0.87607021  1.79766946 -0.05599261  0.11558585]
 [-5.65554348  1.43433929  0.          0.        ]]",[-0.28261226 -0.2216967 ]
28,[ 0.82317263  0.10719883],"[ 0.57140116  0.14942618  1.16476425  1.75656307 -0.47498855  1.01101516
 -0.2109209  -0.07658621 -0.10067501 -0.01087477  0.        ]",[ 1.22988769 -1.13502151],-0.0370657828089,-0.0370657828089,"[[ 0.75510156  1.83035247 -0.05599261  0.11558585]
 [-6.43871789  1.832626    0.          0.        ]]",[-0.28261226 -0.2216967 ]
29,[ 0.62775058  0.50869012],"[ 0.65699611  0.15367264  1.06301175  1.75904756 -0.47498799  1.01101321
  0.16843762 -0.6647508  -0.00416142  0.00593066  0.        ]",[ 0.55204976  0.91346092],-0.0484745678798,-0.0484745678798,"[[ 0.66732231  1.8269073  -0.05599261  0.11558585]
 [-2.35279662 -2.16379779  0.          0.        ]]",[-0.28261226 -0.2216967 ]
30,[ 0.2137323  -0.03852904],"[ 0.67945114  0.16176795  1.03306503  1.76369377 -0.47498744  1.01101126
  0.37559033 -0.1261717   0.02644833  0.01374873  0.        ]",[-0.17673966  0.10288542],-0.052164430924,-0.052164430924,"[[ 0.64265242  1.82034821 -0.05599261  0.11558585]
 [-0.12163489  1.49569721  0.          0.        ]]",[-0.28261226 -0.2216967 ]
31,[ 0.29027322 -0.08616608],"[ 0.68784024  0.12031937  1.0214712   1.73852347 -0.47498688  1.01100931
  0.31086057 -0.07056215  0.01721013 -0.01589524  0.        ]",[ 0.20377646 -0.29354764],-0.0504364157927,-0.0504364157927,"[[ 0.63322478  1.85405327 -0.05599261  0.11558585]
 [-0.81880868  1.87354788  0.          0.        ]]",[-0.28261226 -0.2216967 ]
32,[ 0.24015288 -0.0180186 ],"[ 0.69497957  0.08930517  1.01142099  1.71747747 -0.47498633  1.01100736
  0.38726298 -0.24709766  0.01155906 -0.0384929   0.        ]",[ 1.02056146 -1.59857509],-0.0493682720203,-0.0493682720203,"[[ 0.62510505  1.87948914 -0.05599261  0.11558585]
 [ 0.00409363  0.67403852  0.          0.        ]]",[-0.28261226 -0.2216967 ]
33,[-0.14060144  0.21989474],"[ 0.65922611  0.12148141  1.06009246  1.73926158 -0.47498577  1.01100542
  0.75478426 -0.83187181 -0.01603127 -0.01787778  0.        ]",[ 0.86944875 -0.01728367],-0.0465583849144,-0.0465583849144,"[[ 0.66490319  1.85310386 -0.05599261  0.11558585]
 [ 3.96251765 -3.29933786  0.          0.        ]]",[-0.28261226 -0.2216967 ]
34,[-0.70222241 -0.06095618],"[ 0.54777202  0.20302883  1.18987999  1.78544236 -0.47498522  1.01100347
  1.06699992 -0.83240773 -0.10380515  0.02587873  0.        ]",[-1.49427869  0.50380876],-0.0379271634615,-0.0379271634615,"[[ 0.7778935   1.78708081 -0.05599261  0.11558585]
 [ 7.32527878 -3.30298841  0.          0.        ]]",[-0.28261226 -0.2216967 ]
35,[-0.40331933 -0.140513  ],"[ 0.43160817  0.25979803  1.29856766  1.81019475 -0.47498466  1.01100152
  0.6860317  -0.52912982 -0.19859971  0.04111133  0.        ]",[-0.02850535  0.07881668],-0.0287084508149,-0.0287084508149,"[[ 0.88322974  1.74169614 -0.05599261  0.11558585]
 [ 3.22204732 -1.24231034  0.          0.        ]]",[-0.28261226 -0.2216967 ]
36,[-0.47146764 -0.23114765],"[ 0.35742215  0.28681429  1.3570786   1.81989694 -0.47498411  1.01099957
  0.66962937 -0.47958195 -0.25883315  0.03942452  0.        ]",[-0.60803616  0.5159526 ],-0.0230341579172,-0.0230341579172,"[[ 0.94589827  1.72022774 -0.05599261  0.11558585]
 [ 3.04539506 -0.90565148  0.          0.        ]]",[-0.28261226 -0.2216967 ]
37,[-0.27132469 -0.37181771],"[ 0.31304176  0.28357776  1.38863026  1.81879609 -0.47498355  1.01099762
  0.44057238 -0.17622473 -0.29983794  0.02114714  0.        ]",[-1.86769882  0.1080413 ],-0.0184231084505,-0.0184231084505,"[[ 0.98205328  1.72279552 -0.05599261  0.11558585]
 [ 0.57833043  1.15556575  0.          0.        ]]",[-0.28261226 -0.2216967 ]
38,[ 0.21096209 -0.17387646],"[ 0.34782507  0.24940483  1.36410223  1.80608383 -0.474983    1.01099567
  0.07203173 -0.11655365 -0.27972863  0.00563219  0.        ]",[ 0.3069402  -0.13997134],-0.0190111492539,-0.0190111492539,"[[ 0.95379398  1.74997494 -0.05599261  0.11558585]
 [-3.3910515   1.56101109  0.          0.        ]]",[-0.28261226 -0.2216967 ]
39,[ 0.13073573 -0.17459452],"[  4.13469936e-01   2.17686132e-01   1.31356810e+00   1.79237036e+00
  -4.74982442e-01   1.01099372e+00   1.91060469e-01  -2.02699177e-01
  -2.30490032e-01   1.77505632e-03   0.00000000e+00]",[ 0.44651748  0.97914356],-0.0234869441414,-0.0234869441414,"[[ 0.89883566  1.77532226 -0.05599261  0.11558585]
 [-2.10904662  0.97567863  0.          0.        ]]",[-0.28261226 -0.2216967 ]
40,[-0.17553727 -0.74443126],"[ 0.44130688  0.14549917  1.29031982  1.75414601 -0.47498189  1.01099177
  0.35898027  0.36501873 -0.22856591 -0.04907394  0.        ]",[ 0.18793068 -0.79330308],-0.0215600787084,-0.0215600787084,"[[ 0.87480052  1.83353891 -0.05599261  0.11558585]
 [-0.30045842  4.83313804  0.          0.        ]]",[-0.28261226 -0.2216967 ]
41,[-0.24771708 -0.59719431],"[ 0.43956459  0.06722065  1.29180471  1.70125495 -0.47498133  1.01098982
  0.42863176 -0.11137244 -0.25339707 -0.1171306   0.        ]",[ 0.61298721 -0.85212671],-0.0173551610305,-0.0173551610305,"[[ 0.87631839  1.89772458 -0.05599261  0.11558585]
 [ 0.44972908  1.59621844  0.          0.        ]]",[-0.28261226 -0.2216967 ]
42,[-0.45071602 -0.37963605],"[ 0.40086026  0.06993599  1.32371763  1.70328947 -0.47498078  1.01098787
  0.65310817 -0.61263719 -0.28525104 -0.12870453  0.        ]",[-0.04930269  0.34503781],-0.0135767909709,-0.0135767909709,"[[ 0.90957094  1.8954762  -0.05599261  0.11558585]
 [ 2.86746293 -1.80971035  0.          0.        ]]",[-0.28261226 -0.2216967 ]
43,[-0.55515486 -0.59173417],"[ 0.33485814  0.09676683  1.37339927  1.72264134 -0.47498022  1.01098592
  0.62970443 -0.40629349 -0.3321987  -0.13042133  0.        ]",[-0.27487758 -1.74582747],-0.00803917707607,-0.00803917707607,"[[ 0.96439116  1.87334902 -0.05599261  0.11558585]
 [ 2.61540198 -0.40767904  0.          0.        ]]",[-0.28261226 -0.2216967 ]
44,[-0.29267573 -0.00120819],"[ 0.28396693  0.15534453  1.40799175  1.75991697 -0.47497967  1.01098397
  0.52392236 -0.98783862 -0.35907151 -0.09946974  0.        ]",[ 0.92735743 -0.00627626],-0.00544482108694,-0.00544482108694,"[[ 1.00526792  1.82554962 -0.05599261  0.11558585]
 [ 1.4760838  -4.35908732  0.          0.        ]]",[-0.28261226 -0.2216967 ]
45,[-0.76191854 -0.15792519],"[ 0.19893909  0.26321029  1.45930688  1.81142413 -0.47497911  1.01098203
  0.86199054 -0.97886791 -0.40115969 -0.04244361  0.        ]",[-0.96291583  0.20657604],-0.00797851039149,-0.00797851039149,"[[ 1.07132309  1.73897958 -0.05599261  0.11558585]
 [ 5.11725771 -4.29814693  0.          0.        ]]",[-0.28261226 -0.2216967 ]
46,[-0.39165497  0.01080912],"[ 0.11480842  0.36038986  1.50284893  1.83962201 -0.47497856  1.01098008
  0.49873084 -0.84588487 -0.44455903  0.00191924  0.        ]",[-0.30779358 -0.11622531],-0.0133341624712,-0.0133341624712,"[[ 1.13441274  1.66208213 -0.05599261  0.11558585]
 [ 1.20478167 -3.39458314  0.          0.        ]]",[-0.28261226 -0.2216967 ]
47,[-0.19535209  0.2629911 ],"[ 0.09900808  0.45180082  1.5102772   1.85088539 -0.474978    1.01097813
  0.38342531 -0.90369395 -0.4329672   0.07086312  0.        ]",[-0.17618213  0.56926242],-0.0192955081254,-0.0192955081254,"[[ 1.14604794  1.59024931 -0.05599261  0.11558585]
 [-0.03710909 -3.78738611  0.          0.        ]]",[-0.28261226 -0.2216967 ]
48,[-0.14683351  0.14145929],"[ 0.10952015  0.51856264  1.50535263  1.84987709 -0.47497745  1.01097618
  0.31872174 -0.56090179 -0.40341863  0.12972986  0.        ]",[ 0.98266424  0.00115165],-0.0245775660542,-0.0245775660542,"[[ 1.13831379  1.53787067 -0.05599261  0.11558585]
 [-0.73399313 -1.45823932  0.          0.        ]]",[-0.28261226 -0.2216967 ]
49,[-0.66744792 -0.09998816],"[ 0.07611559  0.55527992  1.52063661  1.84599926 -0.47497689  1.01097423
  0.6811395  -0.55608704 -0.42048556  0.14452705  0.        ]",[-0.66786619 -0.05231495],-0.0261124589451,-0.0261124589451,"[[ 1.16279826  1.50903416 -0.05599261  0.11558585]
 [ 3.16942207 -1.42552953  0.          0.        ]]",[-0.28261226 -0.2216967 ]
