timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
14,[-0.55093604  0.55112886],"[-0.34951405 -0.67147265 -1.42373785 -0.84812059 -0.07063924 -0.61350312
  0.51604716 -0.69704716 -0.2556936   0.65478712  0.        ]",[ 0.01824106 -0.0605874 ],-0.0806112289948,-0.0806112289948,"[[-1.49166429  3.13151084 -0.0091477  -0.07007882]
 [ 1.09300938 -2.35897733  0.          0.        ]]",[-0.23255387 -0.17553705]
15,[-0.5628652   0.57810116],"[-0.31717061 -0.66880012 -1.42060994 -0.68111269 -0.07063915 -0.61350203
  0.5204017  -0.76608523 -0.20736393  0.65871697  0.        ]",[ 0.64004824  1.57391271],-0.081938165981,-0.081938165981,"[[-1.46929689  3.07726672 -0.0091477  -0.07007882]
 [ 1.14357178 -2.84528557  0.          0.        ]]",[-0.23255387 -0.17553705]
16,[-0.67917192  0.52981997],"[-0.2479302  -0.66429905 -1.41128981 -0.55743876 -0.07063906 -0.61350094
  0.7367447  -0.55335389 -0.17633742  0.66407116  0.        ]",[-0.89964569 -0.44168362],-0.0833113186267,-0.0833113186267,"[[-1.42122598  3.03698387 -0.0091477  -0.07007882]
 [ 3.6551404  -1.346835    0.          0.        ]]",[-0.23255387 -0.17553705]
17,[-0.55135727  0.62363827],"[-0.19548509 -0.65689888 -1.40180925 -0.42229234 -0.07063896 -0.61349985
  0.42368003 -0.79787362 -0.14152645  0.67016103  0.        ]",[-1.42435683  1.76941813],-0.0850558098899,-0.0850558098899,"[[-1.38458828  2.99276593 -0.0091477  -0.07007882]
 [ 0.02074501 -3.06921653  0.          0.        ]]",[-0.23255387 -0.17553705]
18,[-0.40967515  0.47428572],"[-0.25177032 -0.65247523 -1.41189033 -0.35825753 -0.07063887 -0.61349876
  0.0826096  -0.22714003 -0.1197471   0.66446332  0.        ]",[ 0.59218566 -0.03398651],-0.0852877562276,-0.0852877562276,"[[-1.42390051  2.97171739 -0.0091477  -0.07007882]
 [-3.93877444  0.95096302  0.          0.        ]]",[-0.23255387 -0.17553705]
19,[-0.48409611  0.47544631],"[-0.33028023 -0.6561877  -1.42194747 -0.41142333 -0.07063878 -0.61349767
  0.29129017 -0.24890354 -0.13033479  0.6567336   0.        ]",[ 0.08603517  0.90816236],-0.0841000931181,-0.0841000931181,"[[-1.47836932  2.9891985  -0.0091477  -0.07007882]
 [-1.51617922  0.79766112  0.          0.        ]]",[-0.23255387 -0.17553705]
20,[-0.48587042  0.47929582],"[-0.36878553 -0.66129405 -1.4251965  -0.4967419  -0.07063869 -0.61349657
  0.32321638 -0.28743021 -0.15380066  0.65493035  0.        ]",[-0.27618545 -0.28537288],-0.0830800832857,-0.0830800832857,"[[-1.50497352  3.01715601 -0.0091477  -0.07007882]
 [-1.14554018  0.52628149  0.          0.        ]]",[-0.23255387 -0.17553705]
21,[-0.4450449   0.50830185],"[-0.41758963 -0.66080957 -1.42774191 -0.48785561 -0.0706386  -0.61349548
  0.23097123 -0.46483553 -0.14729444  0.65036381  0.        ]",[-1.89218967  2.08052957],-0.0828371732103,-0.0828371732103,"[[-1.53862881  3.01424934 -0.0091477  -0.07007882]
 [-2.21641575 -0.72334173  0.          0.        ]]",[-0.23255387 -0.17553705]
22,[-0.26999801  0.47141007],"[-0.53894892 -0.65941749 -1.42648933 -0.46335644 -0.07063851 -0.61349439
 -0.10629918 -0.3889644  -0.13440152  0.63773318  0.        ]",[-0.5815749   0.22035416],-0.082023995524,-0.082023995524,"[[-1.62224145  3.00622962 -0.0091477  -0.07007882]
 [-6.13180433 -0.18892081  0.          0.        ]]",[-0.23255387 -0.17553705]
23,[-0.14715001  0.43899798],"[-0.74699999 -0.65891025 -1.39890776 -0.45479954 -0.07063841 -0.6134933
 -0.29418963 -0.37609715 -0.1241745   0.61523254  0.        ]",[ 0.00176905  1.09666403],-0.0801582219909,-0.0801582219909,"[[-1.76676253  3.00342666 -0.0091477  -0.07007882]
 [-8.31303479 -0.09828983  0.          0.        ]]",[-0.23255387 -0.17553705]
24,[-0.07366783  0.42884046],"[-0.97645333 -0.65880513 -1.32903572 -0.4530637  -0.07063832 -0.61349221
 -0.27940955 -0.36067435 -0.11795358  0.58852714  0.        ]",[ 0.54308696  0.32889688],-0.0777489392409,-0.0777489392409,"[[-1.93130171  3.00285811 -0.0091477  -0.07007882]
 [-8.14145708  0.01034215  0.          0.        ]]",[-0.23255387 -0.17553705]
25,[-0.07334255  0.45421439],"[-1.16056321 -0.6587428  -1.2389454  -0.45204593 -0.07063823 -0.61349112
 -0.08030457 -0.36615282 -0.11581829  0.56525059  0.        ]",[-1.55008048  1.64132161],-0.0755304153276,-0.0755304153276,"[[-2.07093974  3.00252483 -0.0091477  -0.07007882]
 [-5.8300483  -0.02825104  0.          0.        ]]",[-0.23255387 -0.17553705]
26,[ 0.08069327  0.44841599],"[-1.34910064 -0.65877531 -1.10791728 -0.45260638 -0.07063814 -0.61349003
 -0.41141577 -0.35831262 -0.11691842  0.539533    0.        ]",[ 1.55944928 -0.33646866],-0.0729372048906,-0.0729372048906,"[[ -2.22610752e+00   3.00270871e+00  -9.14769803e-03  -7.00788246e-02]
 [ -9.67392101e+00   2.69702654e-02   0.00000000e+00   0.00000000e+00]]",[-0.23255387 -0.17553705]
27,[ 0.05665419  0.52691668],"[-1.51303207 -0.65631399 -0.95113784 -0.41348368 -0.07063805 -0.61348894
 -0.0538694  -0.54750863 -0.11469468  0.50394016  0.        ]",[ 0.09865353 -1.42219726],-0.0695483767492,-0.0695483767492,"[[-2.37794018  2.98987698 -0.0091477  -0.07007882]
 [-5.52317528 -1.30569747  0.          0.        ]]",[-0.23255387 -0.17553705]
28,[ 0.12038397  0.69649529],"[-1.61288569 -0.6403837  -0.82752155 -0.21486682 -0.07063796 -0.61348784
 -0.01081576 -1.10597301 -0.09450259  0.42603075  0.        ]",[-0.2877746   0.48218875],-0.0631743247965,-0.0631743247965,"[[-2.48338908  2.92429456 -0.0091477  -0.07007882]
 [-5.02336758 -5.23943492  0.          0.        ]]",[-0.23255387 -0.17553705]
29,[ 0.19849846  0.68928641],"[-1.70411471 -0.61163879 -0.68619588  0.03698307 -0.07063786 -0.61348675
 -0.10038264 -0.82019914 -0.08708797  0.32141186  0.        ]",[ 2.41573436  1.21937632],-0.0541444950618,-0.0541444950618,"[[-2.59428884  2.83970222 -0.0091477  -0.07007882]
 [-6.06314598 -3.22651101  0.          0.        ]]",[-0.23255387 -0.17553705]
30,[ 0.17532386  0.64213216],"[-1.76073869 -0.60175766 -0.57753842  0.10778848 -0.07063777 -0.61348566
  0.25101924 -0.24897601 -0.10044584  0.28125676  0.        ]",[ 1.34899304 -0.30782096],-0.0496815326385,-0.0496815326385,"[[-2.67462163  2.81554186 -0.0091477  -0.07007882]
 [-1.98374249  0.79707132  0.          0.        ]]",[-0.23255387 -0.17553705]
31,[ 0.08046951  0.64864594],"[-1.76043978 -0.60325662 -0.57814937  0.09740388 -0.07063768 -0.61348457
  0.59544699 -0.42423439 -0.10078465  0.28501286  0.        ]",[ 0.84829991  0.9099711 ],-0.0499819953213,-0.0499819953213,"[[-2.67417879  2.81909726 -0.0091477  -0.07007882]
 [ 2.01470212 -0.43741773  0.          0.        ]]",[-0.23255387 -0.17553705]
32,[-0.09011392  0.52206743],"[-1.7088207  -0.61431655 -0.67785467  0.01670305 -0.07063759 -0.61348348
  0.88133492  0.08853866 -0.08978197  0.32707557  0.        ]",[ 1.3353713  -0.01288007],-0.0544520819764,-0.0544520819764,"[[-2.60058558  2.84658798 -0.0091477  -0.07007882]
 [ 5.33357157  3.17444856  0.          0.        ]]",[-0.23255387 -0.17553705]
33,[-0.31832284  0.43798813],"[-1.58739971 -0.6358414  -0.86159181 -0.16873498 -0.0706375  -0.61348239
  1.21329344  0.072388   -0.08548269  0.41719953  0.        ]",[-0.9675903  -0.40295183],-0.0628984868385,-0.0628984868385,"[[ -2.45524860e+00   2.90893562e+00  -9.14769803e-03  -7.00788246e-02]
 [  9.18729047e+00   3.06068755e+00   0.00000000e+00   0.00000000e+00]]",[-0.23255387 -0.17553705]
34,[-0.25176355  0.49675399],"[-1.44428487 -0.64816968 -1.02271249 -0.30310841 -0.0706374  -0.6134813
  0.86762097 -0.16275993 -0.09258272  0.48538033  0.        ]",[-0.00559939 -0.86590592],-0.0689043184334,-0.0689043184334,"[[-2.31176498  2.95353077 -0.0091477  -0.07007882]
 [ 5.17443296  1.40435769  0.          0.        ]]",[-0.23255387 -0.17553705]
35,[-0.31702504  0.54567409],"[-1.32983185 -0.64650818 -1.12337095 -0.28316447 -0.07063731 -0.61348021
  0.85687293 -0.65347083 -0.08320172  0.50057148  0.        ]",[-0.38935325 -0.8414382 ],-0.0708720187005,-0.0708720187005,"[[-2.20952795  2.94693814 -0.0091477  -0.07007882]
 [ 5.04968231 -2.05210188  0.          0.        ]]",[-0.23255387 -0.17553705]
36,[-0.29861203  0.66167134],"[-1.22832925 -0.62399299 -1.19682984 -0.06109459 -0.07063722 -0.61347911
  0.71545739 -1.12071864 -0.03425639  0.46378926  0.        ]",[ 0.29993895  0.91058183],-0.0704563644023,-0.0704563644023,"[[-2.12500569  2.87287435 -0.0091477  -0.07007882]
 [ 3.40801953 -5.34330518  0.          0.        ]]",[-0.23255387 -0.17553705]
37,[-0.43163449  0.51385063],"[-1.1279956  -0.5964396  -1.2572851   0.1436095  -0.07063713 -0.61347802
  0.81194821 -0.59382104  0.01441095  0.43431061  0.        ]",[ 0.83347221  0.19831272],-0.0713942281145,-0.0713942281145,"[[-2.04560618  2.8032453  -0.0091477  -0.07007882]
 [ 4.52819145 -1.63197237  0.          0.        ]]",[-0.23255387 -0.17553705]
38,[-0.63014793  0.45292366],"[-0.96485665 -0.58532641 -1.33357303  0.21432501 -0.07063704 -0.61347693
  1.08847896 -0.47774703  0.04141147  0.45838275  0.        ]",[-0.61433375  1.5379062 ],-0.075511675309,-0.075511675309,"[[-1.92283285  2.77880914 -0.0091477  -0.07007882]
 [ 7.73844188 -0.81438091  0.          0.        ]]",[-0.23255387 -0.17553705]
39,[-0.57001263  0.39036909],"[-0.78561274 -0.59606979 -1.39009157  0.14603778 -0.07063695 -0.61347584
  0.86577632  0.08666332  0.03271982  0.51812855  0.        ]",[-0.95399242  1.57016909],-0.0799439832138,-0.0799439832138,"[[-1.79400337  2.80240957 -0.0091477  -0.07007882]
 [ 5.15313372  3.1611835   0.          0.        ]]",[-0.23255387 -0.17553705]
40,[-0.40889695  0.39087898],"[-0.69419012 -0.63453886 -1.40894333 -0.15613665 -0.07063685 -0.61347475
  0.53164553  0.63989788 -0.04554078  0.58618787  0.        ]",[-1.9126305   1.46388378],-0.081124862526,-0.081124862526,"[[-1.72985869  2.90473156 -0.0091477  -0.07007882]
 [ 1.27425702  7.05803088  0.          0.        ]]",[-0.23255387 -0.17553705]
41,[-0.28459525  0.44906315],"[-0.71493939 -0.66629534 -1.40522487 -0.60601857 -0.07063676 -0.61347366
  0.18840475  0.12842492 -0.14043119  0.62439866  0.        ]",[-0.03045181  0.82113324],-0.0804483571368,-0.0804483571368,"[[-1.74435063  3.05282331 -0.0091477  -0.07007882]
 [-2.71038011  3.45535341  0.          0.        ]]",[-0.23255387 -0.17553705]
42,[-0.27675641  0.48980311],"[-0.79300746 -0.66762691 -1.3882635  -0.64344656 -0.07063667 -0.61347257
  0.18262385 -0.49025299 -0.17491108  0.63183134  0.        ]",[ 0.65006762  1.2489748 ],-0.0800345412971,-0.0800345412971,"[[-1.79923214  3.06501182 -0.0091477  -0.07007882]
 [-2.77748693 -0.90244824  0.          0.        ]]",[-0.23255387 -0.17553705]
43,[-0.37530217  0.4999088 ],"[-0.83411838 -0.66497378 -1.37739291 -0.57348284 -0.07063658 -0.61347148
  0.40907022 -0.52104167 -0.15321345  0.62041925  0.        ]",[ 0.26330999  1.42118014],-0.0795805033257,-0.0795805033257,"[[-1.8284065   3.04221833 -0.0091477  -0.07007882]
 [-0.14869818 -1.11932102  0.          0.        ]]",[-0.23255387 -0.17553705]
44,[-0.42148435  0.49194783],"[-0.82355409 -0.66234195 -1.38030901 -0.51730644 -0.07063649 -0.61347039
  0.49912878 -0.46179404 -0.138388    0.61451218  0.        ]",[-1.60812661  0.72466   ],-0.0795254887762,-0.0795254887762,"[[-1.82089078  3.02387965 -0.0091477  -0.07007882]
 [ 0.89678612 -0.70200297  0.          0.        ]]",[-0.23255387 -0.17553705]
45,[-0.25685647  0.48266837],"[-0.85436533 -0.66059996 -1.37152811 -0.48455638 -0.0706364  -0.61346929
  0.15654165 -0.41686255 -0.1288126   0.60713521  0.        ]",[-0.51022732  0.29565766],-0.079158219886,-0.079158219886,"[[-1.84285791  3.01317057 -0.0091477  -0.07007882]
 [-3.08024523 -0.38552338  0.          0.        ]]",[-0.23255387 -0.17553705]
46,[-0.16077021  0.45878112],"[-0.96659664 -0.65955677 -1.332844   -0.46621248 -0.0706363  -0.6134682
 -0.01222256 -0.39339816 -0.12145477  0.59181713  0.        ]",[ 1.05627548  0.73807262],-0.0779283323994,-0.0779283323994,"[[-1.92411962  3.00716593 -0.0091477  -0.07007882]
 [-5.0393971  -0.22025152  0.          0.        ]]",[-0.23255387 -0.17553705]
47,[-0.24608402  0.48758185],"[-1.04745746 -0.65906586 -1.29807462 -0.45787162 -0.07063621 -0.61346711
  0.33743072 -0.37313808 -0.11806643  0.58065878  0.        ]",[-0.04458449  1.93088639],-0.0769621539422,-0.0769621539422,"[[-1.98418169  3.00443419 -0.0091477  -0.07007882]
 [-0.98033825 -0.07754974  0.          0.        ]]",[-0.23255387 -0.17553705]
48,[-0.22717565  0.48926505],"[-1.07548708 -0.65894054 -1.2845828  -0.45578401 -0.07063612 -0.61346602
  0.32389631 -0.36327582 -0.11724481  0.57680485  0.        ]",[-0.18039673  0.78342739],-0.0766150858454,-0.0766150858454,"[[-2.00536481  3.00375048 -0.0091477  -0.07007882]
 [-1.1374509  -0.00808684  0.          0.        ]]",[-0.23255387 -0.17553705]
49,[-0.19041058  0.4857206 ],"[-1.11430869 -0.65889872 -1.26461648 -0.45510274 -0.07063603 -0.61346493
  0.26430947 -0.36373488 -0.11675773  0.57178852  0.        ]",[-0.36663837 -0.32774027],-0.0761384887368,-0.0761384887368,"[[-2.03505413  3.0035275  -0.0091477  -0.07007882]
 [-1.8291764  -0.01132406  0.          0.        ]]",[-0.23255387 -0.17553705]
