timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
27,-0.215913012575,[ 2.92520844  1.54365536],-0.678528,"[[  2.44668327e+01   3.00367673e+00   1.70510934e-01  -1.17940683e-01]
 [  8.34331661e+01   7.20741578e-03   0.00000000e+00   0.00000000e+00]]","[ 0.98784084 -0.46642986 -0.98437592 -0.27639185  1.48027322 -1.02768369
  0.42193756 -0.37011276 -1.37563262  0.98739575  0.        ]",[ 3.08870268  0.94315672],[-0.59029096 -0.42742014]
28,-0.222085674205,[ 2.10976848 -0.35434644],-1.30657,"[[  2.61586490e+01   3.00381399e+00   1.70510934e-01  -1.17940683e-01]
 [  8.57407759e+01   5.84370067e-03   0.00000000e+00   0.00000000e+00]]","[ 0.615558   -0.46645856  1.15841449 -0.27694325  1.48027172 -1.02768301
  0.48220924 -0.37028888 -1.52489538  0.84904265  0.        ]",[ 2.95356083  0.58141613],[-0.59029096 -0.42742014]
29,-0.195591313404,[ 2.80008987  0.86004818],-1.35554,"[[ 27.89615803   2.98980783   0.17051093  -0.11794068]
 [ 88.00256488  -1.40188554   0.           0.        ]]","[-1.39516179 -0.46336413  0.4514638  -0.22072268  1.48027021 -1.02768234
  0.54128412 -0.55222979 -1.37806279  0.69787539  0.        ]",[ 3.09579396  1.18083501],[-0.59029096 -0.42742014]
30,-0.197197578776,[ 2.82517849  1.28315653],-0.533986,"[[ 29.67845589   2.99616441   0.17051093  -0.11794068]
 [ 90.21989941   2.02611119   0.           0.        ]]","[-0.33479266 -0.46480509 -1.52026016 -0.24622355  1.48026871 -1.02768167
  0.59919788 -0.10918023 -1.26376303  0.89635486  0.        ]",[ 3.24591446  1.19099045],[-0.59029096 -0.42742014]
31,-0.223024159628,[ 3.35067447  0.66868381],-0.901749,"[[ 31.50465965   3.01801396   0.17051093  -0.11794068]
 [ 92.39319035   0.12893649   0.           0.        ]]","[ 1.27911592 -0.46929135  0.04324775 -0.33405301  1.4802672  -1.02768099
  0.65596125 -0.35437947 -1.47054334  0.94856278  0.        ]",[ 3.03050184  0.64853203],[-0.59029096 -0.42742014]
32,-0.207936600973,[ 3.18650413  1.58174519],-1.49466,"[[ 33.37389645   3.01488999   0.17051093  -0.11794068]
 [ 94.52339076  -0.28096244   0.           0.        ]]","[-0.62878936 -0.46869411  1.26140335 -0.32147974  1.4802657  -1.02768032
  0.71159911 -0.40735651 -1.46355586  0.73794809  0.        ]",[ 3.02468777  0.76454866],[-0.59029096 -0.42742014]
33,-0.191239176806,[ 2.97908537  2.41108319],-0.780481,"[[ 35.28531424   3.00994143   0.17051093  -0.11794068]
 [ 96.61143115  -0.20007567   0.           0.        ]]","[-1.14140619 -0.46771782 -1.05340557 -0.30157325  1.48026419 -1.02767965
  0.76613577 -0.39690219 -1.26998153  0.8095042   0.        ]",[ 3.30761242  1.22305059],[-0.59029096 -0.42742014]
34,-0.218763450755,[ 2.60773548  1.16713167],-0.706489,"[[ 37.23807819   3.00689786   0.17051093  -0.11794068]
 [ 98.65814498  -0.10928557   0.           0.        ]]","[ 1.13956552 -0.46709882 -0.7328492  -0.28933633  1.48026269 -1.02767897
  0.81959299 -0.38516792 -1.40412174  0.98587382  0.        ]",[ 3.15263438  0.77035803],[-0.59029096 -0.42742014]
35,-0.215679090131,[ 3.30506251 -0.49818763],-1.36565,"[[  3.92313700e+01   3.00532671e+00   1.70510934e-01  -1.17940683e-01]
 [  1.00664347e+02  -5.33848114e-02   0.00000000e+00   0.00000000e+00]]","[-0.05084812 -0.4667737   1.36800413 -0.28302134  1.48026118 -1.0276783
  0.87199205 -0.37794291 -1.50772141  0.78033573  0.        ]",[ 3.03775835  0.5700047 ],[-0.59029096 -0.42742014]
36,-0.18812267216,[ 3.44911801  1.05186751],-0.862207,"[[  41.26438561    2.98441628    0.17051093   -0.11794068]
 [ 102.63061954   -2.03126494    0.            0.        ]]","[-1.37049645 -0.46209257 -0.68374407 -0.19911169  1.48025967 -1.02767763
  0.92334814 -0.63357307 -1.28050967  0.75031604  0.        ]",[ 3.32475376  1.20951879],[-0.59029096 -0.42742014]
37,-0.215966927473,[ 3.46953489  1.86410448],-0.620204,"[[  43.33633861    2.98384741    0.17051093   -0.11794068]
 [ 104.55835263    1.96102064    0.            0.        ]]","[ 1.00474112 -0.46195579 -0.96137615 -0.19683254  1.48025817 -1.02767695
  0.97369757 -0.11759134 -1.3665427   1.00000036  0.        ]",[ 3.18633842  0.79220527],[-0.59029096 -0.42742014]
38,-0.213808236576,[ 1.85836503 -0.55403141],-1.38761,"[[  45.44646639    3.03002282    0.17051093   -0.11794068]
 [ 106.44798999    0.74489169    0.            0.        ]]","[ 0.04345646 -0.47144712  1.36082241 -0.38242944  1.48025666 -1.02767628
  1.02305192 -0.2747695  -1.48969112  0.78333504  0.        ]",[ 3.07200766  0.4538053 ],[-0.59029096 -0.42742014]
39,-0.191343699166,[ 4.31077878  0.7195161 ],-0.762959,"[[  47.59400679    3.02127784    0.17051093   -0.11794068]
 [ 108.29984195   -1.53989973    0.            0.        ]]","[-1.3426252  -0.46989786 -0.74465677 -0.34719381  1.48025516 -1.02767561
  1.0714193  -0.57006658 -1.28630452  0.78673061  0.        ]",[ 3.37400055  1.12907481],[-0.59029096 -0.42742014]
