timestep,logstd_action_dist,avg_action_dist,obs,original_rewards,rewards,actions,human_obs
26,[-0.70324886 -0.55928731],[-0.13507707 -0.45399493],"[ 0.80251638  1.13081607  0.60933366  1.84264807  1.63062789  1.13582546
  0.24721254  0.04950575 -1.09386605  0.05881298  0.        ]",-0.0342437569515,-2.03338,[ 0.16978753 -0.51234753],"[[ 0.59171272  0.26991301  0.18799116  0.13151088]
 [ 1.8529119  -1.3619483   0.          0.        ]]"
27,[-0.70324886 -0.55928731],[-0.31010121 -0.06477773],"[ 0.7674169   1.14512675  0.66582129  1.72386693  1.630626    1.13582463
  0.31295881 -0.28191795 -1.11734158  0.10537793  0.        ]",-0.037205881083,-2.03986,[ 0.1440466 -0.1338502],"[[ 0.63514991  0.22258764  0.18799116  0.13151088]
 [ 2.48868715 -3.36391668  0.          0.        ]]"
28,[-0.70324886 -0.55928731],[-0.73838151  0.13900332],"[ 0.7199256   1.16168014  0.73477709  1.54097247  1.6306241   1.13582381
  0.36681351 -0.35866617 -1.13871186  0.14951237  0.        ]",-0.0400913902794,-2.08568,[-1.62510106  0.56082319],"[[ 0.69014883  0.15065786  0.18799116  0.13151088]
 [ 3.0094696  -3.82751564  0.          0.        ]]"
29,[-0.70324886 -0.55928731],[ 0.47261721  0.44485587],"[ 0.70193425  1.16988098  0.75897403  1.40359849  1.6306222   1.13582298
 -0.048518    0.02175816 -1.12332215  0.1354779   0.        ]",-0.0384085472525,-2.04625,[-0.42757544  0.37814825],"[[ 0.71004141  0.09716372  0.18799116  0.13151088]
 [-1.0068332  -1.52956037  0.          0.        ]]"
30,[-0.70324886 -0.55928731],[ 1.15145934  0.52291191],"[ 0.73497897  1.1715727   0.71375365  1.36426628  1.6306203   1.13582215
 -0.22143366  0.27475668 -1.05444636  0.03712437  0.        ]",-0.0303406867881,-1.98029,[ 1.39268109  1.23738899],"[[  6.73127910e-01   8.19058591e-02   1.87991160e-01   1.31510884e-01]
 [ -2.67894733e+00  -1.32141180e-03   0.00000000e+00   0.00000000e+00]]"
31,[-0.70324886 -0.55928731],[-0.74158323 -0.89267051],"[ 0.74658271  1.16657098  0.69703544  1.46644003  1.6306184   1.13582132
  0.1929719   0.93001007 -1.06715826  0.05170867  0.        ]",-0.0317154774889,-2.03427,[-0.91001814 -1.27773853],"[[ 0.65975577  0.12159191  0.18799116  0.13151088]
 [ 1.32839937  3.95674116  0.          0.        ]]"
32,[-0.70324886 -0.55928731],[ 1.03264999  0.18113492],"[ 0.75496006  1.15983864  0.68467335  1.56543418  1.63061651  1.1358205
 -0.18185908  0.2617664  -1.08520973  0.07231745  0.        ]",-0.0336942390688,-1.99916,[ 1.27390784 -1.30465528],"[[ 0.64995662  0.160227    0.18799116  0.13151088]
 [-2.29625573 -0.07978516  0.          0.        ]]"
33,[-0.70324886 -0.55928731],[ 0.12183399  0.57909399],"[ 0.75983696  1.16696931  0.67735925  1.45952986  1.63061461  1.13581967
  0.23208096 -0.39373417 -1.04193039  0.01371849  0.        ]",-0.0288986124312,-2.03335,[-0.08173925  0.05482514],"[[ 0.64419327  0.11890377  0.18799116  0.13151088]
 [ 1.706587   -4.039337    0.          0.        ]]"
34,[-0.70324886 -0.55928731],[ 0.11179693  0.85716313],"[ 0.73356444  1.17468073  0.71575701  1.25885356  1.63061271  1.13581884
  0.1951402  -0.34453398 -1.02437447 -0.0065326   0.        ]",-0.0270880783863,-2.03836,[-0.15475212  0.86231913],"[[ 0.67474091  0.04109887  0.18799116  0.13151088]
 [ 1.34936688 -3.74214408  0.          0.        ]]"
35,[-0.70324886 -0.55928731],[-0.04878469  0.45361876],"[ 0.71530091  1.17572652  0.74108515  1.15577384  1.63061081  1.13581801
  0.1289338   0.23302822 -1.02355874 -0.00684029  0.        ]",-0.0270103972272,-2.04094,[-0.56667967  0.06220335],"[[ 0.69530467  0.00125989  0.18799116  0.13151088]
 [ 0.70914509 -0.25338127  0.          0.        ]]"
