timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
29,-0.209964678093,[-0.25102785 -0.17195335],[ 1.27548528 -1.33470631],-1.26679,"[ 1.06671142 -0.49989587 -0.46179104 -0.10152925 -1.50499091  0.99820953
  2.0406937   0.70341758  0.94840873 -1.17654488  0.        ]","[[ 24.81363304  -2.8879202   -0.17252644   0.1144273 ]
 [ 78.07929455   2.53497749   0.           0.        ]]",[ 0.5663717  -1.75257173]
30,-0.236374582047,[-0.25102785 -0.17195335],[ 1.39218068 -1.27196646],-1.27837,"[ 0.18660741 -0.49602335  1.42318307 -0.13729916 -1.50498682  0.99820787
  2.06551338  0.16884697  1.24054076 -1.09705016  0.        ]","[[ 26.3822058   -2.87738222  -0.17252644   0.1144273 ]
 [ 78.77578045  -1.46777339   0.           0.        ]]",[ 3.09665018 -1.79433552]
31,-0.209654906336,[-0.25102785 -0.17195335],[ 1.20717359 -0.92617381],-1.32414,"[-1.58189842 -0.51848612  0.43714254  0.09762839 -1.50498273  0.99820621
  2.15106561 -0.35520035  1.15625968 -0.81210646  0.        ]","[[ 27.98180227  -2.94610556  -0.17252644   0.1144273 ]
 [ 81.1759474   -5.39172859   0.           0.        ]]",[ 1.39034984 -1.75686999]
32,-0.194163548156,[-0.25102785 -0.17195335],[ 1.05928504 -1.03918695],-1.28193,"[-0.5499759  -0.53898549 -1.45165483  0.43747218 -1.50497863  0.99820455
  2.23493336  0.14215014  0.99877584 -0.86967467  0.        ]","[[ 29.62892921  -3.04397423  -0.17252644   0.1144273 ]
 [ 83.5288988   -1.66767778   0.           0.        ]]",[ 1.66881203 -0.31092293]
33,-0.204070124526,[-0.25102785 -0.17195335],[ 1.24865305 -1.29127324],-1.21086,"[ 1.13079033 -0.53910893 -0.13247599  0.44058507 -1.50497454  0.99820289
  2.31711992  0.46910333  0.98028552 -1.05069832  0.        ]","[[ 31.32264298  -3.04486504  -0.17252644   0.1144273 ]
 [ 85.83472931   0.7804766    0.           0.        ]]",[ 1.18316747 -1.68902906]
34,-0.222529252879,[-0.25102785 -0.17195335],[ 1.45760989 -1.11508679],-1.24127,"[-0.35650605 -0.53661798  1.49537083  0.38276252 -1.50497045  0.99820123
  2.39767134  0.46503956  1.15147854 -1.04025099  0.        ]","[[ 33.06201299  -3.02830706  -0.17252644   0.1144273 ]
 [ 88.09473288   0.75005154   0.           0.        ]]",[ 1.58205182 -0.12472731]
35,-0.202889668129,[-0.25102785 -0.17195335],[ 1.12190866 -0.91527647],-1.30379,"[-1.58345439 -0.53441121 -0.41835353  0.33788408 -1.50496636  0.99819958
  2.47662616  0.43308172  1.0913009  -0.83206905  0.        ]","[[ 34.84613404  -3.01543445  -0.17252644   0.1144273 ]
 [ 90.30999173   0.51076207   0.           0.        ]]",[ 1.67774756 -0.81349529]
36,-0.192870304819,[-0.25102785 -0.17195335],[ 1.06746852 -1.17513621],-1.23422,"[ 0.46893426 -0.53311667 -1.26949275  0.31359695 -1.50496227  0.99819792
  2.55401677  0.39479267  0.93123105 -0.96738194  0.        ]","[[ 36.67412043  -3.00845951  -0.17252644   0.1144273 ]
 [ 92.48141702   0.22406577   0.           0.        ]]",[ 0.95104195 -2.60359016]
37,-0.220799321187,[-0.25102785 -0.17195335],[ 1.33446002 -1.25692892],-1.26424,"[ 0.67078724 -0.53257205  1.12237604  0.30376161 -1.50495818  0.99819626
  2.62296447  0.37584113  1.09394922 -1.11153002  0.        ]","[[  3.85431595e+01  -3.00563314e+00  -1.72526437e-01   1.14427299e-01]
 [  9.44160428e+01   8.21640812e-02   0.00000000e+00   0.00000000e+00]]",[ 1.16027379 -1.89430897]
38,-0.213510924182,[-0.25102785 -0.17195335],[ 1.24641705 -0.92075509],-1.26093,"[-1.53752793 -0.53236904  0.57180367  0.30015406 -1.50495409  0.9981946
  2.69745555  0.36889619  1.15812701 -0.87809159  0.        ]","[[  4.04524518e+01  -3.00459622e+00  -1.72526437e-01   1.14427299e-01]
 [  9.65062221e+01   3.01647252e-02   0.00000000e+00   0.00000000e+00]]",[ 1.84295864 -0.45805575]
39,-0.18946506741,[-0.25102785 -0.17195335],[ 1.01141703 -1.0664804 ],-1.21162,"[-0.26365528 -0.53218054 -1.48635936  0.29682969 -1.50495     0.99819294
  2.77046991  0.37165232  0.94667709 -0.89037934  0.        ]","[[  4.24031325e+01  -3.00364057e+00  -1.72526437e-01   1.14427299e-01]
 [  9.85550267e+01   5.08045094e-02   0.00000000e+00   0.00000000e+00]]",[ 2.27269746 -1.0022234 ]
40,-0.21548442443,[-0.25102785 -0.17195335],[ 1.26187015 -1.28182054],-1.2585,"[ 1.02056631 -0.5321249   0.6045751   0.29585962 -1.50494591  0.99819128
  2.84203661  0.3640144   1.04074982 -1.11885623  0.        ]","[[  4.43943824e+01  -3.00336174e+00  -1.72526437e-01   1.14427299e-01]
 [  1.00563273e+02  -6.38359366e-03   0.00000000e+00   0.00000000e+00]]",[ 0.57883481 -1.63466702]
41,-0.218298558419,[-0.25102785 -0.17195335],[ 1.31663978 -0.95776141],-1.2915,"[-1.30055305 -0.53216665  0.98568487  0.29660447 -1.50494182  0.99818962
  2.85274391  0.36332011  1.17774768 -0.9207277   0.        ]","[[  4.64086677e+01  -3.00357597e+00  -1.72526437e-01   1.14427299e-01]
 [  1.00864253e+02  -1.15797407e-02   0.00000000e+00   0.00000000e+00]]",[ 0.44916682 -1.33939119]
42,-0.189920162652,[-0.25102785 -0.17195335],[ 1.00986636 -1.0166738 ],-1.35075,"[-0.62372285 -0.53220466 -1.43195241  0.29728423 -1.50493773  0.99818796
  2.84493817  0.36384285  0.96767443 -0.85946382  0.        ]","[[  4.84237618e+01  -3.00377148e+00  -1.72526437e-01   1.14427299e-01]
 [  1.00645882e+02  -7.66297288e-03   0.00000000e+00   0.00000000e+00]]",[-0.43227464 -1.86902022]
43,-0.210947299799,[-0.25102785 -0.17195335],[ 1.24083567 -1.29014134],-1.24838,"[ 1.12437568 -0.53222676  0.20611015  0.29768414 -1.50493364  0.9981863
  2.7128872   0.36432056  1.00629485 -1.10754736  0.        ]","[[  5.03995167e+01  -3.00388654e+00  -1.72526437e-01   1.14427299e-01]
 [  9.69419511e+01  -4.08346271e-03   0.00000000e+00   0.00000000e+00]]",[ 0.64843903 -2.04695898]
44,-0.222104232765,[-0.25102785 -0.17195335],[ 1.38577247 -1.01677179],-1.23156,"[-0.92832391 -0.53223768  1.31063882  0.29788673 -1.50492955  0.99818464
  2.73597565  0.36460279  1.18401422 -0.97259896  0.        ]","[[  5.23448598e+01  -3.00394486e+00  -1.72526437e-01   1.14427299e-01]
 [  9.75902031e+01  -1.96762364e-03   0.00000000e+00   0.00000000e+00]]",[ 2.35762872 -1.46463722]
45,-0.192912816537,[-0.25102785 -0.17195335],[ 1.0217241  -0.95649761],-1.35709,"[-1.10451727 -0.53224248 -1.1720753   0.2979814  -1.50492546  0.99818299
  2.80822201  0.36474622  1.00954349 -0.82795805  0.        ]","[[  5.43170050e+01  -3.00397215e+00  -1.72526437e-01   1.14427299e-01]
 [  9.96175535e+01  -8.91121334e-04   0.00000000e+00   0.00000000e+00]]",[ 0.16266988  0.02730112]
46,-0.204291080301,[-0.25102785 -0.17195335],[ 1.18000805 -1.26878941],-1.24416,"[ 1.09274697 -0.53197886 -0.36659303  0.29335591 -1.50492137  0.99818133
  2.76086377  0.38143171  0.96548257 -1.07618879  0.        ]","[[ 56.29603161  -3.0026423   -0.17252644   0.1144273 ]
 [ 98.28953458   0.12404764   0.           0.        ]]",[ 0.58144485 -2.52165202]
47,-0.22440593941,[-0.25102785 -0.17195335],[ 1.42888927 -1.09489059],-1.25404,"[-0.45399412 -0.53186859  1.48372873  0.29143988 -1.50491728  0.99817967
  2.77354481  0.36158355  1.17594893 -1.02536655  0.        ]","[[  5.82653973e+01  -3.00209140e+00  -1.72526437e-01   1.14427299e-01]
 [  9.86458498e+01  -2.45668316e-02   0.00000000e+00   0.00000000e+00]]",[ 1.51407643 -1.78223447]
48,-0.197249415093,[-0.25102785 -0.17195335],[ 1.0513221  -0.91885304],-1.34866,"[-1.4226737  -0.53200424 -0.79679776  0.29381959 -1.50491319  0.99817801
  2.84504438  0.3602054   1.05147485 -0.81671679  0.        ]","[[  6.02584457e+01  -3.00277578e+00  -1.72526437e-01   1.14427299e-01]
 [  1.00652305e+02  -3.48835248e-02   0.00000000e+00   0.00000000e+00]]",[ 0.35139561 -0.53607673]
49,-0.198969981393,[-0.25102785 -0.17195335],[ 1.11058342 -1.23117757],-1.21655,"[ 0.91995211 -0.53202085 -0.79454133  0.29412018 -1.5049091   0.99817635
  2.82359054  0.36641773  0.94185688 -1.0376216   0.        ]","[[  6.22654590e+01  -3.00286229e+00  -1.72526437e-01   1.14427299e-01]
 [  1.00051027e+02   1.16350485e-02   0.00000000e+00   0.00000000e+00]]",[ 0.98186779 -1.24347364]
