timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
25,[ 0.18035522 -2.40060091],[-0.43049693 -0.26970896],[-0.27897582 -1.30382645],-3.81953,"[[ -4.34778719e-01  -3.00400102e+00  -1.79240061e-01  -8.87690606e-02]
 [ -8.24886392e+00   7.28672025e-05   0.00000000e+00   0.00000000e+00]]","[ 0.95775312 -0.68310933 -0.75614826  0.19001716 -1.56556514 -0.77095437
 -0.60012767  0.36485581  1.0265707   0.86508231  0.        ]",-0.182658596125
26,[ 0.5401994  -2.22756195],[-0.43049693 -0.26970896],[ 0.21190681 -1.61759124],-3.81221,"[[ -6.09199843e-01  -3.00400003e+00  -1.79240061e-01  -8.87690606e-02]
 [ -9.19011175e+00   3.15364428e-05   0.00000000e+00   0.00000000e+00]]","[ 0.84298068 -0.6831087  -0.99750935  0.1900139  -1.56556259 -0.77095379
 -0.68885354  0.36484952  1.0133992   0.89002876  0.        ]",-0.182480915205
27,[ 0.77552003 -2.17080426],[-0.43049693 -0.26970896],[ 0.55317214 -1.63009492],-3.83056,"[[ -7.82758735e-01  -3.00399958e+00  -1.79240061e-01  -8.87690606e-02]
 [ -8.16917977e+00   1.48486265e-05   0.00000000e+00   0.00000000e+00]]","[ 0.69612736 -0.68310815 -1.21013834  0.19001237 -1.56556004 -0.77095321
 -0.59261539  0.36484686  1.00451947  0.91689767  0.        ]",-0.182882700788
28,[ 0.87310213 -2.21632767],[-0.43049693 -0.26970896],[ 0.58261384 -3.00946231],-3.71937,"[[ -9.22545060e-01  -3.00399937e+00  -1.79240061e-01  -8.87690606e-02]
 [ -5.81729036e+00   7.38509441e-06   0.00000000e+00   0.00000000e+00]]","[ 0.55714715 -0.68310764 -1.35703467  0.19001158 -1.56555749 -0.77095263
 -0.37091517  0.36484556  1.00061884  0.93947323  0.        ]",-0.183615900142
29,[ 0.8727721  -2.30317855],[-0.43049693 -0.26970896],[ 0.56292213 -3.33420336],-3.70741,"[[ -1.01459117e+00  -3.00399926e+00  -1.79240061e-01  -8.87690606e-02]
 [ -3.39539176e+00   3.17009074e-06   0.00000000e+00   0.00000000e+00]]","[ 0.45695122 -0.68310715 -1.44034765  0.19001116 -1.56555494 -0.77095205
 -0.14261559  0.36484475  0.99967862  0.95456194  0.        ]",-0.184289109965
30,[ 0.81232256 -2.40246797],[-0.43049693 -0.26970896],[ 0.81274354 -1.92622444],-3.85069,"[[ -1.05946261e+00  -3.00399923e+00  -1.79240061e-01  -8.87690606e-02]
 [ -1.09940332e+00   1.05991256e-06   0.00000000e+00   0.00000000e+00]]","[ 0.40591061 -0.68310667 -1.47683359  0.19001094 -1.56555239 -0.77095146
  0.0738151   0.36484424  0.99969256  0.96193512  0.        ]",-0.184669601262
31,[ 0.62045133 -2.55965877],[-0.43049693 -0.26970896],[ 0.56461469 -2.35102001],-3.81562,"[[ -1.04894620e+00  -3.00399920e+00  -1.79240061e-01  -8.87690606e-02]
 [  2.14024799e+00   1.07958649e-06   0.00000000e+00   0.00000000e+00]]","[ 0.41799321 -0.68310619 -1.46852892  0.19001078 -1.56554984 -0.77095088
  0.3791999   0.36484405  0.99966029  0.9602068   0.        ]",-0.184577457976
32,[ 0.40173614 -2.68155313],[-0.43049693 -0.26970896],[ 1.48102899 -2.48711705],-3.78892,"[[ -9.84137119e-01  -3.00399920e+00  -1.79240061e-01  -8.87690606e-02]
 [  4.33335173e+00  -5.29233191e-08   0.00000000e+00   0.00000000e+00]]","[ 0.49079753 -0.68310572 -1.41401551  0.19001066 -1.56554729 -0.7709503
  0.58593203  0.36484368  0.9998423   0.94955723  0.        ]",-0.184050150747
33,[-0.0059161  -2.90620875],[-0.43049693 -0.26970896],[-0.39817443 -2.11346391],-3.81861,"[[ -8.58605954e-01  -3.00399918e+00  -1.79240061e-01  -8.87690606e-02]
 [  8.20685633e+00   1.58270293e-06   0.00000000e+00   0.00000000e+00]]","[ 0.62281887 -0.68310524 -1.29275526  0.1900105  -1.56554474 -0.77094972
  0.95106647  0.36484373  1.00203004  0.92907217  0.        ]",-0.183236290263
34,[-0.14366996 -2.8930006 ],[-0.43049693 -0.26970896],[ 0.15595121 -3.70140381],-3.64792,"[[ -7.11916323e-01  -3.00399921e+00  -1.79240061e-01  -8.87690606e-02]
 [  6.46790187e+00  -3.30847247e-06   0.00000000e+00   0.00000000e+00]]","[ 0.75973806 -0.68310478 -1.12708544  0.19001052 -1.56554218 -0.77094914
  0.7871436   0.36484281  1.00760772  0.90572676  0.        ]",-0.182649427366
