timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
25,[-0.27047411 -0.13051337],"[ 1.00196017 -0.63285316  0.19906231  0.27108306 -1.60479806  0.27884602
 -0.50314473  0.347603    1.05839148 -0.34543807  0.        ]",[ 0.42330932 -0.62452534],-1.40137,-0.186604467367,"[[ 0.2073536  -3.00468151 -0.18565757  0.03277637]
 [ 0.78530853  0.02980443  0.          0.        ]]",[-0.14060292 -1.10592294]
26,[-0.27047411 -0.13051337],"[ 0.9917915  -0.6327057   0.2476228   0.26881137 -1.60479029  0.27884561
 -0.40008877  0.34902146  1.06256684 -0.3475814   0.        ]",[-0.17324499 -0.74508499],-1.4432,-0.187221025897,"[[ 0.23971969 -3.00388394 -0.18565757  0.03277637]
 [ 2.44576679  0.04006185  0.          0.        ]]",[-0.1544257  -1.11386621]
27,[-0.27047411 -0.13051337],"[ 0.97662751 -0.63260622  0.30939063  0.26729222 -1.60478253  0.27884521
 -0.44566481  0.34577898  1.06789721 -0.34971989  0.        ]",[-0.1006778   0.14369481],-1.41202,-0.18798928019,"[[ 0.2812671  -3.00335057 -0.18565757  0.03277637]
 [ 1.71142115  0.01662683  0.          0.        ]]",[-0.14471368 -1.11173892]
28,[-0.27047411 -0.13051337],"[ 0.96426307 -0.63146612  0.35337665  0.25010731 -1.60477476  0.2788448
 -0.47250499  0.42444105  1.07377346 -0.3557871   0.        ]",[-0.39819712 -0.80009292],-1.4672,-0.188953498439,"[[ 0.31115642 -2.99731282 -0.18565757  0.03277637]
 [ 1.27895262  0.58525245  0.          0.        ]]",[-0.1307642  -1.11380482]
29,[-0.27047411 -0.13051337],"[ 0.96007601 -0.63358926  0.36727881  0.28279876 -1.604767    0.27884439
 -0.57192784  0.2765677   1.07390549 -0.35352624  0.        ]",[ 0.32666128 -0.79324539],-1.41873,-0.188899668804,"[[ 0.32066213 -3.00879465 -0.18565757  0.03277637]
 [-0.32298933 -0.48366845  0.          0.        ]]",[-0.1031146 -1.0867573]
30,[-0.27047411 -0.13051337],"[ 0.95710514 -0.63394964  0.37687819  0.28865217 -1.60475923  0.27884399
 -0.49125745  0.35762654  1.07087078 -0.34480654  0.        ]",[-1.4320255  -0.76616633],-1.52375,-0.188228002454,"[[ 0.3272434  -3.01084869 -0.18565757  0.03277637]
 [ 0.97677722  0.10228025  0.          0.        ]]",[-0.1324462  -1.10789406]
31,[-0.27047411 -0.13051337],"[ 0.9661069  -0.63345168  0.34707724  0.28063281 -1.60475147  0.27884358
 -0.73818818  0.36323021  1.06945521 -0.34664013  0.        ]",[ 0.5752827   0.10685332],-1.3626,-0.188099313862,"[[ 0.30686011 -3.0080348  -0.18565757  0.03277637]
 [-3.00184844  0.14279113  0.          0.        ]]",[-0.00490875 -1.03203201]
32,[-0.27047411 -0.13051337],"[ 0.98085673 -0.6321553   0.29310956  0.26048791 -1.6047437   0.27884317
 -0.5931321   0.42138336  1.06727286 -0.35132666  0.        ]",[-1.64070326 -1.3234657 ],-1.54655,-0.187960010687,"[[ 0.27027259 -3.00096124 -0.18565757  0.03277637]
 [-0.66469269  0.56316293  0.          0.        ]]",[-0.09932576 -1.09429932]
33,[-0.27047411 -0.13051337],"[ 0.9989436  -0.63325653  0.21414646  0.27756625 -1.60473594  0.27884277
 -0.83804813  0.31490291  1.05881223 -0.34348654  0.        ]",[ 0.89498937 -0.81349814],-1.37235,-0.186602100777,"[[ 0.21738517 -3.00695871 -0.18565757  0.03277637]
 [-4.61085757 -0.20653934  0.          0.        ]]",[ 0.08051717 -0.96955341]
34,[-0.27047411 -0.13051337],"[ 1.01381926 -0.63335067  0.12991231  0.27907914 -1.60472817  0.27884236
 -0.61245292  0.35282394  1.05216337 -0.34047947  0.        ]",[ 0.31821559 -1.25951881],-1.41645,-0.185634307851,"[[ 0.16163732 -3.00748989 -0.18565757  0.03277637]
 [-0.97604441  0.06758056  0.          0.        ]]",[-0.07984605 -1.06529546]
