Pretrain Labels,Total Labels,Environment,Experiment Name,Run Time,Run Name,Pretrain Iterations,Network Type,Label Schedule
10 ,100 ,reacher ,toyhumanrecorddata_49 ,3600 ,reacher/ToyHumanRecordData_49-1512180676 ,10000 ,MLP ,Annealing 
300 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510814358 ,10000 ,MLP ,Annealing 
10 ,300 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511559019 ,10000 ,MLP ,Annealing 
10 ,300 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511315987 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511677235 ,10000 ,MLP ,Annealing 
10 ,400 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511648973 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511621104 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,7200 ,reacher/ToySyntheticRecordData-1511212973 ,10000 ,MLP ,Annealing 
200 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510806290 ,10000 ,MLP ,Annealing 
25 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511511134 ,10000 ,MLP ,Annealing 
100 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511444034 ,10000 ,MLP ,Annealing 
100 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511696014 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,1800 ,reacher/ToySyntheticRecordData-1511619406 ,10000 ,MLP ,Annealing 
350 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510817766 ,10000 ,MLP ,Annealing 
10 ,200 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511476762 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511603655 ,10000 ,MLP ,Annealing 
10 ,200 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511637804 ,10000 ,MLP ,Annealing 
10 ,100 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511634353 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511503229 ,10000 ,MLP ,Annealing 
