timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
25,[-0.63326877 -0.45942399],"[-1.24407058  0.7440386  -0.73923972 -0.50322511  0.47558839  0.21311661
 -0.23339958 -0.65652321 -1.56466572 -0.38049924  0.        ]",[-3.30149698 -2.55372047],"[[ -2.13877101e+01  -6.74520915e-01   5.56924635e-02   2.47482324e-02]
 [ -7.86296712e+01  -5.00017177e+00   0.00000000e+00   0.00000000e+00]]",-4.37991,-0.258479159815,[-3.08734474 -2.45796482]
26,[-0.63326877 -0.45942399],"[-0.85811188  0.61678056  1.29990567 -0.69852122  0.47558834  0.21311659
 -0.29734519 -0.98726898 -0.59102806  1.11632049  0.        ]",[-3.92988968  6.09278154],"[[ -2.29844091e+01  -8.13071119e-01   5.56924635e-02   2.47482324e-02]
 [ -8.10326957e+01  -8.84139365e+00   0.00000000e+00   0.00000000e+00]]",-1.15281,-0.186321039395,[-3.59746146  5.79752423]
27,[-0.63326877 -0.45942399],"[ 1.11963971  0.47543345  0.78497132 -0.86329857  0.47558829  0.21311657
 -0.36010891 -0.62924077  0.69708235 -0.0684692   0.        ]",[-3.10650969 -0.82640767],"[[ -2.46287310e+01  -9.48185982e-01   5.56924635e-02   2.47482324e-02]
 [ -8.33913062e+01  -4.68332156e+00   0.00000000e+00   0.00000000e+00]]",-4.04336,-0.133325611957,[-3.24397439 -0.90865089]
28,[-0.63326877 -0.45942399],"[ 0.42237082  0.32748981 -1.26128261 -0.99377798  0.47558823  0.21311655
 -0.421581   -0.92873951 -0.61425146 -1.18246391  0.        ]",[-3.12410927 -3.58450294],"[[ -2.63197298e+01  -1.07675745e+00   5.56924635e-02   2.47482324e-02]
 [ -8.57013782e+01  -8.16164583e+00   0.00000000e+00   0.00000000e+00]]",-3.29753,-0.220637122979,[-2.92190877 -4.50874846]
29,[-0.63326877 -0.45942399],"[-1.45689573  0.07583968 -0.22938997 -1.1413009   0.47558818  0.21311653
 -0.48192784 -1.25312511 -1.3220932   0.38940223  0.        ]",[-3.59969378  2.10449767],"[[ -2.80565039e+01  -1.27779623e+00   5.56924635e-02   2.47482324e-02]
 [ -8.79691645e+01  -1.19290029e+01   0.00000000e+00   0.00000000e+00]]",-4.21822,-0.212966174956,[-2.82828321  1.98360705]
30,[-0.63326877 -0.45942399],"[-0.10818283 -0.1849898   1.53521612 -1.21401372  0.47558813  0.21311651
 -0.54114652 -0.8889062   0.23050462  0.62075834  0.        ]",[-4.20101976  8.00230885],"[[ -2.98382204e+01  -1.47394044e+00   5.56924635e-02   2.47482324e-02]
 [ -9.01945555e+01  -7.69903414e+00   0.00000000e+00   0.00000000e+00]]",-1.10853,-0.101579713386,[-3.80367433  8.41569538]
31,[-0.63326877 -0.45942399],"[ 1.25005313 -0.33732768 -0.27204679 -1.22276756  0.47558807  0.21311649
 -0.59910676 -0.53170426 -0.01081997 -0.89141888  0.        ]",[-3.13239193 -1.43493855],"[[ -3.16639707e+01  -1.58630115e+00   5.56924635e-02   2.47482324e-02]
 [ -9.23726559e+01  -3.55055822e+00   0.00000000e+00   0.00000000e+00]]",-3.31233,-0.156008667342,[-3.1429438  -1.23068541]
32,[-0.63326877 -0.45942399],"[-0.82110653 -0.48575479 -1.15580443 -1.20800296  0.47558802  0.21311647
 -0.65588679 -0.86331072 -1.24243207 -0.18129512  0.        ]",[-3.33630824 -1.51903105],"[[ -3.35328264e+01  -1.69595517e+00   5.56924635e-02   2.47482324e-02]
 [ -9.45064052e+01  -7.40177509e+00   0.00000000e+00   0.00000000e+00]]",-4.61094,-0.1982187738,[-4.3052886  -1.19091015]
33,[-0.63326877 -0.45942399],"[-0.97804102 -0.73180794  1.20852113 -1.13100086  0.47558797  0.21311645
 -0.71163831 -1.18828233 -0.18436041  0.65953321  0.        ]",[-4.54199743  8.73560524],"[[ -3.54439694e+01  -1.88185814e+00   5.56924635e-02   2.47482324e-02]
 [ -9.66015040e+01  -1.11759374e+01   0.00000000e+00   0.00000000e+00]]",-0.718878,-0.0943034599949,[-4.83602211  9.56521238]
34,[-0.63326877 -0.45942399],"[ 1.22946543 -0.95790659  0.51647265 -0.99540088  0.47558791  0.21311643
 -0.76629933 -0.82501985  0.02754308 -0.56344773  0.        ]",[-3.77939987  2.74996233],"[[ -3.73966158e+01  -2.06304526e+00   5.56924635e-02   2.47482324e-02]
 [ -9.86556233e+01  -6.95707641e+00   0.00000000e+00   0.00000000e+00]]",-3.65293,-0.104723713999,[-3.87210761  3.31007131]
35,[-0.63326877 -0.45942399],"[-0.26510085 -1.07150898 -1.35641974 -0.89901329  0.47558786  0.21311641
 -0.81978064 -0.46905084 -0.98772596 -0.24715615  0.        ]",[-3.4523201  -1.60930824],"[[ -3.93898988e+01  -2.16070621e+00   5.56924635e-02   2.47482324e-02]
 [ -1.00665411e+02  -2.82291980e+00   0.00000000e+00   0.00000000e+00]]",-4.04448,-0.159895626409,[-3.06697437 -1.89463914]
36,[-0.63326877 -0.45942399],"[-1.26053391 -1.17539264  0.88214813 -0.79036107  0.47558781  0.21311639
 -0.87218784 -0.80205819 -0.29031912  0.47377262  0.        ]",[-4.40169048  6.76492119],"[[ -4.14229621e+01  -2.25596639e+00   5.56924635e-02   2.47482324e-02]
 [ -1.02634834e+02  -6.69040579e+00   0.00000000e+00   0.00000000e+00]]",-1.79058,-0.0717958944562,[-5.2544252   6.56740919]
37,[-0.63326877 -0.45942399],"[ 1.13071972 -1.26872589  0.763596   -0.67209741  0.47558775  0.21311637
 -0.92355854 -0.44675097 -0.07891908 -0.44067666  0.        ]",[-3.91228771  3.19464445],"[[ -4.34950330e+01  -2.34836954e+00   5.56924635e-02   2.47482324e-02]
 [ -1.04565308e+02  -2.56393537e+00   0.00000000e+00   0.00000000e+00]]",-3.73435,-0.083331619397,[-3.64158193  2.98061832]
38,[-0.63326877 -0.45942399],"[-0.17116824 -1.27902461 -1.36487611 -0.65762697  0.4755877   0.21311635
 -0.97383763 -0.09851496 -0.88747103 -0.18676722  0.        ]",[-3.64481688  0.1677824 ],"[[ -4.56053011e+01  -2.35907143e+00   5.56924635e-02   2.47482324e-02]
 [ -1.06454760e+02   1.48041144e+00   0.00000000e+00   0.00000000e+00]]",-4.3589,-0.140905317929,[-3.36757466  0.08334424]
39,[-0.63326877 -0.45942399],"[-1.22345747 -1.24693655  0.93799236 -0.7017174   0.47558765  0.21311633
 -1.02308132 -0.06953806 -0.25580504  0.41990494  0.        ]",[-4.30879736  7.28582382],"[[ -4.77529639e+01  -2.32609069e+00   5.56924635e-02   2.47482324e-02]
 [ -1.08305304e+02   1.81694356e+00   0.00000000e+00   0.00000000e+00]]",-1.23365,-0.061464088384,[-4.75660075  7.51453164]
