timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
35,[-0.75049132 -0.49772748],-1.24022,"[-1.39203888  0.88902683  1.00832624 -1.56804108 -0.57034712  1.0595716
  0.35989001  0.37737127 -0.0303027   0.57902778  0.        ]",-0.0679091928363,[-0.23211572 -0.28658772],[-0.32294713 -0.73495994],"[[  2.31162490e+00  -1.19247767e+00  -6.61891762e-02   1.23463419e-01]
 [ -1.65824386e+00   5.16929591e-04   0.00000000e+00   0.00000000e+00]]"
36,[-0.75049132 -0.49772748],-1.30655,"[-1.34224078  0.85458749  1.05378253 -1.59650427 -0.57034687  1.05957087
  0.32146992 -0.08394778  0.06872265  0.57043136  0.        ]",-0.0751118255696,[ 0.24908553  0.55391288],[-0.57829694  0.31605451],"[[ 2.26597482 -1.22166249 -0.06618918  0.12346342]
 [-2.90264528 -2.90929955  0.          0.        ]]"
37,[-0.75049132 -0.49772748],-1.3557,"[-1.24985411  0.80072008  1.1279321  -1.6361223  -0.57034662  1.05957013
  0.2525793   0.12368238  0.23382813  0.54285343  0.        ]",-0.0880283443594,[ 0.9380343   0.47750971],[ 1.23476265  0.12596501],"[[ 2.18553434 -1.26670843 -0.06618918  0.12346342]
 [-5.13397087 -1.59965155  0.          0.        ]]"
38,[-0.75049132 -0.49772748],-1.40762,"[-1.17497708  0.76844648  1.17961641 -1.65708868 -0.57034638  1.0595694
  0.3778828   0.2076348   0.35086787  0.51458644  0.        ]",-0.0977862467885,[ 0.64986408  0.15419713],[ 0.03515273 -0.35896076],"[[ 2.12357503 -1.29338832 -0.06618918  0.12346342]
 [-1.07545783 -1.07011313  0.          0.        ]]"
39,[-0.75049132 -0.49772748],-1.50842,"[-1.15029795  0.7251864   1.19517337 -1.68204212 -0.57034613  1.05956866
  0.38284332 -0.01434884  0.40709475  0.48269275  0.        ]",-0.101998483639,[ 0.82829714  0.55416799],[ 1.0198699   0.95672622],"[[ 2.10367803 -1.32883908 -0.06618918  0.12346342]
 [-0.914785   -2.47029596  0.          0.        ]]"
40,[-0.75049132 -0.49772748],-1.41466,"[-1.1770503   0.7117872   1.17827428 -1.68905169 -0.57034588  1.05956793
  0.5055512   0.59385149  0.38241393  0.47985812  0.        ]",-0.0994326879758,[ 0.15781005 -0.56880772],[ 0.2895075  -1.02767548],"[[ 2.12525905 -1.33975443 -0.06618918  0.12346342]
 [ 3.0596572   1.36598552  0.          0.        ]]"
41,[-0.75049132 -0.49772748],-1.45474,"[-1.26377165  0.69617703  1.11752855 -1.69679632 -0.57034564  1.05956719
  0.53908032 -0.03821477  0.28298939  0.48454307  0.        ]",-0.0898707748906,[-0.16528794  0.28156081],[-1.2930628   1.33094484],"[[ 2.19734818 -1.35243582 -0.06618918  0.12346342]
 [ 4.14565267 -2.6208301   0.          0.        ]]"
42,[-0.75049132 -0.49772748],-1.3161,"[-1.31271886  0.68116852  1.07882467 -1.70381764 -0.57034539  1.05956646
  0.41434435  0.59790272  0.22841798  0.48065342  0.        ]",-0.0844397171569,[ 0.23083338 -0.36443901],[-0.43110142 -1.00403713],"[[ 2.23972561 -1.36459484 -0.06618918  0.12346342]
 [ 0.10553579  1.39153929  0.          0.        ]]"
43,[-0.75049132 -0.49772748],-1.43226,"[-1.29555094  0.66610852  1.0927875  -1.71044785 -0.57034514  1.05956572
  0.36163509 -0.0341559   0.26036477  0.47046312  0.        ]",-0.0870523621184,[ 0.56519639  0.64631581],[ 0.41777387  1.36544696],"[[ 2.22470745 -1.37676457 -0.06618918  0.12346342]
 [-1.60168046 -2.595226    0.          0.        ]]"
44,[-0.75049132 -0.49772748],-1.41668,"[-1.2780463   0.65163963  1.10658646 -1.71642885 -0.5703449   1.05956499
  0.41362982  0.60168405  0.29179881  0.45979623  0.        ]",-0.0896632050896,[ 0.39937153 -0.31609601],[ 0.70114022  0.33548873],"[[ 2.20957061 -1.38842926 -0.06618918  0.12346342]
 [ 0.08240139  1.41539071  0.          0.        ]]"
45,[-0.75049132 -0.49772748],-1.25301,"[-1.31193332  0.70277359  1.07946797 -1.69356846 -0.57034465  1.05956425
  0.49923272  0.80775181  0.21571558  0.49278164  0.        ]",-0.0838115362837,[-0.20123765 -0.86227298],[ 0.33324054 -2.23865658],"[[ 2.23903753 -1.34708024 -0.06618918  0.12346342]
 [ 2.85503179  2.71518325  0.          0.        ]]"
46,[-0.75049132 -0.49772748],-1.26958,"[-1.3890148   0.72002406  1.01118794 -1.68476715 -0.5703444   1.05956352
  0.53822903  0.17144294  0.09791619  0.50246469  0.        ]",-0.0734831268528,[-0.60324669 -0.07635251],[-0.36892158 -0.61248132],"[[ 2.30881075 -1.33304611 -0.06618918  0.12346342]
 [ 4.11810431 -1.29838784  0.          0.        ]]"
47,[-0.75049132 -0.49772748],-1.30002,"[-1.45847531  0.65827203  0.94059464 -1.71372638 -0.57034415  1.05956278
  0.49065689 -0.20890628  0.03924973  0.46622968  0.        ]",-0.0661993522066,[-0.49170813  0.61345983],[ 0.4259171   0.67716891],"[[ 2.37571342 -1.38308456 -0.06618918  0.12346342]
 [ 2.57728001 -3.69747206  0.          0.        ]]"
48,[-0.75049132 -0.49772748],-1.25986,"[-1.52422997  0.60058535  0.86410462 -1.73452325 -0.57034391  1.05956205
  0.5411043   0.22774704 -0.02126484  0.4286135   0.        ]",-0.0586790732422,[-0.79538643 -0.01344305],[-1.10415866 -0.17569128],"[[ 2.44365297 -1.42940006 -0.06618918  0.12346342]
 [ 4.2112461  -0.94324598  0.          0.        ]]"
49,[-0.75049132 -0.49772748],-1.32065,"[-1.5638226   0.56846705  0.81252759 -1.74353698 -0.57034366  1.05956131
  0.41635483  0.12054903 -0.0622693   0.40496153  0.        ]",-0.0536976266901,[-0.35302976  0.37756935],[-0.51497217  1.31385584],"[[ 2.48733798 -1.45504892 -0.06618918  0.12346342]
 [ 0.17069878 -1.61940546  0.          0.        ]]"
